X,Y,R
-3.10,-10.11,0.500
-3.10,-7.22,0.500
-3.10,-4.33,0.500
-3.10,-1.44,0.500
-3.10,1.44,0.500
-3.10,4.33,0.500
-3.10,7.22,0.500
-3.10,10.11,0.500
-1.03,-10.11,0.500
-1.03,-7.22,0.500
-1.03,-4.33,0.500
-1.03,-1.44,0.500
-1.03,1.44,0.500
-1.03,4.33,0.500
-1.03,7.22,0.500
-1.03,10.11,0.500
1.03,-10.11,0.500
1.03,-7.22,0.500
1.03,-4.33,0.500
1.03,-1.44,0.500
1.03,1.44,0.500
1.03,4.33,0.500
1.03,7.22,0.500
1.03,10.11,0.500
3.10,-10.11,0.500
3.10,-7.22,0.500
3.10,-4.33,0.500
3.10,-1.44,0.500
3.10,1.44,0.500
3.10,4.33,0.500
3.10,7.22,0.500
3.10,10.11,0.500
