X,Y,R
-2.48,-10.64,0.600
-2.48,-8.27,0.600
-2.48,-5.91,0.600
-2.48,-3.55,0.600
-2.48,-1.18,0.600
-2.48,1.18,0.600
-2.48,3.55,0.600
-2.48,5.91,0.600
-2.48,8.27,0.600
-2.48,10.64,0.600
0.00,-10.64,0.600
0.00,-8.27,0.600
0.00,-5.91,0.600
0.00,-3.55,0.600
0.00,-1.18,0.600
0.00,1.18,0.600
0.00,3.55,0.600
0.00,5.91,0.600
0.00,8.27,0.600
0.00,10.64,0.600
2.48,-10.64,0.600
2.48,-8.27,0.600
2.48,-5.91,0.600
2.48,-3.55,0.600
2.48,-1.18,0.600
2.48,1.18,0.600
2.48,3.55,0.600
2.48,5.91,0.600
2.48,8.27,0.600
2.48,10.64,0.600
