X,Y,R
-9.88,-10.64,0.600
-9.88,-8.27,0.600
-9.88,-5.91,0.600
-9.88,-3.55,0.600
-9.88,-1.18,0.600
-9.88,1.18,0.600
-9.88,3.55,0.600
-9.88,5.91,0.600
-9.88,8.27,0.600
-9.88,10.64,0.600
-7.41,-10.64,0.600
-7.41,-8.27,0.600
-7.41,-5.91,0.600
-7.41,-3.55,0.600
-7.41,-1.18,0.600
-7.41,1.18,0.600
-7.41,3.55,0.600
-7.41,5.91,0.600
-7.41,8.27,0.600
-7.41,10.64,0.600
-4.94,-10.64,0.600
-4.94,-8.27,0.600
-4.94,-5.91,0.600
-4.94,-3.55,0.600
-4.94,-1.18,0.600
-4.94,1.18,0.600
-4.94,3.55,0.600
-4.94,5.91,0.600
-4.94,8.27,0.600
-4.94,10.64,0.600
-2.47,-10.64,0.600
-2.47,-8.27,0.600
-2.47,-5.91,0.600
-2.47,-3.55,0.600
-2.47,-1.18,0.600
-2.47,1.18,0.600
-2.47,3.55,0.600
-2.47,5.91,0.600
-2.47,8.27,0.600
-2.47,10.64,0.600
0.00,-10.64,0.600
0.00,-8.27,0.600
0.00,-5.91,0.600
0.00,-3.55,0.600
0.00,-1.18,0.600
0.00,1.18,0.600
0.00,3.55,0.600
0.00,5.91,0.600
0.00,8.27,0.600
0.00,10.64,0.600
2.47,-10.64,0.600
2.47,-8.27,0.600
2.47,-5.91,0.600
2.47,-3.55,0.600
2.47,-1.18,0.600
2.47,1.18,0.600
2.47,3.55,0.600
2.47,5.91,0.600
2.47,8.27,0.600
2.47,10.64,0.600
4.94,-10.64,0.600
4.94,-8.27,0.600
4.94,-5.91,0.600
4.94,-3.55,0.600
4.94,-1.18,0.600
4.94,1.18,0.600
4.94,3.55,0.600
4.94,5.91,0.600
4.94,8.27,0.600
4.94,10.64,0.600
7.41,-10.64,0.600
7.41,-8.27,0.600
7.41,-5.91,0.600
7.41,-3.55,0.600
7.41,-1.18,0.600
7.41,1.18,0.600
7.41,3.55,0.600
7.41,5.91,0.600
7.41,8.27,0.600
7.41,10.64,0.600
9.88,-10.64,0.600
9.88,-8.27,0.600
9.88,-5.91,0.600
9.88,-3.55,0.600
9.88,-1.18,0.600
9.88,1.18,0.600
9.88,3.55,0.600
9.88,5.91,0.600
9.88,8.27,0.600
9.88,10.64,0.600
