X,Y,R
-3.41,-10.40,0.480
-3.41,-7.80,0.480
-3.41,-5.20,0.480
-3.41,-2.60,0.480
-3.41,0.00,0.480
-3.41,2.60,0.480
-3.41,5.20,0.480
-3.41,7.80,0.480
-3.41,10.40,0.480
-1.14,-10.40,0.480
-1.14,-7.80,0.480
-1.14,-5.20,0.480
-1.14,-2.60,0.480
-1.14,0.00,0.480
-1.14,2.60,0.480
-1.14,5.20,0.480
-1.14,7.80,0.480
-1.14,10.40,0.480
1.13,-10.40,0.480
1.13,-7.80,0.480
1.13,-5.20,0.480
1.13,-2.60,0.480
1.13,0.00,0.480
1.13,2.60,0.480
1.13,5.20,0.480
1.13,7.80,0.480
1.13,10.40,0.480
3.41,-10.40,0.480
3.41,-7.80,0.480
3.41,-5.20,0.480
3.41,-2.60,0.480
3.41,0.00,0.480
3.41,2.60,0.480
3.41,5.20,0.480
3.41,7.80,0.480
3.41,10.40,0.480
