Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	4,077794E-1	3,000000E+2	3,934216E-1	3,000000E+2	3,933530E-1	3,000000E+2	3,836688E-1	3,000000E+2	3,667295E-1
3,015625E+2	3,910076E-1	3,015625E+2	3,913147E-1	3,015625E+2	3,895827E-1	3,015625E+2	3,787481E-1	3,015625E+2	3,633693E-1
3,031250E+2	4,441800E-1	3,031250E+2	4,293886E-1	3,031250E+2	4,225769E-1	3,031250E+2	4,123798E-1	3,031250E+2	3,881851E-1
3,046875E+2	4,179417E-1	3,046875E+2	4,113646E-1	3,046875E+2	4,067903E-1	3,046875E+2	3,841045E-1	3,046875E+2	3,793968E-1
3,062500E+2	4,067761E-1	3,062500E+2	3,933470E-1	3,062500E+2	3,948742E-1	3,062500E+2	3,694245E-1	3,062500E+2	3,558050E-1
3,078125E+2	4,656991E-1	3,078125E+2	4,247696E-1	3,078125E+2	4,207454E-1	3,078125E+2	4,017234E-1	3,078125E+2	3,774154E-1
3,093750E+2	4,563542E-1	3,093750E+2	4,223944E-1	3,093750E+2	4,219491E-1	3,093750E+2	4,019080E-1	3,093750E+2	3,776213E-1
3,109375E+2	4,196180E-1	3,109375E+2	4,211158E-1	3,109375E+2	4,087731E-1	3,109375E+2	3,922754E-1	3,109375E+2	3,700071E-1
3,125000E+2	3,866737E-1	3,125000E+2	4,007270E-1	3,125000E+2	3,899378E-1	3,125000E+2	3,746168E-1	3,125000E+2	3,574126E-1
3,140625E+2	4,345650E-1	3,140625E+2	4,268713E-1	3,140625E+2	4,176182E-1	3,140625E+2	4,010014E-1	3,140625E+2	3,783844E-1
3,156250E+2	5,005359E-1	3,156250E+2	4,548362E-1	3,156250E+2	4,394823E-1	3,156250E+2	4,214953E-1	3,156250E+2	4,178093E-1
3,171875E+2	4,726235E-1	3,171875E+2	4,399417E-1	3,171875E+2	4,237480E-1	3,171875E+2	4,028843E-1	3,171875E+2	3,873335E-1
3,187500E+2	4,430587E-1	3,187500E+2	4,447437E-1	3,187500E+2	4,409795E-1	3,187500E+2	4,129462E-1	3,187500E+2	3,900161E-1
3,203125E+2	4,942168E-1	3,203125E+2	4,548122E-1	3,203125E+2	4,308828E-1	3,203125E+2	4,081571E-1	3,203125E+2	3,871611E-1
3,218750E+2	4,730626E-1	3,218750E+2	4,481293E-1	3,218750E+2	4,153736E-1	3,218750E+2	4,001210E-1	3,218750E+2	3,576864E-1
3,234375E+2	4,879728E-1	3,234375E+2	4,404083E-1	3,234375E+2	4,205591E-1	3,234375E+2	3,800792E-1	3,234375E+2	3,576655E-1
3,250000E+2	5,066742E-1	3,250000E+2	4,487358E-1	3,250000E+2	4,396111E-1	3,250000E+2	3,859291E-1	3,250000E+2	3,641244E-1
3,265625E+2	4,539583E-1	3,265625E+2	4,637323E-1	3,265625E+2	4,506833E-1	3,265625E+2	4,099716E-1	3,265625E+2	3,679093E-1
3,281250E+2	5,001169E-1	3,281250E+2	4,982518E-1	3,281250E+2	4,748394E-1	3,281250E+2	4,297522E-1	3,281250E+2	3,899613E-1
3,296875E+2	5,007764E-1	3,296875E+2	4,882177E-1	3,296875E+2	4,595686E-1	3,296875E+2	4,228875E-1	3,296875E+2	3,915738E-1
3,312500E+2	5,367158E-1	3,312500E+2	5,109934E-1	3,312500E+2	4,738525E-1	3,312500E+2	4,414337E-1	3,312500E+2	4,072545E-1
