Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	5,624440E-1	3,000000E+2	5,651513E-1	3,000000E+2	5,886851E-1	3,000000E+2	5,040327E-1	3,000000E+2	3,588950E-1	3,000000E+2	3,152863E-1	3,000000E+2	2,888732E-1
3,015625E+2	5,604661E-1	3,015625E+2	5,609157E-1	3,015625E+2	5,832220E-1	3,015625E+2	4,989982E-1	3,015625E+2	3,575453E-1	3,015625E+2	3,180557E-1	3,015625E+2	2,852516E-1
3,031250E+2	5,466347E-1	3,031250E+2	5,442285E-1	3,031250E+2	5,788004E-1	3,031250E+2	4,943610E-1	3,031250E+2	3,539259E-1	3,031250E+2	3,124044E-1	3,031250E+2	2,885490E-1
3,046875E+2	5,480120E-1	3,046875E+2	5,428269E-1	3,046875E+2	5,760406E-1	3,046875E+2	4,999769E-1	3,046875E+2	3,561374E-1	3,046875E+2	3,145687E-1	3,046875E+2	2,956547E-1
3,062500E+2	5,264231E-1	3,062500E+2	5,326826E-1	3,062500E+2	5,678012E-1	3,062500E+2	4,971773E-1	3,062500E+2	3,560038E-1	3,062500E+2	3,108181E-1	3,062500E+2	2,867751E-1
3,078125E+2	5,111880E-1	3,078125E+2	5,252052E-1	3,078125E+2	5,607693E-1	3,078125E+2	4,919284E-1	3,078125E+2	3,622592E-1	3,078125E+2	3,157474E-1	3,078125E+2	2,878177E-1
3,093750E+2	5,142253E-1	3,093750E+2	5,170848E-1	3,093750E+2	5,521848E-1	3,093750E+2	4,887802E-1	3,093750E+2	3,601777E-1	3,093750E+2	3,204039E-1	3,093750E+2	2,929046E-1
3,109375E+2	5,048548E-1	3,109375E+2	5,095535E-1	3,109375E+2	5,528444E-1	3,109375E+2	4,856207E-1	3,109375E+2	3,585005E-1	3,109375E+2	3,218073E-1	3,109375E+2	2,971738E-1
3,125000E+2	4,909306E-1	3,125000E+2	5,030965E-1	3,125000E+2	5,435503E-1	3,125000E+2	4,815099E-1	3,125000E+2	3,475085E-1	3,125000E+2	3,091227E-1	3,125000E+2	2,939576E-1
3,140625E+2	4,881436E-1	3,140625E+2	4,945760E-1	3,140625E+2	5,333119E-1	3,140625E+2	4,789644E-1	3,140625E+2	3,449856E-1	3,140625E+2	3,097137E-1	3,140625E+2	2,897819E-1
3,156250E+2	4,791004E-1	3,156250E+2	4,850670E-1	3,156250E+2	5,317630E-1	3,156250E+2	4,768251E-1	3,156250E+2	3,482128E-1	3,156250E+2	3,115092E-1	3,156250E+2	2,898340E-1
3,171875E+2	4,680444E-1	3,171875E+2	4,816617E-1	3,171875E+2	5,208774E-1	3,171875E+2	4,770370E-1	3,171875E+2	3,477724E-1	3,171875E+2	3,068807E-1	3,171875E+2	2,898418E-1
3,187500E+2	4,613247E-1	3,187500E+2	4,754538E-1	3,187500E+2	5,177377E-1	3,187500E+2	4,782964E-1	3,187500E+2	3,609164E-1	3,187500E+2	3,211089E-1	3,187500E+2	2,967262E-1
3,203125E+2	4,594165E-1	3,203125E+2	4,685490E-1	3,203125E+2	5,137087E-1	3,203125E+2	4,808740E-1	3,203125E+2	3,601617E-1	3,203125E+2	3,297545E-1	3,203125E+2	2,966744E-1
3,218750E+2	4,537031E-1	3,218750E+2	4,638494E-1	3,218750E+2	5,064343E-1	3,218750E+2	4,884731E-1	3,218750E+2	3,622953E-1	3,218750E+2	3,198017E-1	3,218750E+2	2,896583E-1
3,234375E+2	4,407683E-1	3,234375E+2	4,592120E-1	3,234375E+2	5,041271E-1	3,234375E+2	4,775276E-1	3,234375E+2	3,607655E-1	3,234375E+2	3,173114E-1	3,234375E+2	2,989818E-1
3,250000E+2	4,419566E-1	3,250000E+2	4,488426E-1	3,250000E+2	4,997023E-1	3,250000E+2	4,713003E-1	3,250000E+2	3,559590E-1	3,250000E+2	3,145803E-1	3,250000E+2	2,931228E-1
3,265625E+2	4,441216E-1	3,265625E+2	4,391747E-1	3,265625E+2	4,944494E-1	3,265625E+2	4,756310E-1	3,265625E+2	3,587533E-1	3,265625E+2	3,132028E-1	3,265625E+2	2,871995E-1
3,281250E+2	4,388462E-1	3,281250E+2	4,341713E-1	3,281250E+2	4,852040E-1	3,281250E+2	4,641859E-1	3,281250E+2	3,536065E-1	3,281250E+2	3,115386E-1	3,281250E+2	2,945511E-1
3,296875E+2	4,211639E-1	3,296875E+2	4,319581E-1	3,296875E+2	4,793276E-1	3,296875E+2	4,564990E-1	3,296875E+2	3,536359E-1	3,296875E+2	3,135947E-1	3,296875E+2	2,928645E-1
3,312500E+2	4,163351E-1	3,312500E+2	4,289462E-1	3,312500E+2	4,799830E-1	3,312500E+2	4,619268E-1	3,312500E+2	3,574439E-1	3,312500E+2	3,111904E-1	3,312500E+2	2,968186E-1
3,328125E+2	4,138379E-1	3,328125E+2	4,196259E-1	3,328125E+2	4,722365E-1	3,328125E+2	4,655280E-1	3,328125E+2	3,548643E-1	3,328125E+2	3,160890E-1	3,328125E+2	2,929394E-1
3,343750E+2	4,147826E-1	3,343750E+2	4,103504E-1	3,343750E+2	4,605215E-1	3,343750E+2	4,557151E-1	3,343750E+2	3,494935E-1	3,343750E+2	3,140961E-1	3,343750E+2	2,881175E-1
3,359375E+2	4,132233E-1	3,359375E+2	4,111017E-1	3,359375E+2	4,615616E-1	3,359375E+2	4,620037E-1	3,359375E+2	3,598063E-1	3,359375E+2	3,164012E-1	3,359375E+2	3,043760E-1
