Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	7,642600E+1	3,000000E+2	7,684175E+1	3,000000E+2	8,126522E+1	3,000000E+2	9,042389E+1	3,000000E+2	9,761733E+1	3,000000E+2	1,027848E+2	3,000000E+2	1,071218E+2
3,015625E+2	7,076940E+1	3,015625E+2	7,292234E+1	3,015625E+2	8,071441E+1	3,015625E+2	8,940162E+1	3,015625E+2	9,656271E+1	3,015625E+2	1,029969E+2	3,015625E+2	1,079030E+2
3,031250E+2	6,024664E+1	3,031250E+2	7,105224E+1	3,031250E+2	8,036762E+1	3,031250E+2	8,856938E+1	3,031250E+2	9,570277E+1	3,031250E+2	1,024276E+2	3,031250E+2	1,074702E+2
3,046875E+2	6,071550E+1	3,046875E+2	7,051081E+1	3,046875E+2	8,004857E+1	3,046875E+2	8,948288E+1	3,046875E+2	9,677420E+1	3,046875E+2	1,016693E+2	3,046875E+2	1,073451E+2
3,062500E+2	6,075683E+1	3,062500E+2	7,025050E+1	3,062500E+2	8,002055E+1	3,062500E+2	8,972035E+1	3,062500E+2	9,753467E+1	3,062500E+2	1,013883E+2	3,062500E+2	1,058700E+2
3,078125E+2	5,981853E+1	3,078125E+2	7,047736E+1	3,078125E+2	8,047481E+1	3,078125E+2	8,908802E+1	3,078125E+2	9,769722E+1	3,078125E+2	1,012973E+2	3,078125E+2	1,056718E+2
3,093750E+2	6,051228E+1	3,093750E+2	7,047111E+1	3,093750E+2	8,081634E+1	3,093750E+2	8,747928E+1	3,093750E+2	9,609520E+1	3,093750E+2	1,011056E+2	3,093750E+2	1,050431E+2
3,109375E+2	6,109331E+1	3,109375E+2	7,003916E+1	3,109375E+2	7,977181E+1	3,109375E+2	8,712119E+1	3,109375E+2	9,623334E+1	3,109375E+2	1,008770E+2	3,109375E+2	1,047471E+2
3,125000E+2	6,088069E+1	3,125000E+2	7,150263E+1	3,125000E+2	7,881918E+1	3,125000E+2	8,750343E+1	3,125000E+2	9,562442E+1	3,125000E+2	9,964662E+1	3,125000E+2	1,038955E+2
3,140625E+2	6,075814E+1	3,140625E+2	7,105033E+1	3,140625E+2	7,903751E+1	3,140625E+2	8,803910E+1	3,140625E+2	9,462123E+1	3,140625E+2	9,840895E+1	3,140625E+2	1,043021E+2
3,156250E+2	6,098760E+1	3,156250E+2	7,042501E+1	3,156250E+2	7,940044E+1	3,156250E+2	8,768072E+1	3,156250E+2	9,517273E+1	3,156250E+2	9,772789E+1	3,156250E+2	1,038234E+2
3,171875E+2	6,088410E+1	3,171875E+2	7,077798E+1	3,171875E+2	8,090807E+1	3,171875E+2	8,652607E+1	3,171875E+2	9,319453E+1	3,171875E+2	9,782339E+1	3,171875E+2	1,028761E+2
3,187500E+2	6,009791E+1	3,187500E+2	7,141538E+1	3,187500E+2	8,203763E+1	3,187500E+2	8,769250E+1	3,187500E+2	9,417659E+1	3,187500E+2	9,854652E+1	3,187500E+2	1,018136E+2
3,203125E+2	5,963816E+1	3,203125E+2	7,104018E+1	3,203125E+2	7,984377E+1	3,203125E+2	8,714441E+1	3,203125E+2	9,348467E+1	3,203125E+2	9,844722E+1	3,203125E+2	1,021017E+2
3,218750E+2	5,949030E+1	3,218750E+2	7,017504E+1	3,218750E+2	7,858448E+1	3,218750E+2	8,516181E+1	3,218750E+2	9,219230E+1	3,218750E+2	9,840371E+1	3,218750E+2	1,014338E+2
3,234375E+2	5,940712E+1	3,234375E+2	6,996900E+1	3,234375E+2	7,820186E+1	3,234375E+2	8,591003E+1	3,234375E+2	9,381576E+1	3,234375E+2	9,719861E+1	3,234375E+2	1,017596E+2
3,250000E+2	5,854505E+1	3,250000E+2	6,899780E+1	3,250000E+2	7,718529E+1	3,250000E+2	8,521829E+1	3,250000E+2	9,407682E+1	3,250000E+2	9,609849E+1	3,250000E+2	1,001107E+2
3,265625E+2	5,857988E+1	3,265625E+2	6,887312E+1	3,265625E+2	7,763980E+1	3,265625E+2	8,455505E+1	3,265625E+2	9,224243E+1	3,265625E+2	9,584516E+1	3,265625E+2	9,963332E+1
3,281250E+2	5,809714E+1	3,281250E+2	6,819375E+1	3,281250E+2	7,739246E+1	3,281250E+2	8,411269E+1	3,281250E+2	9,212880E+1	3,281250E+2	9,651754E+1	3,281250E+2	9,974289E+1
3,296875E+2	5,889959E+1	3,296875E+2	6,718616E+1	3,296875E+2	7,843206E+1	3,296875E+2	8,408324E+1	3,296875E+2	9,302944E+1	3,296875E+2	9,689840E+1	3,296875E+2	9,948583E+1
3,312500E+2	5,725829E+1	3,312500E+2	6,669707E+1	3,312500E+2	7,861817E+1	3,312500E+2	8,479968E+1	3,312500E+2	9,333158E+1	3,312500E+2	9,548206E+1	3,312500E+2	9,886495E+1
3,328125E+2	5,547182E+1	3,328125E+2	6,577473E+1	3,328125E+2	7,650519E+1	3,328125E+2	8,465251E+1	3,328125E+2	9,249667E+1	3,328125E+2	9,554749E+1	3,328125E+2	9,830470E+1
3,343750E+2	5,578593E+1	3,343750E+2	6,483956E+1	3,343750E+2	7,521667E+1	3,343750E+2	8,419823E+1	3,343750E+2	9,292478E+1	3,343750E+2	9,648784E+1	3,343750E+2	1,002585E+2
3,359375E+2	5,529237E+1	3,359375E+2	6,406400E+1	3,359375E+2	7,509525E+1	3,359375E+2	8,285949E+1	3,359375E+2	9,216579E+1	3,359375E+2	9,727126E+1	3,359375E+2	1,010613E+2
3,375000E+2	5,525776E+1	3,375000E+2	6,346807E+1	3,375000E+2	7,547194E+1	3,375000E+2	8,260696E+1	3,375000E+2	9,030081E+1	3,375000E+2	9,702423E+1	3,375000E+2	1,005129E+2
3,390625E+2	5,402433E+1	3,390625E+2	6,336911E+1	3,390625E+2	7,488109E+1	3,390625E+2	8,311420E+1	3,390625E+2	9,199101E+1	3,390625E+2	9,647287E+1	3,390625E+2	1,014171E+2
3,406250E+2	5,290698E+1	3,406250E+2	6,248427E+1	3,406250E+2	7,379630E+1	3,406250E+2	8,334256E+1	3,406250E+2	9,215906E+1	3,406250E+2	9,654346E+1	3,406250E+2	1,024277E+2
3,421875E+2	5,301622E+1	3,421875E+2	6,186430E+1	3,421875E+2	7,305440E+1	3,421875E+2	8,294153E+1	3,421875E+2	9,125642E+1	3,421875E+2	9,620864E+1	3,421875E+2	1,009110E+2
3,437500E+2	5,362218E+1	3,437500E+2	6,280719E+1	3,437500E+2	7,308615E+1	3,437500E+2	8,400305E+1	3,437500E+2	9,053393E+1	3,437500E+2	9,685351E+1	3,437500E+2	1,004458E+2
3,453125E+2	5,233583E+1	3,453125E+2	6,261779E+1	3,453125E+2	7,282526E+1	3,453125E+2	8,330521E+1	3,453125E+2	9,143246E+1	3,453125E+2	9,641257E+1	3,453125E+2	1,007335E+2
3,468750E+2	5,208356E+1	3,468750E+2	6,251660E+1	3,468750E+2	7,277414E+1	3,468750E+2	8,229982E+1	3,468750E+2	9,184849E+1	3,468750E+2	9,686457E+1	3,468750E+2	1,002826E+2
3,484375E+2	5,195054E+1	3,484375E+2	6,222057E+1	3,484375E+2	7,278481E+1	3,484375E+2	8,301733E+1	3,484375E+2	9,187986E+1	3,484375E+2	9,716123E+1	3,484375E+2	1,011731E+2
