Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	3,922016E-1	3,000000E+2	-2,254691E+0	3,000000E+2	3,938167E-1	3,000000E+2	-2,266317E+0	3,000000E+2	4,242846E-1	3,000000E+2	-2,270642E+0	3,000000E+2	5,947163E-1	3,000000E+2	-2,326101E+0	3,000000E+2	1,043587E+0	3,000000E+2	-2,420130E+0	3,000000E+2	1,510903E+0	3,000000E+2	-2,525722E+0	3,000000E+2	1,997254E+0	3,000000E+2	-2,598434E+0
3,015625E+2	4,230429E-1	3,015625E+2	-2,316687E+0	3,015625E+2	4,123221E-1	3,015625E+2	-2,310870E+0	3,015625E+2	4,377230E-1	3,015625E+2	-2,278129E+0	3,015625E+2	5,975975E-1	3,015625E+2	-2,321185E+0	3,015625E+2	1,043832E+0	3,015625E+2	-2,427355E+0	3,015625E+2	1,530142E+0	3,015625E+2	-2,511100E+0	3,015625E+2	2,026560E+0	3,015625E+2	-2,633107E+0
3,031250E+2	4,029638E-1	3,031250E+2	-2,290191E+0	3,031250E+2	4,271155E-1	3,031250E+2	-2,281968E+0	3,031250E+2	4,412197E-1	3,031250E+2	-2,294841E+0	3,031250E+2	5,948355E-1	3,031250E+2	-2,340499E+0	3,031250E+2	1,091014E+0	3,031250E+2	-2,442140E+0	3,031250E+2	1,550903E+0	3,031250E+2	-2,489707E+0	3,031250E+2	2,073595E+0	3,031250E+2	-2,629431E+0
3,046875E+2	3,835220E-1	3,046875E+2	-2,187382E+0	3,046875E+2	4,138338E-1	3,046875E+2	-2,223973E+0	3,046875E+2	4,346689E-1	3,046875E+2	-2,204928E+0	3,046875E+2	5,771543E-1	3,046875E+2	-2,291681E+0	3,046875E+2	1,066473E+0	3,046875E+2	-2,404047E+0	3,046875E+2	1,515923E+0	3,046875E+2	-2,425551E+0	3,046875E+2	2,013867E+0	3,046875E+2	-2,570784E+0
3,062500E+2	3,856223E-1	3,062500E+2	-2,170461E+0	3,062500E+2	3,869103E-1	3,062500E+2	-2,184887E+0	3,062500E+2	4,320513E-1	3,062500E+2	-2,186545E+0	3,062500E+2	5,617089E-1	3,062500E+2	-2,249857E+0	3,062500E+2	1,040761E+0	3,062500E+2	-2,395172E+0	3,062500E+2	1,507718E+0	3,062500E+2	-2,420709E+0	3,062500E+2	2,009674E+0	3,062500E+2	-2,527365E+0
3,078125E+2	3,686023E-1	3,078125E+2	-2,177045E+0	3,078125E+2	4,285507E-1	3,078125E+2	-2,147059E+0	3,078125E+2	4,471829E-1	3,078125E+2	-2,169633E+0	3,078125E+2	5,810533E-1	3,078125E+2	-2,227529E+0	3,078125E+2	1,061802E+0	3,078125E+2	-2,392031E+0	3,078125E+2	1,533228E+0	3,078125E+2	-2,405787E+0	3,078125E+2	2,014949E+0	3,078125E+2	-2,495540E+0
3,093750E+2	3,658996E-1	3,093750E+2	-2,204674E+0	3,093750E+2	4,148051E-1	3,093750E+2	-2,123543E+0	3,093750E+2	4,441522E-1	3,093750E+2	-2,144601E+0	3,093750E+2	5,924330E-1	3,093750E+2	-2,230759E+0	3,093750E+2	1,060279E+0	3,093750E+2	-2,305172E+0	3,093750E+2	1,536086E+0	3,093750E+2	-2,378432E+0	3,093750E+2	1,983635E+0	3,093750E+2	-2,444314E+0
3,109375E+2	4,154644E-1	3,109375E+2	-2,068973E+0	3,109375E+2	4,080969E-1	3,109375E+2	-2,118955E+0	3,109375E+2	4,488010E-1	3,109375E+2	-2,118304E+0	3,109375E+2	5,813794E-1	3,109375E+2	-2,193314E+0	3,109375E+2	1,040907E+0	3,109375E+2	-2,267763E+0	3,109375E+2	1,499631E+0	3,109375E+2	-2,314511E+0	3,109375E+2	1,935919E+0	3,109375E+2	-2,498995E+0
3,125000E+2	3,944837E-1	3,125000E+2	-2,086314E+0	3,125000E+2	3,690464E-1	3,125000E+2	-2,116644E+0	3,125000E+2	4,031825E-1	3,125000E+2	-2,103562E+0	3,125000E+2	5,394716E-1	3,125000E+2	-2,189467E+0	3,125000E+2	1,010145E+0	3,125000E+2	-2,304679E+0	3,125000E+2	1,454487E+0	3,125000E+2	-2,362669E+0	3,125000E+2	1,964136E+0	3,125000E+2	-2,480065E+0
3,140625E+2	3,813803E-1	3,140625E+2	-2,095071E+0	3,140625E+2	3,525886E-1	3,140625E+2	-2,085033E+0	3,140625E+2	3,884792E-1	3,140625E+2	-2,087537E+0	3,140625E+2	5,269670E-1	3,140625E+2	-2,158860E+0	3,140625E+2	1,033419E+0	3,140625E+2	-2,305945E+0	3,140625E+2	1,392661E+0	3,140625E+2	-2,389906E+0	3,140625E+2	1,998763E+0	3,140625E+2	-2,419940E+0
