Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	7,750684E+1	3,000000E+2	7,733162E+1	3,000000E+2	8,153421E+1	3,000000E+2	8,859759E+1	3,000000E+2	9,801611E+1	3,000000E+2	1,023908E+2	3,000000E+2	1,084373E+2
3,015625E+2	7,180966E+1	3,015625E+2	7,241662E+1	3,015625E+2	8,002917E+1	3,015625E+2	8,870110E+1	3,015625E+2	9,659910E+1	3,015625E+2	1,028599E+2	3,015625E+2	1,079212E+2
3,031250E+2	6,032569E+1	3,031250E+2	6,914946E+1	3,031250E+2	7,895098E+1	3,031250E+2	8,923653E+1	3,031250E+2	9,705632E+1	3,031250E+2	1,031665E+2	3,031250E+2	1,079387E+2
3,046875E+2	5,985758E+1	3,046875E+2	6,898698E+1	3,046875E+2	7,848397E+1	3,046875E+2	8,884472E+1	3,046875E+2	9,878092E+1	3,046875E+2	1,040566E+2	3,046875E+2	1,066665E+2
3,062500E+2	5,877079E+1	3,062500E+2	6,819787E+1	3,062500E+2	7,941838E+1	3,062500E+2	8,761157E+1	3,062500E+2	9,782943E+1	3,062500E+2	1,024361E+2	3,062500E+2	1,057839E+2
3,078125E+2	5,919425E+1	3,078125E+2	6,765701E+1	3,078125E+2	7,774633E+1	3,078125E+2	8,922628E+1	3,078125E+2	9,687350E+1	3,078125E+2	1,028319E+2	3,078125E+2	1,066886E+2
3,093750E+2	5,931560E+1	3,093750E+2	6,849552E+1	3,093750E+2	7,727241E+1	3,093750E+2	8,940280E+1	3,093750E+2	9,799966E+1	3,093750E+2	1,026880E+2	3,093750E+2	1,068097E+2
3,109375E+2	5,954135E+1	3,109375E+2	6,905787E+1	3,109375E+2	7,764039E+1	3,109375E+2	8,866228E+1	3,109375E+2	9,929221E+1	3,109375E+2	1,026891E+2	3,109375E+2	1,068021E+2
3,125000E+2	5,856132E+1	3,125000E+2	6,849337E+1	3,125000E+2	7,810078E+1	3,125000E+2	8,921775E+1	3,125000E+2	9,807242E+1	3,125000E+2	1,020476E+2	3,125000E+2	1,066357E+2
3,140625E+2	5,900784E+1	3,140625E+2	6,910265E+1	3,140625E+2	7,889200E+1	3,140625E+2	8,920389E+1	3,140625E+2	9,821134E+1	3,140625E+2	1,010032E+2	3,140625E+2	1,062041E+2
