Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	8,041238E-1	3,000000E+2	7,950231E-1	3,000000E+2	7,553329E-1	3,000000E+2	6,327047E-1	3,000000E+2	5,031077E-1	3,000000E+2	4,561662E-1	3,000000E+2	4,300589E-1
3,015625E+2	8,042556E-1	3,015625E+2	7,992403E-1	3,015625E+2	7,613556E-1	3,015625E+2	6,408772E-1	3,015625E+2	5,097523E-1	3,015625E+2	4,557203E-1	3,015625E+2	4,274910E-1
3,031250E+2	8,220611E-1	3,031250E+2	8,131091E-1	3,031250E+2	7,658332E-1	3,031250E+2	6,428137E-1	3,031250E+2	5,057537E-1	3,031250E+2	4,559407E-1	3,031250E+2	4,254671E-1
3,046875E+2	8,411967E-1	3,046875E+2	8,316355E-1	3,046875E+2	7,781957E-1	3,046875E+2	6,509972E-1	3,046875E+2	5,040801E-1	3,046875E+2	4,664983E-1	3,046875E+2	4,267836E-1
3,062500E+2	8,585611E-1	3,062500E+2	8,468093E-1	3,062500E+2	7,877137E-1	3,062500E+2	6,633998E-1	3,062500E+2	5,116409E-1	3,062500E+2	4,599640E-1	3,062500E+2	4,329314E-1
3,078125E+2	8,699861E-1	3,078125E+2	8,530726E-1	3,078125E+2	7,959823E-1	3,078125E+2	6,671444E-1	3,078125E+2	5,217770E-1	3,078125E+2	4,605702E-1	3,078125E+2	4,346638E-1
3,093750E+2	8,718144E-1	3,093750E+2	8,593057E-1	3,093750E+2	8,046816E-1	3,093750E+2	6,668972E-1	3,093750E+2	5,168151E-1	3,093750E+2	4,669388E-1	3,093750E+2	4,319178E-1
3,109375E+2	8,804120E-1	3,109375E+2	8,670712E-1	3,109375E+2	8,119142E-1	3,109375E+2	6,690661E-1	3,109375E+2	5,238960E-1	3,109375E+2	4,679490E-1	3,109375E+2	4,360508E-1
3,125000E+2	8,742304E-1	3,125000E+2	8,682421E-1	3,125000E+2	8,146058E-1	3,125000E+2	6,681836E-1	3,125000E+2	5,196968E-1	3,125000E+2	4,641316E-1	3,125000E+2	4,218662E-1
3,140625E+2	8,870904E-1	3,140625E+2	8,760647E-1	3,140625E+2	8,223079E-1	3,140625E+2	6,705527E-1	3,140625E+2	5,180215E-1	3,140625E+2	4,652609E-1	3,140625E+2	4,242015E-1
3,156250E+2	9,002726E-1	3,156250E+2	8,859407E-1	3,156250E+2	8,322112E-1	3,156250E+2	6,793603E-1	3,156250E+2	5,242818E-1	3,156250E+2	4,676577E-1	3,156250E+2	4,401164E-1
3,171875E+2	9,037720E-1	3,171875E+2	8,942533E-1	3,171875E+2	8,336814E-1	3,171875E+2	6,846499E-1	3,171875E+2	5,210460E-1	3,171875E+2	4,608896E-1	3,171875E+2	4,382435E-1
3,187500E+2	9,274918E-1	3,187500E+2	9,050107E-1	3,187500E+2	8,442381E-1	3,187500E+2	6,910996E-1	3,187500E+2	5,310239E-1	3,187500E+2	4,696732E-1	3,187500E+2	4,280980E-1
3,203125E+2	9,237269E-1	3,203125E+2	9,112608E-1	3,203125E+2	8,536866E-1	3,203125E+2	7,041724E-1	3,203125E+2	5,458970E-1	3,203125E+2	4,777644E-1	3,203125E+2	4,299178E-1
3,218750E+2	9,281616E-1	3,218750E+2	9,178940E-1	3,218750E+2	8,537634E-1	3,218750E+2	7,086154E-1	3,218750E+2	5,362801E-1	3,218750E+2	4,703321E-1	3,218750E+2	4,493270E-1
3,234375E+2	9,258772E-1	3,234375E+2	9,229095E-1	3,234375E+2	8,635262E-1	3,234375E+2	7,162177E-1	3,234375E+2	5,368440E-1	3,234375E+2	4,696952E-1	3,234375E+2	4,471298E-1
3,250000E+2	9,373341E-1	3,250000E+2	9,274044E-1	3,250000E+2	8,685105E-1	3,250000E+2	7,136146E-1	3,250000E+2	5,417225E-1	3,250000E+2	4,706082E-1	3,250000E+2	4,336016E-1
3,265625E+2	9,463559E-1	3,265625E+2	9,293506E-1	3,265625E+2	8,716726E-1	3,265625E+2	7,089054E-1	3,265625E+2	5,408388E-1	3,265625E+2	4,756474E-1	3,265625E+2	4,414197E-1
3,281250E+2	9,410842E-1	3,281250E+2	9,317448E-1	3,281250E+2	8,731754E-1	3,281250E+2	7,022433E-1	3,281250E+2	5,345105E-1	3,281250E+2	4,730091E-1	3,281250E+2	4,424898E-1
3,296875E+2	9,437450E-1	3,296875E+2	9,368715E-1	3,296875E+2	8,769797E-1	3,296875E+2	7,028747E-1	3,296875E+2	5,391678E-1	3,296875E+2	4,817460E-1	3,296875E+2	4,386899E-1
3,312500E+2	9,449482E-1	3,312500E+2	9,377575E-1	3,312500E+2	8,843367E-1	3,312500E+2	7,194717E-1	3,312500E+2	5,474542E-1	3,312500E+2	4,913781E-1	3,312500E+2	4,491977E-1
3,328125E+2	9,466093E-1	3,328125E+2	9,374079E-1	3,328125E+2	8,827840E-1	3,328125E+2	7,205754E-1	3,328125E+2	5,403733E-1	3,328125E+2	4,807497E-1	3,328125E+2	4,480838E-1
