Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	7,617563E+1	3,000000E+2	7,718217E+1	3,000000E+2	8,144869E+1	3,000000E+2	8,844541E+1	3,000000E+2	9,804249E+1	3,000000E+2	1,033112E+2	3,000000E+2	1,080386E+2
3,015625E+2	7,092630E+1	3,015625E+2	7,377466E+1	3,015625E+2	8,044843E+1	3,015625E+2	8,646594E+1	3,015625E+2	9,816932E+1	3,015625E+2	1,022411E+2	3,015625E+2	1,078836E+2
3,031250E+2	6,131017E+1	3,031250E+2	6,980297E+1	3,031250E+2	8,082503E+1	3,031250E+2	8,782574E+1	3,031250E+2	9,753517E+1	3,031250E+2	1,020754E+2	3,031250E+2	1,069359E+2
3,046875E+2	6,076908E+1	3,046875E+2	6,911424E+1	3,046875E+2	8,009251E+1	3,046875E+2	8,884229E+1	3,046875E+2	9,644291E+1	3,046875E+2	1,017669E+2	3,046875E+2	1,065544E+2
3,062500E+2	6,037045E+1	3,062500E+2	6,922281E+1	3,062500E+2	7,969027E+1	3,062500E+2	8,863079E+1	3,062500E+2	9,609739E+1	3,062500E+2	1,015078E+2	3,062500E+2	1,063412E+2
3,078125E+2	6,059212E+1	3,078125E+2	6,932219E+1	3,078125E+2	7,960086E+1	3,078125E+2	8,965618E+1	3,078125E+2	9,716516E+1	3,078125E+2	1,010701E+2	3,078125E+2	1,067327E+2
3,093750E+2	6,052390E+1	3,093750E+2	6,923943E+1	3,093750E+2	8,022768E+1	3,093750E+2	9,004564E+1	3,093750E+2	9,759378E+1	3,093750E+2	1,016713E+2	3,093750E+2	1,056943E+2
3,109375E+2	6,024162E+1	3,109375E+2	7,012083E+1	3,109375E+2	7,963434E+1	3,109375E+2	8,916424E+1	3,109375E+2	9,658785E+1	3,109375E+2	1,009407E+2	3,109375E+2	1,058196E+2
3,125000E+2	5,920259E+1	3,125000E+2	6,986540E+1	3,125000E+2	7,900892E+1	3,125000E+2	8,889280E+1	3,125000E+2	9,649933E+1	3,125000E+2	1,013141E+2	3,125000E+2	1,054934E+2
3,140625E+2	6,014860E+1	3,140625E+2	7,009840E+1	3,140625E+2	7,969235E+1	3,140625E+2	8,830509E+1	3,140625E+2	9,643655E+1	3,140625E+2	1,019801E+2	3,140625E+2	1,053943E+2
3,156250E+2	6,074245E+1	3,156250E+2	6,970697E+1	3,156250E+2	7,988167E+1	3,156250E+2	8,837841E+1	3,156250E+2	9,656618E+1	3,156250E+2	1,016614E+2	3,156250E+2	1,047495E+2
3,171875E+2	5,994460E+1	3,171875E+2	6,994038E+1	3,171875E+2	8,095707E+1	3,171875E+2	8,889403E+1	3,171875E+2	9,751635E+1	3,171875E+2	1,015079E+2	3,171875E+2	1,053966E+2
3,187500E+2	5,931527E+1	3,187500E+2	6,942786E+1	3,187500E+2	8,095553E+1	3,187500E+2	8,869537E+1	3,187500E+2	9,615354E+1	3,187500E+2	1,015844E+2	3,187500E+2	1,039020E+2
3,203125E+2	6,010146E+1	3,203125E+2	6,952080E+1	3,203125E+2	7,974985E+1	3,203125E+2	8,696496E+1	3,203125E+2	9,618126E+1	3,203125E+2	1,021889E+2	3,203125E+2	1,031528E+2
3,218750E+2	6,024188E+1	3,218750E+2	6,914668E+1	3,218750E+2	8,083150E+1	3,218750E+2	8,730371E+1	3,218750E+2	9,661094E+1	3,218750E+2	1,005635E+2	3,218750E+2	1,044361E+2
3,234375E+2	6,063192E+1	3,234375E+2	7,062333E+1	3,234375E+2	7,987232E+1	3,234375E+2	8,830347E+1	3,234375E+2	9,645751E+1	3,234375E+2	9,881560E+1	3,234375E+2	1,047610E+2
3,250000E+2	5,979518E+1	3,250000E+2	7,095102E+1	3,250000E+2	7,930756E+1	3,250000E+2	8,876280E+1	3,250000E+2	9,691533E+1	3,250000E+2	9,945240E+1	3,250000E+2	1,051300E+2
3,265625E+2	6,012329E+1	3,265625E+2	7,077779E+1	3,265625E+2	7,937965E+1	3,265625E+2	8,735688E+1	3,265625E+2	9,554934E+1	3,265625E+2	9,985474E+1	3,265625E+2	1,047578E+2
3,281250E+2	6,098487E+1	3,281250E+2	7,007419E+1	3,281250E+2	8,062322E+1	3,281250E+2	8,733503E+1	3,281250E+2	9,550060E+1	3,281250E+2	9,908731E+1	3,281250E+2	1,039931E+2
3,296875E+2	6,056179E+1	3,296875E+2	7,040891E+1	3,296875E+2	8,017668E+1	3,296875E+2	8,749865E+1	3,296875E+2	9,698499E+1	3,296875E+2	9,938415E+1	3,296875E+2	1,034764E+2
3,312500E+2	6,069734E+1	3,312500E+2	7,055066E+1	3,312500E+2	7,888892E+1	3,312500E+2	8,760978E+1	3,312500E+2	9,701068E+1	3,312500E+2	1,006425E+2	3,312500E+2	1,035707E+2
3,328125E+2	6,139325E+1	3,328125E+2	7,073079E+1	3,328125E+2	7,878128E+1	3,328125E+2	8,779267E+1	3,328125E+2	9,463002E+1	3,328125E+2	1,003843E+2	3,328125E+2	1,034185E+2
3,343750E+2	6,167629E+1	3,343750E+2	6,995975E+1	3,343750E+2	7,922026E+1	3,343750E+2	8,701421E+1	3,343750E+2	9,559545E+1	3,343750E+2	9,957099E+1	3,343750E+2	1,030017E+2
3,359375E+2	6,107091E+1	3,359375E+2	7,034753E+1	3,359375E+2	7,968433E+1	3,359375E+2	8,812495E+1	3,359375E+2	9,593403E+1	3,359375E+2	1,001907E+2	3,359375E+2	1,029252E+2
3,375000E+2	6,080075E+1	3,375000E+2	6,930936E+1	3,375000E+2	7,938842E+1	3,375000E+2	8,832333E+1	3,375000E+2	9,548775E+1	3,375000E+2	9,947622E+1	3,375000E+2	1,044277E+2
3,390625E+2	6,169112E+1	3,390625E+2	7,016590E+1	3,390625E+2	7,956589E+1	3,390625E+2	8,795096E+1	3,390625E+2	9,597833E+1	3,390625E+2	9,973546E+1	3,390625E+2	1,044337E+2
3,406250E+2	6,089381E+1	3,406250E+2	6,961964E+1	3,406250E+2	7,849335E+1	3,406250E+2	8,778787E+1	3,406250E+2	9,580494E+1	3,406250E+2	9,999435E+1	3,406250E+2	1,032381E+2
3,421875E+2	6,005166E+1	3,421875E+2	7,077315E+1	3,421875E+2	7,888388E+1	3,421875E+2	8,787125E+1	3,421875E+2	9,454751E+1	3,421875E+2	1,003311E+2	3,421875E+2	1,039311E+2
3,437500E+2	5,811866E+1	3,437500E+2	7,082246E+1	3,437500E+2	7,875216E+1	3,437500E+2	8,856488E+1	3,437500E+2	9,515995E+1	3,437500E+2	1,014669E+2	3,437500E+2	1,042973E+2
3,453125E+2	5,992391E+1	3,453125E+2	7,160715E+1	3,453125E+2	7,990406E+1	3,453125E+2	8,819303E+1	3,453125E+2	9,560044E+1	3,453125E+2	1,004071E+2	3,453125E+2	1,040175E+2
3,468750E+2	5,991628E+1	3,468750E+2	7,174416E+1	3,468750E+2	8,079535E+1	3,468750E+2	8,842976E+1	3,468750E+2	9,731047E+1	3,468750E+2	1,007839E+2	3,468750E+2	1,044762E+2
3,484375E+2	5,965730E+1	3,484375E+2	7,059641E+1	3,484375E+2	8,021274E+1	3,484375E+2	8,911979E+1	3,484375E+2	9,662242E+1	3,484375E+2	1,010092E+2	3,484375E+2	1,047953E+2
3,500000E+2	6,033689E+1	3,500000E+2	7,039801E+1	3,500000E+2	8,020604E+1	3,500000E+2	8,967201E+1	3,500000E+2	9,551624E+1	3,500000E+2	1,011049E+2	3,500000E+2	1,036879E+2
3,515625E+2	6,023013E+1	3,515625E+2	6,997184E+1	3,515625E+2	7,993358E+1	3,515625E+2	8,892594E+1	3,515625E+2	9,678433E+1	3,515625E+2	1,001889E+2	3,515625E+2	1,039122E+2
3,531250E+2	6,075292E+1	3,531250E+2	7,050835E+1	3,531250E+2	8,019488E+1	3,531250E+2	8,792059E+1	3,531250E+2	9,690030E+1	3,531250E+2	9,961066E+1	3,531250E+2	1,035534E+2
3,546875E+2	6,086823E+1	3,546875E+2	6,987005E+1	3,546875E+2	7,984963E+1	3,546875E+2	8,776896E+1	3,546875E+2	9,748399E+1	3,546875E+2	1,011343E+2	3,546875E+2	1,045393E+2
3,562500E+2	6,134453E+1	3,562500E+2	7,053373E+1	3,562500E+2	7,878811E+1	3,562500E+2	8,841159E+1	3,562500E+2	9,615050E+1	3,562500E+2	1,012504E+2	3,562500E+2	1,049752E+2
3,578125E+2	6,013043E+1	3,578125E+2	7,029683E+1	3,578125E+2	7,964847E+1	3,578125E+2	8,757057E+1	3,578125E+2	9,603503E+1	3,578125E+2	1,013205E+2	3,578125E+2	1,049184E+2
