Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	5,171630E-1	3,000000E+2	-2,072654E+0	3,000000E+2	5,220033E-1	3,000000E+2	-2,068308E+0	3,000000E+2	5,766220E-1	3,000000E+2	-2,097058E+0	3,000000E+2	8,022215E-1	3,000000E+2	-2,217161E+0	3,000000E+2	1,494851E+0	3,000000E+2	-2,486808E+0	3,000000E+2	2,043455E+0	3,000000E+2	-2,704106E+0	3,000000E+2	2,589718E+0	3,000000E+2	-2,904095E+0
3,015625E+2	5,342617E-1	3,015625E+2	-2,110704E+0	3,015625E+2	5,336850E-1	3,015625E+2	-2,110072E+0	3,015625E+2	5,930033E-1	3,015625E+2	-2,089757E+0	3,015625E+2	8,494854E-1	3,015625E+2	-2,206311E+0	3,015625E+2	1,555616E+0	3,015625E+2	-2,489980E+0	3,015625E+2	2,099878E+0	3,015625E+2	-2,717322E+0	3,015625E+2	2,613171E+0	3,015625E+2	-2,871846E+0
3,031250E+2	5,324263E-1	3,031250E+2	-2,040546E+0	3,031250E+2	5,537340E-1	3,031250E+2	-2,066618E+0	3,031250E+2	6,139945E-1	3,031250E+2	-2,104296E+0	3,031250E+2	8,748126E-1	3,031250E+2	-2,232609E+0	3,031250E+2	1,574585E+0	3,031250E+2	-2,521528E+0	3,031250E+2	2,157821E+0	3,031250E+2	-2,742472E+0	3,031250E+2	2,709930E+0	3,031250E+2	-2,869073E+0
3,046875E+2	4,839327E-1	3,046875E+2	-1,991416E+0	3,046875E+2	5,615226E-1	3,046875E+2	-2,002490E+0	3,046875E+2	6,012378E-1	3,046875E+2	-2,035735E+0	3,046875E+2	8,717761E-1	3,046875E+2	-2,179815E+0	3,046875E+2	1,519560E+0	3,046875E+2	-2,440654E+0	3,046875E+2	2,086446E+0	3,046875E+2	-2,582067E+0	3,046875E+2	2,647770E+0	3,046875E+2	-2,786493E+0
3,062500E+2	4,669922E-1	3,062500E+2	-1,963811E+0	3,062500E+2	5,281832E-1	3,062500E+2	-1,979713E+0	3,062500E+2	5,789433E-1	3,062500E+2	-2,002838E+0	3,062500E+2	8,331776E-1	3,062500E+2	-2,133125E+0	3,062500E+2	1,558475E+0	3,062500E+2	-2,430271E+0	3,062500E+2	2,081270E+0	3,062500E+2	-2,596225E+0	3,062500E+2	2,603055E+0	3,062500E+2	-2,783245E+0
3,078125E+2	5,736454E-1	3,078125E+2	-1,914754E+0	3,078125E+2	5,597245E-1	3,078125E+2	-1,967688E+0	3,078125E+2	5,964875E-1	3,078125E+2	-1,976587E+0	3,078125E+2	8,462333E-1	3,078125E+2	-2,122872E+0	3,078125E+2	1,615810E+0	3,078125E+2	-2,433337E+0	3,078125E+2	2,153435E+0	3,078125E+2	-2,597959E+0	3,078125E+2	2,668131E+0	3,078125E+2	-2,816519E+0
3,093750E+2	5,429976E-1	3,093750E+2	-1,964322E+0	3,093750E+2	5,515140E-1	3,093750E+2	-1,949955E+0	3,093750E+2	5,969016E-1	3,093750E+2	-1,958975E+0	3,093750E+2	8,461286E-1	3,093750E+2	-2,093051E+0	3,093750E+2	1,625987E+0	3,093750E+2	-2,405280E+0	3,093750E+2	2,180137E+0	3,093750E+2	-2,570466E+0	3,093750E+2	2,734230E+0	3,093750E+2	-2,770925E+0
3,109375E+2	5,218565E-1	3,109375E+2	-1,967093E+0	3,109375E+2	5,554101E-1	3,109375E+2	-1,919238E+0	3,109375E+2	6,137264E-1	3,109375E+2	-1,938963E+0	3,109375E+2	8,318387E-1	3,109375E+2	-2,070469E+0	3,109375E+2	1,605720E+0	3,109375E+2	-2,362198E+0	3,109375E+2	2,139806E+0	3,109375E+2	-2,530502E+0	3,109375E+2	2,684925E+0	3,109375E+2	-2,726823E+0
3,125000E+2	4,381049E-1	3,125000E+2	-1,978279E+0	3,125000E+2	5,253330E-1	3,125000E+2	-1,919323E+0	3,125000E+2	5,844116E-1	3,125000E+2	-1,922514E+0	3,125000E+2	8,124400E-1	3,125000E+2	-2,063671E+0	3,125000E+2	1,520486E+0	3,125000E+2	-2,359367E+0	3,125000E+2	2,098298E+0	3,125000E+2	-2,566053E+0	3,125000E+2	2,585941E+0	3,125000E+2	-2,795801E+0
3,140625E+2	4,625175E-1	3,140625E+2	-1,894047E+0	3,140625E+2	5,146812E-1	3,140625E+2	-1,903014E+0	3,140625E+2	5,553697E-1	3,140625E+2	-1,887038E+0	3,140625E+2	8,270159E-1	3,140625E+2	-2,043445E+0	3,140625E+2	1,525736E+0	3,140625E+2	-2,324523E+0	3,140625E+2	2,061884E+0	3,140625E+2	-2,540075E+0	3,140625E+2	2,553343E+0	3,140625E+2	-2,836807E+0
