Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	5,400918E-1	3,000000E+2	-6,282980E-1	3,000000E+2	5,383947E-1	3,000000E+2	-6,272930E-1	3,000000E+2	5,419052E-1	3,000000E+2	-6,093098E-1	3,000000E+2	5,584850E-1	3,000000E+2	-5,431685E-1	3,000000E+2	5,978802E-1	3,000000E+2	-4,008235E-1	3,000000E+2	6,327614E-1	3,000000E+2	-3,262910E-1	3,000000E+2	6,632510E-1	3,000000E+2	-2,724312E-1
3,015625E+2	5,493451E-1	3,015625E+2	-6,199720E-1	3,015625E+2	5,492208E-1	3,015625E+2	-6,201904E-1	3,015625E+2	5,385772E-1	3,015625E+2	-6,053105E-1	3,015625E+2	5,537173E-1	3,015625E+2	-5,323850E-1	3,015625E+2	5,985262E-1	3,015625E+2	-3,911628E-1	3,015625E+2	6,351600E-1	3,015625E+2	-3,198151E-1	3,015625E+2	6,607750E-1	3,015625E+2	-2,696252E-1
3,031250E+2	5,293644E-1	3,031250E+2	-6,266881E-1	3,031250E+2	5,351580E-1	3,031250E+2	-6,182852E-1	3,031250E+2	5,410250E-1	3,031250E+2	-5,984030E-1	3,031250E+2	5,588398E-1	3,031250E+2	-5,253528E-1	3,031250E+2	6,035010E-1	3,031250E+2	-3,883279E-1	3,031250E+2	6,389615E-1	3,031250E+2	-3,135511E-1	3,031250E+2	6,626594E-1	3,031250E+2	-2,608822E-1
3,046875E+2	5,188123E-1	3,046875E+2	-6,457466E-1	3,046875E+2	5,156806E-1	3,046875E+2	-6,210890E-1	3,046875E+2	5,226015E-1	3,046875E+2	-6,069411E-1	3,046875E+2	5,465186E-1	3,046875E+2	-5,281110E-1	3,046875E+2	5,904811E-1	3,046875E+2	-3,966939E-1	3,046875E+2	6,187977E-1	3,046875E+2	-3,189072E-1	3,046875E+2	6,537602E-1	3,046875E+2	-2,644889E-1
3,062500E+2	5,117042E-1	3,062500E+2	-6,536645E-1	3,062500E+2	5,113416E-1	3,062500E+2	-6,330415E-1	3,062500E+2	5,145015E-1	3,062500E+2	-6,158389E-1	3,062500E+2	5,365358E-1	3,062500E+2	-5,392969E-1	3,062500E+2	5,890663E-1	3,062500E+2	-3,903420E-1	3,062500E+2	6,204073E-1	3,062500E+2	-3,198383E-1	3,062500E+2	6,523566E-1	3,062500E+2	-2,685434E-1
3,078125E+2	4,876325E-1	3,078125E+2	-6,234300E-1	3,078125E+2	5,052056E-1	3,078125E+2	-6,242134E-1	3,078125E+2	5,053997E-1	3,078125E+2	-6,123571E-1	3,078125E+2	5,334946E-1	3,078125E+2	-5,364064E-1	3,078125E+2	5,901138E-1	3,078125E+2	-3,812935E-1	3,078125E+2	6,221971E-1	3,078125E+2	-3,112532E-1	3,078125E+2	6,569911E-1	3,078125E+2	-2,633742E-1
3,093750E+2	5,054020E-1	3,093750E+2	-6,296507E-1	3,093750E+2	5,002788E-1	3,093750E+2	-6,280534E-1	3,093750E+2	5,000056E-1	3,093750E+2	-6,133606E-1	3,093750E+2	5,259685E-1	3,093750E+2	-5,374340E-1	3,093750E+2	5,858450E-1	3,093750E+2	-3,793465E-1	3,093750E+2	6,196138E-1	3,093750E+2	-3,074616E-1	3,093750E+2	6,545977E-1	3,093750E+2	-2,563001E-1
3,109375E+2	5,079278E-1	3,109375E+2	-6,360334E-1	3,109375E+2	4,902614E-1	3,109375E+2	-6,289722E-1	3,109375E+2	4,928331E-1	3,109375E+2	-6,093832E-1	3,109375E+2	5,206163E-1	3,109375E+2	-5,418321E-1	3,109375E+2	5,786950E-1	3,109375E+2	-3,819312E-1	3,109375E+2	6,138433E-1	3,109375E+2	-3,112199E-1	3,109375E+2	6,492925E-1	3,109375E+2	-2,595215E-1
3,125000E+2	5,191678E-1	3,125000E+2	-6,614401E-1	3,125000E+2	4,924390E-1	3,125000E+2	-6,386629E-1	3,125000E+2	4,894283E-1	3,125000E+2	-6,195243E-1	3,125000E+2	5,194809E-1	3,125000E+2	-5,471260E-1	3,125000E+2	5,770806E-1	3,125000E+2	-3,958848E-1	3,125000E+2	6,171178E-1	3,125000E+2	-3,171084E-1	3,125000E+2	6,531213E-1	3,125000E+2	-2,704461E-1
3,140625E+2	4,891992E-1	3,140625E+2	-6,615173E-1	3,140625E+2	4,879131E-1	3,140625E+2	-6,433752E-1	3,140625E+2	4,798170E-1	3,140625E+2	-6,311072E-1	3,140625E+2	5,136812E-1	3,140625E+2	-5,439284E-1	3,140625E+2	5,712824E-1	3,140625E+2	-3,945638E-1	3,140625E+2	6,130838E-1	3,140625E+2	-3,209776E-1	3,140625E+2	6,562455E-1	3,140625E+2	-2,744360E-1
