Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	2,234176E-1	3,000000E+2	2,225293E-1	3,000000E+2	2,362255E-1	3,000000E+2	2,990828E-1	3,000000E+2	4,160502E-1	3,000000E+2	4,764789E-1	3,000000E+2	5,077100E-1
3,015625E+2	2,289165E-1	3,015625E+2	2,248588E-1	3,015625E+2	2,412721E-1	3,015625E+2	3,010484E-1	3,015625E+2	4,146591E-1	3,015625E+2	4,816598E-1	3,015625E+2	5,037022E-1
3,031250E+2	2,234566E-1	3,031250E+2	2,358440E-1	3,031250E+2	2,403351E-1	3,031250E+2	2,966230E-1	3,031250E+2	4,222034E-1	3,031250E+2	4,882525E-1	3,031250E+2	5,069637E-1
3,046875E+2	2,290103E-1	3,046875E+2	2,383497E-1	3,046875E+2	2,512543E-1	3,046875E+2	2,983012E-1	3,046875E+2	4,244774E-1	3,046875E+2	4,964881E-1	3,046875E+2	5,133380E-1
3,062500E+2	2,326232E-1	3,062500E+2	2,310860E-1	3,062500E+2	2,529667E-1	3,062500E+2	2,995466E-1	3,062500E+2	4,204434E-1	3,062500E+2	4,964301E-1	3,062500E+2	5,204484E-1
3,078125E+2	2,229698E-1	3,078125E+2	2,577508E-1	3,078125E+2	2,629851E-1	3,078125E+2	3,114893E-1	3,078125E+2	4,258775E-1	3,078125E+2	5,024895E-1	3,078125E+2	5,261775E-1
3,093750E+2	2,175943E-1	3,093750E+2	2,548291E-1	3,093750E+2	2,657649E-1	3,093750E+2	3,154541E-1	3,093750E+2	4,436978E-1	3,093750E+2	5,082730E-1	3,093750E+2	5,333518E-1
3,109375E+2	2,644506E-1	3,109375E+2	2,521955E-1	3,109375E+2	2,725691E-1	3,109375E+2	3,180678E-1	3,109375E+2	4,473149E-1	3,109375E+2	5,168862E-1	3,109375E+2	5,209476E-1
3,125000E+2	2,505736E-1	3,125000E+2	2,323067E-1	3,125000E+2	2,522297E-1	3,125000E+2	3,012234E-1	3,125000E+2	4,320445E-1	3,125000E+2	5,012573E-1	3,125000E+2	5,259849E-1
3,140625E+2	2,422410E-1	3,140625E+2	2,283287E-1	3,140625E+2	2,472152E-1	3,140625E+2	3,014554E-1	3,140625E+2	4,373253E-1	3,140625E+2	4,870945E-1	3,140625E+2	5,384348E-1
3,156250E+2	2,523105E-1	3,156250E+2	2,634805E-1	3,156250E+2	2,633998E-1	3,156250E+2	3,254158E-1	3,156250E+2	4,500221E-1	3,156250E+2	5,018764E-1	3,156250E+2	5,391859E-1
3,171875E+2	2,406966E-1	3,171875E+2	2,747823E-1	3,171875E+2	2,720023E-1	3,171875E+2	3,270753E-1	3,171875E+2	4,576512E-1	3,171875E+2	5,124992E-1	3,171875E+2	5,327213E-1
3,187500E+2	2,935021E-1	3,187500E+2	2,960723E-1	3,187500E+2	2,906770E-1	3,187500E+2	3,334776E-1	3,187500E+2	4,665357E-1	3,187500E+2	5,242865E-1	3,187500E+2	5,477109E-1
3,203125E+2	3,146536E-1	3,203125E+2	2,960106E-1	3,203125E+2	3,024445E-1	3,203125E+2	3,514766E-1	3,203125E+2	4,688236E-1	3,203125E+2	5,302657E-1	3,203125E+2	5,486043E-1
3,218750E+2	3,084930E-1	3,218750E+2	2,751560E-1	3,218750E+2	2,921459E-1	3,218750E+2	3,540744E-1	3,218750E+2	4,705444E-1	3,218750E+2	5,357168E-1	3,218750E+2	5,586836E-1
3,234375E+2	3,156841E-1	3,234375E+2	2,824375E-1	3,234375E+2	3,034859E-1	3,234375E+2	3,566651E-1	3,234375E+2	4,898141E-1	3,234375E+2	5,594092E-1	3,234375E+2	5,660771E-1
