Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	6,034661E-1	3,000000E+2	-6,421923E-1	3,000000E+2	6,062064E-1	3,000000E+2	-6,403004E-1	3,000000E+2	6,035063E-1	3,000000E+2	-6,321033E-1	3,000000E+2	5,990086E-1	3,000000E+2	-5,848982E-1	3,000000E+2	5,926382E-1	3,000000E+2	-4,824207E-1	3,000000E+2	6,040804E-1	3,000000E+2	-3,982562E-1	3,000000E+2	6,190430E-1	3,000000E+2	-3,302662E-1
3,015625E+2	6,149822E-1	3,015625E+2	-6,268017E-1	3,015625E+2	6,148969E-1	3,015625E+2	-6,301135E-1	3,015625E+2	6,037649E-1	3,015625E+2	-6,278502E-1	3,015625E+2	5,975935E-1	3,015625E+2	-5,846653E-1	3,015625E+2	5,940469E-1	3,015625E+2	-4,821298E-1	3,015625E+2	6,017796E-1	3,015625E+2	-3,952234E-1	3,015625E+2	6,238737E-1	3,015625E+2	-3,272299E-1
3,031250E+2	6,110054E-1	3,031250E+2	-6,349928E-1	3,031250E+2	6,059888E-1	3,031250E+2	-6,300267E-1	3,031250E+2	6,074794E-1	3,031250E+2	-6,250070E-1	3,031250E+2	6,023565E-1	3,031250E+2	-5,835611E-1	3,031250E+2	5,954071E-1	3,031250E+2	-4,725325E-1	3,031250E+2	5,984646E-1	3,031250E+2	-3,919025E-1	3,031250E+2	6,242754E-1	3,031250E+2	-3,214288E-1
3,046875E+2	5,869327E-1	3,046875E+2	-6,530695E-1	3,046875E+2	5,928475E-1	3,046875E+2	-6,404546E-1	3,046875E+2	5,853548E-1	3,046875E+2	-6,372640E-1	3,046875E+2	5,924253E-1	3,046875E+2	-5,922255E-1	3,046875E+2	5,887514E-1	3,046875E+2	-4,784291E-1	3,046875E+2	5,879983E-1	3,046875E+2	-3,972026E-1	3,046875E+2	6,158802E-1	3,046875E+2	-3,276486E-1
3,062500E+2	5,820680E-1	3,062500E+2	-6,546554E-1	3,062500E+2	5,858271E-1	3,062500E+2	-6,524727E-1	3,062500E+2	5,807659E-1	3,062500E+2	-6,401127E-1	3,062500E+2	5,835881E-1	3,062500E+2	-5,998986E-1	3,062500E+2	5,877898E-1	3,062500E+2	-4,837972E-1	3,062500E+2	5,871553E-1	3,062500E+2	-3,985204E-1	3,062500E+2	6,102900E-1	3,062500E+2	-3,272579E-1
3,078125E+2	5,860621E-1	3,078125E+2	-6,584538E-1	3,078125E+2	5,704008E-1	3,078125E+2	-6,456719E-1	3,078125E+2	5,744610E-1	3,078125E+2	-6,379729E-1	3,078125E+2	5,762168E-1	3,078125E+2	-5,970635E-1	3,078125E+2	5,865166E-1	3,078125E+2	-4,797091E-1	3,078125E+2	5,848887E-1	3,078125E+2	-3,942280E-1	3,078125E+2	6,063428E-1	3,078125E+2	-3,258388E-1
3,093750E+2	5,938613E-1	3,093750E+2	-6,555413E-1	3,093750E+2	5,654181E-1	3,093750E+2	-6,522831E-1	3,093750E+2	5,679353E-1	3,093750E+2	-6,416265E-1	3,093750E+2	5,760369E-1	3,093750E+2	-5,939086E-1	3,093750E+2	5,689147E-1	3,093750E+2	-4,823259E-1	3,093750E+2	5,804194E-1	3,093750E+2	-3,934976E-1	3,093750E+2	5,988861E-1	3,093750E+2	-3,286086E-1
3,109375E+2	5,495156E-1	3,109375E+2	-6,584694E-1	3,109375E+2	5,649126E-1	3,109375E+2	-6,547353E-1	3,109375E+2	5,600518E-1	3,109375E+2	-6,432518E-1	3,109375E+2	5,674203E-1	3,109375E+2	-5,999720E-1	3,109375E+2	5,614748E-1	3,109375E+2	-4,872691E-1	3,109375E+2	5,692191E-1	3,109375E+2	-3,988777E-1	3,109375E+2	6,049783E-1	3,109375E+2	-3,362345E-1
3,125000E+2	5,571163E-1	3,125000E+2	-6,626068E-1	3,125000E+2	5,691075E-1	3,125000E+2	-6,661906E-1	3,125000E+2	5,610867E-1	3,125000E+2	-6,579909E-1	3,125000E+2	5,702045E-1	3,125000E+2	-6,112637E-1	3,125000E+2	5,701250E-1	3,125000E+2	-4,928621E-1	3,125000E+2	5,770573E-1	3,125000E+2	-4,071211E-1	3,125000E+2	6,031103E-1	3,125000E+2	-3,320740E-1
3,140625E+2	5,612949E-1	3,140625E+2	-6,653623E-1	3,140625E+2	5,620464E-1	3,140625E+2	-6,751112E-1	3,140625E+2	5,582092E-1	3,140625E+2	-6,642194E-1	3,140625E+2	5,632436E-1	3,140625E+2	-6,174960E-1	3,140625E+2	5,697458E-1	3,140625E+2	-4,879184E-1	3,140625E+2	5,815737E-1	3,140625E+2	-4,179444E-1	3,140625E+2	5,960906E-1	3,140625E+2	-3,259467E-1
