Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	1,158142E+0	3,000000E+2	-1,050446E+0	3,000000E+2	1,188271E+0	3,000000E+2	-1,090880E+0	3,000000E+2	1,356175E+0	3,000000E+2	-1,276835E+0	3,000000E+2	1,815141E+0	3,000000E+2	-1,884256E+0	3,000000E+2	2,641553E+0	3,000000E+2	-2,782262E+0	3,000000E+2	3,242734E+0	3,000000E+2	-3,230151E+0	3,000000E+2	3,754850E+0	3,000000E+2	-3,509338E+0
3,015625E+2	1,193542E+0	3,015625E+2	-1,060428E+0	3,015625E+2	1,209970E+0	3,015625E+2	-1,082420E+0	3,015625E+2	1,390665E+0	3,015625E+2	-1,261340E+0	3,015625E+2	1,872835E+0	3,015625E+2	-1,853649E+0	3,015625E+2	2,728171E+0	3,015625E+2	-2,740175E+0	3,015625E+2	3,295966E+0	3,015625E+2	-3,236418E+0	3,015625E+2	3,854162E+0	3,015625E+2	-3,535563E+0
3,031250E+2	1,207259E+0	3,031250E+2	-1,001155E+0	3,031250E+2	1,245603E+0	3,031250E+2	-1,041572E+0	3,031250E+2	1,409929E+0	3,031250E+2	-1,247557E+0	3,031250E+2	1,910030E+0	3,031250E+2	-1,848556E+0	3,031250E+2	2,829256E+0	3,031250E+2	-2,777292E+0	3,031250E+2	3,404697E+0	3,031250E+2	-3,235474E+0	3,031250E+2	3,876433E+0	3,031250E+2	-3,558711E+0
3,046875E+2	1,199820E+0	3,046875E+2	-9,306411E-1	3,046875E+2	1,240219E+0	3,046875E+2	-9,729458E-1	3,046875E+2	1,402777E+0	3,046875E+2	-1,198778E+0	3,046875E+2	1,873632E+0	3,046875E+2	-1,804057E+0	3,046875E+2	2,730170E+0	3,046875E+2	-2,783955E+0	3,046875E+2	3,282448E+0	3,046875E+2	-3,131463E+0	3,046875E+2	3,868695E+0	3,046875E+2	-3,543288E+0
3,062500E+2	1,249496E+0	3,062500E+2	-8,724202E-1	3,062500E+2	1,251477E+0	3,062500E+2	-9,177937E-1	3,062500E+2	1,398980E+0	3,062500E+2	-1,161420E+0	3,062500E+2	1,864300E+0	3,062500E+2	-1,742604E+0	3,062500E+2	2,719786E+0	3,062500E+2	-2,725148E+0	3,062500E+2	3,303228E+0	3,062500E+2	-3,195027E+0	3,062500E+2	3,850923E+0	3,062500E+2	-3,471099E+0
3,078125E+2	1,273465E+0	3,078125E+2	-8,285299E-1	3,078125E+2	1,266403E+0	3,078125E+2	-8,952630E-1	3,078125E+2	1,440427E+0	3,078125E+2	-1,132609E+0	3,078125E+2	1,919091E+0	3,078125E+2	-1,727776E+0	3,078125E+2	2,716667E+0	3,078125E+2	-2,648142E+0	3,078125E+2	3,345547E+0	3,078125E+2	-3,189344E+0	3,078125E+2	3,913245E+0	3,078125E+2	-3,445536E+0
3,093750E+2	1,265636E+0	3,093750E+2	-8,208527E-1	3,093750E+2	1,278320E+0	3,093750E+2	-8,716286E-1	3,093750E+2	1,459921E+0	3,093750E+2	-1,098146E+0	3,093750E+2	1,931030E+0	3,093750E+2	-1,729520E+0	3,093750E+2	2,748448E+0	3,093750E+2	-2,687254E+0	3,093750E+2	3,382062E+0	3,093750E+2	-3,125658E+0	3,093750E+2	3,964115E+0	3,093750E+2	-3,474092E+0
3,109375E+2	1,275482E+0	3,109375E+2	-7,855661E-1	3,109375E+2	1,292522E+0	3,109375E+2	-8,408603E-1	3,109375E+2	1,470937E+0	3,109375E+2	-1,068284E+0	3,109375E+2	1,898543E+0	3,109375E+2	-1,717223E+0	3,109375E+2	2,768872E+0	3,109375E+2	-2,633672E+0	3,109375E+2	3,364962E+0	3,109375E+2	-3,116184E+0	3,109375E+2	3,840063E+0	3,109375E+2	-3,435058E+0
3,125000E+2	1,328940E+0	3,125000E+2	-8,102721E-1	3,125000E+2	1,297740E+0	3,125000E+2	-8,361172E-1	3,125000E+2	1,480681E+0	3,125000E+2	-1,056828E+0	3,125000E+2	1,879726E+0	3,125000E+2	-1,720445E+0	3,125000E+2	2,734661E+0	3,125000E+2	-2,664664E+0	3,125000E+2	3,266335E+0	3,125000E+2	-3,154118E+0	3,125000E+2	3,837027E+0	3,125000E+2	-3,603419E+0
3,140625E+2	1,257228E+0	3,140625E+2	-7,575737E-1	3,140625E+2	1,313611E+0	3,140625E+2	-8,031096E-1	3,140625E+2	1,466233E+0	3,140625E+2	-1,024684E+0	3,140625E+2	1,892544E+0	3,140625E+2	-1,709575E+0	3,140625E+2	2,702635E+0	3,140625E+2	-2,675705E+0	3,140625E+2	3,302679E+0	3,140625E+2	-3,143432E+0	3,140625E+2	3,775227E+0	3,140625E+2	-3,577100E+0
