Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	9,983875E-2	3,000000E+2	9,922417E-2	3,000000E+2	1,035647E-1	3,000000E+2	1,095511E-1
3,015625E+2	1,012653E-1	3,015625E+2	1,036521E-1	3,015625E+2	1,106394E-1	3,015625E+2	1,123088E-1
3,031250E+2	6,118448E-2	3,031250E+2	9,500923E-2	3,031250E+2	9,964084E-2	3,031250E+2	9,750695E-2
3,046875E+2	1,153750E-1	3,046875E+2	1,017463E-1	3,046875E+2	1,129414E-1	3,046875E+2	1,173344E-1
3,062500E+2	1,357455E-1	3,062500E+2	1,158829E-1	3,062500E+2	1,250860E-1	3,062500E+2	1,317256E-1
3,078125E+2	1,139032E-1	3,078125E+2	1,153401E-1	3,078125E+2	1,244020E-1	3,078125E+2	1,316068E-1
3,093750E+2	9,766376E-2	3,093750E+2	1,197502E-1	3,093750E+2	1,253689E-1	3,093750E+2	1,354384E-1
3,109375E+2	1,081023E-1	3,109375E+2	1,120538E-1	3,109375E+2	1,196363E-1	3,109375E+2	1,239320E-1
3,125000E+2	1,287469E-1	3,125000E+2	1,322367E-1	3,125000E+2	1,290980E-1	3,125000E+2	1,343449E-1
3,140625E+2	1,453673E-1	3,140625E+2	1,643848E-1	3,140625E+2	1,670483E-1	3,140625E+2	1,587928E-1
3,156250E+2	1,506559E-1	3,156250E+2	1,234314E-1	3,156250E+2	1,280567E-1	3,156250E+2	1,336225E-1
3,171875E+2	1,734875E-1	3,171875E+2	1,338088E-1	3,171875E+2	1,302263E-1	3,171875E+2	1,397216E-1
3,187500E+2	1,595144E-1	3,187500E+2	1,566081E-1	3,187500E+2	1,422194E-1	3,187500E+2	1,505955E-1
3,203125E+2	1,566586E-1	3,203125E+2	1,563836E-1	3,203125E+2	1,465068E-1	3,203125E+2	1,513415E-1
3,218750E+2	1,349423E-1	3,218750E+2	1,539158E-1	3,218750E+2	1,313575E-1	3,218750E+2	1,494381E-1
3,234375E+2	1,159777E-1	3,234375E+2	1,429446E-1	3,234375E+2	1,389551E-1	3,234375E+2	1,466199E-1
3,250000E+2	2,186779E-1	3,250000E+2	1,679631E-1	3,250000E+2	1,728675E-1	3,250000E+2	1,737982E-1
3,265625E+2	2,197551E-1	3,265625E+2	1,940516E-1	3,265625E+2	1,744801E-1	3,265625E+2	1,679898E-1
3,281250E+2	1,803387E-1	3,281250E+2	1,880003E-1	3,281250E+2	1,634892E-1	3,281250E+2	1,685763E-1
3,296875E+2	1,645540E-1	3,296875E+2	1,469728E-1	3,296875E+2	1,577034E-1	3,296875E+2	1,672927E-1
3,312500E+2	1,419554E-1	3,312500E+2	1,496092E-1	3,312500E+2	1,547070E-1	3,312500E+2	1,685470E-1
3,328125E+2	1,667088E-1	3,328125E+2	1,736237E-1	3,328125E+2	1,672123E-1	3,328125E+2	1,750851E-1
3,343750E+2	1,319359E-1	3,343750E+2	1,426990E-1	3,343750E+2	1,492562E-1	3,343750E+2	1,523319E-1
3,359375E+2	2,113015E-1	3,359375E+2	1,851960E-1	3,359375E+2	1,732889E-1	3,359375E+2	1,707055E-1
3,375000E+2	2,199763E-1	3,375000E+2	2,026269E-1	3,375000E+2	1,977222E-1	3,375000E+2	1,954361E-1
3,390625E+2	2,073739E-1	3,390625E+2	1,961105E-1	3,390625E+2	1,902472E-1	3,390625E+2	1,888651E-1
3,406250E+2	1,428558E-1	3,406250E+2	1,927004E-1	3,406250E+2	1,924416E-1	3,406250E+2	1,956613E-1
3,421875E+2	2,330076E-1	3,421875E+2	2,110204E-1	3,421875E+2	2,309118E-1	3,421875E+2	2,274156E-1
3,437500E+2	2,865090E-1	3,437500E+2	2,016011E-1	3,437500E+2	2,080020E-1	3,437500E+2	2,114361E-1
3,453125E+2	1,642871E-1	3,453125E+2	1,777124E-1	3,453125E+2	1,719968E-1	3,453125E+2	1,827525E-1
3,468750E+2	1,954910E-1	3,468750E+2	1,999690E-1	3,468750E+2	1,887056E-1	3,468750E+2	1,986064E-1
3,484375E+2	1,842466E-1	3,484375E+2	1,990066E-1	3,484375E+2	1,891320E-1	3,484375E+2	2,032295E-1
3,500000E+2	2,338926E-1	3,500000E+2	2,002706E-1	3,500000E+2	1,962906E-1	3,500000E+2	2,014603E-1
3,515625E+2	2,316786E-1	3,515625E+2	1,734795E-1	3,515625E+2	1,920579E-1	3,515625E+2	1,959544E-1
3,531250E+2	2,207580E-1	3,531250E+2	2,022036E-1	3,531250E+2	2,192267E-1	3,531250E+2	2,229136E-1
3,546875E+2	2,254476E-1	3,546875E+2	2,435517E-1	3,546875E+2	2,456517E-1	3,546875E+2	2,441107E-1
3,562500E+2	2,001965E-1	3,562500E+2	2,360415E-1	3,562500E+2	2,396383E-1	3,562500E+2	2,507924E-1
3,578125E+2	1,959391E-1	3,578125E+2	2,390698E-1	3,578125E+2	2,375716E-1	3,578125E+2	2,441956E-1
3,593750E+2	2,354513E-1	3,593750E+2	2,592881E-1	3,593750E+2	2,522832E-1	3,593750E+2	2,603073E-1
3,609375E+2	2,009918E-1	3,609375E+2	2,265219E-1	3,609375E+2	2,318551E-1	3,609375E+2	2,315737E-1
3,625000E+2	3,010990E-1	3,625000E+2	2,286979E-1	3,625000E+2	2,360116E-1	3,625000E+2	2,416537E-1
3,640625E+2	3,271178E-1	3,640625E+2	2,519353E-1	3,640625E+2	2,512856E-1	3,640625E+2	2,720299E-1
3,656250E+2	2,526320E-1	3,656250E+2	2,297577E-1	3,656250E+2	2,364506E-1	3,656250E+2	2,504113E-1
3,671875E+2	1,618263E-1	3,671875E+2	2,033951E-1	3,671875E+2	2,220190E-1	3,671875E+2	2,255315E-1
3,687500E+2	2,444353E-1	3,687500E+2	2,500062E-1	3,687500E+2	2,760235E-1	3,687500E+2	2,767606E-1
3,703125E+2	3,035420E-1	3,703125E+2	3,114146E-1	3,703125E+2	3,089464E-1	3,703125E+2	3,156400E-1
3,718750E+2	3,241959E-1	3,718750E+2	3,240633E-1	3,718750E+2	3,064977E-1	3,718750E+2	3,222114E-1
3,734375E+2	2,988088E-1	3,734375E+2	3,131254E-1	3,734375E+2	3,183540E-1	3,734375E+2	3,296109E-1
3,750000E+2	2,282532E-1	3,750000E+2	2,675887E-1	3,750000E+2	3,010543E-1	3,750000E+2	3,104433E-1
3,765625E+2	2,317981E-1	3,765625E+2	2,886136E-1	3,765625E+2	3,050339E-1	3,765625E+2	3,234266E-1
3,781250E+2	2,377552E-1	3,781250E+2	3,030367E-1	3,781250E+2	2,823000E-1	3,781250E+2	3,017151E-1
3,796875E+2	2,749836E-1	3,796875E+2	3,377888E-1	3,796875E+2	3,226498E-1	3,796875E+2	3,396293E-1
3,812500E+2	3,575432E-1	3,812500E+2	3,766361E-1	3,812500E+2	3,710249E-1	3,812500E+2	3,834801E-1
3,828125E+2	4,058168E-1	3,828125E+2	3,477569E-1	3,828125E+2	3,630248E-1	3,828125E+2	3,663876E-1
3,843750E+2	3,939388E-1	3,843750E+2	3,563503E-1	3,843750E+2	3,669315E-1	3,843750E+2	3,804357E-1
3,859375E+2	3,818765E-1	3,859375E+2	3,893317E-1	3,859375E+2	3,931541E-1	3,859375E+2	4,083831E-1
3,875000E+2	3,463168E-1	3,875000E+2	3,838998E-1	3,875000E+2	3,831344E-1	3,875000E+2	4,033245E-1
3,890625E+2	3,655510E-1	3,890625E+2	4,040688E-1	3,890625E+2	4,096954E-1	3,890625E+2	4,206451E-1
3,906250E+2	3,858187E-1	3,906250E+2	4,220321E-1	3,906250E+2	4,186665E-1	3,906250E+2	4,336576E-1
3,921875E+2	4,024625E-1	3,921875E+2	4,328202E-1	3,921875E+2	4,224197E-1	3,921875E+2	4,427886E-1
3,937500E+2	4,381726E-1	3,937500E+2	4,564344E-1	3,937500E+2	4,464544E-1	3,937500E+2	4,525607E-1
3,953125E+2	4,509996E-1	3,953125E+2	4,577908E-1	3,953125E+2	4,545279E-1	3,953125E+2	4,643759E-1
3,968750E+2	4,728508E-1	3,968750E+2	4,514688E-1	3,968750E+2	4,525801E-1	3,968750E+2	4,733016E-1
3,984375E+2	4,702193E-1	3,984375E+2	4,767904E-1	3,984375E+2	4,783076E-1	3,984375E+2	4,975198E-1
4,000000E+2	4,770117E-1	4,000000E+2	4,881006E-1	4,000000E+2	4,997575E-1	4,000000E+2	5,061434E-1
4,015625E+2	5,102038E-1	4,015625E+2	4,979255E-1	4,015625E+2	5,020705E-1	4,015625E+2	5,202670E-1
4,031250E+2	5,234045E-1	4,031250E+2	5,191015E-1	4,031250E+2	5,057264E-1	4,031250E+2	5,317536E-1
4,046875E+2	5,439309E-1	4,046875E+2	5,324252E-1	4,046875E+2	5,269856E-1	4,046875E+2	5,506190E-1
4,062500E+2	5,483595E-1	4,062500E+2	5,394238E-1	4,062500E+2	5,416879E-1	4,062500E+2	5,550480E-1
4,078125E+2	5,603979E-1	4,078125E+2	5,456291E-1	4,078125E+2	5,510395E-1	4,078125E+2	5,753789E-1
4,093750E+2	5,600165E-1	4,093750E+2	5,546644E-1	4,093750E+2	5,517631E-1	4,093750E+2	5,772794E-1
4,109375E+2	5,742268E-1	4,109375E+2	5,624052E-1	4,109375E+2	5,671121E-1	4,109375E+2	5,840147E-1
4,125000E+2	5,975812E-1	4,125000E+2	5,908052E-1	4,125000E+2	5,880848E-1	4,125000E+2	6,073649E-1
4,140625E+2	6,013458E-1	4,140625E+2	5,971595E-1	4,140625E+2	6,075700E-1	4,140625E+2	6,274494E-1
4,156250E+2	6,158987E-1	4,156250E+2	6,082855E-1	4,156250E+2	6,147622E-1	4,156250E+2	6,382851E-1
4,171875E+2	6,130684E-1	4,171875E+2	6,191905E-1	4,171875E+2	6,184886E-1	4,171875E+2	6,537336E-1
4,187500E+2	6,332337E-1	4,187500E+2	6,336332E-1	4,187500E+2	6,362643E-1	4,187500E+2	6,612122E-1
4,203125E+2	6,359930E-1	4,203125E+2	6,371994E-1	4,203125E+2	6,398520E-1	4,203125E+2	6,657267E-1
4,218750E+2	6,390879E-1	4,218750E+2	6,534075E-1	4,218750E+2	6,520152E-1	4,218750E+2	6,817067E-1
4,234375E+2	6,614516E-1	4,234375E+2	6,598604E-1	4,234375E+2	6,623641E-1	4,234375E+2	6,871058E-1
4,250000E+2	6,610117E-1	4,250000E+2	6,723887E-1	4,250000E+2	6,720256E-1	4,250000E+2	6,943259E-1
4,265625E+2	6,635411E-1	4,265625E+2	6,765053E-1	4,265625E+2	6,810385E-1	4,265625E+2	7,034689E-1
4,281250E+2	6,874400E-1	4,281250E+2	6,848307E-1	4,281250E+2	6,904509E-1	4,281250E+2	7,057994E-1
4,296875E+2	6,953812E-1	4,296875E+2	6,921752E-1	4,296875E+2	6,954130E-1	4,296875E+2	7,185606E-1
