Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	1,681902E-1	3,000000E+2	-2,318147E+0	3,000000E+2	1,671215E-1	3,000000E+2	-2,318395E+0	3,000000E+2	1,758715E-1	3,000000E+2	-2,325951E+0	3,000000E+2	1,859317E-1	3,000000E+2	-2,320005E+0
3,015625E+2	1,732276E-1	3,015625E+2	-2,337961E+0	3,015625E+2	1,722734E-1	3,015625E+2	-2,296500E+0	3,015625E+2	1,841278E-1	3,015625E+2	-2,292313E+0	3,015625E+2	1,868073E-1	3,015625E+2	-2,290160E+0
3,031250E+2	9,651266E-2	3,031250E+2	-2,259928E+0	3,031250E+2	1,509577E-1	3,031250E+2	-2,242943E+0	3,031250E+2	1,587165E-1	3,031250E+2	-2,242525E+0	3,031250E+2	1,552883E-1	3,031250E+2	-2,244027E+0
3,046875E+2	1,859137E-1	3,046875E+2	-2,244806E+0	3,046875E+2	1,625490E-1	3,046875E+2	-2,244737E+0	3,046875E+2	1,790161E-1	3,046875E+2	-2,224873E+0	3,046875E+2	1,858214E-1	3,046875E+2	-2,220042E+0
3,062500E+2	2,169300E-1	3,062500E+2	-2,216154E+0	3,062500E+2	1,818249E-1	3,062500E+2	-2,208947E+0	3,062500E+2	1,964047E-1	3,062500E+2	-2,202100E+0	3,062500E+2	2,092918E-1	3,062500E+2	-2,212013E+0
3,078125E+2	1,773861E-1	3,078125E+2	-2,200710E+0	3,078125E+2	1,720283E-1	3,078125E+2	-2,142965E+0	3,078125E+2	1,898559E-1	3,078125E+2	-2,165372E+0	3,078125E+2	2,006433E-1	3,078125E+2	-2,157944E+0
3,093750E+2	1,431537E-1	3,093750E+2	-2,134555E+0	3,093750E+2	1,821147E-1	3,093750E+2	-2,164662E+0	3,093750E+2	1,901589E-1	3,093750E+2	-2,156549E+0	3,093750E+2	2,068157E-1	3,093750E+2	-2,156764E+0
3,109375E+2	1,642775E-1	3,109375E+2	-2,173259E+0	3,109375E+2	1,698461E-1	3,109375E+2	-2,166675E+0	3,109375E+2	1,805896E-1	3,109375E+2	-2,155031E+0	3,109375E+2	1,866119E-1	3,109375E+2	-2,148254E+0
3,125000E+2	1,976690E-1	3,125000E+2	-2,169542E+0	3,125000E+2	1,935446E-1	3,125000E+2	-2,104743E+0	3,125000E+2	1,883150E-1	3,125000E+2	-2,103021E+0	3,125000E+2	1,968708E-1	3,125000E+2	-2,104556E+0
3,140625E+2	2,242851E-1	3,140625E+2	-2,161635E+0	3,140625E+2	2,342609E-1	3,140625E+2	-2,043748E+0	3,140625E+2	2,379608E-1	3,140625E+2	-2,040947E+0	3,140625E+2	2,282004E-1	3,140625E+2	-2,059103E+0
3,156250E+2	2,174544E-1	3,156250E+2	-2,071556E+0	3,156250E+2	1,719266E-1	3,156250E+2	-2,048940E+0	3,156250E+2	1,785030E-1	3,156250E+2	-2,046187E+0	3,156250E+2	1,870446E-1	3,156250E+2	-2,046979E+0
3,171875E+2	2,447620E-1	3,171875E+2	-2,023340E+0	3,171875E+2	1,871605E-1	3,171875E+2	-2,045853E+0	3,171875E+2	1,804548E-1	3,171875E+2	-2,036991E+0	3,171875E+2	1,937174E-1	3,171875E+2	-2,029988E+0
3,187500E+2	2,227530E-1	3,187500E+2	-2,022537E+0	3,187500E+2	2,093556E-1	3,187500E+2	-1,970967E+0	3,187500E+2	1,896333E-1	3,187500E+2	-1,979474E+0	3,187500E+2	2,004410E-1	3,187500E+2	-1,970507E+0
3,203125E+2	2,083454E-1	3,203125E+2	-1,964594E+0	3,203125E+2	2,060068E-1	3,203125E+2	-1,953156E+0	3,203125E+2	1,925029E-1	3,203125E+2	-1,957995E+0	3,203125E+2	1,980807E-1	3,203125E+2	-1,949342E+0
3,218750E+2	1,886178E-1	3,218750E+2	-2,044077E+0	3,218750E+2	2,015004E-1	3,218750E+2	-1,947572E+0	3,218750E+2	1,701065E-1	3,218750E+2	-1,952128E+0	3,218750E+2	1,943125E-1	3,218750E+2	-1,942876E+0
3,234375E+2	1,487779E-1	3,234375E+2	-1,952323E+0	3,234375E+2	1,751929E-1	3,234375E+2	-1,876518E+0	3,234375E+2	1,720709E-1	3,234375E+2	-1,891965E+0	3,234375E+2	1,816435E-1	3,234375E+2	-1,886588E+0
3,250000E+2	2,933394E-1	3,250000E+2	-1,921708E+0	3,250000E+2	2,053421E-1	3,250000E+2	-1,854002E+0	3,250000E+2	2,103737E-1	3,250000E+2	-1,844683E+0	3,250000E+2	2,137101E-1	3,250000E+2	-1,856203E+0
3,265625E+2	2,789896E-1	3,265625E+2	-1,855364E+0	3,265625E+2	2,415063E-1	3,265625E+2	-1,853874E+0	3,265625E+2	2,120206E-1	3,265625E+2	-1,841638E+0	3,265625E+2	2,046357E-1	3,265625E+2	-1,849710E+0
3,281250E+2	2,157189E-1	3,281250E+2	-1,818455E+0	3,281250E+2	2,266527E-1	3,281250E+2	-1,821459E+0	3,281250E+2	1,931828E-1	3,281250E+2	-1,817364E+0	3,281250E+2	1,989902E-1	3,281250E+2	-1,812205E+0
3,296875E+2	1,977302E-1	3,296875E+2	-1,836272E+0	3,296875E+2	1,723446E-1	3,296875E+2	-1,821022E+0	3,296875E+2	1,828634E-1	3,296875E+2	-1,799721E+0	3,296875E+2	1,966046E-1	3,296875E+2	-1,808035E+0
3,312500E+2	1,662729E-1	3,312500E+2	-1,823464E+0	3,312500E+2	1,696744E-1	3,312500E+2	-1,779981E+0	3,312500E+2	1,748448E-1	3,312500E+2	-1,772120E+0	3,312500E+2	1,913429E-1	3,312500E+2	-1,766833E+0
3,328125E+2	1,949162E-1	3,328125E+2	-1,802493E+0	3,328125E+2	1,983941E-1	3,328125E+2	-1,770458E+0	3,328125E+2	1,879821E-1	3,328125E+2	-1,756572E+0	3,328125E+2	1,951551E-1	3,328125E+2	-1,740725E+0
3,343750E+2	1,416409E-1	3,343750E+2	-1,729419E+0	3,343750E+2	1,504374E-1	3,343750E+2	-1,701002E+0	3,343750E+2	1,601116E-1	3,343750E+2	-1,716118E+0	3,343750E+2	1,636640E-1	3,343750E+2	-1,715648E+0
3,359375E+2	2,395084E-1	3,359375E+2	-1,731353E+0	3,359375E+2	1,944345E-1	3,359375E+2	-1,665193E+0	3,359375E+2	1,818948E-1	3,359375E+2	-1,673850E+0	3,359375E+2	1,806886E-1	3,359375E+2	-1,685200E+0
3,375000E+2	2,498042E-1	3,375000E+2	-1,726376E+0	3,375000E+2	2,168871E-1	3,375000E+2	-1,673527E+0	3,375000E+2	2,093554E-1	3,375000E+2	-1,665174E+0	3,375000E+2	2,079629E-1	3,375000E+2	-1,672486E+0
3,390625E+2	2,128008E-1	3,390625E+2	-1,622897E+0	3,390625E+2	2,025247E-1	3,390625E+2	-1,638525E+0	3,390625E+2	1,962322E-1	3,390625E+2	-1,641604E+0	3,390625E+2	1,956496E-1	3,390625E+2	-1,647456E+0
3,406250E+2	1,322989E-1	3,406250E+2	-1,556375E+0	3,406250E+2	1,896211E-1	3,406250E+2	-1,587728E+0	3,406250E+2	1,916018E-1	3,406250E+2	-1,600821E+0	3,406250E+2	1,947525E-1	3,406250E+2	-1,598120E+0
