Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	6,532775E-1	3,000000E+2	-6,880333E-1	3,000000E+2	6,535255E-1	3,000000E+2	-6,882443E-1	3,000000E+2	6,537848E-1	3,000000E+2	-6,848363E-1	3,000000E+2	6,506240E-1	3,000000E+2	-6,834744E-1
3,015625E+2	6,570776E-1	3,015625E+2	-6,833621E-1	3,015625E+2	6,473377E-1	3,015625E+2	-6,908703E-1	3,015625E+2	6,442383E-1	3,015625E+2	-6,887072E-1	3,015625E+2	6,432448E-1	3,015625E+2	-6,884238E-1
3,031250E+2	6,524313E-1	3,031250E+2	-7,163441E-1	3,031250E+2	6,378072E-1	3,031250E+2	-7,058277E-1	3,031250E+2	6,362838E-1	3,031250E+2	-7,039191E-1	3,031250E+2	6,372920E-1	3,031250E+2	-7,045225E-1
3,046875E+2	6,320206E-1	3,046875E+2	-6,965450E-1	3,046875E+2	6,361556E-1	3,046875E+2	-7,025380E-1	3,046875E+2	6,280788E-1	3,046875E+2	-7,018373E-1	3,046875E+2	6,256145E-1	3,046875E+2	-7,009081E-1
3,062500E+2	6,192487E-1	3,062500E+2	-6,933870E-1	3,062500E+2	6,233922E-1	3,062500E+2	-7,039170E-1	3,062500E+2	6,190176E-1	3,062500E+2	-7,012355E-1	3,062500E+2	6,194436E-1	3,062500E+2	-6,961063E-1
3,078125E+2	6,219884E-1	3,078125E+2	-7,065602E-1	3,078125E+2	6,070942E-1	3,078125E+2	-7,183986E-1	3,078125E+2	6,101767E-1	3,078125E+2	-7,094239E-1	3,078125E+2	6,062345E-1	3,078125E+2	-7,077238E-1
3,093750E+2	6,100531E-1	3,093750E+2	-7,281287E-1	3,093750E+2	6,113482E-1	3,093750E+2	-7,116904E-1	3,093750E+2	6,076731E-1	3,093750E+2	-7,108899E-1	3,093750E+2	6,048433E-1	3,093750E+2	-7,062054E-1
3,109375E+2	6,169255E-1	3,109375E+2	-7,150529E-1	3,109375E+2	6,141044E-1	3,109375E+2	-7,147181E-1	3,109375E+2	6,089436E-1	3,109375E+2	-7,138286E-1	3,109375E+2	6,059760E-1	3,109375E+2	-7,133450E-1
3,125000E+2	6,099638E-1	3,125000E+2	-7,065390E-1	3,125000E+2	5,922636E-1	3,125000E+2	-7,190182E-1	3,125000E+2	5,926795E-1	3,125000E+2	-7,208558E-1	3,125000E+2	5,916270E-1	3,125000E+2	-7,180757E-1
3,140625E+2	6,032481E-1	3,140625E+2	-7,005172E-1	3,140625E+2	5,669491E-1	3,140625E+2	-7,170661E-1	3,140625E+2	5,654763E-1	3,140625E+2	-7,163716E-1	3,140625E+2	5,726796E-1	3,140625E+2	-7,164114E-1
3,156250E+2	5,782641E-1	3,156250E+2	-7,176035E-1	3,156250E+2	5,793190E-1	3,156250E+2	-7,354986E-1	3,156250E+2	5,772755E-1	3,156250E+2	-7,339593E-1	3,156250E+2	5,759946E-1	3,156250E+2	-7,311687E-1
3,171875E+2	5,588560E-1	3,171875E+2	-7,170722E-1	3,171875E+2	5,756249E-1	3,171875E+2	-7,313324E-1	3,171875E+2	5,740588E-1	3,171875E+2	-7,350035E-1	3,171875E+2	5,695068E-1	3,171875E+2	-7,320795E-1
3,187500E+2	5,621907E-1	3,187500E+2	-7,241735E-1	3,187500E+2	5,476720E-1	3,187500E+2	-7,371888E-1	3,187500E+2	5,539051E-1	3,187500E+2	-7,422733E-1	3,187500E+2	5,490419E-1	3,187500E+2	-7,402415E-1
3,203125E+2	5,457117E-1	3,203125E+2	-7,386069E-1	3,203125E+2	5,422490E-1	3,203125E+2	-7,413383E-1	3,203125E+2	5,462150E-1	3,203125E+2	-7,450787E-1	3,203125E+2	5,423094E-1	3,203125E+2	-7,446872E-1
3,218750E+2	5,748152E-1	3,218750E+2	-7,311943E-1	3,218750E+2	5,411177E-1	3,218750E+2	-7,438251E-1	3,218750E+2	5,482173E-1	3,218750E+2	-7,537242E-1	3,218750E+2	5,407506E-1	3,218750E+2	-7,470948E-1
3,234375E+2	5,522431E-1	3,234375E+2	-7,609532E-1	3,234375E+2	5,205642E-1	3,234375E+2	-7,655510E-1	3,234375E+2	5,267498E-1	3,234375E+2	-7,639238E-1	3,234375E+2	5,230977E-1	3,234375E+2	-7,614124E-1
