Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	7,564438E+1	3,000000E+2	7,596273E+1	3,000000E+2	8,093788E+1	3,000000E+2	9,014732E+1
3,015625E+2	6,903106E+1	3,015625E+2	7,193801E+1	3,015625E+2	7,981653E+1	3,015625E+2	8,919615E+1
3,031250E+2	5,899044E+1	3,031250E+2	7,066743E+1	3,031250E+2	7,977807E+1	3,031250E+2	8,919444E+1
3,046875E+2	5,902876E+1	3,046875E+2	6,947682E+1	3,046875E+2	7,927844E+1	3,046875E+2	8,965241E+1
3,062500E+2	5,992605E+1	3,062500E+2	6,924877E+1	3,062500E+2	7,930550E+1	3,062500E+2	8,881801E+1
3,078125E+2	5,960948E+1	3,078125E+2	7,002907E+1	3,078125E+2	7,942259E+1	3,078125E+2	8,823769E+1
3,093750E+2	5,974262E+1	3,093750E+2	7,053721E+1	3,093750E+2	7,940971E+1	3,093750E+2	8,891874E+1
3,109375E+2	5,924803E+1	3,109375E+2	6,875065E+1	3,109375E+2	7,941159E+1	3,109375E+2	8,930965E+1
3,125000E+2	5,840108E+1	3,125000E+2	6,846268E+1	3,125000E+2	7,870801E+1	3,125000E+2	9,005694E+1
3,140625E+2	5,783139E+1	3,140625E+2	6,877683E+1	3,140625E+2	7,853437E+1	3,140625E+2	8,843197E+1
3,156250E+2	5,795540E+1	3,156250E+2	6,856454E+1	3,156250E+2	7,873232E+1	3,156250E+2	8,762566E+1
3,171875E+2	5,982874E+1	3,171875E+2	6,885543E+1	3,171875E+2	7,857699E+1	3,171875E+2	8,799899E+1
3,187500E+2	5,948492E+1	3,187500E+2	6,926718E+1	3,187500E+2	7,814803E+1	3,187500E+2	8,875738E+1
3,203125E+2	5,959664E+1	3,203125E+2	6,850152E+1	3,203125E+2	7,804198E+1	3,203125E+2	8,824242E+1
3,218750E+2	5,868734E+1	3,218750E+2	6,878090E+1	3,218750E+2	7,845081E+1	3,218750E+2	8,927714E+1
3,234375E+2	5,896114E+1	3,234375E+2	6,891300E+1	3,234375E+2	7,856218E+1	3,234375E+2	8,975346E+1
3,250000E+2	5,858682E+1	3,250000E+2	6,801819E+1	3,250000E+2	7,845521E+1	3,250000E+2	8,847653E+1
3,265625E+2	5,826434E+1	3,265625E+2	6,721151E+1	3,265625E+2	7,821820E+1	3,265625E+2	8,846571E+1
