Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	
6,875000E+1	1,585564E-1
7,031250E+1	1,674519E-1
7,187500E+1	1,684894E-1
7,343750E+1	1,690903E-1
7,500000E+1	1,607478E-1
7,656250E+1	1,535465E-1
7,812500E+1	1,565182E-1
7,968750E+1	1,594726E-1
8,125000E+1	1,742563E-1
8,281250E+1	1,872912E-1
8,437500E+1	1,939521E-1
8,593750E+1	1,980977E-1
8,750000E+1	1,655114E-1
8,906250E+1	1,344444E-1
9,062500E+1	1,408093E-1
9,218750E+1	1,462548E-1
9,375000E+1	1,482830E-1
9,531250E+1	1,498876E-1
9,687500E+1	1,519892E-1
9,843750E+1	1,536033E-1
1,000000E+2	1,527828E-1
1,015625E+2	1,518236E-1
1,031250E+2	1,498895E-1
1,046875E+2	1,482346E-1
1,062500E+2	1,541009E-1
1,078125E+2	1,592442E-1
1,093750E+2	1,561648E-1
1,109375E+2	1,533234E-1
1,125000E+2	1,542968E-1
1,140625E+2	1,552044E-1
1,156250E+2	1,569705E-1
1,171875E+2	1,585385E-1
1,187500E+2	1,579133E-1
1,203125E+2	1,573052E-1
1,218750E+2	1,598949E-1
1,234375E+2	1,622282E-1
1,250000E+2	1,621515E-1
1,265625E+2	1,622414E-1
1,281250E+2	1,669985E-1
1,296875E+2	1,713538E-1
1,312500E+2	1,753503E-1
1,328125E+2	1,793078E-1
1,343750E+2	1,878294E-1
1,359375E+2	1,952651E-1
1,375000E+2	1,996508E-1
1,390625E+2	2,039686E-1
1,406250E+2	2,112585E-1
1,421875E+2	2,177936E-1
1,437500E+2	2,186834E-1
1,453125E+2	2,191599E-1
1,468750E+2	2,118640E-1
1,484375E+2	2,050172E-1
1,500000E+2	2,012765E-1
1,515625E+2	1,977111E-1
1,531250E+2	1,945228E-1
1,546875E+2	1,914683E-1
1,562500E+2	1,884135E-1
1,578125E+2	1,856291E-1
1,593750E+2	1,866786E-1
1,609375E+2	1,875335E-1
1,625000E+2	1,869617E-1
1,640625E+2	1,863792E-1
1,656250E+2	1,869397E-1
1,671875E+2	1,872941E-1
1,687500E+2	1,866765E-1
1,703125E+2	1,861165E-1
1,718750E+2	1,880547E-1
1,734375E+2	1,897221E-1
1,750000E+2	1,913324E-1
1,765625E+2	1,926645E-1
1,781250E+2	1,924533E-1
1,796875E+2	1,923084E-1
1,812500E+2	1,938517E-1
1,828125E+2	1,945677E-1
1,843750E+2	1,959730E-1
1,859375E+2	1,970652E-1
1,875000E+2	1,970458E-1
1,890625E+2	1,967221E-1
1,906250E+2	1,981145E-1
1,921875E+2	1,993311E-1
1,937500E+2	1,996694E-1
1,953125E+2	2,000182E-1
1,968750E+2	2,017921E-1
1,984375E+2	2,031570E-1
2,000000E+2	2,048375E-1
2,015625E+2	2,051150E-1
2,031250E+2	2,064379E-1
2,046875E+2	2,074061E-1
2,062500E+2	2,093505E-1
2,078125E+2	2,111313E-1
2,093750E+2	2,131119E-1
2,109375E+2	2,147049E-1
2,125000E+2	2,173386E-1
2,140625E+2	2,191547E-1
2,156250E+2	2,241436E-1
2,171875E+2	2,265747E-1
2,187500E+2	2,280999E-1
2,203125E+2	2,296962E-1
2,218750E+2	2,351774E-1
2,234375E+2	2,379221E-1
2,250000E+2	2,402373E-1
2,265625E+2	2,422557E-1
2,281250E+2	2,468151E-1
2,296875E+2	2,496597E-1
2,312500E+2	2,568978E-1
2,328125E+2	2,585106E-1
2,343750E+2	2,612463E-1
2,359375E+2	2,637217E-1
2,375000E+2	2,726904E-1
2,390625E+2	2,741897E-1
2,406250E+2	2,783292E-1
2,421875E+2	2,810674E-1
2,437500E+2	2,888011E-1
2,453125E+2	2,904083E-1
2,468750E+2	2,945688E-1
2,484375E+2	2,973240E-1
2,500000E+2	3,000910E-1
2,515625E+2	3,024997E-1
2,531250E+2	3,048825E-1
2,546875E+2	3,069897E-1
2,562500E+2	3,090234E-1
2,578125E+2	3,148255E-1
2,593750E+2	3,935760E-1
2,609375E+2	3,532590E-1
2,625000E+2	3,936970E-1
2,640625E+2	3,980666E-1
2,656250E+2	3,993874E-1
2,671875E+2	4,007053E-1
2,687500E+2	4,024731E-1
2,703125E+2	4,042247E-1
2,718750E+2	4,058917E-1
2,734375E+2	4,075509E-1
2,750000E+2	4,093894E-1
2,765625E+2	4,112136E-1
2,781250E+2	4,129678E-1
2,796875E+2	4,159660E-1
2,812500E+2	4,491306E-1
2,828125E+2	4,765493E-1
2,843750E+2	4,788515E-1
2,859375E+2	4,811512E-1
2,875000E+2	4,836714E-1
2,890625E+2	4,862070E-1
2,906250E+2	4,894328E-1
2,921875E+2	4,929518E-1
2,937500E+2	5,037006E-1
2,953125E+2	5,144315E-1
2,968750E+2	5,202832E-1
2,984375E+2	5,261157E-1
3,000000E+2	5,310447E-1
3,015625E+2	5,359275E-1
3,031250E+2	5,395725E-1
3,046875E+2	5,433424E-1
3,062500E+2	5,502632E-1
3,078125E+2	5,570368E-1
3,093750E+2	5,601007E-1
3,109375E+2	5,631977E-1
3,125000E+2	5,674819E-1
3,140625E+2	5,716433E-1
3,156250E+2	5,743487E-1
3,171875E+2	5,769864E-1
3,187500E+2	5,793124E-1
3,203125E+2	5,815506E-1
3,218750E+2	5,832777E-1
3,234375E+2	5,847912E-1
3,250000E+2	5,860696E-1
3,265625E+2	5,872698E-1
3,281250E+2	5,881942E-1
3,296875E+2	5,889113E-1
3,312500E+2	5,897632E-1
3,328125E+2	5,904843E-1
3,343750E+2	5,911291E-1
3,359375E+2	5,916020E-1
3,375000E+2	5,925348E-1
3,390625E+2	5,932587E-1
3,406250E+2	5,943454E-1
3,421875E+2	5,952736E-1
3,437500E+2	5,967453E-1
3,453125E+2	5,980697E-1
3,468750E+2	5,999659E-1
3,484375E+2	6,017572E-1
3,500000E+2	6,041671E-1
3,515625E+2	6,065246E-1
3,531250E+2	6,104969E-1
3,546875E+2	6,142783E-1
3,562500E+2	6,171672E-1
3,578125E+2	6,200967E-1
3,593750E+2	6,252107E-1
3,609375E+2	6,302478E-1
3,625000E+2	6,353805E-1
3,640625E+2	6,404749E-1
3,656250E+2	6,458859E-1
3,671875E+2	6,513112E-1
3,687500E+2	6,581073E-1
3,703125E+2	6,648577E-1
3,718750E+2	6,716774E-1
3,734375E+2	6,784508E-1
3,750000E+2	6,853295E-1
3,765625E+2	6,921808E-1
3,781250E+2	6,997444E-1
3,796875E+2	7,072432E-1
3,812500E+2	7,149546E-1
3,828125E+2	7,225725E-1
3,843750E+2	7,300414E-1
3,859375E+2	7,374151E-1
3,875000E+2	7,447914E-1
3,890625E+2	7,520812E-1
3,906250E+2	7,598333E-1
3,921875E+2	7,674432E-1
3,937500E+2	7,747638E-1
3,953125E+2	7,819410E-1
3,968750E+2	7,888585E-1
3,984375E+2	7,956447E-1
4,000000E+2	8,024819E-1
4,015625E+2	8,091477E-1
4,031250E+2	8,152041E-1
4,046875E+2	8,211171E-1
4,062500E+2	8,266996E-1
4,078125E+2	8,321526E-1
4,093750E+2	8,374426E-1
4,109375E+2	8,425892E-1
4,125000E+2	8,472291E-1
4,140625E+2	8,517500E-1
4,156250E+2	8,559149E-1
4,171875E+2	8,599706E-1
4,187500E+2	8,636423E-1
4,203125E+2	8,672234E-1
4,218750E+2	8,705203E-1
4,234375E+2	8,737366E-1
4,250000E+2	8,766893E-1
4,265625E+2	8,795685E-1
4,281250E+2	8,821487E-1
4,296875E+2	8,846772E-1
4,312500E+2	8,871550E-1
4,328125E+2	8,895732E-1
4,343750E+2	8,917460E-1
4,359375E+2	8,938826E-1
4,375000E+2	8,961200E-1
4,390625E+2	8,982963E-1
4,406250E+2	9,001635E-1
4,421875E+2	9,019899E-1
4,437500E+2	9,037369E-1
4,453125E+2	9,054320E-1
4,468750E+2	9,068682E-1
4,484375E+2	9,082501E-1
4,500000E+2	9,092526E-1
4,515625E+2	9,102058E-1
4,531250E+2	9,107227E-1
4,546875E+2	9,111853E-1
4,562500E+2	9,110215E-1
4,578125E+2	9,108074E-1
4,593750E+2	9,099327E-1
4,609375E+2	9,090017E-1
4,625000E+2	9,070176E-1
4,640625E+2	9,049851E-1
4,656250E+2	9,021625E-1
4,671875E+2	8,992588E-1
4,687500E+2	8,947739E-1
4,703125E+2	8,901953E-1
4,718750E+2	8,844709E-1
4,734375E+2	8,785778E-1
4,750000E+2	8,708537E-1
4,765625E+2	8,628726E-1
4,781250E+2	8,534827E-1
4,796875E+2	8,436851E-1
4,812500E+2	8,326830E-1
4,828125E+2	8,211468E-1
4,843750E+2	8,101880E-1
4,859375E+2	7,986564E-1
4,875000E+2	7,880934E-1
4,890625E+2	7,769351E-1
4,906250E+2	7,660608E-1
4,921875E+2	7,545618E-1
4,937500E+2	7,441697E-1
4,953125E+2	7,332008E-1
4,968750E+2	7,234940E-1
4,984375E+2	7,132452E-1
5,000000E+2	7,035645E-1
5,015625E+2	6,933543E-1
5,031250E+2	6,841751E-1
5,046875E+2	6,745325E-1
5,062500E+2	6,661813E-1
5,078125E+2	6,573827E-1
5,093750E+2	6,485188E-1
5,109375E+2	6,392426E-1
5,125000E+2	6,317285E-1
5,140625E+2	6,238772E-1
5,156250E+2	6,169703E-1
5,171875E+2	6,097315E-1
5,187500E+2	6,023689E-1
5,203125E+2	5,947021E-1
5,218750E+2	5,881242E-1
5,234375E+2	5,812687E-1
5,250000E+2	5,749004E-1
5,265625E+2	5,682830E-1
5,281250E+2	5,623997E-1
5,296875E+2	5,562911E-1
5,312500E+2	5,506525E-1
5,328125E+2	5,448085E-1
5,343750E+2	5,397938E-1
5,359375E+2	5,346436E-1
5,375000E+2	5,310484E-1
5,390625E+2	5,270782E-1
5,406250E+2	5,166116E-1
5,421875E+2	5,054901E-1
5,437500E+2	5,032770E-1
5,453125E+2	5,009970E-1
5,468750E+2	4,990200E-1
5,484375E+2	4,969134E-1
5,500000E+2	4,934846E-1
5,515625E+2	4,899004E-1
5,531250E+2	4,856248E-1
5,546875E+2	4,810853E-1
5,562500E+2	4,781246E-1
5,578125E+2	4,750559E-1
5,593750E+2	4,727529E-1
5,609375E+2	4,703548E-1
5,625000E+2	4,682331E-1
5,640625E+2	4,660407E-1
5,656250E+2	4,639777E-1
5,671875E+2	4,618481E-1
5,687500E+2	4,595301E-1
5,703125E+2	4,571593E-1
5,718750E+2	4,548787E-1
5,734375E+2	4,524828E-1
5,750000E+2	4,488671E-1
5,765625E+2	4,447683E-1
5,781250E+2	4,438968E-1
5,796875E+2	4,430445E-1
5,812500E+2	4,421510E-1
5,828125E+2	4,406599E-1
5,843750E+2	4,400924E-1
5,859375E+2	4,395251E-1
5,875000E+2	4,389936E-1
5,890625E+2	4,384465E-1
5,906250E+2	4,378768E-1
5,921875E+2	4,372852E-1
5,937500E+2	4,367818E-1
5,953125E+2	4,362843E-1
5,968750E+2	4,366792E-1
5,984375E+2	4,368872E-1
6,000000E+2	4,370097E-1
6,015625E+2	4,370631E-1
6,031250E+2	4,373153E-1
6,046875E+2	4,375350E-1
6,062500E+2	4,385127E-1
6,078125E+2	4,394058E-1
6,093750E+2	4,408762E-1
6,109375E+2	4,421338E-1
6,125000E+2	4,428724E-1
6,140625E+2	4,436005E-1
6,156250E+2	4,451119E-1
6,171875E+2	4,465530E-1
6,187500E+2	4,485067E-1
6,203125E+2	4,503576E-1
6,218750E+2	4,519902E-1
6,234375E+2	4,535958E-1
6,250000E+2	4,562304E-1
6,265625E+2	4,587564E-1
6,281250E+2	4,616154E-1
6,296875E+2	4,643691E-1
6,312500E+2	4,671711E-1
6,328125E+2	4,698595E-1
6,343750E+2	4,726514E-1
6,359375E+2	4,753432E-1
6,375000E+2	4,785299E-1
6,390625E+2	4,815956E-1
6,406250E+2	4,849266E-1
6,421875E+2	4,881262E-1
6,437500E+2	4,917165E-1
6,453125E+2	4,951648E-1
6,468750E+2	4,989182E-1
6,484375E+2	5,025115E-1
6,500000E+2	5,062779E-1
6,515625E+2	5,098930E-1
6,531250E+2	5,138227E-1
6,546875E+2	5,175805E-1
6,562500E+2	5,215743E-1
6,578125E+2	5,254094E-1
6,593750E+2	5,296250E-1
6,609375E+2	5,336534E-1
6,625000E+2	5,377906E-1
6,640625E+2	5,417587E-1
6,656250E+2	5,460823E-1
6,671875E+2	5,502146E-1
6,687500E+2	5,544382E-1
6,703125E+2	5,584747E-1
6,718750E+2	5,626057E-1
6,734375E+2	5,665650E-1
6,750000E+2	5,707607E-1
6,765625E+2	5,747613E-1
6,781250E+2	5,786345E-1
6,796875E+2	5,823495E-1
6,812500E+2	5,861676E-1
6,828125E+2	5,898270E-1
6,843750E+2	5,935648E-1
6,859375E+2	5,971383E-1
6,875000E+2	6,005693E-1
6,890625E+2	6,038430E-1
6,906250E+2	6,068502E-1
6,921875E+2	6,097290E-1
6,937500E+2	6,125238E-1
6,953125E+2	6,152055E-1
6,968750E+2	6,178732E-1
6,984375E+2	6,204133E-1
7,000000E+2	6,226890E-1
7,015625E+2	6,248513E-1
7,031250E+2	6,266798E-1
7,046875E+2	6,284106E-1
7,062500E+2	6,300115E-1
7,078125E+2	6,315138E-1
7,093750E+2	6,326530E-1
7,109375E+2	6,337059E-1
7,125000E+2	6,345575E-1
7,140625E+2	6,353235E-1
7,156250E+2	6,358101E-1
7,171875E+2	6,362242E-1
7,187500E+2	6,365668E-1
7,203125E+2	6,368222E-1
7,218750E+2	6,367874E-1
7,234375E+2	6,366835E-1
7,250000E+2	6,365689E-1
7,265625E+2	6,363655E-1
7,281250E+2	6,359984E-1
7,296875E+2	6,355619E-1
7,312500E+2	6,352708E-1
7,328125E+2	6,348771E-1
7,343750E+2	6,342091E-1
7,359375E+2	6,334599E-1
7,375000E+2	6,329707E-1
7,390625E+2	6,323900E-1
7,406250E+2	6,319486E-1
7,421875E+2	6,313996E-1
7,437500E+2	6,309527E-1
7,453125E+2	6,303929E-1
7,468750E+2	6,301153E-1
7,484375E+2	6,297219E-1
7,500000E+2	6,295841E-1
7,515625E+2	6,293083E-1
7,531250E+2	6,291621E-1
7,546875E+2	6,288848E-1
7,562500E+2	6,291237E-1
7,578125E+2	6,291986E-1
7,593750E+2	6,294955E-1
7,609375E+2	6,296253E-1
7,625000E+2	6,300473E-1
7,640625E+2	6,302873E-1
7,656250E+2	6,309644E-1
7,671875E+2	6,314432E-1
7,687500E+2	6,321758E-1
7,703125E+2	6,327085E-1
7,718750E+2	6,335530E-1
7,734375E+2	6,341764E-1
7,750000E+2	6,351810E-1
7,765625E+2	6,359578E-1
7,781250E+2	6,369950E-1
7,796875E+2	6,378063E-1
7,812500E+2	6,391275E-1
7,828125E+2	6,401925E-1
7,843750E+2	6,413092E-1
7,859375E+2	6,421672E-1
7,875000E+2	6,431738E-1
7,890625E+2	6,439451E-1
7,906250E+2	6,449222E-1
7,921875E+2	6,456435E-1
7,937500E+2	6,464653E-1
7,953125E+2	6,470431E-1
7,968750E+2	6,478013E-1
7,984375E+2	6,483119E-1
8,000000E+2	6,488724E-1
8,015625E+2	6,491793E-1
8,031250E+2	6,495126E-1
8,046875E+2	6,496205E-1
8,062500E+2	6,498032E-1
8,078125E+2	6,497374E-1
8,093750E+2	6,496129E-1
8,109375E+2	6,492438E-1
8,125000E+2	6,489459E-1
8,140625E+2	6,484188E-1
8,156250E+2	6,479634E-1
8,171875E+2	6,472494E-1
8,187500E+2	6,464887E-1
8,203125E+2	6,454967E-1
8,218750E+2	6,446273E-1
8,234375E+2	6,434761E-1
8,250000E+2	6,424285E-1
8,265625E+2	6,411039E-1
8,281250E+2	6,398100E-1
8,296875E+2	6,382404E-1
8,312500E+2	6,371120E-1
8,328125E+2	6,356320E-1
8,343750E+2	6,342390E-1
8,359375E+2	6,324986E-1
8,375000E+2	6,310301E-1
8,390625E+2	6,291308E-1
8,406250E+2	6,275213E-1
8,421875E+2	6,253943E-1
8,437500E+2	6,239938E-1
8,453125E+2	6,220462E-1
8,468750E+2	6,206410E-1
8,484375E+2	6,185986E-1
8,500000E+2	6,174550E-1
8,515625E+2	6,156496E-1
8,531250E+2	6,145066E-1
8,546875E+2	6,126764E-1
8,562500E+2	6,118828E-1
8,578125E+2	6,102802E-1
8,593750E+2	6,094900E-1
8,609375E+2	6,078355E-1
8,625000E+2	6,073690E-1
8,640625E+2	6,059673E-1
8,656250E+2	6,056573E-1
8,671875E+2	6,043545E-1
8,687500E+2	6,043504E-1
8,703125E+2	6,032997E-1
8,718750E+2	6,032667E-1
8,734375E+2	6,021533E-1
8,750000E+2	6,025013E-1
8,765625E+2	6,018867E-1
8,781250E+2	6,024394E-1
8,796875E+2	6,019579E-1
8,812500E+2	6,024978E-1
8,828125E+2	6,023277E-1
8,843750E+2	6,033006E-1
8,859375E+2	6,032937E-1
8,875000E+2	6,042783E-1
8,890625E+2	6,044218E-1
8,906250E+2	6,053624E-1
8,921875E+2	6,056250E-1
8,937500E+2	6,069862E-1
8,953125E+2	6,077584E-1
8,968750E+2	6,092144E-1
8,984375E+2	6,101357E-1
9,000000E+2	6,114616E-1
9,015625E+2	6,123050E-1
9,031250E+2	6,138618E-1
9,046875E+2	6,149994E-1
9,062500E+2	6,164250E-1
9,078125E+2	6,174822E-1
9,093750E+2	6,189615E-1
9,109375E+2	6,201173E-1
9,125000E+2	6,217213E-1
9,140625E+2	6,230208E-1
9,156250E+2	6,242645E-1
9,171875E+2	6,252527E-1
9,187500E+2	6,264470E-1
9,203125E+2	6,274087E-1
9,218750E+2	6,285473E-1
9,234375E+2	6,294564E-1
9,250000E+2	6,303354E-1
9,265625E+2	6,310111E-1
9,281250E+2	6,317755E-1
9,296875E+2	6,323360E-1
9,312500E+2	6,326952E-1
9,328125E+2	6,328568E-1
9,343750E+2	6,331549E-1
9,359375E+2	6,332721E-1
9,375000E+2	6,331206E-1
9,390625E+2	6,327766E-1
9,406250E+2	6,324410E-1
9,421875E+2	6,319072E-1
9,437500E+2	6,313094E-1
9,453125E+2	6,305290E-1
9,468750E+2	6,297998E-1
9,484375E+2	6,287064E-1
9,500000E+2	6,221556E-1
9,515625E+2	6,135464E-1
9,531250E+2	6,115564E-1
9,546875E+2	6,093358E-1
9,562500E+2	6,069789E-1
9,578125E+2	6,043633E-1
9,593750E+2	6,020415E-1
9,609375E+2	5,994505E-1
9,625000E+2	5,961252E-1
9,640625E+2	5,924384E-1
9,656250E+2	5,899845E-1
9,671875E+2	5,873009E-1
9,687500E+2	5,843028E-1
9,703125E+2	5,809971E-1
9,718750E+2	5,778263E-1
9,734375E+2	5,743548E-1
9,750000E+2	5,718149E-1
9,765625E+2	5,689923E-1
9,781250E+2	5,645380E-1
9,796875E+2	5,596280E-1
9,812500E+2	5,584113E-1
9,828125E+2	5,569904E-1
9,843750E+2	5,523164E-1
9,859375E+2	5,471436E-1
9,875000E+2	5,457795E-1
9,890625E+2	5,442617E-1
9,906250E+2	5,411679E-1
9,921875E+2	5,377883E-1
9,937500E+2	5,353161E-1
9,953125E+2	5,326138E-1
9,968750E+2	5,301717E-1
9,984375E+2	5,275022E-1
1,000000E+3	5,251165E-1
1,001562E+3	5,225100E-1
1,003125E+3	5,206029E-1
1,004687E+3	5,185102E-1
1,006250E+3	5,161128E-1
1,007812E+3	5,134825E-1
1,009375E+3	5,120630E-1
1,010937E+3	5,105003E-1
1,012500E+3	5,086691E-1
1,014062E+3	5,066590E-1
1,015625E+3	5,053622E-1
1,017187E+3	5,039288E-1
1,018750E+3	5,026557E-1
1,020312E+3	5,012318E-1
1,021875E+3	5,001133E-1
1,023437E+3	4,988696E-1
1,025000E+3	4,979602E-1
1,026562E+3	4,969279E-1
1,028125E+3	4,961720E-1
1,029687E+3	4,953003E-1
1,031250E+3	4,947355E-1
1,032812E+3	4,940724E-1
1,034375E+3	4,936272E-1
1,035937E+3	4,930862E-1
1,037500E+3	4,928422E-1
1,039062E+3	4,925053E-1
1,040625E+3	4,924032E-1
1,042187E+3	4,922205E-1
1,043750E+3	4,923166E-1
1,045312E+3	4,923335E-1
1,046875E+3	4,925882E-1
1,048437E+3	4,927671E-1
1,050000E+3	4,930989E-1
1,051562E+3	4,933644E-1
1,053125E+3	4,938681E-1
1,054687E+3	4,943066E-1
1,056250E+3	4,950333E-1
1,057812E+3	4,956856E-1
1,059375E+3	4,964029E-1
1,060937E+3	4,970590E-1
1,062500E+3	4,977845E-1
1,064062E+3	4,984730E-1
1,065625E+3	4,993470E-1
1,067187E+3	5,001776E-1
1,068750E+3	5,012808E-1
1,070312E+3	5,023209E-1
1,071875E+3	5,033490E-1
1,073437E+3	5,043350E-1
1,075000E+3	5,056457E-1
1,076562E+3	5,068922E-1
1,078125E+3	5,082363E-1
1,079687E+3	5,095150E-1
1,081250E+3	5,106413E-1
1,082812E+3	5,117293E-1
1,084375E+3	5,129738E-1
1,085937E+3	5,141709E-1
1,087500E+3	5,153103E-1
1,089062E+3	5,164051E-1
1,090625E+3	5,175421E-1
1,092187E+3	5,186417E-1
1,093750E+3	5,197989E-1
1,095312E+3	5,210119E-1
1,096875E+3	5,244161E-1
1,098437E+3	5,275372E-1
1,100000E+3	5,295005E-1
1,101562E+3	5,312774E-1
1,103125E+3	5,312594E-1
1,104687E+3	5,312429E-1
1,106250E+3	5,312414E-1
1,107812E+3	5,312404E-1
1,109375E+3	5,312428E-1
1,110937E+3	5,312470E-1
1,112500E+3	5,313033E-1
1,114062E+3	5,315424E-1
1,115625E+3	5,359909E-1
1,117187E+3	5,398287E-1
1,118750E+3	5,402381E-1
1,120312E+3	5,406594E-1
1,121875E+3	5,417287E-1
1,123437E+3	5,427531E-1
1,125000E+3	5,439570E-1
1,126562E+3	5,450842E-1
1,128125E+3	5,459667E-1
1,129687E+3	5,468048E-1
1,131250E+3	5,476900E-1
1,132812E+3	5,485328E-1
1,134375E+3	5,495347E-1
1,135937E+3	5,504870E-1
1,137500E+3	5,515009E-1
1,139062E+3	5,524577E-1
1,140625E+3	5,534585E-1
1,142187E+3	5,544067E-1
1,143750E+3	5,554197E-1
1,145312E+3	5,563821E-1
1,146875E+3	5,575158E-1
1,148437E+3	5,585915E-1
1,150000E+3	5,597295E-1
1,151562E+3	5,608113E-1
1,153125E+3	5,620079E-1
1,154687E+3	5,631492E-1
1,156250E+3	5,644869E-1
1,157812E+3	5,657628E-1
1,159375E+3	5,671226E-1
1,160937E+3	5,684222E-1
1,162500E+3	5,698903E-1
1,164062E+3	5,712977E-1
1,165625E+3	5,729045E-1
1,167187E+3	5,744461E-1
1,168750E+3	5,761600E-1
1,170312E+3	5,778006E-1
1,171875E+3	5,795336E-1
1,173437E+3	5,811998E-1
1,175000E+3	5,830495E-1
1,176562E+3	5,848267E-1
1,178125E+3	5,868549E-1
1,179687E+3	5,888074E-1
1,181250E+3	5,909331E-1
1,182812E+3	5,929727E-1
1,184375E+3	5,950685E-1
1,185937E+3	5,970892E-1
1,187500E+3	5,993586E-1
1,189062E+3	6,015461E-1
1,190625E+3	6,039716E-1
1,192187E+3	6,063055E-1
1,193750E+3	6,087370E-1
1,195312E+3	6,110765E-1
1,196875E+3	6,135905E-1
1,198437E+3	6,160122E-1
1,200000E+3	6,186437E-1
1,201562E+3	6,211711E-1
1,203125E+3	6,237103E-1
1,204687E+3	6,261634E-1
1,206250E+3	6,289268E-1
1,207812E+3	6,315818E-1
1,209375E+3	6,343358E-1
1,210937E+3	6,369870E-1
1,212500E+3	6,397840E-1
1,214062E+3	6,424687E-1
1,215625E+3	6,451592E-1
1,217187E+3	6,477658E-1
1,218750E+3	6,508301E-1
1,220312E+3	6,537732E-1
1,221875E+3	6,568708E-1
1,223437E+3	6,598530E-1
1,225000E+3	6,632464E-1
1,226562E+3	6,665323E-1
1,228125E+3	6,708030E-1
1,229687E+3	6,747755E-1
1,231250E+3	6,775119E-1
1,232812E+3	6,801343E-1
1,234375E+3	6,826021E-1
1,235937E+3	6,849845E-1
1,237500E+3	6,875486E-1
1,239062E+3	6,900127E-1
1,240625E+3	6,924448E-1
1,242187E+3	6,947877E-1
1,243750E+3	6,972022E-1
1,245312E+3	6,995222E-1
1,246875E+3	7,018245E-1
1,248437E+3	7,040320E-1
1,250000E+3	7,061234E-1
1,251562E+3	7,081337E-1
1,253125E+3	7,101435E-1
1,254687E+3	7,120665E-1
1,256250E+3	7,138199E-1
1,257812E+3	7,154988E-1
1,259375E+3	7,170887E-1
1,260937E+3	7,186035E-1
1,262500E+3	7,199072E-1
1,264062E+3	7,211436E-1
1,265625E+3	7,221900E-1
1,267187E+3	7,231754E-1
