Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
6,875000E+1	4,785372E+0	6,875000E+1	-9,340933E+0
7,031250E+1	4,946772E+0	7,031250E+1	-9,099545E+0
7,187500E+1	5,662805E+0	7,187500E+1	-9,489156E+0
7,343750E+1	6,314903E+0	7,343750E+1	-9,791708E+0
7,500000E+1	3,624924E+0	7,500000E+1	-8,295277E+0
7,656250E+1	2,385036E+0	7,656250E+1	-7,118532E+0
7,812500E+1	2,543448E+0	7,812500E+1	-7,241868E+0
7,968750E+1	2,735207E+0	7,968750E+1	-7,392872E+0
8,125000E+1	3,170106E+0	8,125000E+1	-7,441709E+0
8,281250E+1	3,627351E+0	8,281250E+1	-7,487149E+0
8,437500E+1	4,025855E+0	8,437500E+1	-7,600566E+0
8,593750E+1	4,397278E+0	8,593750E+1	-7,723955E+0
8,750000E+1	3,340654E+0	8,750000E+1	-7,867278E+0
8,906250E+1	2,446552E+0	8,906250E+1	-7,804570E+0
9,062500E+1	2,325758E+0	9,062500E+1	-7,416714E+0
9,218750E+1	2,234376E+0	9,218750E+1	-7,116737E+0
9,375000E+1	2,344412E+0	9,375000E+1	-7,215016E+0
9,531250E+1	2,445307E+0	9,531250E+1	-7,306637E+0
9,687500E+1	2,257630E+0	9,687500E+1	-6,985941E+0
9,843750E+1	2,108576E+0	9,843750E+1	-6,726545E+0
1,000000E+2	2,060621E+0	1,000000E+2	-6,676946E+0
1,015625E+2	2,015642E+0	1,015625E+2	-6,634059E+0
1,031250E+2	1,859458E+0	1,031250E+2	-6,437826E+0
1,046875E+2	1,736187E+0	1,046875E+2	-6,273992E+0
1,062500E+2	1,782276E+0	1,062500E+2	-6,206571E+0
1,078125E+2	1,821228E+0	1,078125E+2	-6,147152E+0
1,093750E+2	1,681298E+0	1,093750E+2	-5,989604E+0
1,109375E+2	1,568080E+0	1,109375E+2	-5,857819E+0
1,125000E+2	1,559949E+0	1,125000E+2	-5,821243E+0
1,140625E+2	1,557822E+0	1,140625E+2	-5,797108E+0
1,156250E+2	1,594046E+0	1,156250E+2	-5,821616E+0
1,171875E+2	1,622032E+0	1,171875E+2	-5,835200E+0
1,187500E+2	1,404041E+0	1,187500E+2	-5,457605E+0
1,203125E+2	1,245773E+0	1,203125E+2	-5,160849E+0
1,218750E+2	1,264515E+0	1,218750E+2	-5,148362E+0
1,234375E+2	1,282991E+0	1,234375E+2	-5,140252E+0
1,250000E+2	1,247598E+0	1,250000E+2	-5,071924E+0
1,265625E+2	1,218406E+0	1,265625E+2	-5,011787E+0
1,281250E+2	1,196220E+0	1,281250E+2	-4,881480E+0
1,296875E+2	1,179546E+0	1,296875E+2	-4,773294E+0
1,312500E+2	1,197034E+0	1,312500E+2	-4,741219E+0
1,328125E+2	1,212932E+0	1,328125E+2	-4,707551E+0
1,343750E+2	1,162942E+0	1,343750E+2	-4,481919E+0
1,359375E+2	1,124264E+0	1,359375E+2	-4,303257E+0
1,375000E+2	1,175028E+0	1,375000E+2	-4,337155E+0
1,390625E+2	1,226626E+0	1,390625E+2	-4,370049E+0
1,406250E+2	1,250573E+0	1,406250E+2	-4,314332E+0
1,421875E+2	1,273131E+0	1,421875E+2	-4,267928E+0
1,437500E+2	1,269832E+0	1,437500E+2	-4,251437E+0
1,453125E+2	1,266891E+0	1,453125E+2	-4,240741E+0
1,468750E+2	1,207878E+0	1,468750E+2	-4,234390E+0
1,484375E+2	1,156624E+0	1,484375E+2	-4,232653E+0
1,500000E+2	1,138738E+0	1,500000E+2	-4,249249E+0
1,515625E+2	1,123453E+0	1,515625E+2	-4,268506E+0
1,531250E+2	1,096481E+0	1,531250E+2	-4,260500E+0
1,546875E+2	1,071843E+0	1,546875E+2	-4,254356E+0
1,562500E+2	1,011114E+0	1,562500E+2	-4,173879E+0
1,578125E+2	9,610355E-1	1,578125E+2	-4,106466E+0
1,593750E+2	9,489662E-1	1,593750E+2	-4,066352E+0
1,609375E+2	9,388185E-1	1,609375E+2	-4,033056E+0
1,625000E+2	9,122285E-1	1,625000E+2	-3,982498E+0
1,640625E+2	8,896069E-1	1,640625E+2	-3,939771E+0
1,656250E+2	8,650557E-1	1,656250E+2	-3,877035E+0
1,671875E+2	8,446296E-1	1,671875E+2	-3,825691E+0
1,687500E+2	8,312448E-1	1,687500E+2	-3,802367E+0
1,703125E+2	8,202773E-1	1,703125E+2	-3,783639E+0
1,718750E+2	8,092132E-1	1,718750E+2	-3,733503E+0
1,734375E+2	8,005581E-1	1,734375E+2	-3,692768E+0
1,750000E+2	7,980428E-1	1,750000E+2	-3,667553E+0
1,765625E+2	7,977447E-1	1,765625E+2	-3,651092E+0
1,781250E+2	8,170392E-1	1,781250E+2	-3,698639E+0
1,796875E+2	8,333621E-1	1,796875E+2	-3,738000E+0
1,812500E+2	7,568523E-1	1,812500E+2	-3,539861E+0
1,828125E+2	6,987985E-1	1,828125E+2	-3,388254E+0
1,843750E+2	6,926358E-1	1,843750E+2	-3,357433E+0
1,859375E+2	6,867273E-1	1,859375E+2	-3,330772E+0
1,875000E+2	6,559837E-1	1,875000E+2	-3,251782E+0
1,890625E+2	6,315509E-1	1,890625E+2	-3,190536E+0
1,906250E+2	6,454356E-1	1,906250E+2	-3,213115E+0
1,921875E+2	6,600790E-1	1,921875E+2	-3,238830E+0
1,937500E+2	6,789765E-1	1,937500E+2	-3,283756E+0
1,953125E+2	6,975621E-1	1,953125E+2	-3,326899E+0
1,968750E+2	6,859271E-1	1,968750E+2	-3,279384E+0
1,984375E+2	6,740770E-1	1,984375E+2	-3,235661E+0
2,000000E+2	6,200073E-1	2,000000E+2	-3,079428E+0
2,015625E+2	5,782801E-1	2,015625E+2	-2,964156E+0
2,031250E+2	5,762138E-1	2,031250E+2	-2,946257E+0
2,046875E+2	5,755002E-1	2,046875E+2	-2,935439E+0
2,062500E+2	5,920646E-1	2,062500E+2	-2,962725E+0
2,078125E+2	6,084958E-1	2,078125E+2	-2,990156E+0
2,093750E+2	6,108808E-1	2,093750E+2	-2,978419E+0
2,109375E+2	6,130053E-1	2,109375E+2	-2,969619E+0
2,125000E+2	6,020142E-1	2,125000E+2	-2,917755E+0
2,140625E+2	5,916208E-1	2,140625E+2	-2,874886E+0
2,156250E+2	5,708523E-1	2,156250E+2	-2,778432E+0
2,171875E+2	5,527176E-1	2,171875E+2	-2,710510E+0
2,187500E+2	5,684588E-1	2,187500E+2	-2,740170E+0
2,203125E+2	5,835700E-1	2,203125E+2	-2,766726E+0
2,218750E+2	5,715362E-1	2,218750E+2	-2,692808E+0
2,234375E+2	5,595845E-1	2,234375E+2	-2,641128E+0
2,250000E+2	5,712278E-1	2,250000E+2	-2,653734E+0
2,265625E+2	5,822392E-1	2,265625E+2	-2,666486E+0
2,281250E+2	5,805244E-1	2,281250E+2	-2,628724E+0
2,296875E+2	5,767705E-1	2,296875E+2	-2,598981E+0
2,312500E+2	5,621544E-1	2,312500E+2	-2,512497E+0
2,328125E+2	5,443198E-1	2,328125E+2	-2,457128E+0
2,343750E+2	5,558287E-1	2,343750E+2	-2,467755E+0
2,359375E+2	5,662320E-1	2,359375E+2	-2,476942E+0
2,375000E+2	5,600409E-1	2,375000E+2	-2,404436E+0
2,390625E+2	5,451805E-1	2,390625E+2	-2,359184E+0
2,406250E+2	5,553635E-1	2,406250E+2	-2,358439E+0
2,421875E+2	5,629176E-1	2,421875E+2	-2,359752E+0
2,437500E+2	5,661604E-1	2,437500E+2	-2,321350E+0
2,453125E+2	5,599070E-1	2,453125E+2	-2,297540E+0
2,468750E+2	5,741849E-1	2,468750E+2	-2,306273E+0
2,484375E+2	5,862438E-1	2,484375E+2	-2,317491E+0
2,500000E+2	6,054742E-1	2,500000E+2	-2,343713E+0
