Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
6,875000E+1	9,041550E-1	6,875000E+1	-1,547491E-1
7,031250E+1	8,993487E-1	7,031250E+1	-1,540132E-1
7,187500E+1	9,008784E-1	7,187500E+1	-1,411688E-1
7,343750E+1	9,020667E-1	7,343750E+1	-1,310933E-1
7,500000E+1	8,974536E-1	7,500000E+1	-1,839276E-1
7,656250E+1	8,910372E-1	7,656250E+1	-2,291423E-1
7,812500E+1	8,909720E-1	7,812500E+1	-2,228244E-1
7,968750E+1	8,911119E-1	7,968750E+1	-2,155157E-1
8,125000E+1	8,853876E-1	8,125000E+1	-2,045302E-1
8,281250E+1	8,805379E-1	8,281250E+1	-1,932921E-1
8,437500E+1	8,789356E-1	8,437500E+1	-1,830848E-1
8,593750E+1	8,784261E-1	8,593750E+1	-1,739824E-1
8,750000E+1	8,924720E-1	8,750000E+1	-1,948906E-1
8,906250E+1	9,053015E-1	8,906250E+1	-2,144406E-1
9,062500E+1	8,993236E-1	9,062500E+1	-2,245165E-1
9,218750E+1	8,941443E-1	9,218750E+1	-2,329189E-1
9,375000E+1	8,942337E-1	9,375000E+1	-2,281733E-1
9,531250E+1	8,944082E-1	9,531250E+1	-2,239339E-1
9,687500E+1	8,903442E-1	9,687500E+1	-2,351554E-1
9,843750E+1	8,867749E-1	9,843750E+1	-2,450041E-1
1,000000E+2	8,865365E-1	1,000000E+2	-2,475280E-1
1,015625E+2	8,864268E-1	1,015625E+2	-2,498477E-1
1,031250E+2	8,847506E-1	1,031250E+2	-2,594741E-1
1,046875E+2	8,831930E-1	1,046875E+2	-2,678349E-1
1,062500E+2	8,797181E-1	1,062500E+2	-2,683193E-1
1,078125E+2	8,766590E-1	1,078125E+2	-2,687467E-1
1,093750E+2	8,754759E-1	1,093750E+2	-2,781676E-1
1,109375E+2	8,744494E-1	1,109375E+2	-2,863823E-1
1,125000E+2	8,733959E-1	1,125000E+2	-2,878938E-1
1,140625E+2	8,725832E-1	1,140625E+2	-2,887803E-1
1,156250E+2	8,722783E-1	1,156250E+2	-2,866359E-1
1,171875E+2	8,718604E-1	1,171875E+2	-2,851682E-1
1,187500E+2	8,648081E-1	1,187500E+2	-3,069099E-1
1,203125E+2	8,582118E-1	1,203125E+2	-3,258332E-1
1,218750E+2	8,568288E-1	1,218750E+2	-3,254990E-1
1,234375E+2	8,556633E-1	1,234375E+2	-3,249803E-1
1,250000E+2	8,539388E-1	1,250000E+2	-3,296014E-1
1,265625E+2	8,522999E-1	1,265625E+2	-3,336816E-1
1,281250E+2	8,466981E-1	1,281250E+2	-3,407400E-1
1,296875E+2	8,416876E-1	1,296875E+2	-3,467105E-1
1,312500E+2	8,390812E-1	1,312500E+2	-3,472643E-1
1,328125E+2	8,364311E-1	1,328125E+2	-3,479587E-1
1,343750E+2	8,253292E-1	1,343750E+2	-3,619425E-1
1,359375E+2	8,155262E-1	1,359375E+2	-3,737004E-1
1,375000E+2	8,152188E-1	1,375000E+2	-3,684664E-1
1,390625E+2	8,148736E-1	1,390625E+2	-3,633352E-1
1,406250E+2	8,099061E-1	1,406250E+2	-3,644086E-1
1,421875E+2	8,055686E-1	1,421875E+2	-3,650558E-1
1,437500E+2	8,045511E-1	1,437500E+2	-3,660794E-1
1,453125E+2	8,039249E-1	1,453125E+2	-3,668036E-1
1,468750E+2	8,063671E-1	1,468750E+2	-3,713598E-1
1,484375E+2	8,088640E-1	1,484375E+2	-3,751291E-1
1,500000E+2	8,109847E-1	1,500000E+2	-3,755360E-1
1,515625E+2	8,131519E-1	1,515625E+2	-3,755967E-1
1,531250E+2	8,140354E-1	1,531250E+2	-3,779201E-1
1,546875E+2	8,149485E-1	1,546875E+2	-3,799876E-1
1,562500E+2	8,126220E-1	1,562500E+2	-3,888856E-1
1,578125E+2	8,106078E-1	1,578125E+2	-3,965929E-1
1,593750E+2	8,083017E-1	1,593750E+2	-3,999621E-1
1,609375E+2	8,063559E-1	1,609375E+2	-4,028110E-1
1,625000E+2	8,040439E-1	1,625000E+2	-4,081074E-1
1,640625E+2	8,020567E-1	1,640625E+2	-4,127055E-1
1,656250E+2	7,984795E-1	1,656250E+2	-4,189162E-1
1,671875E+2	7,954794E-1	1,671875E+2	-4,241679E-1
1,687500E+2	7,943745E-1	1,687500E+2	-4,269575E-1
1,703125E+2	7,934944E-1	1,703125E+2	-4,292436E-1
1,718750E+2	7,897767E-1	1,718750E+2	-4,338181E-1
1,734375E+2	7,866453E-1	1,734375E+2	-4,375695E-1
1,750000E+2	7,844577E-1	1,750000E+2	-4,396517E-1
1,765625E+2	7,829120E-1	1,765625E+2	-4,408903E-1
1,781250E+2	7,859986E-1	1,781250E+2	-4,356065E-1
1,796875E+2	7,884647E-1	1,796875E+2	-4,312945E-1
1,812500E+2	7,750098E-1	1,812500E+2	-4,533301E-1
1,828125E+2	7,635003E-1	1,828125E+2	-4,716987E-1
1,843750E+2	7,605444E-1	1,843750E+2	-4,749727E-1
1,859375E+2	7,579860E-1	1,859375E+2	-4,779038E-1
1,875000E+2	7,512860E-1	1,875000E+2	-4,883887E-1
1,890625E+2	7,458937E-1	1,890625E+2	-4,969110E-1
