Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
6,875000E+1	9,998711E+1
7,031250E+1	1,000044E+2
7,187500E+1	1,000217E+2
7,343750E+1	9,997111E+1
7,500000E+1	9,992025E+1
7,656250E+1	9,989865E+1
7,812500E+1	9,987698E+1
7,968750E+1	9,993347E+1
8,125000E+1	9,998958E+1
8,281250E+1	1,000004E+2
8,437500E+1	1,000112E+2
8,593750E+1	9,999934E+1
8,750000E+1	9,998743E+1
8,906250E+1	9,997162E+1
9,062500E+1	9,995577E+1
9,218750E+1	9,998768E+1
9,375000E+1	1,000195E+2
9,531250E+1	9,999841E+1
9,687500E+1	9,997731E+1
9,843750E+1	9,999022E+1
1,000000E+2	1,000031E+2
1,015625E+2	9,999388E+1
1,031250E+2	9,998464E+1
1,046875E+2	9,999530E+1
1,062500E+2	1,000059E+2
1,078125E+2	9,999856E+1
1,093750E+2	9,999116E+1
1,109375E+2	9,999618E+1
1,125000E+2	1,000012E+2
1,140625E+2	9,999446E+1
1,156250E+2	9,998770E+1
1,171875E+2	9,995623E+1
1,187500E+2	9,992464E+1
1,203125E+2	9,996281E+1
1,218750E+2	1,000008E+2
1,234375E+2	9,999193E+1
1,250000E+2	9,998304E+1
1,265625E+2	9,998537E+1
1,281250E+2	9,998771E+1
1,296875E+2	9,999745E+1
1,312500E+2	1,000072E+2
1,328125E+2	9,999582E+1
1,343750E+2	9,998445E+1
1,359375E+2	1,000192E+2
1,375000E+2	1,000537E+2
1,390625E+2	1,000373E+2
1,406250E+2	1,000208E+2
1,421875E+2	1,000127E+2
1,437500E+2	1,000047E+2
1,453125E+2	1,000008E+2
1,468750E+2	9,999694E+1
1,484375E+2	1,000087E+2
1,500000E+2	1,000203E+2
1,515625E+2	1,000152E+2
1,531250E+2	1,000100E+2
1,546875E+2	1,000030E+2
1,562500E+2	9,999596E+1
1,578125E+2	1,000031E+2
1,593750E+2	1,000103E+2
1,609375E+2	1,000087E+2
1,625000E+2	1,000072E+2
1,640625E+2	1,000032E+2
1,656250E+2	9,999928E+1
1,671875E+2	1,000068E+2
1,687500E+2	1,000142E+2
1,703125E+2	1,000105E+2
1,718750E+2	1,000067E+2
1,734375E+2	1,000015E+2
1,750000E+2	9,999622E+1
1,765625E+2	9,998699E+1
1,781250E+2	9,997775E+1
1,796875E+2	9,989230E+1
1,812500E+2	9,980600E+1
1,828125E+2	9,990610E+1
1,843750E+2	1,000051E+2
1,859375E+2	1,000194E+2
1,875000E+2	1,000338E+2
1,890625E+2	1,000899E+2
1,906250E+2	1,001457E+2
1,921875E+2	1,001248E+2
