Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity 2	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity 2	
3,000000E+2	-1,185310E-2	3,000000E+2	3,460441E-1	3,000000E+2	-1,357539E+0	3,000000E+2	5,300721E-2
3,015625E+2	-1,380510E-1	3,015625E+2	2,216637E-1	3,015625E+2	-1,310964E+0	3,015625E+2	-1,689547E-1
3,031250E+2	-2,855357E-1	3,031250E+2	2,451394E-2	3,031250E+2	-1,263647E+0	3,031250E+2	5,323771E-1
3,046875E+2	-4,823001E-1	3,046875E+2	3,465526E-1	3,046875E+2	2,689428E-1	3,046875E+2	5,391316E-1
3,062500E+2	-7,437208E-1	3,062500E+2	4,285862E-1	3,062500E+2	5,019757E-1	3,062500E+2	5,451422E-1
3,078125E+2	-3,804469E-1	3,078125E+2	4,342439E-1	3,078125E+2	5,079549E-1	3,078125E+2	5,498519E-1
3,093750E+2	-1,185038E-1	3,093750E+2	4,373808E-1	3,093750E+2	5,132965E-1	3,093750E+2	5,538533E-1
3,109375E+2	7,651898E-1	3,109375E+2	4,457401E-1	3,109375E+2	5,170142E-1	3,109375E+2	5,580724E-1
3,125000E+2	8,971367E-1	3,125000E+2	4,492569E-1	3,125000E+2	5,200569E-1	3,125000E+2	5,617113E-1
3,140625E+2	8,975840E-1	3,140625E+2	4,447563E-1	3,140625E+2	5,905956E-1	3,140625E+2	6,278639E-1
3,156250E+2	8,978245E-1	3,156250E+2	4,365988E-1	3,156250E+2	-6,988294E-1	3,156250E+2	-5,062104E-1
3,171875E+2	8,441782E-1	3,171875E+2	4,414618E-1	3,171875E+2	-7,153317E-1	3,171875E+2	-5,794748E-1
3,187500E+2	1,084474E-1	3,187500E+2	3,579425E-1	3,187500E+2	-7,378103E-1	3,187500E+2	-6,748652E-1
3,203125E+2	1,226882E-1	3,203125E+2	3,511385E-1	3,203125E+2	-7,816535E-1	3,203125E+2	-7,564668E-1
3,218750E+2	1,341703E-1	3,218750E+2	3,181053E-1	3,218750E+2	-8,364989E-1	3,218750E+2	-8,585844E-1
3,234375E+2	1,511586E-1	3,234375E+2	3,327440E-1	3,234375E+2	-8,992324E-1	3,234375E+2	-9,671255E-1
3,250000E+2	1,670505E-1	3,250000E+2	3,458364E-1	3,250000E+2	-9,766365E-1	3,250000E+2	-1,102896E+0
3,265625E+2	6,260810E-1	3,265625E+2	4,704950E-1	3,265625E+2	-1,018013E+0	3,265625E+2	-1,154551E+0
3,281250E+2	7,607687E-1	3,281250E+2	1,540428E-1	3,281250E+2	-1,068979E+0	3,281250E+2	-1,215106E+0
3,296875E+2	9,003158E-1	3,296875E+2	1,257772E-1	3,296875E+2	-1,100299E+0	3,296875E+2	-1,285514E+0
3,312500E+2	7,071990E-1	3,312500E+2	7,994421E-2	3,312500E+2	-1,139322E+0	3,312500E+2	-1,366830E+0
3,328125E+2	6,481278E-1	3,328125E+2	8,471128E-2	3,328125E+2	-1,120306E+0	3,328125E+2	-1,349279E+0
3,343750E+2	5,930591E-1	3,343750E+2	8,642822E-2	3,343750E+2	-1,105265E+0	3,343750E+2	-1,333008E+0
3,359375E+2	5,931672E-1	3,359375E+2	9,795898E-2	3,359375E+2	-1,057189E+0	3,359375E+2	-1,263642E+0
3,375000E+2	5,937106E-1	3,375000E+2	1,086891E-1	3,375000E+2	-1,012986E+0	3,375000E+2	-1,197256E+0
3,390625E+2	5,947209E-1	3,390625E+2	1,239695E-1	3,390625E+2	-9,255042E-1	3,390625E+2	-1,139475E+0
3,406250E+2	5,956868E-1	3,406250E+2	1,391421E-1	3,406250E+2	-8,462513E-1	3,406250E+2	-1,083628E+0
3,421875E+2	5,969647E-1	3,421875E+2	1,610629E-1	3,421875E+2	-7,634880E-1	3,421875E+2	-9,995908E-1
3,437500E+2	5,979094E-1	3,437500E+2	1,824942E-1	3,437500E+2	-6,884382E-1	3,437500E+2	-9,208228E-1
3,453125E+2	6,002434E-1	3,453125E+2	2,020650E-1	3,453125E+2	-6,012782E-1	3,453125E+2	-8,485925E-1
3,468750E+2	6,021771E-1	3,468750E+2	2,210458E-1	3,468750E+2	-5,242806E-1	3,468750E+2	-7,804510E-1
3,484375E+2	6,087616E-1	3,484375E+2	2,468887E-1	3,484375E+2	-4,575845E-1	3,484375E+2	-7,195499E-1
3,500000E+2	6,150231E-1	3,500000E+2	2,708909E-1	3,500000E+2	-3,974425E-1	3,500000E+2	-6,617323E-1
3,515625E+2	6,290647E-1	3,515625E+2	2,951744E-1	3,515625E+2	-3,409712E-1	3,515625E+2	-6,121111E-1
3,531250E+2	6,427450E-1	3,531250E+2	3,169071E-1	3,531250E+2	-2,897689E-1	3,531250E+2	-5,646318E-1
3,546875E+2	5,689298E-1	3,546875E+2	3,401075E-1	3,546875E+2	-2,364984E-1	3,546875E+2	-5,282991E-1
3,562500E+2	4,416806E-1	3,562500E+2	3,581353E-1	3,562500E+2	-1,887339E-1	3,562500E+2	-4,931034E-1
3,578125E+2	4,484246E-1	3,578125E+2	2,098672E-1	3,578125E+2	-1,417503E-1	3,578125E+2	-4,739622E-1
3,593750E+2	4,547266E-1	3,593750E+2	1,290976E-1	3,593750E+2	-9,951593E-2	3,593750E+2	-4,546966E-1
3,609375E+2	6,051208E-1	3,609375E+2	1,611171E-1	3,609375E+2	-5,661677E-2	3,609375E+2	4,880648E-1
3,625000E+2	3,190245E-1	3,625000E+2	3,146615E-1	3,625000E+2	-1,740996E-2	3,625000E+2	5,795349E-1
3,640625E+2	3,636616E-1	3,640625E+2	3,057221E-1	3,640625E+2	1,630377E-2	3,640625E+2	5,830203E-1
3,656250E+2	4,068553E-1	3,656250E+2	2,973108E-1	3,656250E+2	4,681385E-2	3,656250E+2	5,864646E-1
3,671875E+2	4,428435E-1	3,671875E+2	2,938925E-1	3,671875E+2	7,597839E-2	3,671875E+2	5,895392E-1
3,687500E+2	4,777954E-1	3,687500E+2	2,917096E-1	3,687500E+2	1,026784E-1	3,687500E+2	5,925825E-1
3,703125E+2	5,105587E-1	3,703125E+2	2,926968E-1	3,703125E+2	1,248891E-1	3,703125E+2	5,952563E-1
3,718750E+2	5,422690E-1	3,718750E+2	2,946068E-1	3,718750E+2	1,455560E-1	3,718750E+2	5,978991E-1
3,734375E+2	5,679986E-1	3,734375E+2	2,985452E-1	3,734375E+2	1,563307E-1	3,734375E+2	6,005350E-1
3,750000E+2	5,931127E-1	3,750000E+2	3,032757E-1	3,750000E+2	1,664783E-1	3,750000E+2	6,031614E-1
3,765625E+2	6,167121E-1	3,765625E+2	3,141653E-1	3,765625E+2	-3,309960E-2	3,765625E+2	6,048228E-1
3,781250E+2	6,396506E-1	3,781250E+2	3,254194E-1	3,781250E+2	-5,744081E-1	3,781250E+2	6,064985E-1
3,796875E+2	6,669775E-1	3,796875E+2	3,238118E-1	3,796875E+2	-5,425271E-1	3,796875E+2	3,123699E-1
3,812500E+2	6,933974E-1	3,812500E+2	3,220214E-1	3,812500E+2	-5,115490E-1	3,812500E+2	-1,286640E+1
3,828125E+2	7,135608E-1	3,828125E+2	3,284516E-1	3,828125E+2	-4,874077E-1	3,828125E+2	-1,180549E+1
3,843750E+2	7,323864E-1	3,843750E+2	3,347526E-1	3,843750E+2	-4,641718E-1	3,843750E+2	-1,085133E+1
3,859375E+2	7,617339E-1	3,859375E+2	3,389646E-1	3,859375E+2	-4,583055E-1	3,859375E+2	-8,611722E-1
3,875000E+2	7,875552E-1	3,875000E+2	3,430257E-1	3,875000E+2	-4,522068E-1	3,875000E+2	5,351405E-1
3,890625E+2	6,390255E-1	3,890625E+2	3,373925E-1	3,890625E+2	-4,671582E-1	3,890625E+2	6,042272E-1
