Sample 1_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 2_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 3_Frequency [Hz]	Absorption Coefficient on Hard Wall	Sample 4_Frequency [Hz]	Absorption Coefficient on Hard Wall	
3,000000E+2	1,164001E-1	3,000000E+2	4,996850E-1	3,000000E+2	-7,471560E-1	3,000000E+2	-1,324969E-1
3,015625E+2	1,128359E-2	3,015625E+2	4,330713E-1	3,015625E+2	-7,229371E-1	3,015625E+2	9,797214E-2
3,031250E+2	-1,117352E-1	3,031250E+2	3,193372E-1	3,031250E+2	-6,978777E-1	3,031250E+2	5,203969E-1
3,046875E+2	-2,872436E-1	3,046875E+2	4,112999E-1	3,046875E+2	3,386388E-1	3,046875E+2	5,277106E-1
3,062500E+2	-5,284787E-1	3,062500E+2	4,526948E-1	3,062500E+2	4,889334E-1	3,062500E+2	5,343795E-1
3,078125E+2	-2,125932E-1	3,078125E+2	4,615008E-1	3,078125E+2	4,947850E-1	3,078125E+2	5,394627E-1
3,093750E+2	1,735370E-2	3,093750E+2	4,685073E-1	3,093750E+2	5,000423E-1	3,093750E+2	5,439522E-1
3,109375E+2	7,979827E-1	3,109375E+2	4,809931E-1	3,109375E+2	5,035287E-1	3,109375E+2	5,483149E-1
3,125000E+2	9,051685E-1	3,125000E+2	4,897580E-1	3,125000E+2	5,063876E-1	3,125000E+2	5,521855E-1
3,140625E+2	9,058898E-1	3,140625E+2	4,904325E-1	3,140625E+2	5,521439E-1	3,140625E+2	5,837402E-1
3,156250E+2	9,064443E-1	3,156250E+2	4,881396E-1	3,156250E+2	-4,898246E-1	3,156250E+2	-2,920700E-1
3,171875E+2	8,647053E-1	3,171875E+2	4,971163E-1	3,171875E+2	-5,020213E-1	3,171875E+2	-3,490502E-1
3,187500E+2	2,606454E-1	3,187500E+2	3,606873E-1	3,187500E+2	-5,197089E-1	3,187500E+2	-4,225582E-1
3,203125E+2	2,748909E-1	3,203125E+2	3,517074E-1	3,203125E+2	-5,434120E-1	3,203125E+2	-4,893988E-1
3,218750E+2	2,871369E-1	3,218750E+2	3,184712E-1	3,218750E+2	-5,732357E-1	3,218750E+2	-5,724913E-1
3,234375E+2	3,048033E-1	3,234375E+2	3,306011E-1	3,234375E+2	-6,003137E-1	3,234375E+2	-6,541171E-1
3,250000E+2	3,216968E-1	3,250000E+2	3,413057E-1	3,250000E+2	-6,323620E-1	3,250000E+2	-7,546618E-1
3,265625E+2	6,621515E-1	3,265625E+2	4,258527E-1	3,265625E+2	-6,477240E-1	3,265625E+2	-8,000365E-1
3,281250E+2	7,628919E-1	3,281250E+2	3,276256E-1	3,281250E+2	-6,675060E-1	3,281250E+2	-8,532691E-1
3,296875E+2	8,916947E-1	3,296875E+2	3,257300E-1	3,296875E+2	-6,756227E-1	3,296875E+2	-9,023266E-1
3,312500E+2	7,906968E-1	3,312500E+2	3,171720E-1	3,312500E+2	-6,874700E-1	3,312500E+2	-9,588154E-1
3,328125E+2	7,545078E-1	3,328125E+2	3,329008E-1	3,328125E+2	-6,747563E-1	3,328125E+2	-9,478478E-1
3,343750E+2	7,240862E-1	3,343750E+2	3,484961E-1	3,343750E+2	-6,658847E-1	3,343750E+2	-9,384594E-1
3,359375E+2	7,275065E-1	3,359375E+2	3,639664E-1	3,359375E+2	-6,373064E-1	3,359375E+2	-8,894757E-1
3,375000E+2	7,312225E-1	3,375000E+2	3,796107E-1	3,375000E+2	-6,123489E-1	3,375000E+2	-8,427317E-1
3,390625E+2	7,351781E-1	3,390625E+2	3,941813E-1	3,390625E+2	-5,733167E-1	3,390625E+2	-7,927493E-1
3,406250E+2	7,391146E-1	3,406250E+2	4,086758E-1	3,406250E+2	-5,376951E-1	3,406250E+2	-7,450600E-1
3,421875E+2	7,431029E-1	3,421875E+2	4,204050E-1	3,421875E+2	-4,886422E-1	3,421875E+2	-6,802217E-1
3,437500E+2	7,468990E-1	3,437500E+2	4,312880E-1	3,437500E+2	-4,438552E-1	3,437500E+2	-6,195306E-1
3,453125E+2	7,515536E-1	3,453125E+2	4,414417E-1	3,453125E+2	-3,957449E-1	3,453125E+2	-5,602327E-1
3,468750E+2	7,559689E-1	3,468750E+2	4,508067E-1	3,468750E+2	-3,515517E-1	3,468750E+2	-5,046044E-1
3,484375E+2	7,631973E-1	3,484375E+2	4,586574E-1	3,484375E+2	-3,042338E-1	3,484375E+2	-4,531164E-1
3,500000E+2	7,701652E-1	3,500000E+2	4,651525E-1	3,500000E+2	-2,609466E-1	3,500000E+2	-4,046437E-1
3,515625E+2	7,815923E-1	3,515625E+2	4,689242E-1	3,515625E+2	-2,169370E-1	3,515625E+2	-3,611401E-1
3,531250E+2	7,926343E-1	3,531250E+2	4,714560E-1	3,531250E+2	-1,767468E-1	3,531250E+2	-3,199187E-1
3,546875E+2	6,210247E-1	3,546875E+2	4,604273E-1	3,546875E+2	-1,349355E-1	3,546875E+2	-2,868974E-1
3,562500E+2	4,502939E-1	3,562500E+2	4,499776E-1	3,562500E+2	-9,709915E-2	3,562500E+2	-2,552928E-1
3,578125E+2	4,570373E-1	3,578125E+2	2,897379E-1	3,578125E+2	-5,865003E-2	3,578125E+2	-2,330260E-1
3,593750E+2	4,633599E-1	3,593750E+2	1,894573E-1	3,593750E+2	-2,382840E-2	3,593750E+2	-2,111722E-1
3,609375E+2	6,078247E-1	3,609375E+2	2,442521E-1	3,609375E+2	1,608336E-2	3,609375E+2	5,436165E-1
3,625000E+2	7,080076E-1	3,625000E+2	4,561487E-1	3,625000E+2	5,243949E-2	3,625000E+2	6,112865E-1
3,640625E+2	7,335581E-1	3,640625E+2	4,664199E-1	3,640625E+2	8,059770E-2	3,640625E+2	6,145705E-1
3,656250E+2	7,577739E-1	3,656250E+2	4,786281E-1	3,656250E+2	1,062283E-1	3,656250E+2	6,178122E-1
3,671875E+2	7,779218E-1	3,671875E+2	4,887742E-1	3,671875E+2	1,331746E-1	3,671875E+2	6,206998E-1
3,687500E+2	7,970433E-1	3,687500E+2	5,000804E-1	3,687500E+2	1,578314E-1	3,687500E+2	6,235535E-1
3,703125E+2	8,145453E-1	3,703125E+2	5,069971E-1	3,703125E+2	1,795027E-1	3,703125E+2	6,261612E-1
3,718750E+2	8,311009E-1	3,718750E+2	5,144148E-1	3,718750E+2	1,996264E-1	3,718750E+2	6,287373E-1
3,734375E+2	8,450347E-1	3,734375E+2	5,204955E-1	3,734375E+2	2,098805E-1	3,734375E+2	6,313414E-1
3,750000E+2	8,582054E-1	3,750000E+2	5,268084E-1	3,750000E+2	2,195194E-1	3,750000E+2	6,339302E-1
3,765625E+2	8,705481E-1	3,765625E+2	5,345044E-1	3,765625E+2	6,802364E-2	3,765625E+2	6,356338E-1
3,781250E+2	8,821625E-1	3,781250E+2	5,421453E-1	3,781250E+2	-2,701225E-1	3,781250E+2	6,373415E-1
3,796875E+2	8,956914E-1	3,796875E+2	5,376708E-1	3,796875E+2	-2,532477E-1	3,796875E+2	3,969247E-1
3,812500E+2	9,083561E-1	3,812500E+2	5,331072E-1	3,812500E+2	-2,364366E-1	3,812500E+2	-9,210989E+1
3,828125E+2	9,186007E-1	3,828125E+2	5,351735E-1	3,828125E+2	-2,218576E-1	3,828125E+2	-6,993436E+1
3,843750E+2	9,275240E-1	3,843750E+2	5,371325E-1	3,843750E+2	-2,076402E-1	3,843750E+2	-5,507091E+1
3,859375E+2	9,405915E-1	3,859375E+2	5,379709E-1	3,859375E+2	-2,033162E-1	3,859375E+2	-2,059407E-1
3,875000E+2	9,510245E-1	3,875000E+2	5,387035E-1	3,875000E+2	-1,988087E-1	3,875000E+2	6,102249E-1
3,890625E+2	8,102612E-1	3,890625E+2	5,322387E-1	3,890625E+2	-2,044868E-1	3,890625E+2	6,639453E-1
3,906250E+2	5,276736E-1	3,906250E+2	5,257587E-1	3,906250E+2	-2,092827E-1	3,906250E+2	6,894795E-1
3,921875E+2	3,431160E-1	3,921875E+2	5,247475E-1	3,921875E+2	-2,370435E-1	3,921875E+2	7,077027E-1
3,937500E+2	2,988571E-1	3,937500E+2	5,235748E-1	3,937500E+2	-2,642062E-1	3,937500E+2	7,202723E-1
3,953125E+2	3,097645E-1	3,953125E+2	5,166879E-1	3,953125E+2	-3,240359E-1	3,953125E+2	7,352156E-1
3,968750E+2	3,209194E-1	3,968750E+2	5,097411E-1	3,968750E+2	-3,854310E-1	3,968750E+2	7,458584E-1
3,984375E+2	3,293615E-1	3,984375E+2	2,461243E-1	3,984375E+2	3,024892E-1	3,984375E+2	7,547106E-1
4,000000E+2	3,378876E-1	4,000000E+2	2,490864E-1	4,000000E+2	4,119393E-1	4,000000E+2	7,607381E-1
4,015625E+2	3,652022E-1	4,015625E+2	2,547916E-1	4,015625E+2	4,672940E-1	4,015625E+2	7,550642E-1
4,031250E+2	5,407887E-1	4,031250E+2	2,604333E-1	4,031250E+2	4,803294E-1	4,031250E+2	7,487581E-1
4,046875E+2	5,418187E-1	4,046875E+2	2,654906E-1	4,046875E+2	4,852938E-1	4,046875E+2	7,772400E-1
4,062500E+2	5,423446E-1	4,062500E+2	2,704407E-1	4,062500E+2	4,888169E-1	4,062500E+2	7,991390E-1
4,078125E+2	5,410652E-1	4,078125E+2	2,467981E-1	4,078125E+2	4,901275E-1	4,078125E+2	8,100807E-1
4,093750E+2	5,395890E-1	4,093750E+2	2,116286E-1	4,093750E+2	4,910015E-1	4,093750E+2	8,209380E-1
4,109375E+2	5,369235E-1	4,109375E+2	2,102260E-1	4,109375E+2	4,805004E-1	4,109375E+2	8,353661E-1
4,125000E+2	5,340547E-1	4,125000E+2	2,089471E-1	4,125000E+2	4,498689E-1	4,125000E+2	8,488737E-1
4,140625E+2	5,418003E-1	4,140625E+2	2,058137E-1	4,140625E+2	4,352119E-1	4,140625E+2	9,038511E-1
4,156250E+2	5,497017E-1	4,156250E+2	2,027702E-1	4,156250E+2	4,197239E-1	4,156250E+2	8,093311E-1
4,171875E+2	5,985805E-1	4,171875E+2	2,022571E-1	4,171875E+2	4,019972E-1	4,171875E+2	8,356291E-1
4,187500E+2	6,461138E-1	4,187500E+2	2,018168E-1	4,187500E+2	3,843825E-1	4,187500E+2	8,616261E-1
4,203125E+2	6,457102E-1	4,203125E+2	2,021879E-1	4,203125E+2	3,999872E-1	4,203125E+2	8,883148E-1
4,218750E+2	6,443382E-1	4,218750E+2	2,026092E-1	4,218750E+2	4,141549E-1	4,218750E+2	9,137144E-1
4,234375E+2	5,667290E-1	4,234375E+2	2,228543E-1	4,234375E+2	4,403465E-1	4,234375E+2	9,405231E-1
4,250000E+2	5,080109E-1	4,250000E+2	2,429902E-1	4,250000E+2	4,627845E-1	4,250000E+2	9,641817E-1
4,265625E+2	3,938972E-1	4,265625E+2	2,536897E-1	4,265625E+2	4,809397E-1	4,265625E+2	6,788067E-1
4,281250E+2	3,523320E-1	4,281250E+2	2,641727E-1	4,281250E+2	4,926634E-1	4,281250E+2	-1,159436E-1
4,296875E+2	3,592297E-1	4,296875E+2	2,577243E-1	4,296875E+2	5,067541E-1	4,296875E+2	-5,547325E-2
4,312500E+2	3,650316E-1	4,312500E+2	2,512490E-1	4,312500E+2	5,123379E-1	4,312500E+2	2,962189E-3
4,328125E+2	3,829067E-1	4,328125E+2	3,449207E-1	4,328125E+2	5,233250E-1	4,328125E+2	3,943759E-1
4,343750E+2	4,105807E-1	4,343750E+2	5,417112E-1	4,343750E+2	5,298750E-1	4,343750E+2	7,773481E-1
4,359375E+2	4,722478E-1	4,359375E+2	2,808826E-1	4,359375E+2	5,377010E-1	4,359375E+2	7,872010E-1
4,375000E+2	5,996968E-1	4,375000E+2	2,508031E-1	4,375000E+2	5,445089E-1	4,375000E+2	7,968835E-1
4,390625E+2	6,130344E-1	4,390625E+2	2,588383E-1	4,390625E+2	5,646110E-1	4,390625E+2	8,064328E-1
4,406250E+2	6,263242E-1	4,406250E+2	2,666450E-1	4,406250E+2	5,771211E-1	4,406250E+2	8,158077E-1
4,421875E+2	6,265561E-1	4,421875E+2	2,699444E-1	4,421875E+2	5,932251E-1	4,421875E+2	8,259819E-1
4,437500E+2	6,267095E-1	4,437500E+2	2,731811E-1	4,437500E+2	6,033799E-1	4,437500E+2	8,359320E-1
4,453125E+2	4,085430E-1	4,453125E+2	2,575635E-1	4,453125E+2	6,172244E-1	4,453125E+2	8,459389E-1
4,468750E+2	3,245624E-1	4,468750E+2	4,104551E-1	4,468750E+2	6,267625E-1	4,468750E+2	8,556823E-1
4,484375E+2	3,165857E-1	4,484375E+2	4,090811E-1	4,484375E+2	6,380036E-1	4,484375E+2	8,660873E-1
4,500000E+2	3,094778E-1	4,500000E+2	4,074666E-1	4,500000E+2	6,453572E-1	4,500000E+2	8,760179E-1
4,515625E+2	3,203465E-1	4,515625E+2	3,781282E-1	4,515625E+2	8,299685E-1	4,515625E+2	8,693182E-1
4,531250E+2	3,356332E-1	4,531250E+2	3,468424E-1	4,531250E+2	6,904184E-1	4,531250E+2	8,422728E-1
4,546875E+2	3,491090E-1	4,546875E+2	2,897570E-1	4,546875E+2	7,456265E-1	4,546875E+2	8,012131E-1
4,562500E+2	3,635384E-1	4,562500E+2	2,456441E-1	4,562500E+2	7,381945E-1	4,562500E+2	7,565962E-1
