Sample 1 - Real_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 1 - Imag_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 2 - Real_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 2 - Imag_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 3 - Real_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 3 - Imag_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 4 - Real_Frequency [Hz]	Characteristic Wave Number [m^-1]	Sample 4 - Imag_Frequency [Hz]	Characteristic Wave Number [m^-1]	
3,000000E+2	6,759910E+1	3,000000E+2	-3,626149E+0	3,000000E+2	6,516030E+1	3,000000E+2	-7,113221E-1	3,000000E+2	5,496145E+1	3,000000E+2	-4,679574E+0	3,000000E+2	4,462864E+1	3,000000E+2	-4,437674E+0
3,015625E+2	6,591919E+1	3,015625E+2	-3,973979E+0	3,015625E+2	6,249727E+1	3,015625E+2	-1,297673E+0	3,015625E+2	5,516709E+1	3,015625E+2	-4,699656E+0	3,015625E+2	6,281719E+1	3,015625E+2	-1,386457E+1
3,031250E+2	6,448454E+1	3,031250E+2	-4,356344E+0	3,031250E+2	6,018265E+1	3,031250E+2	-1,870426E+0	3,031250E+2	5,540558E+1	3,031250E+2	-4,732787E+0	3,031250E+2	6,800874E+1	3,031250E+2	-2,076130E+1
3,046875E+2	6,187538E+1	3,046875E+2	-4,198659E+0	3,046875E+2	9,561427E+1	3,046875E+2	-3,049764E+1	3,046875E+2	7,761444E+1	3,046875E+2	-9,799234E+0	3,046875E+2	6,815573E+1	3,046875E+2	-2,117314E+1
3,062500E+2	5,963121E+1	3,062500E+2	-4,287769E+0	3,062500E+2	1,047198E+2	3,062500E+2	-4,145440E+1	3,062500E+2	7,372630E+1	3,062500E+2	-3,019333E+1	3,062500E+2	6,834574E+1	3,062500E+2	-2,155874E+1
3,078125E+2	5,929491E+1	3,078125E+2	-2,821713E+0	3,078125E+2	1,047198E+2	3,078125E+2	-3,857806E+1	3,078125E+2	7,359044E+1	3,078125E+2	-3,058193E+1	3,078125E+2	6,854253E+1	3,078125E+2	-2,188336E+1
3,093750E+2	5,886952E+1	3,093750E+2	-1,456590E+0	3,093750E+2	1,040994E+2	3,093750E+2	-3,578631E+1	3,093750E+2	7,347922E+1	3,093750E+2	-3,089995E+1	3,093750E+2	6,878900E+1	3,093750E+2	-2,218003E+1
3,109375E+2	1,047198E+2	3,109375E+2	-9,649786E+0	3,109375E+2	1,036348E+2	3,109375E+2	-3,206270E+1	3,109375E+2	7,339814E+1	3,109375E+2	-3,112859E+1	3,109375E+2	6,904526E+1	3,109375E+2	-2,253561E+1
3,125000E+2	1,149536E+2	3,125000E+2	-3,902101E+1	3,125000E+2	1,028236E+2	3,125000E+2	-2,836131E+1	3,125000E+2	7,335294E+1	3,125000E+2	-3,128816E+1	3,125000E+2	6,933314E+1	3,125000E+2	-2,285939E+1
3,140625E+2	1,149146E+2	3,140625E+2	-3,801820E+1	3,140625E+2	1,018238E+2	3,140625E+2	-2,557998E+1	3,140625E+2	5,786938E+1	3,140625E+2	-2,984917E+1	3,140625E+2	5,680001E+1	3,140625E+2	-2,054126E+1
3,156250E+2	1,147772E+2	3,156250E+2	-3,704247E+1	3,156250E+2	1,005099E+2	3,156250E+2	-2,294867E+1	3,156250E+2	5,556814E+1	3,156250E+2	-2,093349E+0	3,156250E+2	5,683893E+1	3,156250E+2	-1,741935E+0
3,171875E+2	1,284294E+2	3,171875E+2	-1,822583E+1	3,171875E+2	8,988447E+1	3,171875E+2	-4,544049E+1	3,171875E+2	5,583941E+1	3,171875E+2	-2,081812E+0	3,171875E+2	5,719288E+1	3,171875E+2	-1,910266E+0
3,187500E+2	1,047198E+2	3,187500E+2	-4,722350E-1	3,187500E+2	9,828114E+1	3,187500E+2	-5,871988E+1	3,187500E+2	5,609041E+1	3,187500E+2	-2,069237E+0	3,187500E+2	5,752156E+1	3,187500E+2	-2,092679E+0
3,203125E+2	1,047515E+2	3,203125E+2	-3,927767E-1	3,203125E+2	9,670874E+1	3,203125E+2	-5,282012E+1	3,203125E+2	5,638016E+1	3,203125E+2	-2,094405E+0	3,203125E+2	5,780516E+1	3,203125E+2	-2,234983E+0
3,218750E+2	1,047984E+2	3,218750E+2	-3,467757E-1	3,218750E+2	9,645571E+1	3,218750E+2	-4,797453E+1	3,218750E+2	5,664849E+1	3,218750E+2	-2,122838E+0	3,218750E+2	5,806835E+1	3,218750E+2	-2,386207E+0
3,234375E+2	1,050158E+2	3,234375E+2	-3,177643E-1	3,234375E+2	9,531772E+1	3,234375E+2	-4,795983E+1	3,234375E+2	5,693409E+1	3,234375E+2	-2,161964E+0	3,234375E+2	5,833034E+1	3,234375E+2	-2,527969E+0
3,250000E+2	1,052450E+2	3,250000E+2	-3,074202E-1	3,250000E+2	9,421340E+1	3,250000E+2	-4,794271E+1	3,250000E+2	5,719867E+1	3,250000E+2	-2,205947E+0	3,250000E+2	5,857181E+1	3,250000E+2	-2,678316E+0
3,265625E+2	1,047198E+2	3,265625E+2	-2,971076E+1	3,265625E+2	7,213665E+1	3,265625E+2	-5,474099E+1	3,265625E+2	5,746912E+1	3,265625E+2	-2,206114E+0	3,265625E+2	5,883800E+1	3,265625E+2	-2,715702E+0
3,281250E+2	1,181185E+2	3,281250E+2	-5,565604E+1	3,281250E+2	5,800632E+1	3,281250E+2	-1,026469E+0	3,281250E+2	5,772434E+1	3,281250E+2	-2,207228E+0	3,281250E+2	5,909573E+1	3,281250E+2	-2,753066E+0
3,296875E+2	1,335677E+2	3,296875E+2	-4,321769E+1	3,296875E+2	5,792669E+1	3,296875E+2	-8,028351E-1	3,296875E+2	5,798523E+1	3,296875E+2	-2,187397E+0	3,296875E+2	5,935222E+1	3,296875E+2	-2,802818E+0
3,312500E+2	1,538420E+2	3,312500E+2	-9,854603E+0	3,312500E+2	5,779380E+1	3,312500E+2	-5,049370E-1	3,312500E+2	5,823328E+1	3,312500E+2	-2,167132E+0	3,312500E+2	5,959933E+1	3,312500E+2	-2,854207E+0
3,328125E+2	1,523952E+2	3,328125E+2	-7,936125E+0	3,328125E+2	5,793944E+1	3,328125E+2	-4,663918E-1	3,328125E+2	5,850252E+1	3,328125E+2	-2,090587E+0	3,328125E+2	5,986609E+1	3,328125E+2	-2,811130E+0
3,343750E+2	1,507795E+2	3,343750E+2	-6,088169E+0	3,343750E+2	5,804326E+1	3,343750E+2	-4,145617E-1	3,343750E+2	5,876477E+1	3,343750E+2	-2,010479E+0	3,343750E+2	6,013324E+1	3,343750E+2	-2,765692E+0
3,359375E+2	1,501804E+2	3,359375E+2	-5,648182E+0	3,359375E+2	5,827702E+1	3,359375E+2	-3,928044E-1	3,359375E+2	5,905420E+1	3,359375E+2	-1,907146E+0	3,359375E+2	6,041733E+1	3,359375E+2	-2,675023E+0
3,375000E+2	1,495669E+2	3,375000E+2	-5,203937E+0	3,375000E+2	5,848238E+1	3,375000E+2	-3,689410E-1	3,375000E+2	5,934038E+1	3,375000E+2	-1,799749E+0	3,375000E+2	6,070807E+1	3,375000E+2	-2,581260E+0
3,390625E+2	1,490463E+2	3,390625E+2	-4,799673E+0	3,390625E+2	5,876772E+1	3,390625E+2	-3,509631E-1	3,390625E+2	5,966347E+1	3,390625E+2	-1,654124E+0	3,390625E+2	6,101303E+1	3,390625E+2	-2,505665E+0
3,406250E+2	1,485202E+2	3,406250E+2	-4,384235E+0	3,406250E+2	5,903392E+1	3,406250E+2	-3,348996E-1	3,406250E+2	5,999199E+1	3,406250E+2	-1,501700E+0	3,406250E+2	6,132408E+1	3,406250E+2	-2,429767E+0
3,421875E+2	1,480878E+2	3,421875E+2	-4,011543E+0	3,421875E+2	5,937211E+1	3,421875E+2	-3,624752E-1	3,421875E+2	6,035192E+1	3,421875E+2	-1,361934E+0	3,421875E+2	6,164307E+1	3,421875E+2	-2,317016E+0
3,437500E+2	1,476577E+2	3,437500E+2	-3,625870E+0	3,437500E+2	5,970018E+1	3,437500E+2	-3,972169E-1	3,437500E+2	6,071921E+1	3,437500E+2	-1,217293E+0	3,437500E+2	6,197312E+1	3,437500E+2	-2,202668E+0
3,453125E+2	1,472826E+2	3,453125E+2	-3,280254E+0	3,453125E+2	6,004948E+1	3,453125E+2	-4,167102E-1	3,453125E+2	6,111826E+1	3,453125E+2	-1,049023E+0	3,453125E+2	6,231545E+1	3,453125E+2	-2,099251E+0
3,468750E+2	1,469154E+2	3,468750E+2	-2,921950E+0	3,468750E+2	6,039181E+1	3,468750E+2	-4,409618E-1	3,468750E+2	6,153334E+1	3,468750E+2	-8,727377E-1	3,468750E+2	6,266930E+1	3,468750E+2	-1,995518E+0
3,484375E+2	1,465630E+2	3,484375E+2	-2,638647E+0	3,484375E+2	6,082091E+1	3,484375E+2	-5,316200E-1	3,484375E+2	6,195733E+1	3,484375E+2	-7,405949E-1	3,484375E+2	6,302943E+1	3,484375E+2	-1,907338E+0
3,500000E+2	1,462218E+2	3,500000E+2	-2,346155E+0	3,500000E+2	6,125200E+1	3,500000E+2	-6,319497E-1	3,500000E+2	6,239805E+1	3,500000E+2	-6,041323E-1	3,500000E+2	6,340191E+1	3,500000E+2	-1,819598E+0
3,515625E+2	1,458710E+2	3,515625E+2	-2,178908E+0	3,515625E+2	6,177584E+1	3,515625E+2	-7,707667E-1	3,515625E+2	6,284239E+1	3,515625E+2	-4,872551E-1	3,515625E+2	6,376764E+1	3,515625E+2	-1,755369E+0
3,531250E+2	1,455350E+2	3,531250E+2	-2,009000E+0	3,531250E+2	6,231377E+1	3,531250E+2	-9,237459E-1	3,531250E+2	6,330596E+1	3,531250E+2	-3,674699E-1	3,531250E+2	6,414567E+1	3,531250E+2	-1,693196E+0
3,546875E+2	1,284649E+2	3,546875E+2	-8,576230E+0	3,546875E+2	6,324070E+1	3,546875E+2	-1,305128E+0	3,546875E+2	6,376403E+1	3,546875E+2	-2,317288E-1	3,546875E+2	6,451483E+1	3,546875E+2	-1,664981E+0
3,562500E+2	1,205050E+2	3,562500E+2	-3,203888E+1	3,562500E+2	6,423884E+1	3,562500E+2	-1,745773E+0	3,562500E+2	6,424612E+1	3,562500E+2	-9,172197E-2	3,562500E+2	6,489665E+1	3,562500E+2	-1,639837E+0
3,578125E+2	1,204762E+2	3,578125E+2	-3,206073E+1	3,578125E+2	6,861060E+1	3,578125E+2	-9,673142E-1	3,578125E+2	6,470390E+1	3,578125E+2	-5,163334E-2	3,578125E+2	6,526399E+1	3,578125E+2	-1,683721E+0
3,593750E+2	1,204343E+2	3,593750E+2	-3,207689E+1	3,593750E+2	7,535816E+1	3,593750E+2	-1,965554E-1	3,593750E+2	6,518786E+1	3,593750E+2	-1,990548E-1	3,593750E+2	6,564094E+1	3,593750E+2	-1,734127E+0
3,609375E+2	1,302536E+2	3,609375E+2	-1,994857E+1	3,609375E+2	6,947619E+1	3,609375E+2	-2,578404E-1	3,609375E+2	6,563527E+1	3,609375E+2	-3,074862E-1	3,609375E+2	6,500017E+1	3,609375E+2	-6,470335E+0
3,625000E+2	1,507568E+2	3,625000E+2	-1,324479E+0	3,625000E+2	6,153964E+1	3,625000E+2	-7,950514E-1	3,625000E+2	6,610466E+1	3,625000E+2	-4,143758E-1	3,625000E+2	6,386091E+1	3,625000E+2	-1,663140E+1
3,640625E+2	1,503928E+2	3,640625E+2	-1,208639E+0	3,640625E+2	6,159007E+1	3,640625E+2	-5,913247E-1	3,640625E+2	6,652134E+1	3,640625E+2	-5,708351E-1	3,640625E+2	6,450020E+1	3,640625E+2	-1,654646E+1
3,656250E+2	1,500375E+2	3,656250E+2	-1,096469E+0	3,656250E+2	6,163056E+1	3,656250E+2	-3,812740E-1	3,656250E+2	6,696639E+1	3,656250E+2	-7,313054E-1	3,656250E+2	6,512991E+1	3,656250E+2	-1,646604E+1
3,671875E+2	1,497049E+2	3,671875E+2	-9,494839E-1	3,671875E+2	6,172741E+1	3,671875E+2	-2,212861E-1	3,671875E+2	6,736571E+1	3,671875E+2	-8,448735E-1	3,671875E+2	6,571793E+1	3,671875E+2	-1,639910E+1
3,687500E+2	1,493807E+2	3,687500E+2	-8,049158E-1	3,687500E+2	6,181648E+1	3,687500E+2	-5,670598E-2	3,687500E+2	6,778889E+1	3,687500E+2	-9,571779E-1	3,687500E+2	6,629707E+1	3,687500E+2	-1,633594E+1
3,703125E+2	1,490680E+2	3,703125E+2	-6,561170E-1	3,703125E+2	6,193474E+1	3,703125E+2	-5,813859E-2	3,703125E+2	6,816310E+1	3,703125E+2	-1,017474E+0	3,703125E+2	6,688094E+1	3,703125E+2	-1,623632E+1
3,718750E+2	1,487634E+2	3,718750E+2	-5,094551E-1	3,718750E+2	6,204659E+1	3,718750E+2	-1,756884E-1	3,718750E+2	6,855719E+1	3,718750E+2	-1,072843E+0	3,718750E+2	6,745473E+1	3,718750E+2	-1,613751E+1
3,734375E+2	1,484940E+2	3,734375E+2	-3,074959E-1	3,734375E+2	6,219347E+1	3,734375E+2	-2,795478E-1	3,734375E+2	6,887677E+1	3,734375E+2	-1,113759E+0	3,734375E+2	6,802371E+1	3,734375E+2	-1,602754E+1
3,750000E+2	1,482351E+2	3,750000E+2	-1,041500E-1	3,750000E+2	6,233584E+1	3,750000E+2	-3,858737E-1	3,750000E+2	6,921582E+1	3,750000E+2	-1,152523E+0	3,750000E+2	6,858018E+1	3,750000E+2	-1,591946E+1
3,765625E+2	1,047198E+2	3,765625E+2	-1,006273E-1	3,765625E+2	6,249794E+1	3,765625E+2	-4,646692E-1	3,765625E+2	6,780462E+1	3,765625E+2	-4,440073E-2	3,765625E+2	6,909269E+1	3,765625E+2	-1,575118E+1
3,781250E+2	1,049389E+2	3,781250E+2	-3,069310E-1	3,781250E+2	6,265628E+1	3,781250E+2	-5,457823E-1	3,781250E+2	6,607963E+1	3,781250E+2	-2,283446E+0	3,781250E+2	6,958897E+1	3,781250E+2	-1,558568E+1
