Sample 1_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 2_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 3_Frequency [Hz]	Normal Sound Transmission Loss [dB]	Sample 4_Frequency [Hz]	Normal Sound Transmission Loss [dB]	
3,000000E+2	-3,603861E-1	3,000000E+2	-9,412966E-1	3,000000E+2	-2,433332E+0	3,000000E+2	-7,682617E+0
3,015625E+2	-6,862874E-1	3,015625E+2	-1,470520E+0	3,015625E+2	-2,418924E+0	3,015625E+2	1,899953E+0
3,031250E+2	-9,935722E-1	3,031250E+2	-1,977441E+0	3,031250E+2	-2,402516E+0	3,031250E+2	5,749733E+0
3,046875E+2	-1,467316E+0	3,046875E+2	3,940482E+0	3,046875E+2	4,671206E+0	3,046875E+2	5,802484E+0
3,062500E+2	-1,921676E+0	3,062500E+2	5,554263E+0	3,062500E+2	7,715560E+0	3,062500E+2	5,858506E+0
3,078125E+2	-1,704300E+0	3,078125E+2	5,141987E+0	3,078125E+2	7,725027E+0	3,078125E+2	5,887094E+0
3,093750E+2	-1,516561E+0	3,093750E+2	4,757388E+0	3,093750E+2	7,727931E+0	3,093750E+2	5,918175E+0
3,109375E+2	3,602400E+0	3,109375E+2	4,321556E+0	3,109375E+2	7,702666E+0	3,109375E+2	5,937734E+0
3,125000E+2	6,835475E+0	3,125000E+2	3,918955E+0	3,125000E+2	7,670509E+0	3,125000E+2	5,956904E+0
3,140625E+2	6,637842E+0	3,140625E+2	3,622460E+0	3,140625E+2	6,377622E+0	3,140625E+2	4,418709E+0
3,156250E+2	6,444875E+0	3,156250E+2	3,348603E+0	3,156250E+2	-3,520672E+0	3,156250E+2	-2,847371E+0
3,171875E+2	3,940186E+0	3,171875E+2	6,884684E+0	3,171875E+2	-3,642834E+0	3,171875E+2	-3,007673E+0
3,187500E+2	2,800017E-1	3,187500E+2	9,472730E+0	3,187500E+2	-3,773806E+0	3,187500E+2	-3,187313E+0
3,203125E+2	2,423091E-1	3,203125E+2	8,644767E+0	3,203125E+2	-3,926820E+0	3,203125E+2	-3,310454E+0
3,218750E+2	2,019504E-1	3,218750E+2	7,945969E+0	3,218750E+2	-4,090704E+0	3,218750E+2	-3,445795E+0
3,234375E+2	1,707590E-1	3,234375E+2	7,942651E+0	3,234375E+2	-4,256281E+0	3,234375E+2	-3,580250E+0
3,250000E+2	1,388102E-1	3,250000E+2	7,933741E+0	3,250000E+2	-4,433244E+0	3,250000E+2	-3,726599E+0
