Sample 1 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 1 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 2 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 3 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Real_Frequency [Hz]	Normalized Characteristic Impedance	Sample 4 - Imag_Frequency [Hz]	Normalized Characteristic Impedance	
3,000000E+2	9,219065E-1	3,000000E+2	1,343087E-1	3,000000E+2	1,132588E+0	3,000000E+2	2,267764E-1	3,000000E+2	1,143313E+0	3,000000E+2	2,602058E-1	3,000000E+2	2,473291E+0	3,000000E+2	-6,023473E-1
3,015625E+2	9,339529E-1	3,015625E+2	1,308607E-1	3,015625E+2	1,168522E+0	3,015625E+2	2,446105E-1	3,015625E+2	1,138829E+0	3,015625E+2	2,520916E-1	3,015625E+2	6,810632E-1	3,015625E+2	3,035444E-1
3,031250E+2	9,450246E-1	3,031250E+2	1,283382E-1	3,031250E+2	1,204217E+0	3,031250E+2	2,650890E-1	3,031250E+2	1,133689E+0	3,031250E+2	2,437085E-1	3,031250E+2	5,824849E-1	3,031250E+2	-1,520674E-2
3,046875E+2	9,689907E-1	3,046875E+2	1,200020E-1	3,046875E+2	8,490542E-1	3,046875E+2	1,760930E-1	3,046875E+2	6,271175E-1	3,046875E+2	1,668849E-1	3,046875E+2	5,775862E-1	3,046875E+2	-1,485516E-2
3,062500E+2	9,929561E-1	3,062500E+2	1,142891E-1	3,062500E+2	8,065368E-1	3,062500E+2	1,274255E-1	3,062500E+2	5,185081E-1	3,062500E+2	-2,574173E-2	3,062500E+2	5,726408E-1	3,062500E+2	-1,416925E-2
3,078125E+2	9,833329E-1	3,078125E+2	1,233992E-1	3,078125E+2	8,176968E-1	3,078125E+2	1,340537E-1	3,078125E+2	5,148775E-1	3,078125E+2	-2,791774E-2	3,078125E+2	5,687551E-1	3,078125E+2	-1,432093E-2
3,093750E+2	9,732536E-1	3,093750E+2	1,302918E-1	3,093750E+2	8,277469E-1	3,093750E+2	1,416817E-1	3,093750E+2	5,114865E-1	3,093750E+2	-2,996426E-2	3,093750E+2	5,648300E-1	3,093750E+2	-1,407992E-2
3,109375E+2	7,476941E-1	3,109375E+2	2,918745E-1	3,109375E+2	8,403060E-1	3,109375E+2	1,498460E-1	3,109375E+2	5,088924E-1	3,109375E+2	-3,255064E-2	3,109375E+2	5,614678E-1	3,109375E+2	-1,497078E-2
3,125000E+2	6,407251E-1	3,125000E+2	2,554273E-1	3,125000E+2	8,511748E-1	3,125000E+2	1,589421E-1	3,125000E+2	5,065446E-1	3,125000E+2	-3,494141E-2	3,125000E+2	5,581517E-1	3,125000E+2	-1,557413E-2
3,140625E+2	6,439650E-1	3,140625E+2	2,562071E-1	3,140625E+2	8,570839E-1	3,140625E+2	1,650116E-1	3,140625E+2	5,171586E-1	3,140625E+2	-1,653007E-1	3,140625E+2	6,027063E-1	3,140625E+2	-1,465973E-1
