Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity 1	
3,000000E+2	4,205970E-2	3,000000E+2	-5,995505E-1	3,000000E+2	2,600764E-1	3,000000E+2	-7,029438E-1	3,000000E+2	-1,478666E-1	3,000000E+2	-2,559151E-1	3,000000E+2	-2,338349E-1	3,000000E+2	2,544076E+0
3,015625E+2	3,753182E-3	3,015625E+2	-5,683062E-1	3,015625E+2	1,981370E-1	3,015625E+2	-6,281173E-1	3,015625E+2	-1,447748E-1	3,015625E+2	-2,638684E-1	3,015625E+2	2,921631E-2	3,015625E+2	-3,654523E-1
3,031250E+2	-3,418903E-2	3,031250E+2	-5,395738E-1	3,031250E+2	1,256238E-1	3,031250E+2	-5,536493E-1	3,031250E+2	-1,415847E-1	3,031250E+2	-2,732014E-1	3,031250E+2	1,948439E-1	3,031250E+2	-2,645829E-1
3,046875E+2	-7,663857E-2	3,046875E+2	-4,632830E-1	3,046875E+2	3,185565E-1	3,046875E+2	-1,165956E+0	3,046875E+2	1,155597E-1	3,046875E+2	-3,471566E-1	3,046875E+2	1,990688E-1	3,046875E+2	-2,667543E-1
3,062500E+2	-1,219025E-1	3,062500E+2	-3,893743E-1	3,062500E+2	3,895908E-1	3,062500E+2	-1,229411E+0	3,062500E+2	1,835675E-1	3,062500E+2	-3,177214E-1	3,062500E+2	2,029907E-1	3,062500E+2	-2,688185E-1
3,078125E+2	-5,414118E-2	3,078125E+2	-3,521820E-1	3,078125E+2	3,943976E-1	3,078125E+2	-1,214103E+0	3,078125E+2	1,870079E-1	3,078125E+2	-3,206931E-1	3,078125E+2	2,062007E-1	3,078125E+2	-2,720546E-1
3,093750E+2	4,804600E-3	3,093750E+2	-3,127628E-1	3,093750E+2	3,969084E-1	3,093750E+2	-1,198897E+0	3,093750E+2	1,901457E-1	3,093750E+2	-3,234037E-1	3,093750E+2	2,091104E-1	3,093750E+2	-2,752515E-1
3,109375E+2	5,855445E-1	3,109375E+2	-6,489780E-1	3,109375E+2	3,988052E-1	3,109375E+2	-1,166130E+0	3,109375E+2	1,924658E-1	3,109375E+2	-3,270496E-1	3,109375E+2	2,121881E-1	3,109375E+2	-2,802301E-1
3,125000E+2	7,890205E-1	3,125000E+2	-5,349203E-1	3,125000E+2	3,962825E-1	3,125000E+2	-1,134439E+0	3,125000E+2	1,944435E-1	3,125000E+2	-3,305012E-1	3,125000E+2	2,150173E-1	3,125000E+2	-2,851420E-1
3,140625E+2	7,946477E-1	3,140625E+2	-5,366981E-1	3,140625E+2	3,887583E-1	3,140625E+2	-1,114490E+0	3,140625E+2	2,185937E-1	3,140625E+2	-3,140521E-1	3,140625E+2	2,295172E-1	3,140625E+2	-2,470277E-1
