Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity 2	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity 2	
3,000000E+2	-6,050286E-1	3,000000E+2	-8,036128E-1	3,000000E+2	-4,722460E-1	3,000000E+2	-6,564599E-1	3,000000E+2	-1,504804E+0	3,000000E+2	-3,051314E-1	3,000000E+2	6,083880E-1	3,000000E+2	7,595109E-1
3,015625E+2	-6,886143E-1	3,015625E+2	-8,147769E-1	3,015625E+2	-6,134271E-1	3,015625E+2	-6,340689E-1	3,015625E+2	-1,484885E+0	3,015625E+2	-3,256980E-1	3,015625E+2	-8,819976E-1	3,015625E+2	-6,253278E-1
3,031250E+2	-7,758087E-1	3,031250E+2	-8,268352E-1	3,031250E+2	-7,845451E-1	3,031250E+2	-5,999791E-1	3,031250E+2	-1,463229E+0	3,031250E+2	-3,501544E-1	3,031250E+2	-6,167553E-1	3,031250E+2	-2,953571E-1
3,046875E+2	-9,466559E-1	3,046875E+2	-7,655995E-1	3,046875E+2	6,126955E-2	3,046875E+2	-8,060356E-1	3,046875E+2	-7,035426E-1	3,046875E+2	-4,858858E-1	3,046875E+2	-6,105733E-1	3,046875E+2	-2,967637E-1
3,062500E+2	-1,131875E+0	3,062500E+2	-6,801321E-1	3,062500E+2	1,229906E-1	3,062500E+2	-7,458466E-1	3,062500E+2	-5,902642E-1	3,062500E+2	-3,867977E-1	3,062500E+2	-6,049241E-1	3,062500E+2	-2,982023E-1
3,078125E+2	-1,043408E+0	3,078125E+2	-5,401351E-1	3,078125E+2	1,099231E-1	3,078125E+2	-7,440921E-1	3,078125E+2	-5,842108E-1	3,078125E+2	-3,882562E-1	3,078125E+2	-5,995689E-1	3,078125E+2	-3,011067E-1
3,093750E+2	-9,685077E-1	3,093750E+2	-4,248489E-1	3,093750E+2	9,677275E-2	3,093750E+2	-7,438106E-1	3,093750E+2	-5,787547E-1	3,093750E+2	-3,895464E-1	3,093750E+2	-5,946935E-1	3,093750E+2	-3,041155E-1
3,109375E+2	-1,313313E-1	3,109375E+2	-4,664357E-1	3,109375E+2	7,136440E-2	3,109375E+2	-7,410581E-1	3,109375E+2	-5,737019E-1	3,109375E+2	-3,922396E-1	3,109375E+2	-5,886286E-1	3,109375E+2	-3,089401E-1
3,125000E+2	-5,425620E-2	3,125000E+2	-3,161006E-1	3,125000E+2	4,572562E-2	3,125000E+2	-7,407107E-1	3,125000E+2	-5,692313E-1	3,125000E+2	-3,948656E-1	3,125000E+2	-5,829649E-1	3,125000E+2	-3,137525E-1
3,140625E+2	-5,171026E-2	3,140625E+2	-3,158197E-1	3,140625E+2	2,751301E-2	3,140625E+2	-7,446386E-1	3,140625E+2	-5,330488E-1	3,140625E+2	-3,539257E-1	3,140625E+2	-5,583786E-1	3,140625E+2	-2,456612E-1
3,156250E+2	-4,866829E-2	3,156250E+2	-3,159223E-1	3,156250E+2	1,024569E-2	3,156250E+2	-7,505306E-1	3,156250E+2	-1,302804E+0	3,156250E+2	-3,912859E-2	3,156250E+2	-1,222290E+0	3,156250E+2	-1,105309E-1
3,171875E+2	-2,503822E-1	3,171875E+2	-3,051731E-1	3,171875E+2	-9,382038E-2	3,171875E+2	-7,414418E-1	3,171875E+2	-1,307254E+0	3,171875E+2	-8,011060E-2	3,171875E+2	-1,246407E+0	3,171875E+2	-1,610728E-1
3,187500E+2	-8,736874E-1	3,187500E+2	-3,580822E-1	3,187500E+2	-1,194148E-1	3,187500E+2	-7,923368E-1	3,187500E+2	-1,312718E+0	3,187500E+2	-1,207563E-1	3,187500E+2	-1,276206E+0	3,187500E+2	-2,148587E-1
3,203125E+2	-8,645735E-1	3,203125E+2	-3,603117E-1	3,203125E+2	-1,941837E-1	3,203125E+2	-7,817635E-1	3,203125E+2	-1,323091E+0	3,203125E+2	-1,763065E-1	3,203125E+2	-1,299123E+0	3,203125E+2	-2,621972E-1
3,218750E+2	-8,561477E-1	3,218750E+2	-3,644735E-1	3,218750E+2	-2,580371E-1	3,218750E+2	-7,844180E-1	3,218750E+2	-1,334684E+0	3,218750E+2	-2,347701E-1	3,218750E+2	-1,327258E+0	3,218750E+2	-3,114018E-1
3,234375E+2	-8,406410E-1	3,234375E+2	-3,770465E-1	3,234375E+2	-2,555578E-1	3,234375E+2	-7,758519E-1	3,234375E+2	-1,343924E+0	3,234375E+2	-3,051221E-1	3,234375E+2	-1,353883E+0	3,234375E+2	-3,662330E-1
3,250000E+2	-8,248610E-1	3,250000E+2	-3,905813E-1	3,250000E+2	-2,533006E-1	3,250000E+2	-7,681161E-1	3,250000E+2	-1,353142E+0	3,250000E+2	-3,816333E-1	3,250000E+2	-1,386530E+0	3,250000E+2	-4,247711E-1
3,265625E+2	5,418651E-2	3,265625E+2	-6,090836E-1	3,265625E+2	-1,507930E-1	3,265625E+2	-7,118753E-1	3,265625E+2	-1,346486E+0	3,265625E+2	-4,527577E-1	3,265625E+2	-1,390190E+0	3,265625E+2	-4,710858E-1
3,281250E+2	2,277186E-1	3,281250E+2	-4,328690E-1	3,281250E+2	-9,144557E-1	3,281250E+2	-9,863030E-2	3,281250E+2	-1,338230E+0	3,281250E+2	-5,273694E-1	3,281250E+2	-1,395501E+0	3,281250E+2	-5,173803E-1
3,296875E+2	1,412536E-1	3,296875E+2	-2,823679E-1	3,296875E+2	-9,297495E-1	3,296875E+2	-9,893703E-2	3,296875E+2	-1,318871E+0	3,296875E+2	-6,007306E-1	3,296875E+2	-1,399662E+0	3,296875E+2	-5,713666E-1
3,312500E+2	-4,985031E-1	3,312500E+2	2,104653E-1	3,312500E+2	-9,542225E-1	3,312500E+2	-9,754606E-2	3,312500E+2	-1,296726E+0	3,312500E+2	-6,766262E-1	3,312500E+2	-1,405028E+0	3,312500E+2	-6,266791E-1
3,328125E+2	-5,727406E-1	3,328125E+2	1,544034E-1	3,328125E+2	-9,497835E-1	3,328125E+2	-1,148918E-1	3,328125E+2	-1,257050E+0	3,328125E+2	-7,349365E-1	3,328125E+2	-1,381879E+0	3,328125E+2	-6,630916E-1
3,343750E+2	-6,342934E-1	3,343750E+2	6,791763E-2	3,343750E+2	-9,469462E-1	3,343750E+2	-1,298643E-1	3,343750E+2	-1,215815E+0	3,343750E+2	-7,918712E-1	3,343750E+2	-1,358660E+0	3,343750E+2	-6,978906E-1
3,359375E+2	-6,370184E-1	3,359375E+2	3,225483E-2	3,359375E+2	-9,368278E-1	3,359375E+2	-1,561883E-1	3,359375E+2	-1,162844E+0	3,359375E+2	-8,396330E-1	3,359375E+2	-1,320555E+0	3,359375E+2	-7,209550E-1
3,375000E+2	-6,373885E-1	3,375000E+2	-5,030574E-3	3,375000E+2	-9,265891E-1	3,375000E+2	-1,809519E-1	3,375000E+2	-1,109363E+0	3,375000E+2	-8,844776E-1	3,375000E+2	-1,283188E+0	3,375000E+2	-7,420810E-1
3,390625E+2	-6,355016E-1	3,390625E+2	-3,764008E-2	3,390625E+2	-9,114468E-1	3,390625E+2	-2,128268E-1	3,390625E+2	-1,053695E+0	3,390625E+2	-9,029014E-1	3,390625E+2	-1,244230E+0	3,390625E+2	-7,690044E-1
