Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Hard Wall	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Hard Wall	
3,000000E+2	-4,419487E-1	3,000000E+2	-8,296272E-1	3,000000E+2	-2,104931E-1	3,000000E+2	-6,752834E-1	3,000000E+2	-1,152874E+0	3,000000E+2	-6,465574E-1	3,000000E+2	7,829355E-1	3,000000E+2	7,207696E-1
3,015625E+2	-5,088446E-1	3,015625E+2	-8,542795E-1	3,015625E+2	-3,093938E-1	3,015625E+2	-6,864431E-1	3,015625E+2	-1,135296E+0	3,015625E+2	-6,588172E-1	3,015625E+2	-7,256546E-1	3,015625E+2	-6,127424E-1
3,031250E+2	-5,782118E-1	3,031250E+2	-8,817065E-1	3,031250E+2	-4,306747E-1	3,031250E+2	-7,036917E-1	3,031250E+2	-1,115585E+0	3,031250E+2	-6,733112E-1	3,031250E+2	-5,956186E-1	3,031250E+2	-3,533294E-1
3,046875E+2	-7,303930E-1	3,046875E+2	-8,681991E-1	3,046875E+2	1,487817E-1	3,046875E+2	-7,527045E-1	3,046875E+2	-6,345303E-1	3,046875E+2	-5,086576E-1	3,046875E+2	-5,893033E-1	3,046875E+2	-3,535690E-1
3,062500E+2	-9,033887E-1	3,062500E+2	-8,440186E-1	3,062500E+2	1,926650E-1	3,062500E+2	-7,142726E-1	3,062500E+2	-5,762208E-1	3,062500E+2	-4,231267E-1	3,062500E+2	-5,834554E-1	3,062500E+2	-3,538366E-1
3,078125E+2	-8,570265E-1	3,078125E+2	-6,914470E-1	3,078125E+2	1,841790E-1	3,078125E+2	-7,103360E-1	3,078125E+2	-5,702909E-1	3,078125E+2	-4,242444E-1	3,078125E+2	-5,778325E-1	3,078125E+2	-3,558749E-1
3,093750E+2	-8,146228E-1	3,093750E+2	-5,648327E-1	3,093750E+2	1,755505E-1	3,093750E+2	-7,075837E-1	3,093750E+2	-5,649138E-1	3,093750E+2	-4,252412E-1	3,093750E+2	-5,726104E-1	3,093750E+2	-3,580016E-1
3,109375E+2	-8,039361E-2	3,109375E+2	-4,422151E-1	3,109375E+2	1,564608E-1	3,109375E+2	-7,032261E-1	3,109375E+2	-5,598635E-1	3,109375E+2	-4,278133E-1	3,109375E+2	-5,662064E-1	3,109375E+2	-3,620710E-1
3,125000E+2	-2,618695E-2	3,125000E+2	-3,068317E-1	3,125000E+2	1,371806E-1	3,125000E+2	-7,010161E-1	3,125000E+2	-5,553396E-1	3,125000E+2	-4,303607E-1	3,125000E+2	-5,601417E-1	3,125000E+2	-3,661363E-1
3,140625E+2	-2,293950E-2	3,140625E+2	-3,059150E-1	3,140625E+2	1,240159E-1	3,140625E+2	-7,029848E-1	3,140625E+2	-5,390177E-1	3,140625E+2	-3,966308E-1	3,140625E+2	-5,635400E-1	3,140625E+2	-3,141377E-1
3,156250E+2	-1,923355E-2	3,156250E+2	-3,052634E-1	3,156250E+2	1,116943E-1	3,156250E+2	-7,066716E-1	3,156250E+2	-1,128032E+0	3,156250E+2	-4,662289E-1	3,156250E+2	-1,019644E+0	3,156250E+2	-5,023910E-1
3,171875E+2	-1,982315E-1	3,171875E+2	-3,098371E-1	3,171875E+2	-4,381912E-2	3,171875E+2	-7,077878E-1	3,171875E+2	-1,112177E+0	3,171875E+2	-5,148634E-1	3,171875E+2	-1,014340E+0	3,171875E+2	-5,658312E-1
