Sample 1 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 1 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 2 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 3 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Real_Frequency [Hz]	T12 Transfer Matrix Coefficient	Sample 4 - Imag_Frequency [Hz]	T12 Transfer Matrix Coefficient	
3,000000E+2	2,606944E-1	3,000000E+2	-2,704224E+2	3,000000E+2	-3,691173E+0	3,000000E+2	-2,750792E+2	3,000000E+2	-2,765774E+1	3,000000E+2	-3,071809E+2	3,000000E+2	-1,670882E+1	3,000000E+2	-2,771870E+2
3,015625E+2	4,049388E-1	3,015625E+2	-2,663855E+2	3,015625E+2	-4,771746E+0	3,015625E+2	-2,690925E+2	3,015625E+2	-2,827247E+1	3,015625E+2	-3,050790E+2	3,015625E+2	-4,078861E+1	3,015625E+2	-3,270439E+2
3,031250E+2	7,221655E-1	3,031250E+2	-2,626885E+2	3,031250E+2	-5,692976E+0	3,031250E+2	-2,637847E+2	3,031250E+2	-2,874535E+1	3,031250E+2	-3,031081E+2	3,031250E+2	4,773917E+1	3,031250E+2	-3,385342E+2
3,046875E+2	1,378380E+0	3,046875E+2	-2,580488E+2	3,046875E+2	-2,157858E+1	3,046875E+2	-3,639924E+2	3,046875E+2	-3,406634E+1	3,046875E+2	-3,534687E+2	3,046875E+2	4,604114E+1	3,046875E+2	-3,346945E+2
3,062500E+2	1,945652E+0	3,062500E+2	-2,540493E+2	3,062500E+2	5,010188E+0	3,062500E+2	-3,998787E+2	3,062500E+2	5,129387E+1	3,062500E+2	-3,578849E+2	3,062500E+2	4,426717E+1	3,062500E+2	-3,309792E+2
3,078125E+2	5,110666E+0	3,078125E+2	-2,534023E+2	3,078125E+2	2,466030E+0	3,078125E+2	-3,871669E+2	3,078125E+2	4,878734E+1	3,078125E+2	-3,530157E+2	3,078125E+2	4,240478E+1	3,078125E+2	-3,273158E+2
3,093750E+2	8,082584E+0	3,093750E+2	-2,523877E+2	3,093750E+2	7,795821E-2	3,093750E+2	-3,757192E+2	3,093750E+2	4,611235E+1	3,093750E+2	-3,482573E+2	3,093750E+2	4,049480E+1	3,093750E+2	-3,237613E+2
3,109375E+2	1,606990E+1	3,109375E+2	-3,126635E+2	3,109375E+2	-1,856333E+0	3,109375E+2	-3,649346E+2	3,109375E+2	4,325536E+1	3,109375E+2	-3,435118E+2	3,109375E+2	3,841286E+1	3,109375E+2	-3,202337E+2
3,125000E+2	5,860748E+1	3,125000E+2	-3,467968E+2	3,125000E+2	-3,646618E+0	3,125000E+2	-3,553597E+2	3,125000E+2	4,028788E+1	3,125000E+2	-3,388825E+2	3,125000E+2	3,628040E+1	3,125000E+2	-3,167742E+2
3,140625E+2	5,447530E+1	3,140625E+2	-3,395285E+2	3,140625E+2	-5,297653E+0	3,140625E+2	-3,471200E+2	3,140625E+2	3,696956E+1	3,140625E+2	-3,257211E+2	3,140625E+2	3,259712E+1	3,140625E+2	-3,128162E+2
3,156250E+2	5,054288E+1	3,156250E+2	-3,326205E+2	3,156250E+2	-6,703150E+0	3,156250E+2	-3,395341E+2	3,156250E+2	2,275114E+1	3,156250E+2	-3,250597E+2	3,156250E+2	3,186169E+1	3,156250E+2	-3,130672E+2
3,171875E+2	4,263799E+1	3,171875E+2	-3,146836E+2	3,171875E+2	-4,704712E+1	3,171875E+2	-3,760804E+2	3,171875E+2	2,270861E+1	3,171875E+2	-3,230982E+2	3,171875E+2	3,187907E+1	3,171875E+2	-3,112168E+2
3,187500E+2	3,271964E+1	3,187500E+2	-3,057071E+2	3,187500E+2	3,527394E+1	3,187500E+2	-4,272297E+2	3,187500E+2	2,266615E+1	3,187500E+2	-3,211820E+2	3,187500E+2	3,193622E+1	3,187500E+2	-3,094253E+2
3,203125E+2	3,132901E+1	3,203125E+2	-3,035384E+2	3,203125E+2	3,342254E+1	3,203125E+2	-4,145067E+2	3,203125E+2	2,257529E+1	3,203125E+2	-3,192374E+2	3,203125E+2	3,198976E+1	3,203125E+2	-3,076034E+2
3,218750E+2	2,998869E+1	3,218750E+2	-3,013875E+2	3,218750E+2	3,243541E+1	3,218750E+2	-4,041486E+2	3,218750E+2	2,248854E+1	3,218750E+2	-3,173304E+2	3,218750E+2	3,208326E+1	3,218750E+2	-3,058598E+2
3,234375E+2	2,858023E+1	3,234375E+2	-2,991119E+2	3,234375E+2	3,172855E+1	3,234375E+2	-3,943755E+2	3,234375E+2	2,240358E+1	3,234375E+2	-3,153822E+2	3,234375E+2	3,207606E+1	3,234375E+2	-3,040513E+2
3,250000E+2	2,722774E+1	3,250000E+2	-2,968123E+2	3,250000E+2	3,079190E+1	3,250000E+2	-3,847422E+2	3,250000E+2	2,232668E+1	3,250000E+2	-3,134734E+2	3,250000E+2	3,210331E+1	3,250000E+2	-3,023214E+2
