Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	9,580502E-1
3,015625E+2	9,602187E-1
3,031250E+2	9,622991E-1
3,046875E+2	9,649976E-1
3,062500E+2	9,675271E-1
3,078125E+2	9,654786E-1
3,093750E+2	9,570631E-1
3,109375E+2	9,572212E-1
3,125000E+2	9,573718E-1
3,140625E+2	9,574142E-1
3,156250E+2	9,574506E-1
3,171875E+2	9,573994E-1
3,187500E+2	9,573424E-1
3,203125E+2	9,571906E-1
3,218750E+2	9,570337E-1
3,234375E+2	9,568031E-1
3,250000E+2	9,565684E-1
3,265625E+2	9,563269E-1
3,281250E+2	9,560800E-1
3,296875E+2	9,345996E-1
3,312500E+2	9,105728E-1
3,328125E+2	9,103663E-1
3,343750E+2	9,101207E-1
3,359375E+2	9,100125E-1
3,375000E+2	9,098698E-1
3,390625E+2	9,096267E-1
3,406250E+2	9,093519E-1
3,421875E+2	9,090725E-1
3,437500E+2	9,087620E-1
3,453125E+2	9,083448E-1
3,468750E+2	9,078967E-1
3,484375E+2	9,072962E-1
3,500000E+2	9,066625E-1
3,515625E+2	9,059771E-1
3,531250E+2	9,052549E-1
3,546875E+2	8,771001E-1
3,562500E+2	8,398299E-1
3,578125E+2	8,391287E-1
3,593750E+2	8,383682E-1
3,609375E+2	8,378263E-1
3,625000E+2	8,372370E-1
3,640625E+2	8,364342E-1
3,656250E+2	8,355817E-1
3,671875E+2	8,345955E-1
3,687500E+2	8,335572E-1
3,703125E+2	8,131074E-1
3,718750E+2	7,835533E-1
3,734375E+2	7,827191E-1
3,750000E+2	7,818432E-1
3,765625E+2	7,805863E-1
3,781250E+2	7,792759E-1
3,796875E+2	7,778395E-1
3,812500E+2	7,763431E-1
3,828125E+2	7,749805E-1
3,843750E+2	7,735634E-1
3,859375E+2	7,722128E-1
3,875000E+2	7,708101E-1
3,890625E+2	7,695489E-1
3,906250E+2	7,682429E-1
3,921875E+2	7,668075E-1
3,937500E+2	7,653248E-1
3,953125E+2	7,635995E-1
3,968750E+2	7,618223E-1
3,984375E+2	7,600452E-1
4,000000E+2	7,582117E-1
4,015625E+2	7,404364E-1
4,031250E+2	7,141311E-1
4,046875E+2	7,129434E-1
4,062500E+2	7,117209E-1
4,078125E+2	7,102529E-1
4,093750E+2	7,087478E-1
4,109375E+2	7,073543E-1
4,125000E+2	7,059288E-1
4,140625E+2	7,042294E-1
4,156250E+2	7,024950E-1
4,171875E+2	7,008963E-1
4,187500E+2	6,992657E-1
4,203125E+2	6,973949E-1
4,218750E+2	6,954872E-1
4,234375E+2	6,935769E-1
4,250000E+2	6,916279E-1
4,265625E+2	6,896423E-1
4,281250E+2	6,876170E-1
4,296875E+2	6,855270E-1
4,312500E+2	6,833964E-1
4,328125E+2	6,661655E-1
4,343750E+2	6,422463E-1
4,359375E+2	6,402827E-1
4,375000E+2	6,382978E-1
4,390625E+2	6,361021E-1
4,406250E+2	6,338805E-1
4,421875E+2	6,315152E-1
4,437500E+2	6,291203E-1
4,453125E+2	6,271013E-1
4,468750E+2	6,250563E-1
4,484375E+2	6,226876E-1
4,500000E+2	6,202897E-1
4,515625E+2	6,180514E-1
4,531250E+2	6,157863E-1
4,546875E+2	6,138493E-1
4,562500E+2	6,118886E-1
4,578125E+2	6,101375E-1
4,593750E+2	6,083649E-1
4,609375E+2	6,066738E-1
4,625000E+2	6,049625E-1
4,640625E+2	6,029562E-1
4,656250E+2	6,009290E-1
4,671875E+2	5,992917E-1
4,687500E+2	5,976344E-1
4,703125E+2	5,795229E-1
4,718750E+2	5,575903E-1
4,734375E+2	5,556156E-1
4,750000E+2	5,536299E-1
4,765625E+2	5,514120E-1
4,781250E+2	5,491831E-1
4,796875E+2	5,467439E-1
4,812500E+2	5,442949E-1
4,828125E+2	5,418569E-1
4,843750E+2	5,394116E-1
4,859375E+2	5,367275E-1
4,875000E+2	5,340373E-1
4,890625E+2	5,307375E-1
4,906250E+2	5,274316E-1
4,921875E+2	5,244170E-1
4,937500E+2	5,213997E-1
4,953125E+2	5,290684E-1
4,968750E+2	5,213736E-1
4,984375E+2	5,211118E-1
5,000000E+2	5,208346E-1
5,015625E+2	5,199282E-1
5,031250E+2	5,190107E-1
5,046875E+2	5,183174E-1
5,062500E+2	5,176077E-1
5,078125E+2	5,168813E-1
5,093750E+2	5,161349E-1
5,109375E+2	5,150973E-1
5,125000E+2	5,140383E-1
5,140625E+2	5,132891E-1
5,156250E+2	5,125119E-1
5,171875E+2	5,117157E-1
5,187500E+2	5,108878E-1
5,203125E+2	5,097440E-1
5,218750E+2	5,085691E-1
5,234375E+2	5,070840E-1
5,250000E+2	5,055717E-1
5,265625E+2	5,045602E-1
