Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	1,245515E+0	3,000000E+2	-3,973288E-1
3,015625E+2	1,250044E+0	3,015625E+2	-3,803059E-1
3,031250E+2	1,253906E+0	3,031250E+2	-3,633640E-1
3,046875E+2	1,259712E+0	3,046875E+2	-3,395862E-1
3,062500E+2	1,264453E+0	3,062500E+2	-3,159416E-1
3,078125E+2	1,405167E+0	3,078125E+2	-1,918611E-1
3,093750E+2	1,519793E+0	3,093750E+2	-5,045594E-2
3,109375E+2	1,519360E+0	3,109375E+2	-4,324068E-2
3,125000E+2	1,518861E+0	3,125000E+2	-3,605895E-2
3,140625E+2	1,519092E+0	3,140625E+2	-2,864954E-2
3,156250E+2	1,519241E+0	3,156250E+2	-2,123048E-2
3,171875E+2	1,519936E+0	3,171875E+2	-1,383785E-2
3,187500E+2	1,520550E+0	3,187500E+2	-6,405409E-3
3,203125E+2	1,521762E+0	3,203125E+2	1,249071E-3
3,218750E+2	1,522876E+0	3,218750E+2	8,975880E-3
3,234375E+2	1,524399E+0	3,234375E+2	1,716258E-2
3,250000E+2	1,525793E+0	3,250000E+2	2,544530E-2
3,265625E+2	1,527119E+0	3,265625E+2	3,323822E-2
3,281250E+2	1,528338E+0	3,281250E+2	4,113025E-2
3,296875E+2	1,679032E+0	3,296875E+2	9,428511E-2
3,312500E+2	1,828290E+0	3,312500E+2	1,793311E-1
3,328125E+2	1,827503E+0	3,328125E+2	1,870159E-1
3,343750E+2	1,826859E+0	3,343750E+2	1,948152E-1
3,359375E+2	1,825043E+0	3,359375E+2	2,029511E-1
3,375000E+2	1,823334E+0	3,375000E+2	2,111563E-1
3,390625E+2	1,821912E+0	3,390625E+2	2,202360E-1
3,406250E+2	1,820537E+0	3,406250E+2	2,294210E-1
3,421875E+2	1,819018E+0	3,421875E+2	2,387032E-1
3,437500E+2	1,817529E+0	3,437500E+2	2,480976E-1
3,453125E+2	1,816480E+0	3,453125E+2	2,579092E-1
3,468750E+2	1,815426E+0	3,468750E+2	2,678752E-1
3,484375E+2	1,815189E+0	3,484375E+2	2,781035E-1
3,500000E+2	1,814920E+0	3,500000E+2	2,885520E-1
3,515625E+2	1,815037E+0	3,515625E+2	2,986267E-1
3,531250E+2	1,815132E+0	3,531250E+2	3,089583E-1
3,546875E+2	2,024723E+0	3,546875E+2	2,911457E-1
3,562500E+2	2,286360E+0	3,562500E+2	2,991162E-1
3,578125E+2	2,286258E+0	3,578125E+2	3,142541E-1
3,593750E+2	2,286254E+0	3,593750E+2	3,296186E-1
3,609375E+2	2,283779E+0	3,609375E+2	3,466247E-1
