Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	9,923486E+1
3,015625E+2	9,889332E+1
3,031250E+2	9,853779E+1
3,046875E+2	9,821633E+1
3,062500E+2	9,788252E+1
3,078125E+2	9,851872E+1
3,093750E+2	9,911149E+1
3,109375E+2	9,931340E+1
3,125000E+2	9,951073E+1
3,140625E+2	9,964169E+1
3,156250E+2	9,977070E+1
3,171875E+2	9,983219E+1
3,187500E+2	9,989325E+1
3,203125E+2	9,988735E+1
3,218750E+2	9,988145E+1
3,234375E+2	9,980897E+1
3,250000E+2	9,973588E+1
3,265625E+2	9,959328E+1
3,281250E+2	9,944830E+1
3,296875E+2	9,951458E+1
3,312500E+2	9,958035E+1
3,328125E+2	9,979479E+1
3,343750E+2	1,000041E+2
3,359375E+2	1,001506E+2
3,375000E+2	1,002947E+2
3,390625E+2	1,003731E+2
3,406250E+2	1,004507E+2
3,421875E+2	1,004615E+2
3,437500E+2	1,004723E+2
3,453125E+2	1,004166E+2
3,468750E+2	1,003604E+2
3,484375E+2	1,002373E+2
3,500000E+2	1,001123E+2
3,515625E+2	9,992084E+1
3,531250E+2	9,972507E+1
3,546875E+2	9,900566E+1
3,562500E+2	9,822125E+1
3,578125E+2	9,842300E+1
3,593750E+2	9,862017E+1
3,609375E+2	9,876323E+1
3,625000E+2	9,890398E+1
3,640625E+2	9,897698E+1
3,656250E+2	9,904937E+1
3,671875E+2	9,905550E+1
3,687500E+2	9,906162E+1
3,703125E+2	9,837088E+1
3,718750E+2	9,762044E+1
3,734375E+2	9,797641E+1
3,750000E+2	9,831836E+1
3,765625E+2	9,859620E+1
3,781250E+2	9,886543E+1
3,796875E+2	9,907514E+1
3,812500E+2	9,927990E+1
3,828125E+2	9,942879E+1
3,843750E+2	9,957517E+1
3,859375E+2	9,966112E+1
3,875000E+2	9,974623E+1
3,890625E+2	9,977004E+1
3,906250E+2	9,979379E+1
3,921875E+2	9,974977E+1
3,937500E+2	9,970552E+1
3,953125E+2	9,959354E+1
3,968750E+2	9,948009E+1
3,984375E+2	9,930834E+1
4,000000E+2	9,913311E+1
4,015625E+2	9,909745E+1
4,031250E+2	9,906164E+1
4,046875E+2	9,933462E+1
4,062500E+2	9,959929E+1
4,078125E+2	9,980002E+1
4,093750E+2	9,999621E+1
4,109375E+2	1,001274E+2
4,125000E+2	1,002566E+2
4,140625E+2	1,003167E+2
4,156250E+2	1,003765E+2
4,171875E+2	1,003699E+2
4,187500E+2	1,003632E+2
4,203125E+2	1,002896E+2
4,218750E+2	1,002154E+2
4,234375E+2	1,000784E+2
4,250000E+2	9,993907E+1
4,265625E+2	9,973863E+1
4,281250E+2	9,953345E+1
4,296875E+2	9,926968E+1
4,312500E+2	9,899764E+1
4,328125E+2	9,923587E+1
4,343750E+2	9,946773E+1
4,359375E+2	9,961640E+1
4,375000E+2	9,976258E+1
4,390625E+2	9,984789E+1
4,406250E+2	9,993237E+1
4,421875E+2	9,995590E+1
4,437500E+2	9,997936E+1
4,453125E+2	9,994147E+1
4,468750E+2	9,990343E+1
4,484375E+2	9,980358E+1
4,500000E+2	9,970257E+1
4,515625E+2	9,954007E+1
4,531250E+2	9,937447E+1
4,546875E+2	9,914828E+1
4,562500E+2	9,891604E+1
4,578125E+2	9,862377E+1
4,593750E+2	9,832133E+1
4,609375E+2	9,795959E+1
4,625000E+2	9,758212E+1
4,640625E+2	9,714719E+1
4,656250E+2	9,668932E+1
4,671875E+2	9,617981E+1
4,687500E+2	9,563853E+1
4,703125E+2	9,557111E+1
4,718750E+2	9,550317E+1
4,734375E+2	9,530717E+1
4,750000E+2	9,510664E+1
4,765625E+2	9,484762E+1
4,781250E+2	9,458063E+1
4,796875E+2	9,425516E+1
4,812500E+2	9,391701E+1
4,828125E+2	9,352062E+1
4,843750E+2	9,310526E+1
4,859375E+2	9,263315E+1
4,875000E+2	9,213390E+1
4,890625E+2	9,158008E+1
4,906250E+2	9,098851E+1
4,921875E+2	9,034611E+1
4,937500E+2	8,965238E+1
4,953125E+2	9,120625E+1
4,968750E+2	9,252386E+1
4,984375E+2	9,279379E+1
5,000000E+2	9,305558E+1
5,015625E+2	9,324960E+1
5,031250E+2	9,343938E+1
5,046875E+2	9,355973E+1
5,062500E+2	9,367843E+1
5,078125E+2	9,372788E+1
5,093750E+2	9,377705E+1
5,109375E+2	9,375847E+1
5,125000E+2	9,373985E+1
5,140625E+2	9,365276E+1
5,156250E+2	9,356479E+1
5,171875E+2	9,341097E+1
5,187500E+2	9,325438E+1
5,203125E+2	9,303324E+1
5,218750E+2	9,280631E+1
5,234375E+2	9,251456E+1
5,250000E+2	9,221266E+1
5,265625E+2	9,184552E+1
5,281250E+2	9,146218E+1
5,296875E+2	9,101659E+1
5,312500E+2	9,054690E+1
5,328125E+2	9,001898E+1
5,343750E+2	8,945688E+1
5,359375E+2	8,950087E+1
5,375000E+2	8,954465E+1
5,390625E+2	8,941358E+1
5,406250E+2	8,928050E+1
5,421875E+2	8,935508E+1
5,437500E+2	8,942903E+1
5,453125E+2	8,955882E+1
5,468750E+2	8,968671E+1
5,484375E+2	8,973908E+1
5,500000E+2	8,979113E+1
5,515625E+2	8,982563E+1
5,531250E+2	8,986000E+1
5,546875E+2	8,989526E+1
5,562500E+2	8,993037E+1
5,578125E+2	8,997063E+1
5,593750E+2	9,001070E+1
5,609375E+2	9,030256E+1
5,625000E+2	9,058494E+1
5,640625E+2	9,076612E+1
5,656250E+2	9,094360E+1
5,671875E+2	9,106328E+1
5,687500E+2	9,118134E+1
5,703125E+2	9,124580E+1
5,718750E+2	9,130979E+1
5,734375E+2	9,132710E+1
5,750000E+2	9,134437E+1
5,765625E+2	9,131227E+1
5,781250E+2	9,128006E+1
5,796875E+2	9,119156E+1
5,812500E+2	9,110216E+1
5,828125E+2	9,095296E+1
5,843750E+2	9,080115E+1
5,859375E+2	9,059143E+1
5,875000E+2	9,037651E+1
5,890625E+2	9,011424E+1
5,906250E+2	8,984381E+1
5,921875E+2	8,952439E+1
5,937500E+2	8,919278E+1
5,953125E+2	9,073156E+1
5,968750E+2	9,203832E+1
5,984375E+2	9,235257E+1
6,000000E+2	9,265585E+1
6,015625E+2	9,289646E+1
6,031250E+2	9,313059E+1
6,046875E+2	9,330262E+1
6,062500E+2	9,347130E+1
6,078125E+2	9,357960E+1
6,093750E+2	9,368656E+1
6,109375E+2	9,373793E+1
6,125000E+2	9,378900E+1
6,140625E+2	9,378047E+1
6,156250E+2	9,377193E+1
6,171875E+2	9,371459E+1
6,187500E+2	9,365686E+1
