Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	6,935974E-1	3,000000E+2	-2,010744E-2
3,015625E+2	6,954282E-1	3,015625E+2	-2,142482E-2
3,031250E+2	6,977524E-1	3,031250E+2	-2,313848E-2
3,046875E+2	7,004989E-1	3,046875E+2	-2,690847E-2
3,062500E+2	7,039040E-1	3,062500E+2	-3,120905E-2
3,078125E+2	7,061281E-1	3,078125E+2	-3,567659E-2
3,093750E+2	7,089413E-1	3,093750E+2	-4,074858E-2
3,109375E+2	7,097197E-1	3,109375E+2	-4,255619E-2
3,125000E+2	7,108172E-1	3,125000E+2	-4,480273E-2
3,140625E+2	7,121367E-1	3,140625E+2	-4,632765E-2
3,156250E+2	7,137749E-1	3,156250E+2	-4,823412E-2
3,171875E+2	7,154819E-1	3,171875E+2	-4,927041E-2
3,187500E+2	7,174908E-1	3,187500E+2	-5,062935E-2
3,203125E+2	7,190898E-1	3,203125E+2	-5,132676E-2
3,218750E+2	7,209546E-1	3,218750E+2	-5,231803E-2
3,234375E+2	7,221625E-1	3,234375E+2	-5,228778E-2
3,250000E+2	7,235800E-1	3,250000E+2	-5,251289E-2
3,265625E+2	7,247808E-1	3,265625E+2	-5,263989E-2
3,281250E+2	7,261826E-1	3,281250E+2	-5,301821E-2
3,296875E+2	7,271496E-1	3,296875E+2	-5,228189E-2
3,312500E+2	7,282754E-1	3,312500E+2	-5,175272E-2
3,328125E+2	7,290443E-1	3,328125E+2	-4,983952E-2
3,343750E+2	7,299269E-1	3,343750E+2	-4,808172E-2
3,359375E+2	7,307057E-1	3,359375E+2	-4,487333E-2
3,375000E+2	7,315637E-1	3,375000E+2	-4,177019E-2
3,390625E+2	7,324555E-1	3,390625E+2	-3,798427E-2
3,406250E+2	7,334134E-1	3,406250E+2	-3,427845E-2
3,421875E+2	7,343884E-1	3,421875E+2	-3,021066E-2
3,437500E+2	7,354242E-1	3,437500E+2	-2,620842E-2
3,453125E+2	7,365517E-1	3,453125E+2	-2,234623E-2
3,468750E+2	7,377485E-1	3,468750E+2	-1,854585E-2
3,484375E+2	7,390422E-1	3,484375E+2	-1,502670E-2
3,500000E+2	7,404170E-1	3,500000E+2	-1,156906E-2
3,515625E+2	7,422587E-1	3,515625E+2	-9,259745E-3
3,531250E+2	7,442258E-1	3,531250E+2	-7,028175E-3
3,546875E+2	7,462645E-1	3,546875E+2	-5,668436E-3
3,562500E+2	7,484519E-1	3,562500E+2	-4,407113E-3
3,578125E+2	7,504547E-1	3,578125E+2	-3,929159E-3
3,593750E+2	7,526168E-1	3,593750E+2	-3,574355E-3
3,609375E+2	7,548961E-1	3,609375E+2	-5,991796E-3
3,625000E+2	7,573847E-1	3,625000E+2	-8,628442E-3
3,640625E+2	7,612394E-1	3,640625E+2	-5,183622E-2
3,656250E+2	7,643588E-1	3,656250E+2	-9,917468E-2
3,671875E+2	7,656777E-1	3,671875E+2	-9,371853E-2
3,687500E+2	7,669976E-1	3,687500E+2	-8,826643E-2
3,703125E+2	7,683660E-1	3,703125E+2	-8,257185E-2
3,718750E+2	7,697318E-1	3,718750E+2	-7,687434E-2
3,734375E+2	7,710059E-1	3,734375E+2	-7,119399E-2
3,750000E+2	7,722775E-1	3,750000E+2	-6,550992E-2
3,765625E+2	7,734910E-1	3,765625E+2	-5,999578E-2
3,781250E+2	7,747054E-1	3,781250E+2	-5,447785E-2
3,796875E+2	7,758949E-1	3,796875E+2	-4,970292E-2
3,812500E+2	7,771005E-1	3,812500E+2	-4,493050E-2
3,828125E+2	7,780790E-1	3,828125E+2	-4,193286E-2
3,843750E+2	7,791017E-1	3,843750E+2	-3,896264E-2
3,859375E+2	7,802435E-1	3,859375E+2	-4,198434E-2
3,875000E+2	7,814928E-1	3,875000E+2	-4,515225E-2
3,890625E+2	7,821503E-1	3,890625E+2	-5,012949E-2
3,906250E+2	7,828991E-1	3,906250E+2	-5,529110E-2
3,921875E+2	7,840176E-1	3,921875E+2	-5,694844E-2
3,937500E+2	7,852271E-1	3,937500E+2	-5,869413E-2
3,953125E+2	7,865369E-1	3,953125E+2	-5,866038E-2
3,968750E+2	7,879240E-1	3,968750E+2	-5,867218E-2
3,984375E+2	7,897196E-1	3,984375E+2	-5,998782E-2
4,000000E+2	7,916101E-1	4,000000E+2	-6,136286E-2
4,015625E+2	7,930999E-1	4,015625E+2	-6,728727E-2
4,031250E+2	7,946815E-1	4,031250E+2	-7,336109E-2
4,046875E+2	7,959012E-1	4,046875E+2	-7,904719E-2
4,062500E+2	7,972005E-1	4,062500E+2	-8,485738E-2
4,078125E+2	7,987059E-1	4,078125E+2	-8,762569E-2
4,093750E+2	8,002942E-1	4,093750E+2	-9,044760E-2
4,109375E+2	8,011108E-1	4,109375E+2	-9,171952E-2
4,125000E+2	8,019919E-1	4,125000E+2	-9,301465E-2
4,140625E+2	8,016987E-1	4,140625E+2	-9,559028E-2
4,156250E+2	8,014601E-1	4,156250E+2	-9,819634E-2
4,171875E+2	7,996191E-1	4,171875E+2	-1,105442E-1
4,187500E+2	7,977051E-1	4,187500E+2	-1,230245E-1
4,203125E+2	7,975273E-1	4,203125E+2	-1,302437E-1
4,218750E+2	7,973843E-1	4,218750E+2	-1,375142E-1
4,234375E+2	7,972080E-1	4,234375E+2	-1,421649E-1
4,250000E+2	7,970846E-1	4,250000E+2	-1,468223E-1
4,265625E+2	7,974190E-1	4,265625E+2	-1,491391E-1
4,281250E+2	7,978145E-1	4,281250E+2	-1,514341E-1
4,296875E+2	7,980363E-1	4,296875E+2	-1,532227E-1
4,312500E+2	7,983181E-1	4,312500E+2	-1,549773E-1
4,328125E+2	7,966511E-1	4,328125E+2	-1,621146E-1
4,343750E+2	7,950122E-1	4,343750E+2	-1,692183E-1
