Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 14_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 15_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 16_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 17_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 18_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 19_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 20_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 21_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 22_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 23_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 24_Frequency [Hz]	Absorption Coefficient on Cavity	
1,156250E+2	3,626899E-2	1,156250E+2	4,320627E-2	1,156250E+2	4,032354E-2	1,156250E+2	3,973255E-2	1,156250E+2	1,684320E-2	1,156250E+2	2,218097E-2	1,156250E+2	6,843165E-2	1,156250E+2	7,125802E-2	1,156250E+2	7,325795E-2	1,156250E+2	3,192412E-1	1,156250E+2	3,088148E-2	1,156250E+2	3,690123E-2	1,156250E+2	3,033506E-1	1,156250E+2	2,270774E-1	1,156250E+2	7,851191E-2	1,156250E+2	7,612355E-2	1,156250E+2	3,810083E-2	1,156250E+2	4,677642E-2	1,156250E+2	6,390071E-2	1,156250E+2	6,188081E-2	1,156250E+2	1,197698E-1	1,156250E+2	2,324399E-2	1,156250E+2	1,519957E-2	1,156250E+2	2,655199E-2
1,171875E+2	3,799292E-2	1,171875E+2	3,832165E-2	1,171875E+2	3,692600E-2	1,171875E+2	4,000042E-2	1,171875E+2	2,513566E-2	1,171875E+2	2,265936E-2	1,171875E+2	6,968355E-2	1,171875E+2	7,497651E-2	1,171875E+2	7,311419E-2	1,171875E+2	3,188365E-1	1,171875E+2	2,987866E-2	1,171875E+2	3,481528E-2	1,171875E+2	2,985540E-1	1,171875E+2	2,261570E-1	1,171875E+2	8,080945E-2	1,171875E+2	7,875821E-2	1,171875E+2	4,645309E-2	1,171875E+2	4,347961E-2	1,171875E+2	6,813475E-2	1,171875E+2	6,638064E-2	1,171875E+2	1,328293E-1	1,171875E+2	2,052276E-2	1,171875E+2	2,444217E-2	1,171875E+2	2,318878E-2
1,187500E+2	4,505679E-2	1,187500E+2	4,583494E-2	1,187500E+2	3,118728E-2	1,187500E+2	2,822509E-2	1,187500E+2	3,617414E-2	1,187500E+2	2,934065E-2	1,187500E+2	7,679797E-2	1,187500E+2	7,341909E-2	1,187500E+2	7,161308E-2	1,187500E+2	3,120176E-1	1,187500E+2	3,401717E-2	1,187500E+2	3,884349E-2	1,187500E+2	2,871532E-1	1,187500E+2	2,178689E-1	1,187500E+2	8,751872E-2	1,187500E+2	8,222347E-2	1,187500E+2	4,278896E-2	1,187500E+2	3,520645E-2	1,187500E+2	6,663491E-2	1,187500E+2	6,322431E-2	1,187500E+2	1,315753E-1	1,187500E+2	1,907026E-2	1,187500E+2	1,986349E-2	1,187500E+2	2,062743E-2
1,203125E+2	3,643978E-2	1,203125E+2	4,378114E-2	1,203125E+2	3,307468E-2	1,203125E+2	3,264888E-2	1,203125E+2	3,256670E-2	1,203125E+2	2,942092E-2	1,203125E+2	7,903684E-2	1,203125E+2	8,375848E-2	1,203125E+2	7,402089E-2	1,203125E+2	2,992119E-1	1,203125E+2	3,593057E-2	1,203125E+2	4,201964E-2	1,203125E+2	2,878412E-1	1,203125E+2	2,206196E-1	1,203125E+2	8,742918E-2	1,203125E+2	8,426462E-2	1,203125E+2	3,731994E-2	1,203125E+2	4,161050E-2	1,203125E+2	7,044998E-2	1,203125E+2	7,037926E-2	1,203125E+2	1,359905E-1	1,203125E+2	2,378772E-2	1,203125E+2	2,049294E-2	1,203125E+2	2,909175E-2
1,218750E+2	3,783900E-2	1,218750E+2	4,816223E-2	1,218750E+2	3,869126E-2	1,218750E+2	4,191323E-2	1,218750E+2	4,016458E-2	1,218750E+2	3,540504E-2	1,218750E+2	8,382398E-2	1,218750E+2	9,198468E-2	1,218750E+2	7,376392E-2	1,218750E+2	2,895483E-1	1,218750E+2	3,911579E-2	1,218750E+2	3,793304E-2	1,218750E+2	2,845114E-1	1,218750E+2	2,192650E-1	1,218750E+2	9,757153E-2	1,218750E+2	8,642126E-2	1,218750E+2	4,558881E-2	1,218750E+2	4,567556E-2	1,218750E+2	7,116995E-2	1,218750E+2	6,943053E-2	1,218750E+2	1,388345E-1	1,218750E+2	2,617466E-2	1,218750E+2	3,052616E-2	1,218750E+2	2,586045E-2
1,234375E+2	4,456348E-2	1,234375E+2	4,360904E-2	1,234375E+2	4,426358E-2	1,234375E+2	4,153702E-2	1,234375E+2	3,623809E-2	1,234375E+2	2,854618E-2	1,234375E+2	9,414312E-2	1,234375E+2	9,108929E-2	1,234375E+2	7,912494E-2	1,234375E+2	2,799717E-1	1,234375E+2	3,717062E-2	1,234375E+2	3,819719E-2	1,234375E+2	2,792978E-1	1,234375E+2	2,163742E-1	1,234375E+2	9,619559E-2	1,234375E+2	8,735528E-2	1,234375E+2	4,189945E-2	1,234375E+2	4,934478E-2	1,234375E+2	6,062259E-2	1,234375E+2	6,874497E-2	1,234375E+2	1,446469E-1	1,234375E+2	3,284544E-2	1,234375E+2	2,686722E-2	1,234375E+2	2,029003E-2
1,250000E+2	4,330665E-2	1,250000E+2	3,911077E-2	1,250000E+2	3,524106E-2	1,250000E+2	3,950120E-2	1,250000E+2	2,933996E-2	1,250000E+2	2,929150E-2	1,250000E+2	9,715647E-2	1,250000E+2	9,154404E-2	1,250000E+2	8,426162E-2	1,250000E+2	2,683616E-1	1,250000E+2	4,026721E-2	1,250000E+2	3,638111E-2	1,250000E+2	2,730041E-1	1,250000E+2	2,134141E-1	1,250000E+2	9,993390E-2	1,250000E+2	7,923011E-2	1,250000E+2	4,886346E-2	1,250000E+2	4,640729E-2	1,250000E+2	6,930941E-2	1,250000E+2	7,688397E-2	1,250000E+2	1,509596E-1	1,250000E+2	1,655284E-2	1,250000E+2	2,360015E-2	1,250000E+2	2,142671E-2
1,265625E+2	4,572758E-2	1,265625E+2	5,111878E-2	1,265625E+2	4,381854E-2	1,265625E+2	3,388044E-2	1,265625E+2	2,877331E-2	1,265625E+2	3,413638E-2	1,265625E+2	9,180100E-2	1,265625E+2	9,349436E-2	1,265625E+2	8,908663E-2	1,265625E+2	2,602328E-1	1,265625E+2	3,923400E-2	1,265625E+2	3,732283E-2	1,265625E+2	2,719935E-1	1,265625E+2	2,120890E-1	1,265625E+2	1,026179E-1	1,265625E+2	9,123686E-2	1,265625E+2	5,499848E-2	1,265625E+2	5,194839E-2	1,265625E+2	8,082494E-2	1,265625E+2	7,917324E-2	1,265625E+2	1,635902E-1	1,265625E+2	2,223983E-2	1,265625E+2	2,885427E-2	1,265625E+2	1,591976E-2
1,281250E+2	3,728575E-2	1,281250E+2	5,094738E-2	1,281250E+2	4,205767E-2	1,281250E+2	4,732347E-2	1,281250E+2	3,618661E-2	1,281250E+2	2,419044E-2	1,281250E+2	9,725789E-2	1,281250E+2	9,834498E-2	1,281250E+2	8,288429E-2	1,281250E+2	2,515386E-1	1,281250E+2	3,894353E-2	1,281250E+2	4,021878E-2	1,281250E+2	2,669168E-1	1,281250E+2	2,091736E-1	1,281250E+2	1,062766E-1	1,281250E+2	8,994649E-2	1,281250E+2	5,346188E-2	1,281250E+2	4,879044E-2	1,281250E+2	8,108915E-2	1,281250E+2	8,192683E-2	1,281250E+2	1,624404E-1	1,281250E+2	2,563864E-2	1,281250E+2	2,052667E-2	1,281250E+2	1,532659E-2
1,296875E+2	4,390665E-2	1,296875E+2	4,442484E-2	1,296875E+2	3,981135E-2	1,296875E+2	4,281489E-2	1,296875E+2	2,618440E-2	1,296875E+2	3,151071E-2	1,296875E+2	9,523113E-2	1,296875E+2	1,008895E-1	1,296875E+2	9,208676E-2	1,296875E+2	2,509836E-1	1,296875E+2	4,744960E-2	1,296875E+2	3,699206E-2	1,296875E+2	2,609009E-1	1,296875E+2	2,071896E-1	1,296875E+2	1,120174E-1	1,296875E+2	9,151230E-2	1,296875E+2	4,847045E-2	1,296875E+2	5,155032E-2	1,296875E+2	8,468586E-2	1,296875E+2	7,945490E-2	1,296875E+2	1,811105E-1	1,296875E+2	2,552089E-2	1,296875E+2	2,080678E-2	1,296875E+2	3,316388E-2
1,312500E+2	3,838659E-2	1,312500E+2	5,005573E-2	1,312500E+2	4,327519E-2	1,312500E+2	4,349603E-2	1,312500E+2	2,732591E-2	1,312500E+2	4,216539E-2	1,312500E+2	1,014487E-1	1,312500E+2	1,033170E-1	1,312500E+2	9,071753E-2	1,312500E+2	2,425399E-1	1,312500E+2	4,617010E-2	1,312500E+2	4,200718E-2	1,312500E+2	2,596769E-1	1,312500E+2	2,070109E-1	1,312500E+2	1,134204E-1	1,312500E+2	9,247302E-2	1,312500E+2	5,651289E-2	1,312500E+2	5,305160E-2	1,312500E+2	8,814324E-2	1,312500E+2	8,746105E-2	1,312500E+2	1,847989E-1	1,312500E+2	2,070200E-2	1,312500E+2	3,783485E-2	1,312500E+2	3,357711E-2
1,328125E+2	4,528150E-2	1,328125E+2	4,403764E-2	1,328125E+2	4,465021E-2	1,328125E+2	4,180637E-2	1,328125E+2	2,915318E-2	1,328125E+2	3,918744E-2	1,328125E+2	9,954567E-2	1,328125E+2	1,039117E-1	1,328125E+2	9,741383E-2	1,328125E+2	2,335933E-1	1,328125E+2	4,598456E-2	1,328125E+2	4,095073E-2	1,328125E+2	2,560992E-1	1,328125E+2	2,071670E-1	1,328125E+2	1,178039E-1	1,328125E+2	9,248192E-2	1,328125E+2	5,296075E-2	1,328125E+2	5,630569E-2	1,328125E+2	9,299921E-2	1,328125E+2	9,010639E-2	1,328125E+2	1,845061E-1	1,328125E+2	2,321178E-2	1,328125E+2	2,272815E-2	1,328125E+2	2,196010E-2
1,343750E+2	4,643833E-2	1,343750E+2	4,627906E-2	1,343750E+2	4,433149E-2	1,343750E+2	4,096697E-2	1,343750E+2	3,042004E-2	1,343750E+2	3,441960E-2	1,343750E+2	9,792096E-2	1,343750E+2	1,084862E-1	1,343750E+2	9,367741E-2	1,343750E+2	2,309350E-1	1,343750E+2	4,957429E-2	1,343750E+2	4,145686E-2	1,343750E+2	2,557558E-1	1,343750E+2	2,102412E-1	1,343750E+2	1,147369E-1	1,343750E+2	8,711963E-2	1,343750E+2	5,567791E-2	1,343750E+2	5,792975E-2	1,343750E+2	1,012186E-1	1,343750E+2	9,127419E-2	1,343750E+2	1,868613E-1	1,343750E+2	2,362092E-2	1,343750E+2	1,992574E-2	1,343750E+2	2,817944E-2
1,359375E+2	4,270242E-2	1,359375E+2	4,415664E-2	1,359375E+2	4,384544E-2	1,359375E+2	3,834294E-2	1,359375E+2	2,904551E-2	1,359375E+2	3,460134E-2	1,359375E+2	1,102675E-1	1,359375E+2	1,128067E-1	1,359375E+2	1,019669E-1	1,359375E+2	2,289028E-1	1,359375E+2	3,655849E-2	1,359375E+2	4,757778E-2	1,359375E+2	2,531224E-1	1,359375E+2	2,150437E-1	1,359375E+2	1,245109E-1	1,359375E+2	8,368565E-2	1,359375E+2	5,689409E-2	1,359375E+2	5,016454E-2	1,359375E+2	1,044783E-1	1,359375E+2	8,808695E-2	1,359375E+2	2,005582E-1	1,359375E+2	3,009707E-2	1,359375E+2	2,638214E-2	1,359375E+2	2,623432E-2
