Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 14 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 14 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 15 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 15 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 16 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 16 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 17 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 17 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 18 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 18 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 19 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 19 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 20 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 20 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 21 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 21 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 22 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 22 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 23 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 23 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 24 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 24 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
1,156250E+2	3,225330E-1	1,156250E+2	-5,815679E+0	1,156250E+2	3,934128E-1	1,156250E+2	-5,871986E+0	1,156250E+2	3,720403E-1	1,156250E+2	-5,918026E+0	1,156250E+2	3,659173E-1	1,156250E+2	-5,913739E+0	1,156250E+2	1,555550E-1	1,156250E+2	-5,967126E+0	1,156250E+2	2,010927E-1	1,156250E+2	-5,900963E+0	1,156250E+2	5,470329E-1	1,156250E+2	-5,438945E+0	1,156250E+2	5,894357E-1	1,156250E+2	-5,528209E+0	1,156250E+2	6,020237E-1	1,156250E+2	-5,504994E+0	1,156250E+2	3,328865E+0	1,156250E+2	-4,792771E+0	1,156250E+2	2,745064E-1	1,156250E+2	-5,825096E+0	1,156250E+2	3,543430E-1	1,156250E+2	-6,047780E+0	1,156250E+2	2,833050E+0	1,156250E+2	-4,760724E+0	1,156250E+2	2,402196E+0	1,156250E+2	-5,544375E+0	1,156250E+2	6,468360E-1	1,156250E+2	-5,499339E+0	1,156250E+2	8,027411E-1	1,156250E+2	-6,239478E+0	1,156250E+2	3,398075E-1	1,156250E+2	-5,820607E+0	1,156250E+2	4,427542E-1	1,156250E+2	-5,981619E+0	1,156250E+2	5,706789E-1	1,156250E+2	-5,766786E+0	1,156250E+2	5,046517E-1	1,156250E+2	-5,509710E+0	1,156250E+2	5,493028E-1	1,156250E+2	-3,993112E+0	1,156250E+2	2,578127E-1	1,156250E+2	-6,540967E+0	1,156250E+2	1,644646E-1	1,156250E+2	-6,474984E+0	1,156250E+2	2,830889E-1	1,156250E+2	-6,403156E+0
1,171875E+2	3,399741E-1	1,171875E+2	-5,830770E+0	1,171875E+2	3,447030E-1	1,171875E+2	-5,845661E+0	1,171875E+2	3,447246E-1	1,171875E+2	-5,961034E+0	1,171875E+2	3,704092E-1	1,171875E+2	-5,929798E+0	1,171875E+2	2,325087E-1	1,171875E+2	-5,956638E+0	1,171875E+2	2,092441E-1	1,171875E+2	-5,956094E+0	1,171875E+2	5,484966E-1	1,171875E+2	-5,393251E+0	1,171875E+2	6,242181E-1	1,171875E+2	-5,537506E+0	1,171875E+2	5,979452E-1	1,171875E+2	-5,491769E+0	1,171875E+2	3,378036E+0	1,171875E+2	-4,817918E+0	1,171875E+2	2,642625E-1	1,171875E+2	-5,812034E+0	1,171875E+2	3,283655E-1	1,171875E+2	-5,996836E+0	1,171875E+2	2,864188E+0	1,171875E+2	-4,841713E+0	1,171875E+2	2,242758E+0	1,171875E+2	-5,399241E+0	1,171875E+2	6,497828E-1	1,171875E+2	-5,426041E+0	1,171875E+2	8,354939E-1	1,171875E+2	-6,250146E+0	1,171875E+2	4,047217E-1	1,171875E+2	-5,733820E+0	1,171875E+2	4,245195E-1	1,171875E+2	-6,084844E+0	1,171875E+2	5,985497E-1	1,171875E+2	-5,708223E+0	1,171875E+2	5,298184E-1	1,171875E+2	-5,439277E+0	1,171875E+2	5,807125E-1	1,171875E+2	-3,871541E+0	1,171875E+2	2,197061E-1	1,171875E+2	-6,429173E+0	1,171875E+2	2,776807E-1	1,171875E+2	-6,618943E+0	1,171875E+2	2,465857E-1	1,171875E+2	-6,401669E+0
1,187500E+2	3,853273E-1	1,187500E+2	-5,682342E+0	1,187500E+2	3,961875E-1	1,187500E+2	-5,711901E+0	1,187500E+2	2,759646E-1	1,187500E+2	-5,810889E+0	1,187500E+2	2,438726E-1	1,187500E+2	-5,745771E+0	1,187500E+2	3,096480E-1	1,187500E+2	-5,703029E+0	1,187500E+2	2,663831E-1	1,187500E+2	-5,891704E+0	1,187500E+2	5,941236E-1	1,187500E+2	-5,329496E+0	1,187500E+2	5,800055E-1	1,187500E+2	-5,394747E+0	1,187500E+2	5,484680E-1	1,187500E+2	-5,313880E+0	1,187500E+2	3,260220E+0	1,187500E+2	-4,862701E+0	1,187500E+2	2,950374E-1	1,187500E+2	-5,745924E+0	1,187500E+2	3,586896E-1	1,187500E+2	-5,923755E+0	1,187500E+2	2,695388E+0	1,187500E+2	-4,887785E+0	1,187500E+2	2,122328E+0	1,187500E+2	-5,405210E+0	1,187500E+2	6,882680E-1	1,187500E+2	-5,348523E+0	1,187500E+2	8,332776E-1	1,187500E+2	-6,097238E+0	1,187500E+2	3,636765E-1	1,187500E+2	-5,669005E+0	1,187500E+2	3,190808E-1	1,187500E+2	-5,874739E+0	1,187500E+2	5,526608E-1	1,187500E+2	-5,546593E+0	1,187500E+2	5,000173E-1	1,187500E+2	-5,420742E+0	1,187500E+2	5,622518E-1	1,187500E+2	-3,827832E+0	1,187500E+2	1,952616E-1	1,187500E+2	-6,287099E+0	1,187500E+2	2,143275E-1	1,187500E+2	-6,456431E+0	1,187500E+2	2,187933E-1	1,187500E+2	-6,398607E+0
1,203125E+2	3,072490E-1	1,203125E+2	-5,658433E+0	1,203125E+2	3,577937E-1	1,203125E+2	-5,553890E+0	1,203125E+2	2,778684E-1	1,203125E+2	-5,654381E+0	1,203125E+2	2,752764E-1	1,203125E+2	-5,665629E+0	1,203125E+2	2,705860E-1	1,203125E+2	-5,623193E+0	1,203125E+2	2,423855E-1	1,203125E+2	-5,604520E+0	1,203125E+2	5,730517E-1	1,203125E+2	-5,150462E+0	1,203125E+2	6,485119E-1	1,203125E+2	-5,315353E+0	1,203125E+2	5,397107E-1	1,203125E+2	-5,176351E+0	1,203125E+2	3,171739E+0	1,203125E+2	-4,999783E+0	1,203125E+2	2,920867E-1	1,203125E+2	-5,554035E+0	1,203125E+2	3,656041E-1	1,203125E+2	-5,739189E+0	1,203125E+2	2,664317E+0	1,203125E+2	-4,857735E+0	1,203125E+2	2,027685E+0	1,203125E+2	-5,253245E+0	1,203125E+2	6,450672E-1	1,203125E+2	-5,177493E+0	1,203125E+2	8,144757E-1	1,203125E+2	-5,947305E+0	1,203125E+2	3,026478E-1	1,203125E+2	-5,544483E+0	1,203125E+2	3,679663E-1	1,203125E+2	-5,788015E+0	1,203125E+2	5,635005E-1	1,203125E+2	-5,435975E+0	1,203125E+2	5,312251E-1	1,203125E+2	-5,277072E+0	1,203125E+2	5,460664E-1	1,203125E+2	-3,697510E+0	1,203125E+2	2,364045E-1	1,203125E+2	-6,182529E+0	1,203125E+2	2,081258E-1	1,203125E+2	-6,258141E+0	1,203125E+2	2,895261E-1	1,203125E+2	-6,176230E+0
1,218750E+2	3,019639E-1	1,218750E+2	-5,497800E+0	1,218750E+2	3,819030E-1	1,218750E+2	-5,459706E+0	1,218750E+2	3,186068E-1	1,218750E+2	-5,585665E+0	1,218750E+2	3,412817E-1	1,218750E+2	-5,547186E+0	1,218750E+2	3,191350E-1	1,218750E+2	-5,481114E+0	1,218750E+2	2,892281E-1	1,218750E+2	-5,569055E+0	1,218750E+2	5,921644E-1	1,218750E+2	-5,071738E+0	1,218750E+2	6,894054E-1	1,218750E+2	-5,208171E+0	1,218750E+2	5,292023E-1	1,218750E+2	-5,134065E+0	1,218750E+2	3,145186E+0	1,218750E+2	-5,125133E+0	1,218750E+2	3,057347E-1	1,218750E+2	-5,436878E+0	1,218750E+2	3,175079E-1	1,218750E+2	-5,634274E+0	1,218750E+2	2,555946E+0	1,218750E+2	-4,825949E+0	1,218750E+2	1,954687E+0	1,218750E+2	-5,189289E+0	1,218750E+2	6,914015E-1	1,218750E+2	-5,048124E+0	1,218750E+2	7,917761E-1	1,218750E+2	-5,782458E+0	1,218750E+2	3,547683E-1	1,218750E+2	-5,412233E+0	1,218750E+2	3,789093E-1	1,218750E+2	-5,592967E+0	1,218750E+2	5,584074E-1	1,218750E+2	-5,381061E+0	1,218750E+2	4,963875E-1	1,218750E+2	-5,134051E+0	1,218750E+2	5,386997E-1	1,218750E+2	-3,626711E+0	1,218750E+2	2,457286E-1	1,218750E+2	-6,000025E+0	1,218750E+2	3,001406E-1	1,218750E+2	-6,135030E+0	1,218750E+2	2,336919E-1	1,218750E+2	-5,884268E+0
1,234375E+2	3,405190E-1	1,234375E+2	-5,363568E+0	1,234375E+2	3,370333E-1	1,234375E+2	-5,396889E+0	1,234375E+2	3,613544E-1	1,234375E+2	-5,549909E+0	1,234375E+2	3,335813E-1	1,234375E+2	-5,508658E+0	1,234375E+2	2,831173E-1	1,234375E+2	-5,440994E+0	1,234375E+2	2,240591E-1	1,234375E+2	-5,467878E+0	1,234375E+2	6,515501E-1	1,234375E+2	-4,995575E+0	1,234375E+2	6,444842E-1	1,234375E+2	-5,059336E+0	1,234375E+2	5,494436E-1	1,234375E+2	-5,037383E+0	1,234375E+2	3,052765E+0	1,234375E+2	-5,214445E+0	1,234375E+2	2,848840E-1	1,234375E+2	-5,385720E+0	1,234375E+2	3,122870E-1	1,234375E+2	-5,566014E+0	1,234375E+2	2,485103E+0	1,234375E+2	-4,841981E+0	1,234375E+2	1,885852E+0	1,234375E+2	-5,151179E+0	1,234375E+2	6,745805E-1	1,234375E+2	-5,024555E+0	1,234375E+2	7,805016E-1	1,234375E+2	-5,706925E+0	1,234375E+2	3,116340E-1	1,234375E+2	-5,294362E+0	1,234375E+2	4,000028E-1	1,234375E+2	-5,519522E+0	1,234375E+2	4,516366E-1	1,234375E+2	-5,262380E+0	1,234375E+2	4,723914E-1	1,234375E+2	-5,031766E+0	1,234375E+2	5,370621E-1	1,234375E+2	-3,533994E+0	1,234375E+2	3,021195E-1	1,234375E+2	-5,924302E+0	1,234375E+2	2,527683E-1	1,234375E+2	-6,005230E+0	1,234375E+2	1,850018E-1	1,234375E+2	-5,921760E+0
1,250000E+2	3,271612E-1	1,250000E+2	-5,334487E+0	1,250000E+2	2,897588E-1	1,250000E+2	-5,288781E+0	1,250000E+2	2,638841E-1	1,250000E+2	-5,324893E+0	1,250000E+2	3,076265E-1	1,250000E+2	-5,425976E+0	1,250000E+2	2,244421E-1	1,250000E+2	-5,394402E+0	1,250000E+2	2,270868E-1	1,250000E+2	-5,431838E+0	1,250000E+2	6,341908E-1	1,250000E+2	-4,841436E+0	1,250000E+2	6,467997E-1	1,250000E+2	-5,054685E+0	1,250000E+2	5,749112E-1	1,250000E+2	-4,981102E+0	1,250000E+2	2,878395E+0	1,250000E+2	-5,278379E+0	1,250000E+2	3,011114E-1	1,250000E+2	-5,312103E+0	1,250000E+2	2,978011E-1	1,250000E+2	-5,572979E+0	1,250000E+2	2,348843E+0	1,250000E+2	-4,816640E+0	1,250000E+2	1,793800E+0	1,250000E+2	-5,080915E+0	1,250000E+2	6,753126E-1	1,250000E+2	-4,921758E+0	1,250000E+2	6,958425E-1	1,250000E+2	-5,679289E+0	1,250000E+2	3,570694E-1	1,250000E+2	-5,233386E+0	1,250000E+2	3,780850E-1	1,250000E+2	-5,539792E+0	1,250000E+2	5,083345E-1	1,250000E+2	-5,202119E+0	1,250000E+2	5,244118E-1	1,250000E+2	-4,995943E+0	1,250000E+2	5,304629E-1	1,250000E+2	-3,422490E+0	1,250000E+2	1,422555E-1	1,250000E+2	-5,750770E+0	1,250000E+2	2,160348E-1	1,250000E+2	-5,927654E+0	1,250000E+2	1,886408E-1	1,250000E+2	-5,814047E+0
1,265625E+2	3,397992E-1	1,265625E+2	-5,284763E+0	1,265625E+2	3,903695E-1	1,265625E+2	-5,349107E+0	1,265625E+2	3,327008E-1	1,265625E+2	-5,347400E+0	1,265625E+2	2,558181E-1	1,265625E+2	-5,350269E+0	1,265625E+2	2,168346E-1	1,265625E+2	-5,353800E+0	1,265625E+2	2,606041E-1	1,265625E+2	-5,380306E+0	1,265625E+2	5,806131E-1	1,265625E+2	-4,774980E+0	1,265625E+2	6,331750E-1	1,265625E+2	-4,941869E+0	1,265625E+2	5,942196E-1	1,265625E+2	-4,913145E+0	1,265625E+2	2,775534E+0	1,265625E+2	-5,329884E+0	1,265625E+2	2,922095E-1	1,265625E+2	-5,302985E+0	1,265625E+2	2,861655E-1	1,265625E+2	-5,386557E+0	1,265625E+2	2,325709E+0	1,265625E+2	-4,810622E+0	1,265625E+2	1,794303E+0	1,265625E+2	-5,102199E+0	1,265625E+2	6,706828E-1	1,265625E+2	-4,832363E+0	1,265625E+2	7,679071E-1	1,265625E+2	-5,526394E+0	1,265625E+2	4,003767E-1	1,265625E+2	-5,211339E+0	1,265625E+2	4,155536E-1	1,265625E+2	-5,476644E+0	1,265625E+2	5,858861E-1	1,265625E+2	-5,145899E+0	1,265625E+2	5,198766E-1	1,265625E+2	-4,894409E+0	1,265625E+2	5,703856E-1	1,265625E+2	-3,388301E+0	1,265625E+2	1,964467E-1	1,265625E+2	-5,822450E+0	1,265625E+2	2,580721E-1	1,265625E+2	-5,847494E+0	1,265625E+2	1,348081E-1	1,265625E+2	-5,708248E+0
1,281250E+2	2,670371E-1	1,281250E+2	-5,200216E+0	1,281250E+2	3,591691E-1	1,281250E+2	-5,133408E+0	1,281250E+2	3,056467E-1	1,281250E+2	-5,231117E+0	1,281250E+2	3,448937E-1	1,281250E+2	-5,229081E+0	1,281250E+2	2,623999E-1	1,281250E+2	-5,235603E+0	1,281250E+2	1,770964E-1	1,281250E+2	-5,281870E+0	1,281250E+2	6,157327E-1	1,281250E+2	-4,765828E+0	1,281250E+2	6,487127E-1	1,281250E+2	-4,864868E+0	1,281250E+2	5,348430E-1	1,281250E+2	-4,843120E+0	1,281250E+2	2,711890E+0	1,281250E+2	-5,417259E+0	1,281250E+2	2,847792E-1	1,281250E+2	-5,253553E+0	1,281250E+2	3,107683E-1	1,281250E+2	-5,402747E+0	1,281250E+2	2,219519E+0	1,281250E+2	-4,785007E+0	1,281250E+2	1,706642E+0	1,281250E+2	-5,030903E+0	1,281250E+2	6,698457E-1	1,281250E+2	-4,735295E+0	1,281250E+2	7,301113E-1	1,281250E+2	-5,429126E+0	1,281250E+2	3,747902E-1	1,281250E+2	-5,113867E+0	1,281250E+2	3,603789E-1	1,281250E+2	-5,262548E+0	1,281250E+2	5,544954E-1	1,281250E+2	-4,993589E+0	1,281250E+2	5,245464E-1	1,281250E+2	-4,825582E+0	1,281250E+2	5,423351E-1	1,281250E+2	-3,312988E+0	1,281250E+2	2,180157E-1	1,281250E+2	-5,703512E+0	1,281250E+2	1,816064E-1	1,281250E+2	-5,830365E+0	1,281250E+2	1,263203E-1	1,281250E+2	-5,630189E+0
1,296875E+2	3,093162E-1	1,296875E+2	-5,144427E+0	1,296875E+2	3,101576E-1	1,296875E+2	-5,119569E+0	1,296875E+2	2,897579E-1	1,296875E+2	-5,239239E+0	1,296875E+2	3,125722E-1	1,296875E+2	-5,242075E+0	1,296875E+2	1,871062E-1	1,296875E+2	-5,212833E+0	1,296875E+2	2,290547E-1	1,296875E+2	-5,250320E+0	1,296875E+2	5,764595E-1	1,296875E+2	-4,661313E+0	1,296875E+2	6,435875E-1	1,296875E+2	-4,776522E+0	1,296875E+2	5,679236E-1	1,296875E+2	-4,712821E+0	1,296875E+2	2,668909E+0	1,296875E+2	-5,392059E+0	1,296875E+2	3,312682E-1	1,296875E+2	-5,114062E+0	1,296875E+2	2,839620E-1	1,296875E+2	-5,390420E+0	1,296875E+2	2,117716E+0	1,296875E+2	-4,769444E+0	1,296875E+2	1,562177E+0	1,296875E+2	-4,857429E+0	1,296875E+2	7,014114E-1	1,296875E+2	-4,706562E+0	1,296875E+2	7,423240E-1	1,296875E+2	-5,423216E+0	1,296875E+2	3,339216E-1	1,296875E+2	-5,077142E+0	1,296875E+2	3,780994E-1	1,296875E+2	-5,238237E+0	1,296875E+2	5,695058E-1	1,296875E+2	-4,943312E+0	1,296875E+2	4,891091E-1	1,296875E+2	-4,733475E+0	1,296875E+2	5,836362E-1	1,296875E+2	-3,222152E+0	1,296875E+2	2,079975E-1	1,296875E+2	-5,580421E+0	1,296875E+2	1,797448E-1	1,296875E+2	-5,758754E+0	1,296875E+2	2,764685E-1	1,296875E+2	-5,631729E+0
