Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 7 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 14 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 14 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 15 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 15 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 16 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 16 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 17 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 17 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 18 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 18 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 19 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 19 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 20 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 20 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 21 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 21 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 22 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 22 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 23 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 23 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 24 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 24 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
1,156250E+2	9,256403E-1	1,156250E+2	-3,269879E-1	1,156250E+2	9,234847E-1	1,156250E+2	-3,224433E-1	1,156250E+2	9,256458E-1	1,156250E+2	-3,207122E-1	1,156250E+2	9,258420E-1	1,156250E+2	-3,210670E-1	1,156250E+2	9,374393E-1	1,156250E+2	-3,230546E-1	1,156250E+2	9,337584E-1	1,156250E+2	-3,254448E-1	1,156250E+2	9,032362E-1	1,156250E+2	-3,401952E-1	1,156250E+2	9,039250E-1	1,156250E+2	-3,341579E-1	1,156250E+2	9,025279E-1	1,156250E+2	-3,349408E-1	1,156250E+2	7,924290E-1	1,156250E+2	-2,298155E-1	1,156250E+2	9,283101E-1	1,156250E+2	-3,276565E-1	1,156250E+2	9,294795E-1	1,156250E+2	-3,149074E-1	1,156250E+2	7,947869E-1	1,156250E+2	-2,548788E-1	1,156250E+2	8,391968E-1	1,156250E+2	-2,620523E-1	1,156250E+2	9,000549E-1	1,156250E+2	-3,337504E-1	1,156250E+2	9,145235E-1	1,156250E+2	-2,958433E-1	1,156250E+2	9,248872E-1	1,156250E+2	-3,263170E-1	1,156250E+2	9,237874E-1	1,156250E+2	-3,159753E-1	1,156250E+2	9,120631E-1	1,156250E+2	-3,228626E-1	1,156250E+2	9,077492E-1	1,156250E+2	-3,378026E-1	1,156250E+2	8,310952E-1	1,156250E+2	-4,353285E-1	1,156250E+2	9,432988E-1	1,156250E+2	-2,948617E-1	1,156250E+2	9,461910E-1	1,156250E+2	-2,992040E-1	1,156250E+2	9,398271E-1	1,156250E+2	-3,002883E-1
1,171875E+2	9,251273E-1	1,171875E+2	-3,258013E-1	1,171875E+2	9,252527E-1	1,171875E+2	-3,249397E-1	1,171875E+2	9,279783E-1	1,171875E+2	-3,192652E-1	1,171875E+2	9,260049E-1	1,171875E+2	-3,201789E-1	1,171875E+2	9,333790E-1	1,171875E+2	-3,219751E-1	1,171875E+2	9,345245E-1	1,171875E+2	-3,224973E-1	1,171875E+2	9,016359E-1	1,171875E+2	-3,425918E-1	1,171875E+2	9,024554E-1	1,171875E+2	-3,325624E-1	1,171875E+2	9,023050E-1	1,171875E+2	-3,357550E-1	1,171875E+2	7,933891E-1	1,171875E+2	-2,273701E-1	1,171875E+2	9,285285E-1	1,171875E+2	-3,285668E-1	1,171875E+2	9,295794E-1	1,171875E+2	-3,179103E-1	1,171875E+2	7,986046E-1	1,171875E+2	-2,523425E-1	1,171875E+2	8,365021E-1	1,171875E+2	-2,722264E-1	1,171875E+2	8,974134E-1	1,171875E+2	-3,374015E-1	1,171875E+2	9,134882E-1	1,171875E+2	-2,945864E-1	1,171875E+2	9,193845E-1	1,171875E+2	-3,290577E-1	1,171875E+2	9,270498E-1	1,171875E+2	-3,116072E-1	1,171875E+2	9,090161E-1	1,171875E+2	-3,248923E-1	1,171875E+2	9,041650E-1	1,171875E+2	-3,407419E-1	1,171875E+2	8,192178E-1	1,171875E+2	-4,427786E-1	1,171875E+2	9,430336E-1	1,171875E+2	-3,002746E-1	1,171875E+2	9,437676E-1	1,171875E+2	-2,913083E-1	1,171875E+2	9,413859E-1	1,171875E+2	-3,010047E-1
1,187500E+2	9,190060E-1	1,187500E+2	-3,322216E-1	1,187500E+2	9,192375E-1	1,187500E+2	-3,304049E-1	1,187500E+2	9,279004E-1	1,187500E+2	-3,283497E-1	1,187500E+2	9,280189E-1	1,187500E+2	-3,324993E-1	1,187500E+2	9,235012E-1	1,187500E+2	-3,331236E-1	1,187500E+2	9,302574E-1	1,187500E+2	-3,244697E-1	1,187500E+2	8,969697E-1	1,187500E+2	-3,444523E-1	1,187500E+2	8,999987E-1	1,187500E+2	-3,414428E-1	1,187500E+2	8,989088E-1	1,187500E+2	-3,469148E-1	1,187500E+2	7,961390E-1	1,187500E+2	-2,326911E-1	1,187500E+2	9,253425E-1	1,187500E+2	-3,312463E-1	1,187500E+2	9,264319E-1	1,187500E+2	-3,207499E-1	1,187500E+2	8,031559E-1	1,187500E+2	-2,603602E-1	1,187500E+2	8,397377E-1	1,187500E+2	-2,774376E-1	1,187500E+2	8,926617E-1	1,187500E+2	-3,400535E-1	1,187500E+2	9,095509E-1	1,187500E+2	-3,008217E-1	1,187500E+2	9,197772E-1	1,187500E+2	-3,334981E-1	1,187500E+2	9,272282E-1	1,187500E+2	-3,241009E-1	1,187500E+2	9,063970E-1	1,187500E+2	-3,343794E-1	1,187500E+2	9,051657E-1	1,187500E+2	-3,427108E-1	1,187500E+2	8,172049E-1	1,187500E+2	-4,478849E-1	1,187500E+2	9,416323E-1	1,187500E+2	-3,070153E-1	1,187500E+2	9,437291E-1	1,187500E+2	-2,991852E-1	1,187500E+2	9,425472E-1	1,187500E+2	-3,016245E-1
1,203125E+2	9,224800E-1	1,203125E+2	-3,355456E-1	1,203125E+2	9,169273E-1	1,203125E+2	-3,397986E-1	1,203125E+2	9,239477E-1	1,203125E+2	-3,365205E-1	1,203125E+2	9,243736E-1	1,203125E+2	-3,359831E-1	1,203125E+2	9,235386E-1	1,203125E+2	-3,383930E-1	1,203125E+2	9,245992E-1	1,203125E+2	-3,401403E-1	1,203125E+2	8,915202E-1	1,203125E+2	-3,551828E-1	1,203125E+2	8,935433E-1	1,203125E+2	-3,432519E-1	1,203125E+2	8,944150E-1	1,203125E+2	-3,549662E-1	1,203125E+2	8,032256E-1	1,203125E+2	-2,358320E-1	1,203125E+2	9,205280E-1	1,203125E+2	-3,416103E-1	1,203125E+2	9,215241E-1	1,203125E+2	-3,298085E-1	1,203125E+2	8,020615E-1	1,203125E+2	-2,624043E-1	1,203125E+2	8,352884E-1	1,203125E+2	-2,857862E-1	1,203125E+2	8,885179E-1	1,203125E+2	-3,508657E-1	1,203125E+2	9,061383E-1	1,203125E+2	-3,076503E-1	1,203125E+2	9,196843E-1	1,203125E+2	-3,418492E-1	1,203125E+2	9,226536E-1	1,203125E+2	-3,272612E-1	1,203125E+2	9,022640E-1	1,203125E+2	-3,398083E-1	1,203125E+2	8,985680E-1	1,203125E+2	-3,495659E-1	1,203125E+2	8,074865E-1	1,203125E+2	-4,604075E-1	1,203125E+2	9,377947E-1	1,203125E+2	-3,110522E-1	1,203125E+2	9,405214E-1	1,203125E+2	-3,081014E-1	1,203125E+2	9,352138E-1	1,203125E+2	-3,102955E-1
1,218750E+2	9,184256E-1	1,218750E+2	-3,444638E-1	1,218750E+2	9,128633E-1	1,218750E+2	-3,442650E-1	1,218750E+2	9,199349E-1	1,218750E+2	-3,391585E-1	1,218750E+2	9,176378E-1	1,218750E+2	-3,406284E-1	1,218750E+2	9,169905E-1	1,218750E+2	-3,449115E-1	1,218750E+2	9,210914E-1	1,218750E+2	-3,408601E-1	1,218750E+2	8,873104E-1	1,218750E+2	-3,589656E-1	1,218750E+2	8,872946E-1	1,218750E+2	-3,474530E-1	1,218750E+2	8,934245E-1	1,218750E+2	-3,578109E-1	1,218750E+2	8,091955E-1	1,218750E+2	-2,359119E-1	1,218750E+2	9,164720E-1	1,218750E+2	-3,477979E-1	1,218750E+2	9,212979E-1	1,218750E+2	-3,365667E-1	1,218750E+2	8,020875E-1	1,218750E+2	-2,685967E-1	1,218750E+2	8,342805E-1	1,218750E+2	-2,910516E-1	1,218750E+2	8,806535E-1	1,218750E+2	-3,561991E-1	1,218750E+2	9,022151E-1	1,218750E+2	-3,155736E-1	1,218750E+2	9,129541E-1	1,218750E+2	-3,477443E-1	1,218750E+2	9,168898E-1	1,218750E+2	-3,371017E-1	1,218750E+2	9,006892E-1	1,218750E+2	-3,429126E-1	1,218750E+2	8,953489E-1	1,218750E+2	-3,590540E-1	1,218750E+2	8,017220E-1	1,218750E+2	-4,673407E-1	1,218750E+2	9,336534E-1	1,218750E+2	-3,195570E-1	1,218750E+2	9,338838E-1	1,218750E+2	-3,119854E-1	1,218750E+2	9,317395E-1	1,218750E+2	-3,255779E-1
1,234375E+2	9,122836E-1	1,234375E+2	-3,509631E-1	1,234375E+2	9,135000E-1	1,234375E+2	-3,491542E-1	1,234375E+2	9,166214E-1	1,234375E+2	-3,399141E-1	1,234375E+2	9,169723E-1	1,234375E+2	-3,429648E-1	1,234375E+2	9,178826E-1	1,234375E+2	-3,482147E-1	1,234375E+2	9,220246E-1	1,234375E+2	-3,483167E-1	1,234375E+2	8,806829E-1	1,234375E+2	-3,609078E-1	1,234375E+2	8,837870E-1	1,234375E+2	-3,575350E-1	1,234375E+2	8,884329E-1	1,234375E+2	-3,627148E-1	1,234375E+2	8,141587E-1	1,234375E+2	-2,391106E-1	1,234375E+2	9,161765E-1	1,234375E+2	-3,513545E-1	1,234375E+2	9,197442E-1	1,234375E+2	-3,404018E-1	1,234375E+2	8,041567E-1	1,234375E+2	-2,720923E-1	1,234375E+2	8,344451E-1	1,234375E+2	-2,955116E-1	1,234375E+2	8,806019E-1	1,234375E+2	-3,582523E-1	1,234375E+2	9,003614E-1	1,234375E+2	-3,193652E-1	1,234375E+2	9,118249E-1	1,234375E+2	-3,559157E-1	1,234375E+2	9,136471E-1	1,234375E+2	-3,404471E-1	1,234375E+2	9,025744E-1	1,234375E+2	-3,531812E-1	1,234375E+2	8,928648E-1	1,234375E+2	-3,661250E-1	1,234375E+2	7,930116E-1	1,234375E+2	-4,759051E-1	1,234375E+2	9,292189E-1	1,234375E+2	-3,220353E-1	1,234375E+2	9,334204E-1	1,234375E+2	-3,191537E-1	1,234375E+2	9,350176E-1	1,234375E+2	-3,247338E-1
1,250000E+2	9,121612E-1	1,250000E+2	-3,530656E-1	1,250000E+2	9,129561E-1	1,250000E+2	-3,569319E-1	1,250000E+2	9,156057E-1	1,250000E+2	-3,555631E-1	1,250000E+2	9,160462E-1	1,250000E+2	-3,483649E-1	1,250000E+2	9,199680E-1	1,250000E+2	-3,525888E-1	1,250000E+2	9,208602E-1	1,250000E+2	-3,503213E-1	1,250000E+2	8,748230E-1	1,250000E+2	-3,708480E-1	1,250000E+2	8,834611E-1	1,250000E+2	-3,577045E-1	1,250000E+2	8,845869E-1	1,250000E+2	-3,650266E-1	1,250000E+2	8,192026E-1	1,250000E+2	-2,460597E-1	1,250000E+2	9,130021E-1	1,250000E+2	-3,551900E-1	1,250000E+2	9,207265E-1	1,250000E+2	-3,404138E-1	1,250000E+2	8,053834E-1	1,250000E+2	-2,799170E-1	1,250000E+2	8,338063E-1	1,250000E+2	-3,022464E-1	1,250000E+2	8,760422E-1	1,250000E+2	-3,641650E-1	1,250000E+2	9,034539E-1	1,250000E+2	-3,233280E-1	1,250000E+2	9,071453E-1	1,250000E+2	-3,580836E-1	1,250000E+2	9,154248E-1	1,250000E+2	-3,399854E-1	1,250000E+2	8,971723E-1	1,250000E+2	-3,546442E-1	1,250000E+2	8,882530E-1	1,250000E+2	-3,662275E-1	1,250000E+2	7,822297E-1	1,250000E+2	-4,869877E-1	1,250000E+2	9,335436E-1	1,250000E+2	-3,345795E-1	1,250000E+2	9,335787E-1	1,250000E+2	-3,237755E-1	1,250000E+2	9,324943E-1	1,250000E+2	-3,301934E-1
1,265625E+2	9,098500E-1	1,265625E+2	-3,555915E-1	1,265625E+2	9,089657E-1	1,265625E+2	-3,502321E-1	1,265625E+2	9,122380E-1	1,265625E+2	-3,521411E-1	1,265625E+2	9,168400E-1	1,265625E+2	-3,542936E-1	1,265625E+2	9,192648E-1	1,265625E+2	-3,552166E-1	1,265625E+2	9,174371E-1	1,265625E+2	-3,523816E-1	1,265625E+2	8,750443E-1	1,265625E+2	-3,774871E-1	1,265625E+2	8,794230E-1	1,265625E+2	-3,648572E-1	1,265625E+2	8,804957E-1	1,265625E+2	-3,682944E-1	1,265625E+2	8,230038E-1	1,265625E+2	-2,498638E-1	1,265625E+2	9,132497E-1	1,265625E+2	-3,560071E-1	1,265625E+2	9,161266E-1	1,265625E+2	-3,512680E-1	1,265625E+2	8,055279E-1	1,265625E+2	-2,813030E-1	1,265625E+2	8,348548E-1	1,265625E+2	-3,015434E-1	1,265625E+2	8,721885E-1	1,265625E+2	-3,696881E-1	1,265625E+2	8,949754E-1	1,265625E+2	-3,283020E-1	1,265625E+2	9,038173E-1	1,265625E+2	-3,579326E-1	1,265625E+2	9,115208E-1	1,265625E+2	-3,423178E-1	1,265625E+2	8,906109E-1	1,265625E+2	-3,549470E-1	1,265625E+2	8,842672E-1	1,265625E+2	-3,726906E-1	1,265625E+2	7,748017E-1	1,265625E+2	-4,858931E-1	1,265625E+2	9,322748E-1	1,265625E+2	-3,295813E-1	1,265625E+2	9,296694E-1	1,265625E+2	-3,268954E-1	1,265625E+2	9,329941E-1	1,265625E+2	-3,370493E-1
1,281250E+2	9,115433E-1	1,281250E+2	-3,630469E-1	1,281250E+2	9,036024E-1	1,281250E+2	-3,640816E-1	1,281250E+2	9,101701E-1	1,281250E+2	-3,599067E-1	1,281250E+2	9,077324E-1	1,281250E+2	-3,587456E-1	1,281250E+2	9,129535E-1	1,281250E+2	-3,610114E-1	1,281250E+2	9,196074E-1	1,281250E+2	-3,607378E-1	1,281250E+2	8,723937E-1	1,281250E+2	-3,763926E-1	1,281250E+2	8,750274E-1	1,281250E+2	-3,687574E-1	1,281250E+2	8,810732E-1	1,281250E+2	-3,752676E-1	1,281250E+2	8,278537E-1	1,281250E+2	-2,512363E-1	1,281250E+2	9,121533E-1	1,281250E+2	-3,592115E-1	1,281250E+2	9,151820E-1	1,281250E+2	-3,496043E-1	1,281250E+2	8,064122E-1	1,281250E+2	-2,877196E-1	1,281250E+2	8,341310E-1	1,281250E+2	-3,083048E-1	1,281250E+2	8,675325E-1	1,281250E+2	-3,756470E-1	1,281250E+2	8,934290E-1	1,281250E+2	-3,344222E-1	1,281250E+2	9,019467E-1	1,281250E+2	-3,647332E-1	1,281250E+2	9,079115E-1	1,281250E+2	-3,562390E-1	1,281250E+2	8,863357E-1	1,281250E+2	-3,651301E-1	1,281250E+2	8,809436E-1	1,281250E+2	-3,768443E-1	1,281250E+2	7,690197E-1	1,281250E+2	-4,961536E-1	1,281250E+2	9,283807E-1	1,281250E+2	-3,353665E-1	1,281250E+2	9,332225E-1	1,281250E+2	-3,294983E-1	1,281250E+2	9,316711E-1	1,281250E+2	-3,415586E-1
1,296875E+2	9,070729E-1	1,296875E+2	-3,651192E-1	1,296875E+2	9,061710E-1	1,296875E+2	-3,666459E-1	1,296875E+2	9,113967E-1	1,296875E+2	-3,599231E-1	1,296875E+2	9,101046E-1	1,296875E+2	-3,590192E-1	1,296875E+2	9,169358E-1	1,296875E+2	-3,647525E-1	1,296875E+2	9,154604E-1	1,296875E+2	-3,611392E-1	1,296875E+2	8,697844E-1	1,296875E+2	-3,850246E-1	1,296875E+2	8,711747E-1	1,296875E+2	-3,743863E-1	1,296875E+2	8,728834E-1	1,296875E+2	-3,820835E-1	1,296875E+2	8,274883E-1	1,296875E+2	-2,535340E-1	1,296875E+2	9,046571E-1	1,296875E+2	-3,662594E-1	1,296875E+2	9,163684E-1	1,296875E+2	-3,511081E-1	1,296875E+2	8,079500E-1	1,296875E+2	-2,937958E-1	1,296875E+2	8,300908E-1	1,296875E+2	-3,221174E-1	1,296875E+2	8,641399E-1	1,296875E+2	-3,758255E-1	1,296875E+2	8,926048E-1	1,296875E+2	-3,342819E-1	1,296875E+2	9,031872E-1	1,296875E+2	-3,684867E-1	1,296875E+2	9,060545E-1	1,296875E+2	-3,570923E-1	1,296875E+2	8,833068E-1	1,296875E+2	-3,675368E-1	1,296875E+2	8,790484E-1	1,296875E+2	-3,844723E-1	1,296875E+2	7,542877E-1	1,296875E+2	-4,999395E-1	1,296875E+2	9,258905E-1	1,296875E+2	-3,423534E-1	1,296875E+2	9,317179E-1	1,296875E+2	-3,333090E-1	1,296875E+2	9,234404E-1	1,296875E+2	-3,377780E-1
