Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 14_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 15_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 16_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 17_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 18_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 19_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 20_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 21_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 22_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 23_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 24_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
1,156250E+2	6,990694E+1	1,156250E+2	7,069878E+1	1,156250E+2	7,039315E+1	1,156250E+2	6,966685E+1	1,156250E+2	6,976104E+1	1,156250E+2	7,068125E+1	1,156250E+2	6,799397E+1	1,156250E+2	6,937410E+1	1,156250E+2	6,989232E+1	1,156250E+2	7,000874E+1	1,156250E+2	6,889715E+1	1,156250E+2	7,003292E+1	1,156250E+2	6,950901E+1	1,156250E+2	6,942054E+1	1,156250E+2	7,028338E+1	1,156250E+2	7,090543E+1	1,156250E+2	6,914329E+1	1,156250E+2	7,037492E+1	1,156250E+2	6,926404E+1	1,156250E+2	6,852040E+1	1,156250E+2	6,933362E+1	1,156250E+2	7,016910E+1	1,156250E+2	7,047945E+1	1,156250E+2	6,902727E+1
1,171875E+2	7,000315E+1	1,171875E+2	7,044152E+1	1,171875E+2	7,017954E+1	1,171875E+2	6,860245E+1	1,171875E+2	6,889335E+1	1,171875E+2	7,024582E+1	1,171875E+2	7,006423E+1	1,171875E+2	6,945308E+1	1,171875E+2	6,955430E+1	1,171875E+2	6,845118E+1	1,171875E+2	6,897031E+1	1,171875E+2	6,986820E+1	1,171875E+2	6,875111E+1	1,171875E+2	6,862909E+1	1,171875E+2	6,942610E+1	1,171875E+2	7,064847E+1	1,171875E+2	6,896102E+1	1,171875E+2	7,020922E+1	1,171875E+2	6,876734E+1	1,171875E+2	6,915277E+1	1,171875E+2	6,927293E+1	1,171875E+2	6,872121E+1	1,171875E+2	7,081388E+1	1,171875E+2	7,025057E+1
1,187500E+2	6,994779E+1	1,187500E+2	7,032322E+1	1,187500E+2	6,935067E+1	1,187500E+2	6,802176E+1	1,187500E+2	6,846650E+1	1,187500E+2	6,907424E+1	1,187500E+2	6,956911E+1	1,187500E+2	6,972070E+1	1,187500E+2	7,002104E+1	1,187500E+2	6,936329E+1	1,187500E+2	6,824520E+1	1,187500E+2	7,063655E+1	1,187500E+2	6,891622E+1	1,187500E+2	6,967316E+1	1,187500E+2	7,000172E+1	1,187500E+2	7,078049E+1	1,187500E+2	7,008176E+1	1,187500E+2	7,014005E+1	1,187500E+2	6,947881E+1	1,187500E+2	6,935401E+1	1,187500E+2	6,928903E+1	1,187500E+2	6,990796E+1	1,187500E+2	7,008515E+1	1,187500E+2	6,901510E+1
1,203125E+2	6,885654E+1	1,203125E+2	7,091966E+1	1,203125E+2	7,037539E+1	1,203125E+2	6,903980E+1	1,203125E+2	6,961903E+1	1,203125E+2	6,968037E+1	1,203125E+2	6,893590E+1	1,203125E+2	7,024253E+1	1,203125E+2	7,078959E+1	1,203125E+2	7,017625E+1	1,203125E+2	6,824979E+1	1,203125E+2	6,981252E+1	1,203125E+2	6,970624E+1	1,203125E+2	6,961444E+1	1,203125E+2	6,955835E+1	1,203125E+2	7,070295E+1	1,203125E+2	7,029115E+1	1,203125E+2	7,035679E+1	1,203125E+2	7,032481E+1	1,203125E+2	6,823698E+1	1,203125E+2	6,907046E+1	1,203125E+2	6,969588E+1	1,203125E+2	6,993504E+1	1,203125E+2	6,874484E+1
1,218750E+2	6,969498E+1	1,218750E+2	7,076090E+1	1,218750E+2	6,969074E+1	1,218750E+2	6,830094E+1	1,218750E+2	6,955802E+1	1,218750E+2	6,989546E+1	1,218750E+2	6,972470E+1	1,218750E+2	6,933358E+1	1,218750E+2	7,020874E+1	1,218750E+2	7,052587E+1	1,218750E+2	6,892936E+1	1,218750E+2	6,953203E+1	1,218750E+2	6,919722E+1	1,218750E+2	6,984373E+1	1,218750E+2	7,035068E+1	1,218750E+2	7,050957E+1	1,218750E+2	6,990941E+1	1,218750E+2	7,011731E+1	1,218750E+2	7,012064E+1	1,218750E+2	6,806818E+1	1,218750E+2	6,842557E+1	1,218750E+2	6,935980E+1	1,218750E+2	6,900332E+1	1,218750E+2	6,901719E+1
1,234375E+2	6,963635E+1	1,234375E+2	7,052016E+1	1,234375E+2	6,867870E+1	1,234375E+2	6,810062E+1	1,234375E+2	7,056232E+1	1,234375E+2	7,023652E+1	1,234375E+2	6,882016E+1	1,234375E+2	6,950399E+1	1,234375E+2	6,893667E+1	1,234375E+2	6,954426E+1	1,234375E+2	6,932449E+1	1,234375E+2	6,916763E+1	1,234375E+2	6,878312E+1	1,234375E+2	7,014323E+1	1,234375E+2	6,987252E+1	1,234375E+2	7,074125E+1	1,234375E+2	6,902043E+1	1,234375E+2	7,112175E+1	1,234375E+2	6,943308E+1	1,234375E+2	6,918961E+1	1,234375E+2	6,808616E+1	1,234375E+2	6,872096E+1	1,234375E+2	6,980605E+1	1,234375E+2	7,042347E+1
1,250000E+2	6,940178E+1	1,250000E+2	7,120166E+1	1,250000E+2	6,875906E+1	1,250000E+2	6,768591E+1	1,250000E+2	7,011202E+1	1,250000E+2	7,061455E+1	1,250000E+2	6,932945E+1	1,250000E+2	6,965958E+1	1,250000E+2	6,958115E+1	1,250000E+2	6,870710E+1	1,250000E+2	6,946856E+1	1,250000E+2	6,842562E+1	1,250000E+2	6,913689E+1	1,250000E+2	7,061907E+1	1,250000E+2	6,955501E+1	1,250000E+2	7,010252E+1	1,250000E+2	6,950223E+1	1,250000E+2	7,129665E+1	1,250000E+2	6,929237E+1	1,250000E+2	6,924576E+1	1,250000E+2	6,929635E+1	1,250000E+2	6,881040E+1	1,250000E+2	7,010540E+1	1,250000E+2	6,852436E+1
1,265625E+2	6,881840E+1	1,265625E+2	7,041876E+1	1,265625E+2	7,018985E+1	1,265625E+2	6,693304E+1	1,265625E+2	6,901933E+1	1,265625E+2	6,987372E+1	1,265625E+2	6,966403E+1	1,265625E+2	6,890428E+1	1,265625E+2	6,997755E+1	1,265625E+2	7,005313E+1	1,265625E+2	6,940795E+1	1,265625E+2	6,956665E+1	1,265625E+2	7,039863E+1	1,265625E+2	7,000130E+1	1,265625E+2	6,965033E+1	1,265625E+2	6,988457E+1	1,265625E+2	6,876845E+1	1,265625E+2	6,939711E+1	1,265625E+2	6,890881E+1	1,265625E+2	6,852780E+1	1,265625E+2	6,989495E+1	1,265625E+2	6,960515E+1	1,265625E+2	7,033487E+1	1,265625E+2	6,942088E+1
1,281250E+2	6,976867E+1	1,281250E+2	6,986818E+1	1,281250E+2	7,017959E+1	1,281250E+2	6,827756E+1	1,281250E+2	6,819393E+1	1,281250E+2	6,995017E+1	1,281250E+2	6,999939E+1	1,281250E+2	6,854267E+1	1,281250E+2	6,915720E+1	1,281250E+2	7,037902E+1	1,281250E+2	6,809740E+1	1,281250E+2	7,052411E+1	1,281250E+2	7,014723E+1	1,281250E+2	6,799131E+1	1,281250E+2	6,950480E+1	1,281250E+2	7,109361E+1	1,281250E+2	6,898654E+1	1,281250E+2	7,002908E+1	1,281250E+2	6,976633E+1	1,281250E+2	6,850120E+1	1,281250E+2	6,935563E+1	1,281250E+2	6,775089E+1	1,281250E+2	7,027292E+1	1,281250E+2	6,900882E+1
1,296875E+2	6,936161E+1	1,296875E+2	7,106910E+1	1,296875E+2	6,968002E+1	1,296875E+2	6,815016E+1	1,296875E+2	6,859640E+1	1,296875E+2	6,955103E+1	1,296875E+2	6,859099E+1	1,296875E+2	6,866652E+1	1,296875E+2	6,968561E+1	1,296875E+2	7,018639E+1	1,296875E+2	6,764458E+1	1,296875E+2	6,868953E+1	1,296875E+2	7,081542E+1	1,296875E+2	6,982850E+1	1,296875E+2	7,001617E+1	1,296875E+2	7,063224E+1	1,296875E+2	6,941937E+1	1,296875E+2	7,107427E+1	1,296875E+2	7,068611E+1	1,296875E+2	6,799279E+1	1,296875E+2	6,913824E+1	1,296875E+2	6,878626E+1	1,296875E+2	6,869792E+1	1,296875E+2	6,934655E+1
