Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	3,345864E+0	3,000000E+2	-2,445162E+0	3,000000E+2	2,413659E+0	3,000000E+2	-2,402797E+0	3,000000E+2	1,616778E+0	3,000000E+2	-3,106568E+0	3,000000E+2	1,126809E+0	3,000000E+2	-3,456590E+0	3,000000E+2	1,153007E+0	3,000000E+2	-3,851247E+0	3,000000E+2	1,020609E+0	3,000000E+2	-3,632614E+0	3,000000E+2	4,134025E+0	3,000000E+2	-3,153265E-1	3,000000E+2	3,673642E+0	3,000000E+2	-1,296243E+0	3,000000E+2	2,628661E+0	3,000000E+2	-2,430104E+0	3,000000E+2	1,782551E+0	3,000000E+2	-3,011504E+0	3,000000E+2	1,261991E+0	3,000000E+2	-3,321715E+0	3,000000E+2	1,128413E+0	3,000000E+2	-3,433092E+0
3,015625E+2	3,373888E+0	3,015625E+2	-2,468641E+0	3,015625E+2	2,428300E+0	3,015625E+2	-2,417066E+0	3,015625E+2	1,639422E+0	3,015625E+2	-3,114056E+0	3,015625E+2	1,165422E+0	3,015625E+2	-3,505139E+0	3,015625E+2	1,185369E+0	3,015625E+2	-3,888243E+0	3,015625E+2	1,050811E+0	3,015625E+2	-3,677795E+0	3,015625E+2	4,368307E+0	3,015625E+2	-1,191466E+0	3,015625E+2	3,594324E+0	3,015625E+2	-1,817553E+0	3,015625E+2	2,666824E+0	3,015625E+2	-2,430272E+0	3,015625E+2	1,779053E+0	3,015625E+2	-2,996303E+0	3,015625E+2	1,254799E+0	3,015625E+2	-3,296931E+0	3,015625E+2	1,118855E+0	3,015625E+2	-3,402449E+0
3,031250E+2	3,401839E+0	3,031250E+2	-2,495924E+0	3,031250E+2	2,442118E+0	3,031250E+2	-2,432971E+0	3,031250E+2	1,661081E+0	3,031250E+2	-3,120963E+0	3,031250E+2	1,205451E+0	3,031250E+2	-3,554430E+0	3,031250E+2	1,217965E+0	3,031250E+2	-3,924757E+0	3,031250E+2	1,081673E+0	3,031250E+2	-3,723360E+0	3,031250E+2	4,442997E+0	3,031250E+2	-2,467742E+0	3,031250E+2	3,420665E+0	3,031250E+2	-2,424096E+0	3,031250E+2	2,704808E+0	3,031250E+2	-2,430732E+0	3,031250E+2	1,772971E+0	3,031250E+2	-2,980499E+0	3,031250E+2	1,245250E+0	3,031250E+2	-3,270357E+0	3,031250E+2	1,106984E+0	3,031250E+2	-3,369615E+0
3,046875E+2	3,406835E+0	3,046875E+2	-2,538676E+0	3,046875E+2	2,456626E+0	3,046875E+2	-2,446022E+0	3,046875E+2	1,686001E+0	3,046875E+2	-3,127822E+0	3,046875E+2	1,244593E+0	3,046875E+2	-3,599503E+0	3,046875E+2	1,247844E+0	3,046875E+2	-3,956830E+0	3,046875E+2	1,116850E+0	3,046875E+2	-3,771212E+0	3,046875E+2	4,512749E+0	3,046875E+2	-2,470834E+0	3,046875E+2	3,472284E+0	3,046875E+2	-2,429751E+0	3,046875E+2	2,704121E+0	3,046875E+2	-2,435954E+0	3,046875E+2	1,775937E+0	3,046875E+2	-2,970288E+0	3,046875E+2	1,247504E+0	3,046875E+2	-3,259552E+0	3,046875E+2	1,110918E+0	3,046875E+2	-3,361704E+0
3,062500E+2	3,410340E+0	3,062500E+2	-2,587072E+0	3,062500E+2	2,470273E+0	3,062500E+2	-2,460615E+0	3,062500E+2	1,710048E+0	3,062500E+2	-3,134079E+0	3,062500E+2	1,284935E+0	3,062500E+2	-3,645027E+0	3,062500E+2	1,277565E+0	3,062500E+2	-3,988175E+0	3,062500E+2	1,153013E+0	3,062500E+2	-3,819512E+0	3,062500E+2	4,584652E+0	3,062500E+2	-2,477218E+0	3,062500E+2	3,524845E+0	3,062500E+2	-2,436927E+0	3,062500E+2	2,701519E+0	3,062500E+2	-2,443145E+0	3,062500E+2	1,776783E+0	3,062500E+2	-2,959585E+0	3,062500E+2	1,247982E+0	3,062500E+2	-3,247388E+0	3,062500E+2	1,113283E+0	3,062500E+2	-3,352262E+0
3,078125E+2	3,400457E+0	3,078125E+2	-2,634851E+0	3,078125E+2	2,481380E+0	3,078125E+2	-2,474758E+0	3,078125E+2	1,732620E+0	3,078125E+2	-3,139413E+0	3,078125E+2	1,321505E+0	3,078125E+2	-3,684696E+0	3,078125E+2	1,305363E+0	3,078125E+2	-4,018996E+0	3,078125E+2	1,185922E+0	3,078125E+2	-3,866420E+0	3,078125E+2	4,667334E+0	3,078125E+2	-2,472141E+0	3,078125E+2	3,581272E+0	3,078125E+2	-2,443297E+0	3,078125E+2	2,622831E+0	3,078125E+2	-2,467312E+0	3,078125E+2	1,770777E+0	3,078125E+2	-2,948214E+0	3,078125E+2	1,250139E+0	3,078125E+2	-3,241590E+0	3,078125E+2	1,118212E+0	3,078125E+2	-3,351443E+0
3,093750E+2	3,387862E+0	3,093750E+2	-2,688402E+0	3,093750E+2	2,491484E+0	3,093750E+2	-2,490561E+0	3,093750E+2	1,754174E+0	3,093750E+2	-3,144219E+0	3,093750E+2	1,358780E+0	3,093750E+2	-3,724499E+0	3,093750E+2	1,332752E+0	3,093750E+2	-4,049097E+0	3,093750E+2	1,219474E+0	3,093750E+2	-3,913740E+0	3,093750E+2	4,752765E+0	3,093750E+2	-2,469110E+0	3,093750E+2	3,639026E+0	3,093750E+2	-2,451129E+0	3,093750E+2	2,539448E+0	3,093750E+2	-2,493080E+0	3,093750E+2	1,762510E+0	3,093750E+2	-2,936525E+0	3,093750E+2	1,250678E+0	3,093750E+2	-3,234709E+0	3,093750E+2	1,121768E+0	3,093750E+2	-3,349444E+0
3,109375E+2	3,384883E+0	3,109375E+2	-2,728182E+0	3,109375E+2	2,507232E+0	3,109375E+2	-2,503798E+0	3,109375E+2	1,774277E+0	3,109375E+2	-3,145179E+0	3,109375E+2	1,388992E+0	3,109375E+2	-3,749597E+0	3,109375E+2	1,364851E+0	3,109375E+2	-4,079953E+0	3,109375E+2	1,259131E+0	3,109375E+2	-3,963864E+0	3,109375E+2	4,845177E+0	3,109375E+2	-2,459758E+0	3,109375E+2	3,702649E+0	3,109375E+2	-2,453774E+0	3,109375E+2	2,532538E+0	3,109375E+2	-2,507755E+0	3,109375E+2	1,765200E+0	3,109375E+2	-2,929899E+0	3,109375E+2	1,258026E+0	3,109375E+2	-3,233149E+0	3,109375E+2	1,132658E+0	3,109375E+2	-3,354310E+0
3,125000E+2	3,379543E+0	3,125000E+2	-2,772821E+0	3,125000E+2	2,522213E+0	3,125000E+2	-2,518481E+0	3,125000E+2	1,793177E+0	3,125000E+2	-3,145556E+0	3,125000E+2	1,419012E+0	3,125000E+2	-3,774073E+0	3,125000E+2	1,396765E+0	3,125000E+2	-4,110033E+0	3,125000E+2	1,299910E+0	3,125000E+2	-4,014456E+0	3,125000E+2	4,940942E+0	3,125000E+2	-2,451758E+0	3,125000E+2	3,767908E+0	3,125000E+2	-2,457353E+0	3,125000E+2	2,523764E+0	3,125000E+2	-2,524405E+0	3,125000E+2	1,766105E+0	3,125000E+2	-2,922998E+0	3,125000E+2	1,264085E+0	3,125000E+2	-3,230663E+0	3,125000E+2	1,142552E+0	3,125000E+2	-3,358214E+0
3,140625E+2	3,388573E+0	3,140625E+2	-2,806007E+0	3,140625E+2	2,540654E+0	3,140625E+2	-2,531757E+0	3,140625E+2	1,815364E+0	3,140625E+2	-3,146309E+0	3,140625E+2	1,443819E+0	3,140625E+2	-3,788404E+0	3,140625E+2	1,426448E+0	3,140625E+2	-4,136881E+0	3,140625E+2	1,344952E+0	3,140625E+2	-4,067377E+0	3,140625E+2	5,020308E+0	3,140625E+2	-2,491329E+0	3,140625E+2	3,831458E+0	3,140625E+2	-2,467240E+0	3,140625E+2	2,534227E+0	3,140625E+2	-2,538641E+0	3,140625E+2	1,767390E+0	3,140625E+2	-2,916156E+0	3,140625E+2	1,270823E+0	3,140625E+2	-3,227721E+0	3,140625E+2	1,150984E+0	3,140625E+2	-3,359414E+0
