Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 7_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	1,935385E-1	3,000000E+2	2,079634E-1	3,000000E+2	2,471876E-1	3,000000E+2	3,720666E-1	3,000000E+2	5,016847E-1	3,000000E+2	5,033552E-1	3,000000E+2	2,286855E-1	3,000000E+2	2,032899E-1	3,000000E+2	2,133303E-1	3,000000E+2	2,620273E-1	3,000000E+2	3,968856E-1	3,000000E+2	4,739012E-1
3,015625E+2	1,948267E-1	3,015625E+2	2,095516E-1	3,015625E+2	2,485595E-1	3,015625E+2	3,735616E-1	3,015625E+2	5,050756E-1	3,015625E+2	5,065296E-1	3,015625E+2	2,349394E-1	3,015625E+2	2,049946E-1	3,015625E+2	2,158485E-1	3,015625E+2	2,645822E-1	3,015625E+2	4,007517E-1	3,015625E+2	4,780791E-1
3,031250E+2	1,960665E-1	3,031250E+2	2,110915E-1	3,031250E+2	2,498649E-1	3,031250E+2	3,749156E-1	3,031250E+2	5,083136E-1	3,031250E+2	5,095973E-1	3,031250E+2	2,411863E-1	3,031250E+2	2,066388E-1	3,031250E+2	2,183176E-1	3,031250E+2	2,670634E-1	3,031250E+2	4,045085E-1	3,031250E+2	4,821515E-1
3,046875E+2	1,976872E-1	3,046875E+2	2,128706E-1	3,046875E+2	2,513702E-1	3,046875E+2	3,761622E-1	3,046875E+2	5,115090E-1	3,046875E+2	5,127080E-1	3,046875E+2	2,445017E-1	3,046875E+2	2,087253E-1	3,046875E+2	2,214844E-1	3,046875E+2	2,703785E-1	3,046875E+2	4,094521E-1	3,046875E+2	4,867934E-1
3,062500E+2	1,992531E-1	3,062500E+2	2,145929E-1	3,062500E+2	2,527979E-1	3,062500E+2	3,772425E-1	3,062500E+2	5,145678E-1	3,062500E+2	5,157133E-1	3,062500E+2	2,477276E-1	3,062500E+2	2,107417E-1	3,062500E+2	2,245931E-1	3,062500E+2	2,736060E-1	3,062500E+2	4,142611E-1	3,062500E+2	4,913123E-1
3,078125E+2	2,018618E-1	3,078125E+2	2,167170E-1	3,078125E+2	2,543866E-1	3,078125E+2	3,782520E-1	3,078125E+2	5,176065E-1	3,078125E+2	5,187801E-1	3,078125E+2	2,544677E-1	3,078125E+2	2,138503E-1	3,078125E+2	2,287360E-1	3,078125E+2	2,780220E-1	3,078125E+2	4,209284E-1	3,078125E+2	4,965903E-1
3,093750E+2	2,044060E-1	3,093750E+2	2,187601E-1	3,093750E+2	2,558704E-1	3,093750E+2	3,790582E-1	3,093750E+2	5,205031E-1	3,093750E+2	5,217456E-1	3,093750E+2	2,603525E-1	3,093750E+2	2,168822E-1	3,093750E+2	2,328019E-1	3,093750E+2	2,822957E-1	3,093750E+2	4,274390E-1	3,093750E+2	5,017308E-1
3,109375E+2	2,107844E-1	3,109375E+2	2,229283E-1	3,109375E+2	2,586367E-1	3,109375E+2	3,805314E-1	3,109375E+2	5,236399E-1	3,109375E+2	5,249978E-1	3,109375E+2	2,786986E-1	3,109375E+2	2,529551E-1	3,109375E+2	2,630276E-1	3,109375E+2	3,080268E-1	3,109375E+2	4,375732E-1	3,109375E+2	5,080896E-1
3,125000E+2	2,171416E-1	3,125000E+2	2,270027E-1	3,125000E+2	2,612640E-1	3,125000E+2	3,817507E-1	3,125000E+2	5,266106E-1	3,125000E+2	5,281492E-1	3,125000E+2	2,967857E-1	3,125000E+2	2,893913E-1	3,125000E+2	2,930913E-1	3,125000E+2	3,335359E-1	3,125000E+2	4,474965E-1	3,125000E+2	5,143115E-1
3,140625E+2	2,294738E-1	3,140625E+2	2,372435E-1	3,140625E+2	2,780704E-1	3,140625E+2	3,842160E-1	3,140625E+2	5,297563E-1	3,140625E+2	5,314399E-1	3,140625E+2	2,958275E-1	3,140625E+2	2,898213E-1	3,140625E+2	2,942775E-1	3,140625E+2	3,367849E-1	3,140625E+2	4,541161E-1	3,140625E+2	5,204035E-1
