Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 7_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	9,990004E+1	3,000000E+2	1,098803E+2	3,000000E+2	1,199885E+2	3,000000E+2	1,300429E+2	3,000000E+2	1,399145E+2	3,000000E+2	1,447846E+2	3,000000E+2	9,195817E+1	3,000000E+2	1,019578E+2	3,000000E+2	1,119480E+2	3,000000E+2	1,219559E+2	3,000000E+2	1,320716E+2	3,000000E+2	1,369216E+2
3,015625E+2	9,976871E+1	3,015625E+2	1,097514E+2	3,015625E+2	1,198814E+2	3,015625E+2	1,300052E+2	3,015625E+2	1,399475E+2	3,015625E+2	1,448250E+2	3,015625E+2	9,197313E+1	3,015625E+2	1,019420E+2	3,015625E+2	1,119415E+2	3,015625E+2	1,219991E+2	3,015625E+2	1,322025E+2	3,015625E+2	1,370654E+2
3,031250E+2	9,963537E+1	3,031250E+2	1,096205E+2	3,031250E+2	1,197729E+2	3,031250E+2	1,299674E+2	3,031250E+2	1,399803E+2	3,031250E+2	1,448652E+2	3,031250E+2	9,198807E+1	3,031250E+2	1,019261E+2	3,031250E+2	1,119349E+2	3,031250E+2	1,220421E+2	3,031250E+2	1,323314E+2	3,031250E+2	1,372068E+2
3,046875E+2	9,948934E+1	3,046875E+2	1,094732E+2	3,046875E+2	1,196467E+2	3,046875E+2	1,299182E+2	3,046875E+2	1,399905E+2	3,046875E+2	1,448971E+2	3,046875E+2	9,201623E+1	3,046875E+2	1,019077E+2	3,046875E+2	1,119390E+2	3,046875E+2	1,221041E+2	3,046875E+2	1,324998E+2	3,046875E+2	1,373638E+2
3,062500E+2	9,934080E+1	3,062500E+2	1,093234E+2	3,062500E+2	1,195186E+2	3,062500E+2	1,298688E+2	3,062500E+2	1,400006E+2	3,062500E+2	1,449289E+2	3,062500E+2	9,204430E+1	3,062500E+2	1,018894E+2	3,062500E+2	1,119431E+2	3,062500E+2	1,221657E+2	3,062500E+2	1,326649E+2	3,062500E+2	1,375181E+2
3,078125E+2	9,921801E+1	3,078125E+2	1,091926E+2	3,078125E+2	1,193952E+2	3,078125E+2	1,298182E+2	3,078125E+2	1,399954E+2	3,078125E+2	1,449457E+2	3,078125E+2	9,248545E+1	3,078125E+2	1,018911E+2	3,078125E+2	1,119856E+2	3,078125E+2	1,223067E+2	3,078125E+2	1,328881E+2	3,078125E+2	1,376936E+2
3,093750E+2	9,909345E+1	3,093750E+2	1,090599E+2	3,093750E+2	1,192700E+2	3,093750E+2	1,297672E+2	3,093750E+2	1,399903E+2	3,093750E+2	1,449624E+2	3,093750E+2	9,290528E+1	3,093750E+2	1,018928E+2	3,093750E+2	1,120278E+2	3,093750E+2	1,224455E+2	3,093750E+2	1,331057E+2	3,093750E+2	1,378656E+2
3,109375E+2	9,905839E+1	3,109375E+2	1,090159E+2	3,109375E+2	1,192058E+2	3,109375E+2	1,297520E+2	3,109375E+2	1,399895E+2	3,109375E+2	1,449706E+2	3,109375E+2	9,354039E+1	3,109375E+2	1,031362E+2	3,109375E+2	1,131810E+2	3,109375E+2	1,232773E+2	3,109375E+2	1,334259E+2	3,109375E+2	1,380630E+2
3,125000E+2	9,902318E+1	3,125000E+2	1,089717E+2	3,125000E+2	1,191412E+2	3,125000E+2	1,297368E+2	3,125000E+2	1,399888E+2	3,125000E+2	1,449788E+2	3,125000E+2	9,413221E+1	3,125000E+2	1,042238E+2	3,125000E+2	1,141988E+2	3,125000E+2	1,240363E+2	3,125000E+2	1,337347E+2	3,125000E+2	1,382559E+2
3,140625E+2	9,928347E+1	3,140625E+2	1,092520E+2	3,140625E+2	1,198755E+2	3,140625E+2	1,298265E+2	3,140625E+2	1,399829E+2	3,140625E+2	1,449780E+2	3,140625E+2	9,435816E+1	3,140625E+2	1,044506E+2	3,140625E+2	1,144240E+2	3,140625E+2	1,242545E+2	3,140625E+2	1,339188E+2	3,140625E+2	1,384437E+2
3,156250E+2	9,953619E+1	3,156250E+2	1,095235E+2	3,156250E+2	1,205526E+2	3,156250E+2	1,299152E+2	3,156250E+2	1,399770E+2	3,156250E+2	1,449773E+2	3,156250E+2	9,457838E+1	3,156250E+2	1,046717E+2	3,156250E+2	1,146434E+2	3,156250E+2	1,244674E+2	3,156250E+2	1,340992E+2	3,156250E+2	1,386275E+2
3,171875E+2	9,954410E+1	3,171875E+2	1,096325E+2	3,171875E+2	1,205248E+2	3,171875E+2	1,300465E+2	3,171875E+2	1,399902E+2	3,171875E+2	1,449760E+2	3,171875E+2	9,475028E+1	3,171875E+2	1,048442E+2	3,171875E+2	1,148159E+2	3,171875E+2	1,246264E+2	3,171875E+2	1,342318E+2	3,171875E+2	1,387658E+2
3,187500E+2	9,955200E+1	3,187500E+2	1,097402E+2	3,187500E+2	1,204970E+2	3,187500E+2	1,301758E+2	3,187500E+2	1,400035E+2	3,187500E+2	1,449748E+2	3,187500E+2	9,491884E+1	3,187500E+2	1,050134E+2	3,187500E+2	1,149850E+2	3,187500E+2	1,247825E+2	3,187500E+2	1,343625E+2	3,187500E+2	1,389020E+2
3,203125E+2	9,967578E+1	3,203125E+2	1,098167E+2	3,203125E+2	1,204087E+2	3,203125E+2	1,301396E+2	3,203125E+2	1,400198E+2	3,203125E+2	1,449787E+2	3,203125E+2	9,504653E+1	3,203125E+2	1,051352E+2	3,203125E+2	1,151047E+2	3,203125E+2	1,248963E+2	3,203125E+2	1,344654E+2	3,203125E+2	1,390317E+2
3,218750E+2	9,979783E+1	3,218750E+2	1,098926E+2	3,218750E+2	1,203194E+2	3,218750E+2	1,301033E+2	3,218750E+2	1,400361E+2	3,218750E+2	1,449827E+2	3,218750E+2	9,517237E+1	3,218750E+2	1,052553E+2	3,218750E+2	1,152228E+2	3,218750E+2	1,250087E+2	3,218750E+2	1,345671E+2	3,218750E+2	1,391595E+2
3,234375E+2	9,985585E+1	3,234375E+2	1,099086E+2	3,234375E+2	1,201753E+2	3,234375E+2	1,300275E+2	3,234375E+2	1,400387E+2	3,234375E+2	1,449882E+2	3,234375E+2	9,526778E+1	3,234375E+2	1,053424E+2	3,234375E+2	1,153038E+2	3,234375E+2	1,250916E+2	3,234375E+2	1,346519E+2	3,234375E+2	1,392432E+2
3,250000E+2	9,991349E+1	3,250000E+2	1,099246E+2	3,250000E+2	1,200287E+2	3,250000E+2	1,299511E+2	3,250000E+2	1,400412E+2	3,250000E+2	1,449937E+2	3,250000E+2	9,536215E+1	3,250000E+2	1,054286E+2	3,250000E+2	1,153840E+2	3,250000E+2	1,251738E+2	3,250000E+2	1,347360E+2	3,250000E+2	1,393260E+2
3,265625E+2	9,990756E+1	3,265625E+2	1,098932E+2	3,265625E+2	1,198531E+2	3,265625E+2	1,298809E+2	3,265625E+2	1,400222E+2	3,265625E+2	1,449953E+2	3,265625E+2	9,545236E+1	3,265625E+2	1,055015E+2	3,265625E+2	1,154518E+2	3,265625E+2	1,252520E+2	3,265625E+2	1,348260E+2	3,265625E+2	1,394102E+2
3,281250E+2	9,990162E+1	3,281250E+2	1,098616E+2	3,281250E+2	1,196738E+2	3,281250E+2	1,298101E+2	3,281250E+2	1,400031E+2	3,281250E+2	1,449968E+2	3,281250E+2	9,554165E+1	3,281250E+2	1,055738E+2	3,281250E+2	1,155192E+2	3,281250E+2	1,253295E+2	3,281250E+2	1,349152E+2	3,281250E+2	1,394937E+2
3,296875E+2	9,993867E+1	3,296875E+2	1,099230E+2	3,296875E+2	1,198776E+2	3,296875E+2	1,298328E+2	3,296875E+2	1,400055E+2	3,296875E+2	1,449945E+2	3,296875E+2	9,565797E+1	3,296875E+2	1,056689E+2	3,296875E+2	1,156199E+2	3,296875E+2	1,254448E+2	3,296875E+2	1,350279E+2	3,296875E+2	1,395974E+2
3,312500E+2	9,997557E+1	3,312500E+2	1,099839E+2	3,312500E+2	1,200768E+2	3,312500E+2	1,298554E+2	3,312500E+2	1,400080E+2	3,312500E+2	1,449923E+2	3,312500E+2	9,577274E+1	3,312500E+2	1,057628E+2	3,312500E+2	1,157195E+2	3,312500E+2	1,255586E+2	3,312500E+2	1,351391E+2	3,312500E+2	1,397000E+2
3,328125E+2	1,000276E+2	3,328125E+2	1,100520E+2	3,328125E+2	1,201104E+2	3,328125E+2	1,299615E+2	3,328125E+2	1,399858E+2	3,328125E+2	1,449865E+2	3,328125E+2	9,589346E+1	3,328125E+2	1,058820E+2	3,328125E+2	1,158471E+2	3,328125E+2	1,256738E+2	3,328125E+2	1,352462E+2	3,328125E+2	1,398034E+2
3,343750E+2	1,000792E+2	3,343750E+2	1,101196E+2	3,343750E+2	1,201438E+2	3,343750E+2	1,300663E+2	3,343750E+2	1,399635E+2	3,343750E+2	1,449808E+2	3,343750E+2	9,601252E+1	3,343750E+2	1,059995E+2	3,343750E+2	1,159729E+2	3,343750E+2	1,257874E+2	3,343750E+2	1,353520E+2	3,343750E+2	1,399057E+2
3,359375E+2	1,000796E+2	3,359375E+2	1,101134E+2	3,359375E+2	1,201269E+2	3,359375E+2	1,300680E+2	3,359375E+2	1,399766E+2	3,359375E+2	1,449778E+2	3,359375E+2	9,615339E+1	3,359375E+2	1,061011E+2	3,359375E+2	1,160648E+2	3,359375E+2	1,258790E+2	3,359375E+2	1,354385E+2	3,359375E+2	1,399900E+2
3,375000E+2	1,000800E+2	3,375000E+2	1,101073E+2	3,375000E+2	1,201099E+2	3,375000E+2	1,300697E+2	3,375000E+2	1,399897E+2	3,375000E+2	1,449749E+2	3,375000E+2	9,629201E+1	3,375000E+2	1,062016E+2	3,375000E+2	1,161558E+2	3,375000E+2	1,259696E+2	3,375000E+2	1,355242E+2	3,375000E+2	1,400735E+2
3,390625E+2	1,000589E+2	3,390625E+2	1,100726E+2	3,390625E+2	1,200725E+2	3,390625E+2	1,300497E+2	3,390625E+2	1,400101E+2	3,390625E+2	1,449990E+2	3,390625E+2	9,639957E+1	3,390625E+2	1,062963E+2	3,390625E+2	1,162449E+2	3,390625E+2	1,260574E+2	3,390625E+2	1,356086E+2	3,390625E+2	1,401542E+2
3,406250E+2	1,000377E+2	3,406250E+2	1,100378E+2	3,406250E+2	1,200350E+2	3,406250E+2	1,300297E+2	3,406250E+2	1,400305E+2	3,406250E+2	1,450231E+2	3,406250E+2	9,650582E+1	3,406250E+2	1,063900E+2	3,406250E+2	1,163331E+2	3,406250E+2	1,261442E+2	3,406250E+2	1,356922E+2	3,406250E+2	1,402341E+2
3,421875E+2	1,000167E+2	3,421875E+2	1,100037E+2	3,421875E+2	1,200142E+2	3,421875E+2	1,300083E+2	3,421875E+2	1,400275E+2	3,421875E+2	1,450106E+2	3,421875E+2	9,658027E+1	3,421875E+2	1,064912E+2	3,421875E+2	1,164295E+2	3,421875E+2	1,262394E+2	3,421875E+2	1,357794E+2	3,421875E+2	1,403188E+2
