Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 13 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	8,805424E-1	3,000000E+2	-1,216202E+0	3,000000E+2	9,870148E-1	3,000000E+2	-1,391285E+0	3,000000E+2	1,290125E+0	3,000000E+2	-1,974213E+0	3,000000E+2	1,329106E+0	3,000000E+2	-2,506685E+0	3,000000E+2	1,441588E+0	3,000000E+2	-2,996608E+0	3,000000E+2	1,377598E+0	3,000000E+2	-3,082915E+0	3,000000E+2	8,691398E-1	3,000000E+2	-8,243358E-1	3,000000E+2	8,887143E-1	3,000000E+2	-9,155301E-1	3,000000E+2	9,722002E-1	3,000000E+2	-1,255358E+0	3,000000E+2	1,088223E+0	3,000000E+2	-1,732464E+0	3,000000E+2	1,136635E+0	3,000000E+2	-2,241640E+0	3,000000E+2	1,168225E+0	3,000000E+2	-2,471658E+0
3,015625E+2	8,868154E-1	3,015625E+2	-1,187949E+0	3,015625E+2	9,652713E-1	3,015625E+2	-1,234149E+0	3,015625E+2	1,262080E+0	3,015625E+2	-1,900695E+0	3,015625E+2	1,314882E+0	3,015625E+2	-2,465051E+0	3,015625E+2	1,443347E+0	3,015625E+2	-2,979380E+0	3,015625E+2	1,401940E+0	3,015625E+2	-3,095648E+0	3,015625E+2	8,863027E-1	3,015625E+2	-7,964464E-1	3,015625E+2	9,045058E-1	3,015625E+2	-8,923249E-1	3,015625E+2	9,853484E-1	3,015625E+2	-1,241564E+0	3,015625E+2	1,095026E+0	3,015625E+2	-1,718462E+0	3,015625E+2	1,139089E+0	3,015625E+2	-2,227752E+0	3,015625E+2	1,171463E+0	3,015625E+2	-2,459494E+0
3,031250E+2	8,921944E-1	3,031250E+2	-1,159715E+0	3,031250E+2	9,404936E-1	3,031250E+2	-1,087410E+0	3,031250E+2	1,232435E+0	3,031250E+2	-1,828267E+0	3,031250E+2	1,298663E+0	3,031250E+2	-2,422811E+0	3,031250E+2	1,443089E+0	3,031250E+2	-2,961058E+0	3,031250E+2	1,425804E+0	3,031250E+2	-3,107801E+0	3,031250E+2	9,022751E-1	3,031250E+2	-7,683373E-1	3,031250E+2	9,193913E-1	3,031250E+2	-8,688474E-1	3,031250E+2	9,980192E-1	3,031250E+2	-1,227475E+0	3,031250E+2	1,101139E+0	3,031250E+2	-1,704212E+0	3,031250E+2	1,140499E+0	3,031250E+2	-2,213399E+0	3,031250E+2	1,173530E+0	3,031250E+2	-2,446706E+0
3,046875E+2	9,066491E-1	3,046875E+2	-1,006987E+0	3,046875E+2	9,561662E-1	3,046875E+2	-1,060730E+0	3,046875E+2	1,212746E+0	3,046875E+2	-1,763499E+0	3,046875E+2	1,298397E+0	3,046875E+2	-2,398871E+0	3,046875E+2	1,446567E+0	3,046875E+2	-2,946765E+0	3,046875E+2	1,446506E+0	3,046875E+2	-3,116819E+0	3,046875E+2	9,403509E-1	3,046875E+2	-7,001216E-1	3,046875E+2	9,527861E-1	3,046875E+2	-8,066495E-1	3,046875E+2	1,007291E+0	3,046875E+2	-1,195248E+0	3,046875E+2	1,107137E+0	3,046875E+2	-1,689423E+0	3,046875E+2	1,144188E+0	3,046875E+2	-2,200970E+0	3,046875E+2	1,176552E+0	3,046875E+2	-2,435098E+0
3,062500E+2	9,131065E-1	3,062500E+2	-8,641420E-1	3,062500E+2	9,708153E-1	3,062500E+2	-1,033783E+0	3,062500E+2	1,191540E+0	3,062500E+2	-1,699743E+0	3,062500E+2	1,296660E+0	3,062500E+2	-2,374357E+0	3,062500E+2	1,448256E+0	3,062500E+2	-2,931548E+0	3,062500E+2	1,466442E+0	3,062500E+2	-3,125235E+0	3,062500E+2	9,733950E-1	3,062500E+2	-6,320014E-1	3,062500E+2	9,821440E-1	3,062500E+2	-7,444525E-1	3,062500E+2	1,015418E+0	3,062500E+2	-1,163021E+0	3,062500E+2	1,112444E+0	3,062500E+2	-1,674446E+0	3,062500E+2	1,146945E+0	3,062500E+2	-2,188147E+0	3,062500E+2	1,178478E+0	3,062500E+2	-2,422958E+0
3,078125E+2	9,297249E-1	3,078125E+2	-8,446908E-1	3,078125E+2	9,857802E-1	3,078125E+2	-1,024898E+0	3,078125E+2	1,185069E+0	3,078125E+2	-1,654913E+0	3,078125E+2	1,301111E+0	3,078125E+2	-2,356289E+0	3,078125E+2	1,456347E+0	3,078125E+2	-2,922671E+0	3,078125E+2	1,492793E+0	3,078125E+2	-3,137192E+0	3,078125E+2	9,914249E-1	3,078125E+2	-6,174119E-1	3,078125E+2	9,970124E-1	3,078125E+2	-7,381298E-1	3,078125E+2	1,028264E+0	3,078125E+2	-1,119997E+0	3,078125E+2	1,116460E+0	3,078125E+2	-1,657192E+0	3,078125E+2	1,147380E+0	3,078125E+2	-2,173244E+0	3,078125E+2	1,179591E+0	3,078125E+2	-2,410205E+0
3,093750E+2	9,455515E-1	3,093750E+2	-8,249163E-1	3,093750E+2	1,000463E+0	3,093750E+2	-1,015716E+0	3,093750E+2	1,177227E+0	3,093750E+2	-1,610481E+0	3,093750E+2	1,304365E+0	3,093750E+2	-2,337729E+0	3,093750E+2	1,462984E+0	3,093750E+2	-2,913036E+0	3,093750E+2	1,518735E+0	3,093750E+2	-3,148602E+0	3,093750E+2	1,008797E+0	3,093750E+2	-6,023357E-1	3,093750E+2	1,011681E+0	3,093750E+2	-7,314807E-1	3,093750E+2	1,039380E+0	3,093750E+2	-1,077165E+0	3,093750E+2	1,119738E+0	3,093750E+2	-1,639827E+0	3,093750E+2	1,146842E+0	3,093750E+2	-2,158029E+0	3,093750E+2	1,179616E+0	3,093750E+2	-2,397001E+0
3,109375E+2	9,763368E-1	3,109375E+2	-7,615378E-1	3,109375E+2	1,015650E+0	3,109375E+2	-1,005771E+0	3,109375E+2	1,176396E+0	3,109375E+2	-1,573940E+0	3,109375E+2	1,304537E+0	3,109375E+2	-2,314977E+0	3,109375E+2	1,468739E+0	3,109375E+2	-2,902387E+0	3,109375E+2	1,540883E+0	3,109375E+2	-3,155186E+0	3,109375E+2	1,022414E+0	3,109375E+2	-5,954331E-1	3,109375E+2	1,024493E+0	3,109375E+2	-7,281849E-1	3,109375E+2	1,053601E+0	3,109375E+2	-1,073253E+0	3,109375E+2	1,120754E+0	3,109375E+2	-1,618167E+0	3,109375E+2	1,145054E+0	3,109375E+2	-2,140062E+0	3,109375E+2	1,179634E+0	3,109375E+2	-2,382334E+0
3,125000E+2	1,002835E+0	3,125000E+2	-6,985438E-1	3,125000E+2	1,030511E+0	3,125000E+2	-9,955201E-1	3,125000E+2	1,174366E+0	3,125000E+2	-1,537629E+0	3,125000E+2	1,303446E+0	3,125000E+2	-2,291846E+0	3,125000E+2	1,473031E+0	3,125000E+2	-2,891058E+0	3,125000E+2	1,562278E+0	3,125000E+2	-3,161150E+0	3,125000E+2	1,035782E+0	3,125000E+2	-5,882165E-1	3,125000E+2	1,037234E+0	3,125000E+2	-7,246616E-1	3,125000E+2	1,067737E+0	3,125000E+2	-1,069126E+0	3,125000E+2	1,120960E+0	3,125000E+2	-1,596510E+0	3,125000E+2	1,142289E+0	3,125000E+2	-2,121846E+0	3,125000E+2	1,178593E+0	3,125000E+2	-2,367264E+0
3,140625E+2	1,023805E+0	3,140625E+2	-6,683922E-1	3,140625E+2	1,045738E+0	3,140625E+2	-9,725140E-1	3,140625E+2	1,177815E+0	3,140625E+2	-1,509870E+0	3,140625E+2	1,301986E+0	3,140625E+2	-2,267074E+0	3,140625E+2	1,481166E+0	3,140625E+2	-2,882305E+0	3,140625E+2	1,582911E+0	3,140625E+2	-3,165075E+0	3,140625E+2	1,048441E+0	3,140625E+2	-5,809145E-1	3,140625E+2	1,049899E+0	3,140625E+2	-7,200725E-1	3,140625E+2	1,081726E+0	3,140625E+2	-1,068552E+0	3,140625E+2	1,125445E+0	3,140625E+2	-1,583311E+0	3,140625E+2	1,137408E+0	3,140625E+2	-2,100565E+0	3,140625E+2	1,173049E+0	3,140625E+2	-2,346651E+0
