Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	9,953025E+1	3,000000E+2	1,093545E+2	3,000000E+2	1,197674E+2	3,000000E+2	1,298479E+2	3,000000E+2	1,397291E+2	3,000000E+2	1,443992E+2	3,000000E+2	9,585526E+1	3,000000E+2	1,053361E+2	3,000000E+2	1,144628E+2	3,000000E+2	1,225660E+2	3,000000E+2	1,302286E+2	3,000000E+2	1,341582E+2
3,015625E+2	9,927910E+1	3,015625E+2	1,097430E+2	3,015625E+2	1,197726E+2	3,015625E+2	1,299053E+2	3,015625E+2	1,397563E+2	3,015625E+2	1,444880E+2	3,015625E+2	9,599449E+1	3,015625E+2	1,054702E+2	3,015625E+2	1,145339E+2	3,015625E+2	1,226781E+2	3,015625E+2	1,303781E+2	3,015625E+2	1,343231E+2
3,031250E+2	9,902048E+1	3,031250E+2	1,101148E+2	3,031250E+2	1,197779E+2	3,031250E+2	1,299622E+2	3,031250E+2	1,397834E+2	3,031250E+2	1,445759E+2	3,031250E+2	9,613153E+1	3,031250E+2	1,056022E+2	3,031250E+2	1,146045E+2	3,031250E+2	1,227888E+2	3,031250E+2	1,305251E+2	3,031250E+2	1,344849E+2
3,046875E+2	9,944101E+1	3,046875E+2	1,101688E+2	3,046875E+2	1,198543E+2	3,046875E+2	1,299795E+2	3,046875E+2	1,398234E+2	3,046875E+2	1,446488E+2	3,046875E+2	9,648189E+1	3,046875E+2	1,059609E+2	3,046875E+2	1,147384E+2	3,046875E+2	1,228960E+2	3,046875E+2	1,306643E+2	3,046875E+2	1,346430E+2
3,062500E+2	9,984211E+1	3,062500E+2	1,102225E+2	3,062500E+2	1,199300E+2	3,062500E+2	1,299967E+2	3,062500E+2	1,398631E+2	3,062500E+2	1,447211E+2	3,062500E+2	9,681867E+1	3,062500E+2	1,063054E+2	3,062500E+2	1,148703E+2	3,062500E+2	1,230019E+2	3,062500E+2	1,308012E+2	3,062500E+2	1,347983E+2
3,078125E+2	9,979014E+1	3,078125E+2	1,101798E+2	3,078125E+2	1,199668E+2	3,078125E+2	1,299875E+2	3,078125E+2	1,398920E+2	3,078125E+2	1,447702E+2	3,078125E+2	9,700575E+1	3,078125E+2	1,064874E+2	3,078125E+2	1,151171E+2	3,078125E+2	1,231167E+2	3,078125E+2	1,309438E+2	3,078125E+2	1,349521E+2
3,093750E+2	9,973787E+1	3,093750E+2	1,101370E+2	3,093750E+2	1,200035E+2	3,093750E+2	1,299783E+2	3,093750E+2	1,399207E+2	3,093750E+2	1,448190E+2	3,093750E+2	9,718890E+1	3,093750E+2	1,066658E+2	3,093750E+2	1,153572E+2	3,093750E+2	1,232301E+2	3,093750E+2	1,310840E+2	3,093750E+2	1,351033E+2
3,109375E+2	9,983352E+1	3,109375E+2	1,100542E+2	3,109375E+2	1,200342E+2	3,109375E+2	1,299760E+2	3,109375E+2	1,399454E+2	3,109375E+2	1,448557E+2	3,109375E+2	9,730516E+1	3,109375E+2	1,067882E+2	3,109375E+2	1,154777E+2	3,109375E+2	1,233781E+2	3,109375E+2	1,312376E+2	3,109375E+2	1,352590E+2
3,125000E+2	9,992813E+1	3,125000E+2	1,099706E+2	3,125000E+2	1,200648E+2	3,125000E+2	1,299737E+2	3,125000E+2	1,399700E+2	3,125000E+2	1,448922E+2	3,125000E+2	9,741989E+1	3,125000E+2	1,069088E+2	3,125000E+2	1,155967E+2	3,125000E+2	1,235237E+2	3,125000E+2	1,313884E+2	3,125000E+2	1,354120E+2
3,140625E+2	1,000117E+2	3,140625E+2	1,098996E+2	3,140625E+2	1,200744E+2	3,140625E+2	1,299716E+2	3,140625E+2	1,399742E+2	3,140625E+2	1,449106E+2	3,140625E+2	9,749260E+1	3,140625E+2	1,069832E+2	3,140625E+2	1,156646E+2	3,140625E+2	1,236534E+2	3,140625E+2	1,315605E+2	3,140625E+2	1,355888E+2
