Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	5,382372E-1	3,000000E+2	5,540203E-1	3,000000E+2	3,919867E-1	3,000000E+2	2,736414E-1	3,000000E+2	2,369086E-1	3,000000E+2	2,362692E-1	3,000000E+2	6,250027E-1	3,000000E+2	6,246847E-1	3,000000E+2	5,512962E-1	3,000000E+2	4,241204E-1	3,000000E+2	3,125598E-1	3,000000E+2	2,766352E-1
3,015625E+2	5,350052E-1	3,015625E+2	5,520291E-1	3,015625E+2	3,935268E-1	3,015625E+2	2,746200E-1	3,015625E+2	2,383337E-1	3,015625E+2	2,370427E-1	3,015625E+2	5,778507E-1	3,015625E+2	5,889604E-1	3,015625E+2	5,512296E-1	3,015625E+2	4,260958E-1	3,015625E+2	3,146067E-1	3,015625E+2	2,785610E-1
3,031250E+2	5,314165E-1	3,031250E+2	5,497936E-1	3,031250E+2	3,949839E-1	3,031250E+2	2,755633E-1	3,031250E+2	2,397205E-1	3,031250E+2	2,377725E-1	3,031250E+2	4,975922E-1	3,031250E+2	5,382949E-1	3,031250E+2	5,510441E-1	3,031250E+2	4,279247E-1	3,031250E+2	3,165277E-1	3,031250E+2	2,803611E-1
3,046875E+2	5,268626E-1	3,046875E+2	5,480089E-1	3,046875E+2	3,967558E-1	3,046875E+2	2,766589E-1	3,046875E+2	2,410209E-1	3,046875E+2	2,388589E-1	3,046875E+2	4,946099E-1	3,046875E+2	5,361563E-1	3,046875E+2	5,503344E-1	3,046875E+2	4,297895E-1	3,046875E+2	3,183230E-1	3,046875E+2	2,820121E-1
3,062500E+2	5,217770E-1	3,062500E+2	5,459945E-1	3,062500E+2	3,984545E-1	3,062500E+2	2,777165E-1	3,062500E+2	2,422746E-1	3,062500E+2	2,399095E-1	3,062500E+2	4,913231E-1	3,062500E+2	5,338079E-1	3,062500E+2	5,493627E-1	3,062500E+2	4,315285E-1	3,062500E+2	3,200169E-1	3,062500E+2	2,835736E-1
3,078125E+2	5,170527E-1	3,078125E+2	5,440301E-1	3,078125E+2	4,000709E-1	3,078125E+2	2,787048E-1	3,078125E+2	2,432312E-1	3,078125E+2	2,404613E-1	3,078125E+2	4,883406E-1	3,078125E+2	5,313903E-1	3,078125E+2	5,460667E-1	3,078125E+2	4,327103E-1	3,078125E+2	3,211448E-1	3,078125E+2	2,845506E-1
3,093750E+2	5,117454E-1	3,093750E+2	5,418227E-1	3,093750E+2	4,016062E-1	3,093750E+2	2,796458E-1	3,093750E+2	2,441282E-1	3,093750E+2	2,409620E-1	3,093750E+2	4,850897E-1	3,093750E+2	5,287631E-1	3,093750E+2	5,419473E-1	3,093750E+2	4,337247E-1	3,093750E+2	3,221551E-1	3,093750E+2	2,854249E-1
3,109375E+2	5,076657E-1	3,109375E+2	5,400700E-1	3,109375E+2	4,035024E-1	3,109375E+2	2,810763E-1	3,109375E+2	2,454929E-1	3,109375E+2	2,419558E-1	3,109375E+2	4,819094E-1	3,109375E+2	5,263947E-1	3,109375E+2	5,397664E-1	3,109375E+2	4,350291E-1	3,109375E+2	3,235677E-1	3,109375E+2	2,867557E-1
3,125000E+2	5,031153E-1	3,125000E+2	5,381085E-1	3,125000E+2	4,053212E-1	3,125000E+2	2,824572E-1	3,125000E+2	2,468126E-1	3,125000E+2	2,429120E-1	3,125000E+2	4,784732E-1	3,125000E+2	5,238384E-1	3,125000E+2	5,372702E-1	3,125000E+2	4,362031E-1	3,125000E+2	3,248894E-1	3,125000E+2	2,880117E-1
3,140625E+2	4,995455E-1	3,140625E+2	5,363983E-1	3,140625E+2	4,073625E-1	3,140625E+2	2,841568E-1	3,140625E+2	2,480625E-1	3,140625E+2	2,440668E-1	3,140625E+2	4,730469E-1	3,140625E+2	5,207509E-1	3,140625E+2	5,353400E-1	3,140625E+2	4,374074E-1	3,140625E+2	3,263788E-1	3,140625E+2	2,893303E-1
3,156250E+2	4,956028E-1	3,156250E+2	5,344953E-1	3,156250E+2	4,093333E-1	3,156250E+2	2,858033E-1	3,156250E+2	2,492607E-1	3,156250E+2	2,451878E-1	3,156250E+2	4,671611E-1	3,156250E+2	5,174396E-1	3,156250E+2	5,331830E-1	3,156250E+2	4,384795E-1	3,156250E+2	3,277790E-1	3,156250E+2	2,905689E-1
