Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	6,504482E-1	3,000000E+2	-1,966722E-1	3,000000E+2	6,082221E-1	3,000000E+2	-2,757636E-1	3,000000E+2	6,827820E-1	3,000000E+2	-3,765927E-1	3,000000E+2	7,417562E-1	3,000000E+2	-4,197098E-1	3,000000E+2	7,788106E-1	3,000000E+2	-3,956583E-1	3,000000E+2	7,661162E-1	3,000000E+2	-4,204720E-1	3,000000E+2	6,119061E-1	3,000000E+2	-2,383633E-2	3,000000E+2	6,026352E-1	3,000000E+2	-1,102099E-1	3,000000E+2	6,194894E-1	3,000000E+2	-2,548270E-1	3,000000E+2	6,689754E-1	3,000000E+2	-3,582618E-1	3,000000E+2	7,198841E-1	3,000000E+2	-4,113479E-1	3,000000E+2	7,391053E-1	3,000000E+2	-4,208185E-1
3,015625E+2	6,532112E-1	3,015625E+2	-1,957291E-1	3,015625E+2	6,103197E-1	3,015625E+2	-2,747377E-1	3,015625E+2	6,832167E-1	3,015625E+2	-3,737489E-1	3,015625E+2	7,448700E-1	3,015625E+2	-4,129754E-1	3,015625E+2	7,803017E-1	3,015625E+2	-3,908908E-1	3,015625E+2	7,686882E-1	3,015625E+2	-4,148201E-1	3,015625E+2	6,449334E-1	3,015625E+2	-7,880507E-2	3,015625E+2	6,235905E-1	3,015625E+2	-1,489107E-1	3,015625E+2	6,210357E-1	3,015625E+2	-2,511673E-1	3,015625E+2	6,671985E-1	3,015625E+2	-3,588179E-1	3,015625E+2	7,173352E-1	3,015625E+2	-4,133079E-1	3,015625E+2	7,362346E-1	3,015625E+2	-4,235536E-1
3,031250E+2	6,561845E-1	3,031250E+2	-1,949497E-1	3,031250E+2	6,125383E-1	3,031250E+2	-2,738672E-1	3,031250E+2	6,836144E-1	3,031250E+2	-3,710625E-1	3,031250E+2	7,479195E-1	3,031250E+2	-4,062673E-1	3,031250E+2	7,817295E-1	3,031250E+2	-3,862363E-1	3,031250E+2	7,712042E-1	3,031250E+2	-4,092330E-1	3,031250E+2	6,952065E-1	3,031250E+2	-1,381871E-1	3,031250E+2	6,521698E-1	3,031250E+2	-1,907347E-1	3,031250E+2	6,226142E-1	3,031250E+2	-2,476036E-1	3,031250E+2	6,653576E-1	3,031250E+2	-3,596868E-1	3,031250E+2	7,146422E-1	3,031250E+2	-4,156427E-1	3,031250E+2	7,331866E-1	3,031250E+2	-4,267040E-1
3,046875E+2	6,592443E-1	3,046875E+2	-1,963015E-1	3,046875E+2	6,144587E-1	3,046875E+2	-2,728217E-1	3,046875E+2	6,839603E-1	3,046875E+2	-3,680252E-1	3,046875E+2	7,505262E-1	3,046875E+2	-4,000644E-1	3,046875E+2	7,829146E-1	3,046875E+2	-3,821306E-1	3,046875E+2	7,736364E-1	3,046875E+2	-4,032714E-1	3,046875E+2	6,978937E-1	3,046875E+2	-1,354052E-1	3,046875E+2	6,547167E-1	3,046875E+2	-1,875892E-1	3,046875E+2	6,230743E-1	3,046875E+2	-2,478789E-1	3,046875E+2	6,641017E-1	3,046875E+2	-3,594154E-1	3,046875E+2	7,132545E-1	3,046875E+2	-4,158665E-1	3,046875E+2	7,320665E-1	3,046875E+2	-4,266926E-1
3,062500E+2	6,626122E-1	3,062500E+2	-1,979091E-1	3,062500E+2	6,164898E-1	3,062500E+2	-2,719299E-1	3,062500E+2	6,842689E-1	3,062500E+2	-3,651324E-1	3,062500E+2	7,530754E-1	3,062500E+2	-3,939047E-1	3,062500E+2	7,840438E-1	3,062500E+2	-3,781544E-1	3,062500E+2	7,760094E-1	3,062500E+2	-3,973662E-1	3,062500E+2	7,007550E-1	3,062500E+2	-1,327379E-1	3,062500E+2	6,573753E-1	3,062500E+2	-1,845260E-1	3,062500E+2	6,236420E-1	3,062500E+2	-2,484108E-1	3,062500E+2	6,628004E-1	3,062500E+2	-3,593983E-1	3,062500E+2	7,117778E-1	3,062500E+2	-4,163597E-1	3,062500E+2	7,308541E-1	3,062500E+2	-4,269411E-1
3,078125E+2	6,654467E-1	3,078125E+2	-2,003197E-1	3,078125E+2	6,183625E-1	3,078125E+2	-2,712891E-1	3,078125E+2	6,845119E-1	3,078125E+2	-3,624534E-1	3,078125E+2	7,551978E-1	3,078125E+2	-3,885505E-1	3,078125E+2	7,852183E-1	3,078125E+2	-3,744343E-1	3,078125E+2	7,783878E-1	3,078125E+2	-3,919836E-1	3,078125E+2	7,035150E-1	3,078125E+2	-1,293294E-1	3,078125E+2	6,601147E-1	3,078125E+2	-1,812686E-1	3,078125E+2	6,228680E-1	3,078125E+2	-2,568440E-1	3,078125E+2	6,614639E-1	3,078125E+2	-3,602154E-1	3,078125E+2	7,109839E-1	3,078125E+2	-4,163617E-1	3,078125E+2	7,304900E-1	3,078125E+2	-4,264196E-1
3,093750E+2	6,686010E-1	3,093750E+2	-2,030451E-1	3,093750E+2	6,203537E-1	3,093750E+2	-2,708110E-1	3,093750E+2	6,847253E-1	3,093750E+2	-3,599236E-1	3,093750E+2	7,572739E-1	3,093750E+2	-3,832630E-1	3,093750E+2	7,863479E-1	3,093750E+2	-3,708488E-1	3,093750E+2	7,807215E-1	3,093750E+2	-3,866678E-1	3,093750E+2	7,064228E-1	3,093750E+2	-1,260045E-1	3,093750E+2	6,629667E-1	3,093750E+2	-1,780788E-1	3,093750E+2	6,223207E-1	3,093750E+2	-2,660258E-1	3,093750E+2	6,600959E-1	3,093750E+2	-3,613153E-1	3,093750E+2	7,101302E-1	3,093750E+2	-4,166052E-1	3,093750E+2	7,300666E-1	3,093750E+2	-4,261196E-1
3,109375E+2	6,711770E-1	3,109375E+2	-2,045867E-1	3,109375E+2	6,222625E-1	3,109375E+2	-2,696651E-1	3,109375E+2	6,845398E-1	3,109375E+2	-3,576350E-1	3,109375E+2	7,582819E-1	3,109375E+2	-3,793840E-1	3,109375E+2	7,873196E-1	3,109375E+2	-3,669264E-1	3,109375E+2	7,829417E-1	3,109375E+2	-3,808498E-1	3,109375E+2	7,093145E-1	3,109375E+2	-1,223258E-1	3,109375E+2	6,657191E-1	3,109375E+2	-1,744229E-1	3,109375E+2	6,235505E-1	3,109375E+2	-2,672421E-1	3,109375E+2	6,592617E-1	3,109375E+2	-3,610331E-1	3,109375E+2	7,096147E-1	3,109375E+2	-4,157874E-1	3,109375E+2	7,300368E-1	3,109375E+2	-4,246063E-1
3,125000E+2	6,740069E-1	3,125000E+2	-2,063961E-1	3,125000E+2	6,242719E-1	3,125000E+2	-2,686561E-1	3,125000E+2	6,843218E-1	3,125000E+2	-3,555031E-1	3,125000E+2	7,592454E-1	3,125000E+2	-3,756185E-1	3,125000E+2	7,882422E-1	3,125000E+2	-3,631275E-1	3,125000E+2	7,851098E-1	3,125000E+2	-3,750874E-1	3,125000E+2	7,123442E-1	3,125000E+2	-1,187122E-1	3,125000E+2	6,685676E-1	3,125000E+2	-1,708184E-1	3,125000E+2	6,249226E-1	3,125000E+2	-2,687033E-1	3,125000E+2	6,584055E-1	3,125000E+2	-3,609696E-1	3,125000E+2	7,090476E-1	3,125000E+2	-4,151651E-1	3,125000E+2	7,299554E-1	3,125000E+2	-4,232652E-1
3,140625E+2	6,765169E-1	3,140625E+2	-2,068317E-1	3,140625E+2	6,262378E-1	3,140625E+2	-2,672600E-1	3,140625E+2	6,841201E-1	3,140625E+2	-3,530115E-1	3,140625E+2	7,595170E-1	3,140625E+2	-3,727963E-1	3,140625E+2	7,890176E-1	3,140625E+2	-3,597064E-1	3,140625E+2	7,872322E-1	3,140625E+2	-3,690511E-1	3,140625E+2	7,163632E-1	3,140625E+2	-1,173748E-1	3,140625E+2	6,716673E-1	3,140625E+2	-1,676669E-1	3,140625E+2	6,267081E-1	3,140625E+2	-2,681362E-1	3,140625E+2	6,575524E-1	3,140625E+2	-3,608566E-1	3,140625E+2	7,083982E-1	3,140625E+2	-4,144794E-1	3,140625E+2	7,296467E-1	3,140625E+2	-4,222386E-1
