Sample 1_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 2_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 3_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 4_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 5_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 6_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 8_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 9_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 10_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 11_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 12_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	Sample 13_Frequency [Hz]	Sound Pressure Level at Material Surface [dB]	
3,000000E+2	1,001988E+2	3,000000E+2	1,099794E+2	3,000000E+2	1,200519E+2	3,000000E+2	1,298600E+2	3,000000E+2	1,395409E+2	3,000000E+2	1,435758E+2	3,000000E+2	9,686390E+1	3,000000E+2	1,043728E+2	3,000000E+2	1,114528E+2	3,000000E+2	1,182606E+2	3,000000E+2	1,253725E+2	3,000000E+2	1,292461E+2
3,015625E+2	1,002325E+2	3,015625E+2	1,099833E+2	3,015625E+2	1,200530E+2	3,015625E+2	1,299030E+2	3,015625E+2	1,395560E+2	3,015625E+2	1,437667E+2	3,015625E+2	9,492872E+1	3,015625E+2	1,029256E+2	3,015625E+2	1,113010E+2	3,015625E+2	1,182487E+2	3,015625E+2	1,255501E+2	3,015625E+2	1,295073E+2
3,031250E+2	1,002661E+2	3,031250E+2	1,099871E+2	3,031250E+2	1,200540E+2	3,031250E+2	1,299459E+2	3,031250E+2	1,395712E+2	3,031250E+2	1,439535E+2	3,031250E+2	9,243498E+1	3,031250E+2	1,011881E+2	3,031250E+2	1,111465E+2	3,031250E+2	1,182368E+2	3,031250E+2	1,257241E+2	3,031250E+2	1,297609E+2
3,046875E+2	1,002153E+2	3,046875E+2	1,099934E+2	3,046875E+2	1,200571E+2	3,046875E+2	1,299537E+2	3,046875E+2	1,395940E+2	3,046875E+2	1,441242E+2	3,046875E+2	9,233127E+1	3,046875E+2	1,012115E+2	3,046875E+2	1,109366E+2	3,046875E+2	1,182695E+2	3,046875E+2	1,259341E+2	3,046875E+2	1,300348E+2
3,062500E+2	1,001642E+2	3,062500E+2	1,099998E+2	3,062500E+2	1,200602E+2	3,062500E+2	1,299615E+2	3,062500E+2	1,396168E+2	3,062500E+2	1,442915E+2	3,062500E+2	9,222631E+1	3,062500E+2	1,012348E+2	3,062500E+2	1,107214E+2	3,062500E+2	1,183021E+2	3,062500E+2	1,261392E+2	3,062500E+2	1,303003E+2
3,078125E+2	1,000916E+2	3,078125E+2	1,099989E+2	3,078125E+2	1,200559E+2	3,078125E+2	1,299393E+2	3,078125E+2	1,396409E+2	3,078125E+2	1,444217E+2	3,078125E+2	9,209479E+1	3,078125E+2	1,012163E+2	3,078125E+2	1,104953E+2	3,078125E+2	1,183596E+2	3,078125E+2	1,263482E+2	3,078125E+2	1,305552E+2
3,093750E+2	1,000184E+2	3,093750E+2	1,099980E+2	3,093750E+2	1,200517E+2	3,093750E+2	1,299170E+2	3,093750E+2	1,396650E+2	3,093750E+2	1,445499E+2	3,093750E+2	9,196124E+1	3,093750E+2	1,011976E+2	3,093750E+2	1,102631E+2	3,093750E+2	1,184168E+2	3,093750E+2	1,265522E+2	3,093750E+2	1,308029E+2
3,109375E+2	9,998145E+1	3,109375E+2	1,100046E+2	3,109375E+2	1,200525E+2	3,109375E+2	1,299070E+2	3,109375E+2	1,397039E+2	3,109375E+2	1,446519E+2	3,109375E+2	9,178699E+1	3,109375E+2	1,011453E+2	3,109375E+2	1,102147E+2	3,109375E+2	1,184981E+2	3,109375E+2	1,267535E+2	3,109375E+2	1,310343E+2
3,125000E+2	9,994434E+1	3,125000E+2	1,100111E+2	3,125000E+2	1,200534E+2	3,125000E+2	1,298970E+2	3,125000E+2	1,397426E+2	3,125000E+2	1,447528E+2	3,125000E+2	9,160918E+1	3,125000E+2	1,010927E+2	3,125000E+2	1,101661E+2	3,125000E+2	1,185787E+2	3,125000E+2	1,269503E+2	3,125000E+2	1,312598E+2
3,140625E+2	9,993911E+1	3,140625E+2	1,100179E+2	3,140625E+2	1,200490E+2	3,140625E+2	1,298978E+2	3,140625E+2	1,397797E+2	3,140625E+2	1,448139E+2	3,140625E+2	9,130452E+1	3,140625E+2	1,009783E+2	3,140625E+2	1,101525E+2	3,140625E+2	1,186777E+2	3,140625E+2	1,271478E+2	3,140625E+2	1,314852E+2
3,156250E+2	9,993389E+1	3,156250E+2	1,100246E+2	3,156250E+2	1,200447E+2	3,156250E+2	1,298987E+2	3,156250E+2	1,398165E+2	3,156250E+2	1,448745E+2	3,156250E+2	9,098878E+1	3,156250E+2	1,008623E+2	3,156250E+2	1,101389E+2	3,156250E+2	1,187756E+2	3,156250E+2	1,273410E+2	3,156250E+2	1,317048E+2
3,171875E+2	9,992721E+1	3,171875E+2	1,100259E+2	3,171875E+2	1,200432E+2	3,171875E+2	1,298994E+2	3,171875E+2	1,398381E+2	3,171875E+2	1,449096E+2	3,171875E+2	9,041258E+1	3,171875E+2	1,006830E+2	3,171875E+2	1,101362E+2	3,171875E+2	1,188931E+2	3,171875E+2	1,275699E+2	3,171875E+2	1,319564E+2
3,187500E+2	9,992053E+1	3,187500E+2	1,100271E+2	3,187500E+2	1,200417E+2	3,187500E+2	1,299002E+2	3,187500E+2	1,398597E+2	3,187500E+2	1,449445E+2	3,187500E+2	8,979542E+1	3,187500E+2	1,004999E+2	3,187500E+2	1,101335E+2	3,187500E+2	1,190089E+2	3,187500E+2	1,277930E+2	3,187500E+2	1,322008E+2
3,203125E+2	9,992254E+1	3,203125E+2	1,100294E+2	3,203125E+2	1,200372E+2	3,203125E+2	1,298914E+2	3,203125E+2	1,398725E+2	3,203125E+2	1,449542E+2	3,203125E+2	8,932217E+1	3,203125E+2	1,002366E+2	3,203125E+2	1,101191E+2	3,203125E+2	1,191382E+2	3,203125E+2	1,280652E+2	3,203125E+2	1,324790E+2
3,218750E+2	9,992454E+1	3,218750E+2	1,100317E+2	3,218750E+2	1,200328E+2	3,218750E+2	1,298825E+2	3,218750E+2	1,398852E+2	3,218750E+2	1,449639E+2	3,218750E+2	8,882165E+1	3,218750E+2	9,996511E+1	3,218750E+2	1,101047E+2	3,218750E+2	1,192655E+2	3,218750E+2	1,283291E+2	3,218750E+2	1,327486E+2
3,234375E+2	9,992217E+1	3,234375E+2	1,100274E+2	3,234375E+2	1,200426E+2	3,234375E+2	1,298671E+2	3,234375E+2	1,398699E+2	3,234375E+2	1,449505E+2	3,234375E+2	8,852159E+1	3,234375E+2	9,966572E+1	3,234375E+2	1,100851E+2	3,234375E+2	1,193945E+2	3,234375E+2	1,286343E+2	3,234375E+2	1,331270E+2
3,250000E+2	9,991980E+1	3,250000E+2	1,100231E+2	3,250000E+2	1,200525E+2	3,250000E+2	1,298516E+2	3,250000E+2	1,398545E+2	3,250000E+2	1,449371E+2	3,250000E+2	8,821079E+1	3,250000E+2	9,935565E+1	3,250000E+2	1,100654E+2	3,250000E+2	1,195216E+2	3,250000E+2	1,289292E+2	3,250000E+2	1,334895E+2
3,265625E+2	9,991639E+1	3,265625E+2	1,100149E+2	3,265625E+2	1,200605E+2	3,265625E+2	1,298610E+2	3,265625E+2	1,398514E+2	3,265625E+2	1,449090E+2	3,265625E+2	8,797125E+1	3,265625E+2	9,909215E+1	3,265625E+2	1,100421E+2	3,265625E+2	1,196502E+2	3,265625E+2	1,291992E+2	3,265625E+2	1,338330E+2
3,281250E+2	9,991298E+1	3,281250E+2	1,100066E+2	3,281250E+2	1,200685E+2	3,281250E+2	1,298704E+2	3,281250E+2	1,398483E+2	3,281250E+2	1,448807E+2	3,281250E+2	8,772491E+1	3,281250E+2	9,882040E+1	3,281250E+2	1,100188E+2	3,281250E+2	1,197769E+2	3,281250E+2	1,294611E+2	3,281250E+2	1,341635E+2
3,296875E+2	9,993046E+1	3,296875E+2	1,100019E+2	3,296875E+2	1,200587E+2	3,296875E+2	1,299226E+2	3,296875E+2	1,398482E+2	3,296875E+2	1,448699E+2	3,296875E+2	8,750484E+1	3,296875E+2	9,861046E+1	3,296875E+2	1,099947E+2	3,296875E+2	1,199155E+2	3,296875E+2	1,296440E+2	3,296875E+2	1,343979E+2
3,312500E+2	9,994790E+1	3,312500E+2	1,099972E+2	3,312500E+2	1,200488E+2	3,312500E+2	1,299745E+2	3,312500E+2	1,398482E+2	3,312500E+2	1,448590E+2	3,312500E+2	8,727905E+1	3,312500E+2	9,839531E+1	3,312500E+2	1,099706E+2	3,312500E+2	1,200519E+2	3,312500E+2	1,298231E+2	3,312500E+2	1,346261E+2
3,328125E+2	9,997379E+1	3,328125E+2	1,100063E+2	3,328125E+2	1,199991E+2	3,328125E+2	1,301173E+2	3,328125E+2	1,399060E+2	3,328125E+2	1,448952E+2	3,328125E+2	8,711042E+1	3,328125E+2	9,824093E+1	3,328125E+2	1,099523E+2	3,328125E+2	1,202007E+2	3,328125E+2	1,299792E+2	3,328125E+2	1,347869E+2
3,343750E+2	9,999960E+1	3,343750E+2	1,100155E+2	3,343750E+2	1,199492E+2	3,343750E+2	1,302578E+2	3,343750E+2	1,399634E+2	3,343750E+2	1,449313E+2	3,343750E+2	8,693845E+1	3,343750E+2	9,808375E+1	3,343750E+2	1,099339E+2	3,343750E+2	1,203469E+2	3,343750E+2	1,301326E+2	3,343750E+2	1,349448E+2
3,359375E+2	1,000173E+2	3,359375E+2	1,100300E+2	3,359375E+2	1,198675E+2	3,359375E+2	1,303346E+2	3,359375E+2	1,401082E+2	3,359375E+2	1,450693E+2	3,359375E+2	8,690099E+1	3,359375E+2	9,800642E+1	3,359375E+2	1,099417E+2	3,359375E+2	1,205018E+2	3,359375E+2	1,303025E+2	3,359375E+2	1,351084E+2
3,375000E+2	1,000351E+2	3,375000E+2	1,100444E+2	3,375000E+2	1,197851E+2	3,375000E+2	1,304108E+2	3,375000E+2	1,402505E+2	3,375000E+2	1,452052E+2	3,375000E+2	8,686337E+1	3,375000E+2	9,792841E+1	3,375000E+2	1,099496E+2	3,375000E+2	1,206540E+2	3,375000E+2	1,304690E+2	3,375000E+2	1,352689E+2
3,390625E+2	1,000320E+2	3,390625E+2	1,100432E+2	3,390625E+2	1,197463E+2	3,390625E+2	1,303322E+2	3,390625E+2	1,403934E+2	3,390625E+2	1,453496E+2	3,390625E+2	8,693548E+1	3,390625E+2	9,794559E+1	3,390625E+2	1,100081E+2	3,390625E+2	1,208150E+2	3,390625E+2	1,307028E+2	3,390625E+2	1,355022E+2
3,406250E+2	1,000289E+2	3,406250E+2	1,100420E+2	3,406250E+2	1,197073E+2	3,406250E+2	1,302530E+2	3,406250E+2	1,405339E+2	3,406250E+2	1,454917E+2	3,406250E+2	8,700701E+1	3,406250E+2	9,796274E+1	3,406250E+2	1,100663E+2	3,406250E+2	1,209731E+2	3,406250E+2	1,309304E+2	3,406250E+2	1,357295E+2
3,421875E+2	9,999916E+1	3,421875E+2	1,100137E+2	3,421875E+2	1,199457E+2	3,421875E+2	1,300815E+2	3,421875E+2	1,404567E+2	3,421875E+2	1,454430E+2	3,421875E+2	8,711700E+1	3,421875E+2	9,803098E+1	3,421875E+2	1,101447E+2	3,421875E+2	1,211174E+2	3,421875E+2	1,311394E+2	3,421875E+2	1,359660E+2
3,437500E+2	9,996937E+1	3,437500E+2	1,099852E+2	3,437500E+2	1,201777E+2	3,437500E+2	1,299066E+2	3,437500E+2	1,403788E+2	3,437500E+2	1,453941E+2	3,437500E+2	8,722561E+1	3,437500E+2	9,809869E+1	3,437500E+2	1,102223E+2	3,437500E+2	1,212594E+2	3,437500E+2	1,313436E+2	3,437500E+2	1,361963E+2
3,453125E+2	9,992005E+1	3,453125E+2	1,099371E+2	3,453125E+2	1,201539E+2	3,453125E+2	1,296604E+2	3,453125E+2	1,401861E+2	3,453125E+2	1,452200E+2	3,453125E+2	8,735366E+1	3,453125E+2	9,819747E+1	3,453125E+2	1,102982E+2	3,453125E+2	1,213883E+2	3,453125E+2	1,315012E+2	3,453125E+2	1,363659E+2
3,468750E+2	9,987044E+1	3,468750E+2	1,098887E+2	3,468750E+2	1,201302E+2	3,468750E+2	1,294070E+2	3,468750E+2	1,399889E+2	3,468750E+2	1,450424E+2	3,468750E+2	8,747985E+1	3,468750E+2	9,829514E+1	3,468750E+2	1,103735E+2	3,468750E+2	1,215153E+2	3,468750E+2	1,316561E+2	3,468750E+2	1,365323E+2
3,484375E+2	9,981131E+1	3,484375E+2	1,098403E+2	3,484375E+2	1,200596E+2	3,484375E+2	1,291122E+2	3,484375E+2	1,397195E+2	3,484375E+2	1,447970E+2	3,484375E+2	8,766249E+1	3,484375E+2	9,842450E+1	3,484375E+2	1,104466E+2	3,484375E+2	1,216263E+2	3,484375E+2	1,317967E+2	3,484375E+2	1,366815E+2
3,500000E+2	9,975177E+1	3,500000E+2	1,097917E+2	3,500000E+2	1,199884E+2	3,500000E+2	1,288070E+2	3,500000E+2	1,394414E+2	3,500000E+2	1,445444E+2	3,500000E+2	8,784136E+1	3,500000E+2	9,855195E+1	3,500000E+2	1,105190E+2	3,500000E+2	1,217359E+2	3,500000E+2	1,319350E+2	3,500000E+2	1,368282E+2
