Sample 1_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 2_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 3_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 4_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 5_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 6_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 8_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 9_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 10_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 11_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 12_Frequency [Hz]	Absorption Coefficient on Cavity	Sample 13_Frequency [Hz]	Absorption Coefficient on Cavity	
3,000000E+2	7,022448E-1	3,000000E+2	6,709932E-1	3,000000E+2	5,644709E-1	3,000000E+2	4,540767E-1	3,000000E+2	3,859411E-1	3,000000E+2	3,635461E-1	3,000000E+2	8,330653E-1	3,000000E+2	8,069250E-1	3,000000E+2	7,115181E-1	3,000000E+2	5,912562E-1	3,000000E+2	4,740838E-1	3,000000E+2	4,322641E-1
3,015625E+2	7,135487E-1	3,015625E+2	7,169522E-1	3,015625E+2	5,782960E-1	3,015625E+2	4,599437E-1	3,015625E+2	3,888681E-1	3,015625E+2	3,652704E-1	3,015625E+2	8,456149E-1	3,015625E+2	8,179307E-1	3,015625E+2	7,188271E-1	3,015625E+2	5,965619E-1	3,015625E+2	4,776765E-1	3,015625E+2	4,353116E-1
3,031250E+2	7,245750E-1	3,031250E+2	7,603058E-1	3,031250E+2	5,920666E-1	3,031250E+2	4,657266E-1	3,031250E+2	3,917034E-1	3,031250E+2	3,669325E-1	3,031250E+2	8,574737E-1	3,031250E+2	8,284747E-1	3,031250E+2	7,259938E-1	3,031250E+2	6,017874E-1	3,031250E+2	4,811790E-1	3,031250E+2	4,382684E-1
3,046875E+2	7,800248E-1	3,046875E+2	7,723888E-1	3,046875E+2	6,059055E-1	3,046875E+2	4,705527E-1	3,046875E+2	3,944524E-1	3,046875E+2	3,685376E-1	3,046875E+2	8,839688E-1	3,046875E+2	8,537401E-1	3,046875E+2	7,382348E-1	3,046875E+2	6,071347E-1	3,046875E+2	4,847325E-1	3,046875E+2	4,411899E-1
3,062500E+2	8,288314E-1	3,062500E+2	7,840505E-1	3,062500E+2	6,196277E-1	3,062500E+2	4,753059E-1	3,062500E+2	3,971107E-1	3,062500E+2	3,700699E-1	3,062500E+2	9,068094E-1	3,062500E+2	8,763071E-1	3,062500E+2	7,501434E-1	3,062500E+2	6,123948E-1	3,062500E+2	4,881987E-1	3,062500E+2	4,440179E-1
3,078125E+2	8,380920E-1	3,078125E+2	7,896130E-1	3,078125E+2	6,309210E-1	3,078125E+2	4,797957E-1	3,078125E+2	3,996658E-1	3,078125E+2	3,718969E-1	3,078125E+2	9,122904E-1	3,078125E+2	8,798021E-1	3,078125E+2	7,661822E-1	3,078125E+2	6,180505E-1	3,078125E+2	4,916870E-1	3,078125E+2	4,468271E-1
3,093750E+2	8,469539E-1	3,093750E+2	7,950388E-1	3,093750E+2	6,420682E-1	3,093750E+2	4,842156E-1	3,093750E+2	4,021377E-1	3,093750E+2	3,736650E-1	3,093750E+2	9,174899E-1	3,093750E+2	8,831931E-1	3,093750E+2	7,815836E-1	3,093750E+2	6,236077E-1	3,093750E+2	4,950743E-1	3,093750E+2	4,495343E-1
3,109375E+2	8,705931E-1	3,109375E+2	8,006037E-1	3,109375E+2	6,522862E-1	3,109375E+2	4,890481E-1	3,109375E+2	4,046525E-1	3,109375E+2	3,755668E-1	3,109375E+2	9,201199E-1	3,109375E+2	8,853158E-1	3,109375E+2	7,849297E-1	3,109375E+2	6,299855E-1	3,109375E+2	4,988732E-1	3,109375E+2	4,525602E-1
3,125000E+2	8,915454E-1	3,125000E+2	8,060258E-1	3,125000E+2	6,623451E-1	3,125000E+2	4,938034E-1	3,125000E+2	4,070805E-1	3,125000E+2	3,774042E-1	3,125000E+2	9,226620E-1	3,125000E+2	8,873862E-1	3,125000E+2	7,882062E-1	3,125000E+2	6,362480E-1	3,125000E+2	5,025672E-1	3,125000E+2	4,554859E-1
3,140625E+2	9,015275E-1	3,140625E+2	8,152587E-1	3,140625E+2	6,708727E-1	3,140625E+2	4,989042E-1	3,140625E+2	4,096182E-1	3,140625E+2	3,793873E-1	3,140625E+2	9,250463E-1	3,140625E+2	8,896336E-1	3,140625E+2	7,902461E-1	3,140625E+2	6,408784E-1	3,140625E+2	5,065906E-1	3,140625E+2	4,587189E-1
3,156250E+2	9,107859E-1	3,156250E+2	8,241517E-1	3,156250E+2	6,792505E-1	3,156250E+2	5,039222E-1	3,156250E+2	4,120749E-1	3,156250E+2	3,813039E-1	3,156250E+2	9,273531E-1	3,156250E+2	8,918240E-1	3,156250E+2	7,922406E-1	3,156250E+2	6,454082E-1	3,156250E+2	5,104966E-1	3,156250E+2	4,618334E-1
3,171875E+2	9,149333E-1	3,171875E+2	8,412474E-1	3,171875E+2	6,865944E-1	3,171875E+2	5,095631E-1	3,171875E+2	4,148625E-1	3,171875E+2	3,835754E-1	3,171875E+2	9,300172E-1	3,171875E+2	8,944653E-1	3,171875E+2	7,945475E-1	3,171875E+2	6,483214E-1	3,171875E+2	5,144014E-1	3,171875E+2	4,653997E-1
3,187500E+2	9,189067E-1	3,187500E+2	8,571836E-1	3,187500E+2	6,938015E-1	3,187500E+2	5,151139E-1	3,187500E+2	4,175730E-1	3,187500E+2	3,857828E-1	3,187500E+2	9,325855E-1	3,187500E+2	8,970340E-1	3,187500E+2	7,968052E-1	3,187500E+2	6,511624E-1	3,187500E+2	5,181914E-1	3,187500E+2	4,688473E-1
