Sample 1 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 1 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 2 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 3 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 4 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 5 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 6 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 8 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 9 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 10 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 11 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 12 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Real_Frequency [Hz]	Reflexion Coefficient on Cavity	Sample 13 - Imag_Frequency [Hz]	Reflexion Coefficient on Cavity	
3,000000E+2	2,501207E-1	3,000000E+2	-4,849689E-1	3,000000E+2	3,245930E-1	3,000000E+2	-4,729124E-1	3,000000E+2	4,989985E-1	3,000000E+2	-4,318907E-1	3,000000E+2	6,021412E-1	3,000000E+2	-4,281929E-1	3,000000E+2	6,731697E-1	3,000000E+2	-4,011252E-1	3,000000E+2	6,862777E-1	3,000000E+2	-4,067884E-1	3,000000E+2	1,042203E-1	3,000000E+2	-3,950605E-1	3,000000E+2	1,425530E-1	3,000000E+2	-4,156364E-1	3,000000E+2	2,783091E-1	3,000000E+2	-4,593756E-1	3,000000E+2	4,327106E-1	3,000000E+2	-4,706436E-1	3,000000E+2	5,544110E-1	3,000000E+2	-4,674876E-1	3,000000E+2	5,988591E-1	3,000000E+2	-4,572786E-1
3,015625E+2	2,409160E-1	3,015625E+2	-4,779234E-1	3,015625E+2	2,701504E-1	3,015625E+2	-4,583301E-1	3,015625E+2	4,817476E-1	3,015625E+2	-4,354575E-1	3,015625E+2	5,951289E-1	3,015625E+2	-4,311356E-1	3,015625E+2	6,708554E-1	3,015625E+2	-4,013538E-1	3,015625E+2	6,870916E-1	3,015625E+2	-4,032800E-1	3,015625E+2	1,001462E-1	3,015625E+2	-3,799419E-1	3,015625E+2	1,388923E-1	3,015625E+2	-4,034579E-1	3,015625E+2	2,758286E-1	3,015625E+2	-4,528703E-1	3,015625E+2	4,293228E-1	3,015625E+2	-4,681026E-1	3,015625E+2	5,514869E-1	3,015625E+2	-4,671034E-1	3,015625E+2	5,965460E-1	3,015625E+2	-4,569697E-1
3,031250E+2	2,316492E-1	3,031250E+2	-4,709179E-1	3,031250E+2	2,156413E-1	3,031250E+2	-4,395372E-1	3,031250E+2	4,637648E-1	3,031250E+2	-4,391533E-1	3,031250E+2	5,878266E-1	3,031250E+2	-4,344344E-1	3,031250E+2	6,684314E-1	3,031250E+2	-4,018658E-1	3,031250E+2	6,878581E-1	3,031250E+2	-3,998985E-1	3,031250E+2	9,609012E-2	3,031250E+2	-3,650932E-1	3,031250E+2	1,352065E-1	3,031250E+2	-3,914645E-1	3,031250E+2	2,732858E-1	3,031250E+2	-4,464539E-1	3,031250E+2	4,258497E-1	3,031250E+2	-4,656874E-1	3,031250E+2	5,484595E-1	3,031250E+2	-4,669188E-1	3,031250E+2	5,941350E-1	3,031250E+2	-4,568755E-1
3,046875E+2	1,798185E-1	3,046875E+2	-4,331749E-1	3,046875E+2	2,099067E-1	3,046875E+2	-4,284277E-1	3,046875E+2	4,472399E-1	3,046875E+2	-4,405348E-1	3,046875E+2	5,835184E-1	3,046875E+2	-4,346878E-1	3,046875E+2	6,664329E-1	3,046875E+2	-4,017646E-1	3,046875E+2	6,883423E-1	3,046875E+2	-3,970482E-1	3,046875E+2	8,799494E-2	3,046875E+2	-3,290716E-1	3,046875E+2	1,251070E-1	3,046875E+2	-3,613975E-1	3,046875E+2	2,644370E-1	3,046875E+2	-4,379935E-1	3,046875E+2	4,222413E-1	3,046875E+2	-4,632252E-1	3,046875E+2	5,458099E-1	3,046875E+2	-4,662178E-1	3,046875E+2	5,919123E-1	3,046875E+2	-4,565632E-1
3,062500E+2	1,317318E-1	3,062500E+2	-3,921930E-1	3,062500E+2	2,041644E-1	3,062500E+2	-4,174523E-1	3,062500E+2	4,301749E-1	3,062500E+2	-4,419523E-1	3,062500E+2	5,790663E-1	3,062500E+2	-4,351740E-1	3,062500E+2	6,643450E-1	3,062500E+2	-4,019141E-1	3,062500E+2	6,887855E-1	3,062500E+2	-3,943407E-1	3,062500E+2	8,079803E-2	3,062500E+2	-2,943845E-1	3,062500E+2	1,157270E-1	3,062500E+2	-3,321147E-1	3,062500E+2	2,555516E-1	3,062500E+2	-4,295928E-1	3,062500E+2	4,185552E-1	3,062500E+2	-4,608869E-1	3,062500E+2	5,430749E-1	3,062500E+2	-4,656940E-1	3,062500E+2	5,896049E-1	3,062500E+2	-4,564517E-1
3,078125E+2	1,302336E-1	3,078125E+2	-3,807194E-1	3,078125E+2	2,046919E-1	3,078125E+2	-4,104731E-1	3,078125E+2	4,183437E-1	3,078125E+2	-4,405310E-1	3,078125E+2	5,757229E-1	3,078125E+2	-4,344507E-1	3,078125E+2	6,629519E-1	3,078125E+2	-4,010349E-1	3,078125E+2	6,894874E-1	3,078125E+2	-3,907815E-1	3,078125E+2	8,376425E-2	3,078125E+2	-2,840654E-1	3,078125E+2	1,188798E-1	3,078125E+2	-3,256771E-1	3,078125E+2	2,443480E-1	3,078125E+2	-4,172672E-1	3,078125E+2	4,141844E-1	3,078125E+2	-4,586947E-1	3,078125E+2	5,398913E-1	3,078125E+2	-4,656504E-1	3,078125E+2	5,871872E-1	3,078125E+2	-4,564910E-1
3,093750E+2	1,286607E-1	3,093750E+2	-3,694490E-1	3,093750E+2	2,051453E-1	3,093750E+2	-4,035798E-1	3,093750E+2	4,062622E-1	3,093750E+2	-4,391843E-1	3,093750E+2	5,722786E-1	3,093750E+2	-4,339142E-1	3,093750E+2	6,614936E-1	3,093750E+2	-4,003604E-1	3,093750E+2	6,901491E-1	3,093750E+2	-3,873362E-1	3,093750E+2	8,651066E-2	3,093750E+2	-2,739088E-1	3,093750E+2	1,219057E-1	3,093750E+2	-3,192897E-1	3,093750E+2	2,332228E-1	3,093750E+2	-4,049982E-1	3,093750E+2	4,097347E-1	3,093750E+2	-4,566288E-1	3,093750E+2	5,366205E-1	3,093750E+2	-4,657941E-1	3,093750E+2	5,846903E-1	3,093750E+2	-4,567308E-1
3,109375E+2	1,188568E-1	3,109375E+2	-3,395291E-1	3,109375E+2	2,055644E-1	3,109375E+2	-3,964084E-1	3,109375E+2	3,966178E-1	3,109375E+2	-4,363578E-1	3,109375E+2	5,680346E-1	3,109375E+2	-4,339223E-1	3,109375E+2	6,599187E-1	3,109375E+2	-3,998185E-1	3,109375E+2	6,903493E-1	3,109375E+2	-3,845141E-1	3,109375E+2	8,996585E-2	3,109375E+2	-2,679295E-1	3,109375E+2	1,252670E-1	3,109375E+2	-3,146306E-1	3,109375E+2	2,350366E-1	3,109375E+2	-3,997850E-1	3,109375E+2	4,039528E-1	3,109375E+2	-4,547929E-1	3,109375E+2	5,327251E-1	3,109375E+2	-4,661874E-1	3,109375E+2	5,818976E-1	3,109375E+2	-4,569847E-1
3,125000E+2	1,097150E-1	3,125000E+2	-3,105113E-1	3,125000E+2	2,059066E-1	3,125000E+2	-3,893285E-1	3,125000E+2	3,868264E-1	3,125000E+2	-4,336130E-1	3,125000E+2	5,636761E-1	3,125000E+2	-4,341266E-1	3,125000E+2	6,582819E-1	3,125000E+2	-3,994802E-1	3,125000E+2	6,905114E-1	3,125000E+2	-3,818244E-1	3,125000E+2	9,327492E-2	3,125000E+2	-2,619882E-1	3,125000E+2	1,285411E-1	3,125000E+2	-3,099855E-1	3,125000E+2	2,367955E-1	3,125000E+2	-3,946158E-1	3,125000E+2	3,980799E-1	3,125000E+2	-4,530832E-1	3,125000E+2	5,287339E-1	3,125000E+2	-4,667690E-1	3,125000E+2	5,790241E-1	3,125000E+2	-4,574332E-1
3,140625E+2	1,089534E-1	3,140625E+2	-2,942817E-1	3,140625E+2	2,025699E-1	3,140625E+2	-3,790867E-1	3,140625E+2	3,797683E-1	3,140625E+2	-4,300039E-1	3,140625E+2	5,589544E-1	3,140625E+2	-4,343568E-1	3,140625E+2	6,569153E-1	3,140625E+2	-3,985525E-1	3,140625E+2	6,904679E-1	3,140625E+2	-3,792978E-1	3,140625E+2	9,632374E-2	3,140625E+2	-2,562722E-1	3,140625E+2	1,315073E-1	3,140625E+2	-3,050773E-1	3,140625E+2	2,396059E-1	3,140625E+2	-3,903113E-1	3,140625E+2	3,948384E-1	3,140625E+2	-4,508039E-1	3,140625E+2	5,240096E-1	3,140625E+2	-4,677856E-1	3,140625E+2	5,751163E-1	3,140625E+2	-4,588271E-1
