Sample 1 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 1 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 2 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 3 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 4 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 5 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 6 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 7 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 8 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 9 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 10 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 11 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Real_Frequency [Hz]	Normalized Surface Impedance on Cavity	Sample 12 - Imag_Frequency [Hz]	Normalized Surface Impedance on Cavity	
3,000000E+2	3,174156E-1	3,000000E+2	-1,659000E+0	3,000000E+2	3,418676E-1	3,000000E+2	-1,691023E+0	3,000000E+2	4,561578E-1	3,000000E+2	-1,773451E+0	3,000000E+2	8,094558E-1	3,000000E+2	-1,942155E+0	3,000000E+2	1,342166E+0	3,000000E+2	-2,435613E+0	3,000000E+2	1,364804E+0	3,000000E+2	-2,616069E+0	3,000000E+2	3,041058E-1	3,000000E+2	-1,571085E+0	3,000000E+2	2,993226E-1	3,000000E+2	-1,570517E+0	3,000000E+2	3,307631E-1	3,000000E+2	-1,581644E+0	3,000000E+2	4,423982E-1	3,000000E+2	-1,628033E+0	3,000000E+2	7,427424E-1	3,000000E+2	-1,765561E+0	3,000000E+2	9,458453E-1	3,000000E+2	-1,936915E+0
3,015625E+2	3,197112E-1	3,015625E+2	-1,655153E+0	3,015625E+2	3,447745E-1	3,015625E+2	-1,686016E+0	3,015625E+2	4,566621E-1	3,015625E+2	-1,763273E+0	3,015625E+2	7,982160E-1	3,015625E+2	-1,912906E+0	3,015625E+2	1,325007E+0	3,015625E+2	-2,399400E+0	3,015625E+2	1,376117E+0	3,015625E+2	-2,612344E+0	3,015625E+2	3,074837E-1	3,015625E+2	-1,560929E+0	3,015625E+2	3,009855E-1	3,015625E+2	-1,555032E+0	3,015625E+2	3,325313E-1	3,015625E+2	-1,563159E+0	3,015625E+2	4,420618E-1	3,015625E+2	-1,604541E+0	3,015625E+2	7,427415E-1	3,015625E+2	-1,745522E+0	3,015625E+2	9,473375E-1	3,015625E+2	-1,922119E+0
3,031250E+2	3,218519E-1	3,031250E+2	-1,651115E+0	3,031250E+2	3,475091E-1	3,031250E+2	-1,680782E+0	3,031250E+2	4,568345E-1	3,031250E+2	-1,752793E+0	3,031250E+2	7,860979E-1	3,031250E+2	-1,883358E+0	3,031250E+2	1,305953E+0	3,031250E+2	-2,362724E+0	3,031250E+2	1,386384E+0	3,031250E+2	-2,608090E+0	3,031250E+2	3,106779E-1	3,031250E+2	-1,550546E+0	3,031250E+2	3,024110E-1	3,031250E+2	-1,539312E+0	3,031250E+2	3,340121E-1	3,031250E+2	-1,544432E+0	3,031250E+2	4,413012E-1	3,031250E+2	-1,580817E+0	3,031250E+2	7,420858E-1	3,031250E+2	-1,725198E+0	3,031250E+2	9,480594E-1	3,031250E+2	-1,907001E+0
3,046875E+2	3,247307E-1	3,046875E+2	-1,639010E+0	3,046875E+2	3,495020E-1	3,046875E+2	-1,666747E+0	3,046875E+2	4,567039E-1	3,046875E+2	-1,737614E+0	3,046875E+2	7,780020E-1	3,046875E+2	-1,857953E+0	3,046875E+2	1,302201E+0	3,046875E+2	-2,340358E+0	3,046875E+2	1,394774E+0	3,046875E+2	-2,600605E+0	3,046875E+2	3,162151E-1	3,046875E+2	-1,526686E+0	3,046875E+2	3,036577E-1	3,046875E+2	-1,512393E+0	3,046875E+2	3,351358E-1	3,046875E+2	-1,514985E+0	3,046875E+2	4,391688E-1	3,046875E+2	-1,543977E+0	3,046875E+2	7,411823E-1	3,046875E+2	-1,701030E+0	3,046875E+2	9,507715E-1	3,046875E+2	-1,892765E+0
3,062500E+2	3,273914E-1	3,062500E+2	-1,626661E+0	3,062500E+2	3,512360E-1	3,062500E+2	-1,652452E+0	3,062500E+2	4,562113E-1	3,062500E+2	-1,722156E+0	3,062500E+2	7,691496E-1	3,062500E+2	-1,832324E+0	3,062500E+2	1,297004E+0	3,062500E+2	-2,317567E+0	3,062500E+2	1,401994E+0	3,062500E+2	-2,592607E+0	3,062500E+2	3,214047E-1	3,062500E+2	-1,502642E+0	3,062500E+2	3,045752E-1	3,062500E+2	-1,485380E+0	3,062500E+2	3,358787E-1	3,062500E+2	-1,485478E+0	3,062500E+2	4,365293E-1	3,062500E+2	-1,507215E+0	3,062500E+2	7,396034E-1	3,062500E+2	-1,676675E+0	3,062500E+2	9,527834E-1	3,062500E+2	-1,878254E+0
3,078125E+2	3,302717E-1	3,078125E+2	-1,596936E+0	3,078125E+2	3,506515E-1	3,078125E+2	-1,622425E+0	3,078125E+2	4,501255E-1	3,078125E+2	-1,691895E+0	3,078125E+2	7,609886E-1	3,078125E+2	-1,807801E+0	3,078125E+2	1,296579E+0	3,078125E+2	-2,299864E+0	3,078125E+2	1,409878E+0	3,078125E+2	-2,585742E+0	3,078125E+2	3,170582E-1	3,078125E+2	-1,270490E+0	3,078125E+2	3,021568E-1	3,078125E+2	-1,261205E+0	3,078125E+2	3,276194E-1	3,078125E+2	-1,282261E+0	3,078125E+2	4,282880E-1	3,078125E+2	-1,433519E+0	3,078125E+2	7,380276E-1	3,078125E+2	-1,651499E+0	3,078125E+2	9,506807E-1	3,078125E+2	-1,859335E+0
3,093750E+2	3,327427E-1	3,093750E+2	-1,567113E+0	3,093750E+2	3,496837E-1	3,093750E+2	-1,592317E+0	3,093750E+2	4,436229E-1	3,093750E+2	-1,661542E+0	3,093750E+2	7,521467E-1	3,093750E+2	-1,783141E+0	3,093750E+2	1,294921E+0	3,093750E+2	-2,281819E+0	3,093750E+2	1,416641E+0	3,093750E+2	-2,578455E+0	3,093750E+2	3,097336E-1	3,093750E+2	-1,063317E+0	3,093750E+2	2,966650E-1	3,093750E+2	-1,060425E+0	3,093750E+2	3,175977E-1	3,093750E+2	-1,098205E+0	3,093750E+2	4,194930E-1	3,093750E+2	-1,361789E+0	3,093750E+2	7,357953E-1	3,093750E+2	-1,626234E+0	3,093750E+2	9,477965E-1	3,093750E+2	-1,840242E+0
3,109375E+2	3,306796E-1	3,109375E+2	-1,499589E+0	3,109375E+2	3,429634E-1	3,109375E+2	-1,527246E+0	3,109375E+2	4,317303E-1	3,109375E+2	-1,600650E+0	3,109375E+2	7,399057E-1	3,109375E+2	-1,749732E+0	3,109375E+2	1,290125E+0	3,109375E+2	-2,258762E+0	3,109375E+2	1,426055E+0	3,109375E+2	-2,569887E+0	3,109375E+2	3,119817E-1	3,109375E+2	-1,068533E+0	3,109375E+2	3,007861E-1	3,109375E+2	-1,066155E+0	3,109375E+2	3,224237E-1	3,109375E+2	-1,100498E+0	3,109375E+2	4,234245E-1	3,109375E+2	-1,312125E+0	3,109375E+2	7,361125E-1	3,109375E+2	-1,601065E+0	3,109375E+2	9,449720E-1	3,109375E+2	-1,817949E+0
3,125000E+2	3,279902E-1	3,125000E+2	-1,433618E+0	3,125000E+2	3,358745E-1	3,125000E+2	-1,463571E+0	3,125000E+2	4,195781E-1	3,125000E+2	-1,540838E+0	3,125000E+2	7,270649E-1	3,125000E+2	-1,716398E+0	3,125000E+2	1,284064E+0	3,125000E+2	-2,235445E+0	3,125000E+2	1,434418E+0	3,125000E+2	-2,560864E+0	3,125000E+2	3,142220E-1	3,125000E+2	-1,073869E+0	3,125000E+2	3,049289E-1	3,125000E+2	-1,071991E+0	3,125000E+2	3,272362E-1	3,125000E+2	-1,102848E+0	3,125000E+2	4,264900E-1	3,125000E+2	-1,263318E+0	3,125000E+2	7,357999E-1	3,125000E+2	-1,575857E+0	3,125000E+2	9,413767E-1	3,125000E+2	-1,795549E+0
3,140625E+2	3,307665E-1	3,140625E+2	-1,412877E+0	3,140625E+2	3,374077E-1	3,140625E+2	-1,438032E+0	3,140625E+2	4,072655E-1	3,140625E+2	-1,468200E+0	3,140625E+2	7,096131E-1	3,140625E+2	-1,671047E+0	3,140625E+2	1,279916E+0	3,140625E+2	-2,212075E+0	3,140625E+2	1,442578E+0	3,140625E+2	-2,550226E+0	3,140625E+2	3,163751E-1	3,140625E+2	-1,078850E+0	3,140625E+2	3,087514E-1	3,140625E+2	-1,077465E+0	3,140625E+2	3,312893E-1	3,140625E+2	-1,106721E+0	3,140625E+2	4,331467E-1	3,140625E+2	-1,253113E+0	3,140625E+2	7,386426E-1	3,140625E+2	-1,556461E+0	3,140625E+2	9,387470E-1	3,140625E+2	-1,773226E+0
