X,Y,R
-4.72,-7.80,0.450
-4.72,-2.60,0.450
-4.72,2.60,0.450
-4.72,7.80,0.450
-3.38,-7.80,0.450
-3.38,-2.60,0.450
-3.38,2.60,0.450
-3.38,7.80,0.450
-2.02,-7.80,0.450
-2.02,-2.60,0.450
-2.02,2.60,0.450
-2.02,7.80,0.450
-0.68,-7.80,0.450
-0.68,-2.60,0.450
-0.68,2.60,0.450
-0.68,7.80,0.450
0.68,-7.80,0.450
0.68,-2.60,0.450
0.68,2.60,0.450
0.68,7.80,0.450
2.03,-7.80,0.450
2.03,-2.60,0.450
2.03,2.60,0.450
2.03,7.80,0.450
3.37,-7.80,0.450
3.37,-2.60,0.450
3.37,2.60,0.450
3.37,7.80,0.450
4.72,-7.80,0.450
4.72,-2.60,0.450
4.72,2.60,0.450
4.72,7.80,0.450
