X,Y,R
-5.94,-10.64,0.530
-5.94,-8.27,0.530
-5.94,-5.91,0.530
-5.94,-3.55,0.530
-5.94,-1.18,0.530
-5.94,1.18,0.530
-5.94,3.55,0.530
-5.94,5.91,0.530
-5.94,8.27,0.530
-5.94,10.64,0.530
-3.96,-10.64,0.530
-3.96,-8.27,0.530
-3.96,-5.91,0.530
-3.96,-3.55,0.530
-3.96,-1.18,0.530
-3.96,1.18,0.530
-3.96,3.55,0.530
-3.96,5.91,0.530
-3.96,8.27,0.530
-3.96,10.64,0.530
-1.98,-10.64,0.530
-1.98,-8.27,0.530
-1.98,-5.91,0.530
-1.98,-3.55,0.530
-1.98,-1.18,0.530
-1.98,1.18,0.530
-1.98,3.55,0.530
-1.98,5.91,0.530
-1.98,8.27,0.530
-1.98,10.64,0.530
0.00,-10.64,0.530
0.00,-8.27,0.530
0.00,-5.91,0.530
0.00,-3.55,0.530
0.00,-1.18,0.530
0.00,1.18,0.530
0.00,3.55,0.530
0.00,5.91,0.530
0.00,8.27,0.530
0.00,10.64,0.530
1.98,-10.64,0.530
1.98,-8.27,0.530
1.98,-5.91,0.530
1.98,-3.55,0.530
1.98,-1.18,0.530
1.98,1.18,0.530
1.98,3.55,0.530
1.98,5.91,0.530
1.98,8.27,0.530
1.98,10.64,0.530
3.96,-10.64,0.530
3.96,-8.27,0.530
3.96,-5.91,0.530
3.96,-3.55,0.530
3.96,-1.18,0.530
3.96,1.18,0.530
3.96,3.55,0.530
3.96,5.91,0.530
3.96,8.27,0.530
3.96,10.64,0.530
5.94,-10.64,0.530
5.94,-8.27,0.530
5.94,-5.91,0.530
5.94,-3.55,0.530
5.94,-1.18,0.530
5.94,1.18,0.530
5.94,3.55,0.530
5.94,5.91,0.530
5.94,8.27,0.530
5.94,10.64,0.530
